BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
STRATOS-997,FALSE,FALSE,Major,64,00d00h01m04,0
STRATOS-301,FALSE,FALSE,Major,258582,02d23h49m42,0
STRATOS-494,FALSE,FALSE,Major,2538040,29d09h00m40,0
STRATOS-1387,FALSE,FALSE,Major,740,00d00h12m20,0
STRATOS-655,FALSE,FALSE,Major,47278,00d13h07m58,0
STRATOS-1061,FALSE,FALSE,Major,608265,07d00h57m45,0
STRATOS-1062,FALSE,FALSE,Minor,351445,04d01h37m25,0
STRATOS-1063,FALSE,FALSE,Minor,350803,04d01h26m43,0
STRATOS-1064,FALSE,FALSE,Trivial,342067,03d23h01m07,0
STRATOS-852,FALSE,FALSE,Blocker,8695,00d02h24m55,0
STRATOS-998,TRUE,FALSE,Major,20238562,234d05h49m22,0
STRATOS-999,FALSE,FALSE,Major,20238287,234d05h44m47,0
STRATOS-1147,FALSE,FALSE,Major,152,00d00h02m32,0
STRATOS-649,FALSE,FALSE,Major,9309760,107d18h02m40,1
STRATOS-918,TRUE,FALSE,Major,312,00d00h05m12,0
STRATOS-1416,FALSE,FALSE,Major,191847,02d05h17m27,0
STRATOS-383,TRUE,FALSE,Major,557694,06d10h54m54,0
STRATOS-380,FALSE,FALSE,Major,2305,00d00h38m25,0
STRATOS-1499,FALSE,FALSE,Major,527094,06d02h24m54,1
STRATOS-1269,FALSE,FALSE,Minor,8792490,101d18h21m30,1
STRATOS-545,TRUE,FALSE,Major,896569,10d09h02m49,0
STRATOS-544,FALSE,FALSE,Major,997184,11d12h59m44,0
STRATOS-1545,TRUE,FALSE,Major,5977245,69d04h20m45,0
STRATOS-460,FALSE,FALSE,Major,3302111,38d05h15m11,0
STRATOS-1548,TRUE,FALSE,Major,440621,05d02h23m41,0
STRATOS-1495,FALSE,FALSE,Major,4841,00d01h20m41,0
STRATOS-345,FALSE,FALSE,Major,555,00d00h09m15,0
STRATOS-522,FALSE,FALSE,Major,242665,02d19h24m25,1
STRATOS-521,FALSE,FALSE,Major,216,00d00h03m36,0
STRATOS-527,FALSE,FALSE,Critical,1871998,21d15h59m58,0
STRATOS-525,FALSE,FALSE,Blocker,1237495,14d07h44m55,0
STRATOS-721,FALSE,FALSE,Major,2548,00d00h42m28,0
STRATOS-425,FALSE,FALSE,Trivial,3263710,37d18h35m10,0
STRATOS-528,FALSE,FALSE,Major,792182,09d04h03m02,0
STRATOS-1332,FALSE,FALSE,Major,5870,00d01h37m50,0
STRATOS-643,FALSE,FALSE,Major,79546,00d22h05m46,0
STRATOS-486,TRUE,FALSE,Blocker,37669102,435d23h38m22,1
STRATOS-848,FALSE,FALSE,Blocker,5671,00d01h34m31,0
STRATOS-849,FALSE,FALSE,Blocker,29718,00d08h15m18,0
STRATOS-845,FALSE,FALSE,Blocker,237,00d00h03m57,0
STRATOS-1071,FALSE,FALSE,Critical,163003,01d21h16m43,0
STRATOS-847,FALSE,FALSE,Blocker,4780,00d01h19m40,0
STRATOS-1074,FALSE,FALSE,Minor,16946,00d04h42m26,0
STRATOS-399,FALSE,FALSE,Major,2140,00d00h35m40,0
STRATOS-1353,TRUE,FALSE,Major,1275946,14d18h25m46,0
STRATOS-42,FALSE,FALSE,Critical,587,00d00h09m47,0
STRATOS-1660,FALSE,FALSE,Major,254868,02d22h47m48,0
STRATOS-1576,FALSE,FALSE,Major,347,00d00h05m47,0
STRATOS-938,FALSE,FALSE,Major,8683,00d02h24m43,0
STRATOS-392,TRUE,FALSE,Major,625171,07d05h39m31,0
STRATOS-1572,TRUE,FALSE,Major,1654711,19d03h38m31,0
STRATOS-1362,FALSE,FALSE,Major,4613,00d01h16m53,0
STRATOS-556,FALSE,FALSE,Major,677490,07d20h11m30,0
STRATOS-557,FALSE,FALSE,Major,609121,07d01h12m01,0
STRATOS-554,TRUE,FALSE,Major,144391,01d16h06m31,0
STRATOS-555,FALSE,FALSE,Major,140508,01d15h01m48,0
STRATOS-552,FALSE,FALSE,Major,1693,00d00h28m13,0
STRATOS-419,TRUE,FALSE,Major,855,00d00h14m15,0
STRATOS-415,FALSE,FALSE,Major,5258,00d01h27m38,0
STRATOS-430,FALSE,FALSE,Major,3206802,37d02h46m42,0
STRATOS-965,TRUE,FALSE,Major,5437265,62d22h21m05,0
STRATOS-559,TRUE,FALSE,Major,65341,00d18h09m01,0
STRATOS-530,FALSE,FALSE,Major,79795,00d22h09m55,0
STRATOS-531,FALSE,FALSE,Major,1741541,20d03h45m41,0
STRATOS-536,FALSE,FALSE,Major,400,00d00h06m40,0
STRATOS-249,TRUE,FALSE,Critical,185143,02d03h25m43,0
STRATOS-636,FALSE,FALSE,Major,1388,00d00h23m08,0
STRATOS-634,FALSE,FALSE,Major,38310370,443d09h46m10,0
STRATOS-633,FALSE,FALSE,Major,671201,07d18h26m41,0
STRATOS-1284,FALSE,FALSE,Major,1471393,17d00h43m13,0
STRATOS-1568,FALSE,FALSE,Major,1051,00d00h17m31,0
STRATOS-1277,FALSE,FALSE,Minor,2197573,25d10h26m13,0
STRATOS-1566,FALSE,FALSE,Major,78,00d00h01m18,0
STRATOS-30,FALSE,FALSE,Major,2337440,27d01h17m20,1
STRATOS-851,TRUE,FALSE,Minor,24992766,289d06h26m06,0
STRATOS-1369,TRUE,FALSE,Major,523398,06d01h23m18,0
STRATOS-1207,FALSE,FALSE,Major,98996,01d03h29m56,0
STRATOS-1365,FALSE,FALSE,Minor,588798,06d19h33m18,0
STRATOS-498,FALSE,FALSE,Critical,8170,00d02h16m10,0
STRATOS-975,FALSE,FALSE,Major,79445,00d22h04m05,0
STRATOS-1411,FALSE,FALSE,Major,2385,00d00h39m45,0
STRATOS-332,TRUE,FALSE,Major,84,00d00h01m24,0
STRATOS-331,TRUE,FALSE,Major,4079,00d01h07m59,0
STRATOS-508,TRUE,FALSE,Major,101939,01d04h18m59,0
STRATOS-335,FALSE,FALSE,Major,13455,00d03h44m15,0
STRATOS-232,FALSE,FALSE,Major,24887,00d06h54m47,0
STRATOS-626,FALSE,FALSE,Major,713,00d00h11m53,0
STRATOS-1057,FALSE,FALSE,Major,623444,07d05h10m44,0
STRATOS-1059,FALSE,FALSE,Minor,619059,07d03h57m39,0
STRATOS-1292,FALSE,FALSE,Major,1091678,12d15h14m38,0
STRATOS-587,FALSE,FALSE,Blocker,78477,00d21h47m57,0
STRATOS-582,FALSE,FALSE,Blocker,4094,00d01h08m14,0
STRATOS-1594,FALSE,FALSE,Major,204914,02d08h55m14,0
STRATOS-1597,FALSE,FALSE,Major,681746,07d21h22m26,0
STRATOS-148,TRUE,FALSE,Major,2864461,33d03h41m01,0
