BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
STR-2971,FALSE,FALSE,Minor,1608341,18d14h45m41,0
STR-2998,FALSE,FALSE,Major,1575,00d00h26m15,0
STR-2955,FALSE,FALSE,Minor,5262372,60d21h46m12,0
STR-3179,FALSE,FALSE,Major,36334,00d10h05m34,0
STR-2855,FALSE,FALSE,Minor,3365,00d00h56m05,0
STR-2977,FALSE,FALSE,Minor,200,00d00h03m20,0
STR-2979,FALSE,FALSE,Major,6984091,80d20h01m31,0
STR-2996,FALSE,FALSE,Major,2426099,28d01h54m59,0
STR-2997,FALSE,FALSE,Major,2142878,24d19h14m38,0
STR-2959,FALSE,TRUE,Minor,23845176,275d23h39m36,1
STR-2973,FALSE,FALSE,Major,3578,00d00h59m38,0
STR-2893,FALSE,FALSE,Trivial,102240309,1183d08h05m09,1
STR-2870,FALSE,FALSE,Major,385,00d00h06m25,0
MNG-1527,FALSE,FALSE,Major,15480658,179d04h10m58,0
STR-3110,FALSE,FALSE,Major,675481,07d19h38m01,0
STR-3174,FALSE,FALSE,Minor,19736,00d05h28m56,0
STR-3173,FALSE,FALSE,Blocker,119255,01d09h07m35,0
STR-3011,FALSE,FALSE,Minor,25158,00d06h59m18,1
STR-3076,FALSE,TRUE,Major,242046,02d19h14m06,0
STR-3052,TRUE,FALSE,Major,1609164,18d14h59m24,0
STR-2877,FALSE,FALSE,Minor,1229973,14d05h39m33,0
STR-3070,FALSE,FALSE,Critical,84215,00d23h23m35,0
STR-3029,TRUE,FALSE,Major,2011121,23d06h38m41,0
STR-2854,FALSE,FALSE,Critical,370980,04d07h03m00,0
STR-2917,TRUE,FALSE,Major,5387,00d01h29m47,0
STR-2630,FALSE,FALSE,Trivial,63472061,734d15h07m41,0
STR-3191,FALSE,FALSE,Blocker,4432464,51d07h14m24,0
STR-2493,TRUE,FALSE,Major,30914096,357d19h14m56,0
STR-2972,TRUE,FALSE,Major,842521,09d18h02m01,0
STR-3097,FALSE,FALSE,Major,910,00d00h15m10,0
STR-2826,FALSE,FALSE,Major,1754114,20d07h15m14,0
STR-2809,FALSE,FALSE,Major,3845982,44d12h19m42,0
STR-2741,FALSE,FALSE,Major,9034524,104d13h35m24,1
STR-3093,FALSE,FALSE,Minor,4995609,57d19h40m09,0
STR-2805,FALSE,FALSE,Major,3090409,35d18h26m49,0
STR-2925,TRUE,FALSE,Major,9152322,105d22h18m42,0
STR-2700,FALSE,FALSE,Critical,48348925,559d14h15m25,0
STR-2922,FALSE,FALSE,Minor,9839035,113d21h03m55,0
STR-2802,FALSE,FALSE,Major,31813529,368d05h05m29,0
STR-2920,FALSE,FALSE,Minor,10287306,119d01h35m06,0
STR-2866,FALSE,FALSE,Major,25103,00d06h58m23,0
STR-2843,FALSE,FALSE,Major,211998,02d10h53m18,0
STR-2967,TRUE,FALSE,Minor,19089,00d05h18m09,0
STR-2966,FALSE,FALSE,Major,1150957,13d07h42m37,0
STR-2793,FALSE,FALSE,Major,4698211,54d09h03m31,0
STR-2985,TRUE,FALSE,Major,195,00d00h03m15,0
STR-2724,FALSE,FALSE,Major,9405665,108d20h41m05,0
STR-2987,FALSE,FALSE,Minor,348,00d00h05m48,0
STR-2496,FALSE,FALSE,Major,30727733,355d15h28m53,0
STR-2876,FALSE,FALSE,Major,66415,00d18h26m55,0
STR-3026,FALSE,FALSE,Trivial,11854754,137d04h59m14,0
STR-3146,FALSE,FALSE,Trivial,5107,00d01h25m07,0
STR-3169,FALSE,FALSE,Critical,2897200,33d12h46m40,0
STR-2960,FALSE,FALSE,Major,489873,05d16h04m33,0
STR-2883,TRUE,FALSE,Major,150956,01d17h55m56,0
STR-2995,TRUE,FALSE,Major,4671623,54d01h40m23,0
STR-3160,FALSE,FALSE,Major,1196145,13d20h15m45,0
STR-3161,FALSE,FALSE,Major,15105,00d04h11m45,0
STR-2509,FALSE,FALSE,Major,27078936,313d09h55m36,0
STR-3144,FALSE,FALSE,Major,254740,02d22h45m40,0
STR-2903,FALSE,FALSE,Major,12636773,146d06h12m53,0
STR-2795,FALSE,FALSE,Major,4769098,55d04h44m58,1
STR-1674,FALSE,FALSE,Major,123084907,1424d14h15m07,1
STR-2879,TRUE,FALSE,Major,170702,01d23h25m02,0
STR-2872,FALSE,FALSE,Minor,33332,00d09h15m32,0
STR-3084,FALSE,FALSE,Trivial,178465,02d01h34m25,0
STR-2831,FALSE,FALSE,Major,1443312,16d16h55m12,0
STR-3082,FALSE,FALSE,Minor,176097,02d00h54m57,0
STR-3010,FALSE,FALSE,Minor,245,00d00h04m05,0
STR-2935,FALSE,FALSE,Minor,3574,00d00h59m34,0
STR-2936,FALSE,FALSE,Trivial,2866,00d00h47m46,0
STR-3081,FALSE,FALSE,Major,2340676,27d02h11m16,0
STR-2698,FALSE,FALSE,Minor,11079112,128d05h31m52,0
STR-2932,FALSE,FALSE,Major,251421,02d21h50m21,0
STR-3088,FALSE,FALSE,Major,75636,00d21h00m36,0
