BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SYNAPSE-998,FALSE,FALSE,Critical,45059673,521d12h34m33,0
SYNAPSE-570,FALSE,FALSE,Major,37257,00d10h20m57,0
SYNAPSE-278,FALSE,FALSE,Trivial,26760,00d07h26m00,0
SYNAPSE-574,TRUE,FALSE,Major,15932250,184d09h37m30,0
SYNAPSE-577,TRUE,FALSE,Major,798661,09d05h51m01,0
SYNAPSE-523,FALSE,FALSE,Major,135,00d00h02m15,0
SYNAPSE-579,TRUE,FALSE,Major,15183334,175d17h35m34,0
SYNAPSE-273,FALSE,FALSE,Major,318615,03d16h30m15,0
SYNAPSE-270,FALSE,FALSE,Major,14809,00d04h06m49,0
SYNAPSE-277,FALSE,FALSE,Minor,402458,04d15h47m38,0
SYNAPSE-274,FALSE,FALSE,Major,703315,08d03h21m55,0
SYNAPSE-275,FALSE,FALSE,Blocker,1997025,23d02h43m45,1
SYNAPSE-379,FALSE,FALSE,Major,105294,01d05h14m54,0
SYNAPSE-908,FALSE,FALSE,Major,27746429,321d03h20m29,0
SYNAPSE-905,TRUE,FALSE,Minor,3522151,40d18h22m31,0
SYNAPSE-906,FALSE,FALSE,Minor,115026,01d07h57m06,0
SYNAPSE-907,FALSE,FALSE,Blocker,28810279,333d10h51m19,0
SYNAPSE-901,TRUE,FALSE,Blocker,131498289,1521d23h18m09,1
SYNAPSE-902,FALSE,FALSE,Major,30219351,349d18h15m51,0
SYNAPSE-903,FALSE,FALSE,Major,30139299,348d20h01m39,0
HTTPCORE-193,FALSE,FALSE,Major,90369,01d01h06m09,0
SYNAPSE-889,FALSE,FALSE,Critical,31964543,369d23h02m23,0
SYNAPSE-885,FALSE,FALSE,Major,33677289,389d18h48m09,0
SYNAPSE-887,TRUE,FALSE,Critical,32179914,372d10h51m54,0
SYNAPSE-886,FALSE,FALSE,Major,33910375,392d11h32m55,0
SYNAPSE-881,FALSE,FALSE,Major,34078402,394d10h13m22,0
SYNAPSE-880,FALSE,FALSE,Major,34947116,404d11h31m56,0
SYNAPSE-883,TRUE,FALSE,Critical,33632180,389d06h16m20,0
SYNAPSE-882,FALSE,FALSE,Major,33644707,389d09h45m07,0
SYNAPSE-286,FALSE,FALSE,Major,1087,00d00h18m07,0
SYNAPSE-285,TRUE,FALSE,Critical,66342,00d18h25m42,0
SYNAPSE-281,TRUE,FALSE,Minor,353293,04d02h08m13,0
SYNAPSE-280,FALSE,FALSE,Minor,30390347,351d17h45m47,0
SYNAPSE-617,TRUE,FALSE,Major,16926407,195d21h46m47,0
SYNAPSE-289,TRUE,FALSE,Major,1983,00d00h33m03,0
SYNAPSE-288,FALSE,FALSE,Minor,2505719,29d00h01m59,0
SYNAPSE-1063,FALSE,FALSE,Major,9768,00d02h42m48,0
SYNAPSE-1062,FALSE,FALSE,Major,478050,05d12h47m30,0
SYNAPSE-1061,FALSE,FALSE,Major,100123,01d03h48m43,0
SYNAPSE-1060,FALSE,FALSE,Critical,564899,06d12h54m59,0
SYNAPSE-120,FALSE,FALSE,Major,9193,00d02h33m13,0
SYNAPSE-690,FALSE,FALSE,Major,82338,00d22h52m18,0
SYNAPSE-728,FALSE,FALSE,Major,27311590,316d02h33m10,0
SYNAPSE-692,FALSE,FALSE,Blocker,4883831,56d12h37m11,1
SYNAPSE-693,FALSE,FALSE,Blocker,4896914,56d16h15m14,0
