BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SYNCOPE-54,TRUE,FALSE,Major,2884,00d00h48m04,0
SYNCOPE-399,TRUE,FALSE,Major,886,00d00h14m46,0
SYNCOPE-398,FALSE,FALSE,Major,2520,00d00h42m00,0
SYNCOPE-394,TRUE,FALSE,Major,1650,00d00h27m30,0
SYNCOPE-397,TRUE,FALSE,Major,77563,00d21h32m43,0
SYNCOPE-396,FALSE,FALSE,Major,4408,00d01h13m28,0
SYNCOPE-58,TRUE,FALSE,Major,3460,00d00h57m40,0
SYNCOPE-400,FALSE,FALSE,Critical,6539,00d01h48m59,0
CXF-6688,TRUE,FALSE,Minor,8016,00d02h13m36,0
SYNCOPE-52,TRUE,FALSE,Major,15993,00d04h26m33,0
SYNCOPE-1128,TRUE,TRUE,Major,1322,00d00h22m02,0
SYNCOPE-1001,FALSE,FALSE,Major,82,00d00h01m22,0
SYNCOPE-1123,TRUE,FALSE,Major,338623,03d22h03m43,0
SYNCOPE-1121,FALSE,FALSE,Major,265677,03d01h47m57,0
SYNCOPE-717,TRUE,FALSE,Major,853,00d00h14m13,0
SYNCOPE-1125,FALSE,FALSE,Major,150053,01d17h40m53,0
SYNCOPE-320,TRUE,FALSE,Major,8418,00d02h20m18,0
SYNCOPE-321,TRUE,FALSE,Major,9323,00d02h35m23,0
SYNCOPE-490,TRUE,FALSE,Minor,443651,05d03h14m11,1
SYNCOPE-323,TRUE,FALSE,Major,10748,00d02h59m08,0
SYNCOPE-497,FALSE,FALSE,Minor,611985,07d01h59m45,0
SYNCOPE-495,FALSE,FALSE,Major,1052210,12d04h16m50,1
SYNCOPE-328,TRUE,FALSE,Major,447296,05d04h14m56,0
SYNCOPE-329,TRUE,FALSE,Major,1302119,15d01h41m59,0
SYNCOPE-498,FALSE,FALSE,Minor,359385,04d03h49m45,0
SYNCOPE-499,TRUE,FALSE,Major,160649,01d20h37m29,0
SYNCOPE-677,FALSE,FALSE,Minor,1483,00d00h24m43,0
SYNCOPE-1438,FALSE,FALSE,Major,1068,00d00h17m48,0
SYNCOPE-1439,TRUE,FALSE,Major,1292827,14d23h07m07,0
SYNCOPE-1430,TRUE,FALSE,Major,95670,01d02h34m30,0
SYNCOPE-1431,TRUE,FALSE,Major,30035,00d08h20m35,0
SYNCOPE-1432,FALSE,FALSE,Major,2342264,27d02h37m44,0
SYNCOPE-812,TRUE,FALSE,Major,10116,00d02h48m36,0
SYNCOPE-813,TRUE,FALSE,Minor,5517,00d01h31m57,0
SYNCOPE-1437,FALSE,FALSE,Minor,64683,00d17h58m03,0
SYNCOPE-23,FALSE,FALSE,Major,2490,00d00h41m30,0
SYNCOPE-21,FALSE,FALSE,Critical,1228544,14d05h15m44,1
SYNCOPE-27,TRUE,FALSE,Major,1201,00d00h20m01,0
SYNCOPE-29,FALSE,FALSE,Major,2170261,25d02h51m01,0
SYNCOPE-881,TRUE,FALSE,Major,5255895,60d19h58m15,1
SYNCOPE-928,FALSE,FALSE,Major,1969,00d00h32m49,0
SYNCOPE-929,TRUE,FALSE,Major,272333,03d03h38m53,0
SYNCOPE-669,FALSE,FALSE,Major,68651,00d19h04m11,0
SYNCOPE-884,TRUE,FALSE,Major,5180191,59d22h56m31,1
SYNCOPE-887,TRUE,FALSE,Major,5014027,58d00h47m07,1
SYNCOPE-886,TRUE,FALSE,Major,5019844,58d02h24m04,1
SYNCOPE-923,TRUE,FALSE,Major,370801,04d07h00m01,1
SYNCOPE-921,FALSE,FALSE,Major,1301019,15d01h23m39,1
SYNCOPE-927,FALSE,FALSE,Major,2113,00d00h35m13,0
SYNCOPE-1387,FALSE,FALSE,Major,15071,00d04h11m11,0
SYNCOPE-1493,FALSE,FALSE,Major,10240,00d02h50m40,0
SYNCOPE-1229,TRUE,FALSE,Major,1299794,15d01h03m14,0
SYNCOPE-1383,FALSE,FALSE,Major,5024,00d01h23m44,0
SYNCOPE-1380,TRUE,FALSE,Major,2645,00d00h44m05,0
SYNCOPE-1224,TRUE,FALSE,Major,776,00d00h12m56,0
SYNCOPE-1227,FALSE,FALSE,Major,1475297,17d01h48m17,0
SYNCOPE-1226,FALSE,FALSE,Trivial,2927452,33d21h10m52,0
SYNCOPE-1223,TRUE,FALSE,Major,11634,00d03h13m54,0
SYNCOPE-1389,FALSE,FALSE,Major,15531,00d04h18m51,0
SYNCOPE-869,FALSE,TRUE,Major,1373043,15d21h24m03,0
SYNCOPE-868,FALSE,FALSE,Major,877,00d00h14m37,0
SYNCOPE-863,TRUE,FALSE,Major,2418914,27d23h55m14,0
SYNCOPE-302,FALSE,FALSE,Major,559,00d00h09m19,0
SYNCOPE-867,FALSE,FALSE,Major,973,00d00h16m13,0
SYNCOPE-865,TRUE,FALSE,Major,1496685,17d07h44m45,0
SYNCOPE-1250,FALSE,FALSE,Major,5286,00d01h28m06,0
SYNCOPE-741,TRUE,FALSE,Major,145132,01d16h18m52,0
SYNCOPE-1319,FALSE,FALSE,Major,365,00d00h06m05,0
SYNCOPE-1318,TRUE,FALSE,Major,2105,00d00h35m05,0
SYNCOPE-1090,FALSE,FALSE,Major,1931,00d00h32m11,0
SYNCOPE-1091,TRUE,FALSE,Major,15169,00d04h12m49,0
SYNCOPE-1094,FALSE,FALSE,Major,6423,00d01h47m03,0
SYNCOPE-562,TRUE,FALSE,Major,92721,01d01h45m21,0
SYNCOPE-1098,TRUE,FALSE,Major,2515,00d00h41m55,0
SYNCOPE-1312,FALSE,FALSE,Major,1107554,12d19h39m14,1
SYNCOPE-1315,TRUE,FALSE,Major,538575,06d05h36m15,0
SYNCOPE-1314,FALSE,FALSE,Major,183072,02d02h51m12,0
SYNCOPE-564,TRUE,FALSE,Major,1050884,12d03h54m44,0
SYNCOPE-565,FALSE,FALSE,Major,92295,01d01h38m15,0
SYNCOPE-710,TRUE,FALSE,Major,68083,00d18h54m43,0
SYNCOPE-712,TRUE,FALSE,Major,277315,03d05h01m55,0
SYNCOPE-357,TRUE,FALSE,Major,794261,09d04h37m41,0
SYNCOPE-1168,FALSE,FALSE,Major,8715,00d02h25m15,0
SYNCOPE-1166,TRUE,FALSE,Major,967955,11d04h52m35,0
SYNCOPE-716,FALSE,FALSE,Minor,122,00d00h02m02,0
SYNCOPE-1162,FALSE,FALSE,Minor,14019,00d03h53m39,0
SYNCOPE-1163,FALSE,FALSE,Major,497,00d00h08m17,0
SYNCOPE-1004,FALSE,FALSE,Major,54515,00d15h08m35,0
SYNCOPE-1007,FALSE,FALSE,Minor,84107,00d23h21m47,0
SYNCOPE-368,TRUE,FALSE,Major,7007,00d01h56m47,0
SYNCOPE-1000,FALSE,FALSE,Major,5092,00d01h24m52,0
SYNCOPE-1003,FALSE,FALSE,Major,55370,00d15h22m50,0
SYNCOPE-1002,FALSE,FALSE,Major,1380,00d00h23m00,0
SYNCOPE-364,FALSE,FALSE,Major,3231,00d00h53m51,0
SYNCOPE-1365,FALSE,FALSE,Major,2314,00d00h38m34,0
SYNCOPE-1366,TRUE,FALSE,Major,1503,00d00h25m03,0
SYNCOPE-1360,FALSE,FALSE,Major,889,00d00h14m49,0
SYNCOPE-1361,FALSE,FALSE,Major,103131,01d04h38m51,0
SYNCOPE-1362,FALSE,FALSE,Major,61,00d00h01m01,0
SYNCOPE-363,FALSE,FALSE,Major,17146,00d04h45m46,0
SYNCOPE-597,TRUE,FALSE,Major,63514,00d17h38m34,0
SYNCOPE-596,FALSE,FALSE,Major,7685,00d02h08m05,0
SYNCOPE-598,TRUE,FALSE,Major,300278,03d11h24m38,0
SYNCOPE-912,FALSE,FALSE,Major,2523950,29d05h05m50,1
SYNCOPE-911,FALSE,FALSE,Major,2525199,29d05h26m39,1
SYNCOPE-916,TRUE,FALSE,Major,1997642,23d02h54m02,1
SYNCOPE-915,TRUE,FALSE,Major,2002531,23d04h15m31,1
SYNCOPE-918,FALSE,FALSE,Major,1666592,19d06h56m32,1
SYNCOPE-274,TRUE,FALSE,Major,4431,00d01h13m51,0
SYNCOPE-629,TRUE,FALSE,Major,78919,00d21h55m19,0
LOG4J2-344,FALSE,FALSE,Major,14584646,168d19h17m26,0
SYNCOPE-183,FALSE,FALSE,Major,4174286,48d07h31m26,2
SYNCOPE-187,FALSE,FALSE,Major,20713,00d05h45m13,0
SYNCOPE-625,FALSE,FALSE,Critical,677258,07d20h07m38,0
SYNCOPE-966,FALSE,FALSE,Major,33919,00d09h25m19,0
SYNCOPE-965,TRUE,FALSE,Major,143169,01d15h46m09,0
SYNCOPE-376,FALSE,FALSE,Major,576,00d00h09m36,0
SYNCOPE-375,FALSE,FALSE,Major,55282,00d15h21m22,0
SYNCOPE-1261,FALSE,FALSE,Major,2065,00d00h34m25,0
SYNCOPE-1263,FALSE,FALSE,Minor,1051,00d00h17m31,0
SYNCOPE-1265,TRUE,FALSE,Major,13801,00d03h50m01,0
SYNCOPE-1266,FALSE,FALSE,Major,17362,00d04h49m22,0
SYNCOPE-1269,TRUE,FALSE,Major,1405949,16d06h32m29,0
SYNCOPE-373,TRUE,FALSE,Major,4073,00d01h07m53,0
SYNCOPE-372,FALSE,FALSE,Major,58193,00d16h09m53,0
SYNCOPE-1467,FALSE,FALSE,Major,338735,03d22h05m35,1
SYNCOPE-825,FALSE,FALSE,Minor,1810034,20d22h47m14,0
SYNCOPE-823,FALSE,FALSE,Major,152177,01d18h16m17,0
SYNCOPE-371,FALSE,FALSE,Major,292,00d00h04m52,0
SYNCOPE-980,TRUE,FALSE,Major,9751,00d02h42m31,0
SYNCOPE-981,FALSE,FALSE,Major,181,00d00h03m01,0
SYNCOPE-982,TRUE,FALSE,Major,64155,00d17h49m15,0
SYNCOPE-1469,FALSE,FALSE,Major,107,00d00h01m47,0
SYNCOPE-898,TRUE,FALSE,Major,4427753,51d05h55m53,1
SYNCOPE-817,TRUE,FALSE,Minor,2009896,23d06h18m16,0
SYNCOPE-987,FALSE,TRUE,Major,78686,00d21h51m26,0
SYNCOPE-899,FALSE,FALSE,Trivial,4404130,50d23h22m10,1
SYNCOPE-1214,FALSE,FALSE,Major,1929,00d00h32m09,0
SYNCOPE-527,TRUE,FALSE,Major,80764,00d22h26m04,0
SYNCOPE-1216,TRUE,FALSE,Major,542,00d00h09m02,0
SYNCOPE-1217,FALSE,FALSE,Trivial,4871,00d01h21m11,1
SYNCOPE-1210,TRUE,FALSE,Major,2294,00d00h38m14,0
SYNCOPE-1211,FALSE,FALSE,Major,140103,01d14h55m03,0
SYNCOPE-1213,TRUE,FALSE,Minor,565013,06d12h56m53,0
SYNCOPE-342,FALSE,FALSE,Major,5022,00d01h23m42,0
SYNCOPE-811,FALSE,FALSE,Minor,948917,10d23h35m17,0
SYNCOPE-343,TRUE,FALSE,Minor,3324,00d00h55m24,0
SYNCOPE-341,TRUE,FALSE,Minor,108462,01d06h07m42,0
SYNCOPE-1069,FALSE,FALSE,Major,6477,00d01h47m57,0
SYNCOPE-1049,TRUE,FALSE,Major,6697,00d01h51m37,0
SYNCOPE-1048,TRUE,FALSE,Major,1773,00d00h29m33,0
SYNCOPE-793,FALSE,FALSE,Minor,1119854,12d23h04m14,0
SYNCOPE-792,TRUE,FALSE,Minor,867982,10d01h06m22,0
SYNCOPE-799,TRUE,FALSE,Major,3709335,42d22h22m15,0
SYNCOPE-798,TRUE,FALSE,Major,3544227,41d00h30m27,0
SYNCOPE-1043,TRUE,FALSE,Major,253779,02d22h29m39,0
SYNCOPE-1042,FALSE,FALSE,Minor,13064,00d03h37m44,0
SYNCOPE-1045,TRUE,FALSE,Major,107,00d00h01m47,0
SYNCOPE-1044,FALSE,FALSE,Major,2832,00d00h47m12,0
SYNCOPE-414,FALSE,FALSE,Major,11404571,131d23h56m11,0
SYNCOPE-1046,FALSE,FALSE,Minor,83,00d00h01m23,0
SYNCOPE-1320,FALSE,FALSE,Major,3666,00d01h01m06,0
SYNCOPE-1321,FALSE,FALSE,Major,779303,09d00h28m23,0
SYNCOPE-551,FALSE,FALSE,Major,151,00d00h02m31,0
SYNCOPE-557,FALSE,FALSE,Major,318150,03d16h22m30,0
SYNCOPE-556,FALSE,FALSE,Major,77864,00d21h37m44,0
SYNCOPE-1326,TRUE,FALSE,Major,5357,00d01h29m17,0
SYNCOPE-1288,TRUE,TRUE,Major,608314,07d00h58m34,0
SYNCOPE-1285,FALSE,FALSE,Major,8460,00d02h21m00,0
SYNCOPE-1282,FALSE,TRUE,Major,3093,00d00h51m33,0
SYNCOPE-12,FALSE,FALSE,Major,14851,00d04h07m31,0
SYNCOPE-774,TRUE,FALSE,Major,710621,08d05h23m41,0
SYNCOPE-540,FALSE,FALSE,Major,104495,01d05h01m35,1
SYNCOPE-381,FALSE,FALSE,Minor,20010,00d05h33m30,0
SYNCOPE-386,FALSE,FALSE,Major,145,00d00h02m25,0
SYNCOPE-387,FALSE,FALSE,Major,343378,03d23h22m58,0
SYNCOPE-384,FALSE,TRUE,Major,3597,00d00h59m57,0
SYNCOPE-385,TRUE,FALSE,Major,160,00d00h02m40,0
SYNCOPE-17,FALSE,FALSE,Major,1506,00d00h25m06,0
SYNCOPE-543,TRUE,FALSE,Minor,1052495,12d04h21m35,0
SYNCOPE-297,FALSE,FALSE,Major,191636,02d05h13m56,0
SYNCOPE-1476,FALSE,FALSE,Major,82200,00d22h50m00,0
SYNCOPE-1135,TRUE,FALSE,Major,96048,01d02h40m48,0
SYNCOPE-1134,FALSE,FALSE,Minor,91183,01d01h19m43,0
SYNCOPE-1038,FALSE,FALSE,Minor,542256,06d06h37m36,0
SYNCOPE-1130,TRUE,FALSE,Major,5499,00d01h31m39,0
SYNCOPE-1133,TRUE,FALSE,Major,18418,00d05h06m58,0
SYNCOPE-1034,TRUE,FALSE,Minor,625145,07d05h39m05,0
SYNCOPE-707,TRUE,FALSE,Minor,10319,00d02h51m59,0
SYNCOPE-1036,TRUE,FALSE,Minor,186920,02d03h55m20,0
SYNCOPE-1037,FALSE,FALSE,Minor,186757,02d03h52m37,0
SYNCOPE-1030,TRUE,FALSE,Major,278820,03d05h27m00,0
SYNCOPE-703,FALSE,FALSE,Major,721,00d00h12m01,0
SYNCOPE-1032,FALSE,FALSE,Minor,280663,03d05h57m43,0
SYNCOPE-1033,FALSE,FALSE,Major,2332,00d00h38m52,0
SYNCOPE-315,TRUE,FALSE,Minor,265167,03d01h39m27,1
SYNCOPE-314,FALSE,FALSE,Major,329,00d00h05m29,0
SYNCOPE-317,TRUE,FALSE,Major,11202,00d03h06m42,0
SYNCOPE-316,FALSE,FALSE,Major,10240,00d02h50m40,0
SYNCOPE-310,TRUE,FALSE,Major,2673,00d00h44m33,0
SYNCOPE-312,TRUE,FALSE,Minor,1643406,19d00h30m06,1
SYNCOPE-318,FALSE,FALSE,Major,707418,08d04h30m18,0
SYNCOPE-40,FALSE,FALSE,Major,320319,03d16h58m39,0
SYNCOPE-1429,TRUE,FALSE,Minor,427859,04d22h50m59,1
SYNCOPE-1428,FALSE,FALSE,Major,2818,00d00h46m58,0
SYNCOPE-41,TRUE,FALSE,Major,1117711,12d22h28m31,0
SYNCOPE-1420,TRUE,FALSE,Major,3245,00d00h54m05,0
SYNCOPE-1425,FALSE,FALSE,Major,922,00d00h15m22,0
SYNCOPE-31,TRUE,FALSE,Major,66499,00d18h28m19,0
SYNCOPE-30,FALSE,FALSE,Critical,3087,00d00h51m27,0
SYNCOPE-33,FALSE,FALSE,Major,7961,00d02h12m41,0
SYNCOPE-43,TRUE,FALSE,Major,180689,02d02h11m29,0
SYNCOPE-34,FALSE,FALSE,Major,234,00d00h03m54,0
SYNCOPE-37,FALSE,FALSE,Major,188031,02d04h13m51,0
SYNCOPE-39,TRUE,FALSE,Major,600056,06d22h40m56,0
SYNCOPE-46,FALSE,FALSE,Major,14614,00d04h03m34,0
SYNCOPE-883,FALSE,FALSE,Major,5180868,59d23h07m48,1
SYNCOPE-672,FALSE,FALSE,Major,3323,00d00h55m23,0
SYNCOPE-673,FALSE,FALSE,Minor,10035,00d02h47m15,0
SYNCOPE-670,TRUE,FALSE,Major,71064,00d19h44m24,0
SYNCOPE-671,TRUE,FALSE,Major,3069,00d00h51m09,0
SYNCOPE-892,FALSE,FALSE,Major,4573953,52d22h32m33,1
SYNCOPE-893,FALSE,FALSE,Major,4559689,52d18h34m49,1
SYNCOPE-891,FALSE,FALSE,Minor,5009810,57d23h36m50,1
SYNCOPE-678,FALSE,FALSE,Major,437945,05d01h39m05,0
SYNCOPE-510,TRUE,FALSE,Major,11598,00d03h13m18,0
SYNCOPE-953,TRUE,FALSE,Major,2176,00d00h36m16,0
SYNCOPE-776,FALSE,FALSE,Critical,234759,02d17h12m39,0
SYNCOPE-775,TRUE,FALSE,Major,526339,06d02h12m19,0
SYNCOPE-950,FALSE,FALSE,Major,1632,00d00h27m12,0
SYNCOPE-1391,FALSE,FALSE,Major,878222,10d03h57m02,0
SYNCOPE-1390,TRUE,FALSE,Major,88994,01d00h43m14,0
SYNCOPE-1393,FALSE,FALSE,Minor,10247,00d02h50m47,0
SYNCOPE-1399,TRUE,FALSE,Major,20401,00d05h40m01,0
SYNCOPE-1251,FALSE,FALSE,Major,5555,00d01h32m35,0
SYNCOPE-1252,FALSE,FALSE,Major,32218,00d08h56m58,0
SYNCOPE-1253,FALSE,FALSE,Major,71,00d00h01m11,0
SYNCOPE-1254,FALSE,FALSE,Major,9070104,104d23h28m24,0
SYNCOPE-1257,FALSE,FALSE,Major,14124,00d03h55m24,0
SYNCOPE-878,TRUE,FALSE,Major,5543157,64d03h45m57,1
SYNCOPE-879,TRUE,FALSE,Major,5534834,64d01h27m14,2
SYNCOPE-888,FALSE,FALSE,Major,5011551,58d00h05m51,1
CXF-7968,TRUE,FALSE,Major,281,00d00h04m41,0
SYNCOPE-872,TRUE,TRUE,Major,6418439,74d06h53m59,2
SYNCOPE-1492,FALSE,FALSE,Minor,73645,00d20h27m25,0
SYNCOPE-875,FALSE,FALSE,Major,66697,00d18h31m37,0
SYNCOPE-876,FALSE,FALSE,Minor,1996,00d00h33m16,0
SYNCOPE-1215,TRUE,FALSE,Minor,71218,00d19h46m58,0
