BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SYSTEMML-1186,FALSE,FALSE,Minor,3778355,43d17h32m35,0
SYSTEMML-1627,FALSE,FALSE,Major,2434003,28d04h06m43,0
SYSTEMML-1626,FALSE,FALSE,Major,30947786,358d04h36m26,0
SYSTEMML-1624,FALSE,FALSE,Critical,2516647,29d03h04m07,0
SYSTEMML-1623,TRUE,FALSE,Major,11448,00d03h10m48,0
SYSTEMML-833,TRUE,FALSE,Major,1353528,15d15h58m48,0
SYSTEMML-1621,TRUE,FALSE,Major,41747,00d11h35m47,0
SYSTEMML-2377,FALSE,FALSE,Major,2426,00d00h40m26,0
SYSTEMML-2370,TRUE,FALSE,Major,1019066,11d19h04m26,0
SYSTEMML-1749,FALSE,FALSE,Major,56321,00d15h38m41,0
SYSTEMML-2275,FALSE,FALSE,Major,102758,01d04h32m38,0
SYSTEMML-1698,FALSE,FALSE,Major,4617,00d01h16m57,0
SYSTEMML-331,TRUE,FALSE,Blocker,8649127,100d02h32m07,1
SYSTEMML-330,TRUE,FALSE,Major,8394634,97d03h50m34,0
SYSTEMML-884,FALSE,FALSE,Major,99694,01d03h41m34,0
SYSTEMML-1386,TRUE,FALSE,Major,67444,00d18h44m04,0
SYSTEMML-830,FALSE,FALSE,Minor,530,00d00h08m50,0
SYSTEMML-1131,FALSE,FALSE,Major,80749,00d22h25m49,0
SYSTEMML-905,TRUE,FALSE,Major,1144173,13d05h49m33,0
SYSTEMML-1840,FALSE,FALSE,Major,51797,00d14h23m17,0
SYSTEMML-2383,TRUE,FALSE,Major,3857,00d01h04m17,0
SYSTEMML-1876,FALSE,FALSE,Major,168859,01d22h54m19,0
SYSTEMML-2388,FALSE,FALSE,Major,535487,06d04h44m47,0
SYSTEMML-1875,FALSE,FALSE,Major,3109297,35d23h41m37,0
SYSTEMML-1891,FALSE,FALSE,Major,176035,02d00h53m55,0
SYSTEMML-1870,FALSE,FALSE,Major,12840,00d03h34m00,0
SYSTEMML-2028,FALSE,FALSE,Major,64459,00d17h54m19,0
SYSTEMML-2029,FALSE,FALSE,Major,87895,01d00h24m55,0
SYSTEMML-2180,FALSE,FALSE,Major,60643,00d16h50m43,0
SYSTEMML-2020,TRUE,FALSE,Major,164699,01d21h44m59,0
SYSTEMML-2021,FALSE,FALSE,Major,155419,01d19h10m19,0
SYSTEMML-2022,TRUE,FALSE,Major,32650,00d09h04m10,0
SYSTEMML-2023,TRUE,FALSE,Major,1256,00d00h20m56,0
SYSTEMML-2024,TRUE,FALSE,Major,168112,01d22h41m52,0
SYSTEMML-2026,TRUE,FALSE,Major,150944,01d17h55m44,0
SYSTEMML-2027,FALSE,FALSE,Major,76815,00d21h20m15,0
SYSTEMML-1243,FALSE,FALSE,Major,3183769,36d20h22m49,0
SYSTEMML-1005,FALSE,FALSE,Blocker,91543,01d01h25m43,0
SYSTEMML-1002,TRUE,FALSE,Major,102224,01d04h23m44,0
SYSTEMML-1553,FALSE,FALSE,Major,1034677,11d23h24m37,0
SYSTEMML-1008,TRUE,FALSE,Blocker,73606,00d20h26m46,0
SYSTEMML-2058,FALSE,FALSE,Major,1025909,11d20h58m29,0
SYSTEMML-2051,TRUE,FALSE,Major,594334,06d21h05m34,0
SYSTEMML-2050,TRUE,FALSE,Major,11345,00d03h09m05,0
SYSTEMML-2053,TRUE,FALSE,Major,102395,01d04h26m35,0
SYSTEMML-2052,TRUE,FALSE,Major,505370,05d20h22m50,0
SYSTEMML-1520,FALSE,FALSE,Blocker,40186,00d11h09m46,0
SYSTEMML-513,TRUE,FALSE,Major,461012,05d08h03m32,0
SYSTEMML-512,TRUE,FALSE,Major,8039196,93d01h06m36,0
SYSTEMML-1525,TRUE,FALSE,Major,11148,00d03h05m48,0
SYSTEMML-517,FALSE,FALSE,Major,504096,05d20h01m36,0
SYSTEMML-300,FALSE,FALSE,Minor,10556752,122d04h25m52,0
SYSTEMML-1702,FALSE,FALSE,Major,38584,00d10h43m04,0
SYSTEMML-1251,TRUE,FALSE,Major,703815,08d03h30m15,0
SYSTEMML-1704,FALSE,FALSE,Major,4191,00d01h09m51,0
SYSTEMML-1257,FALSE,FALSE,Major,252826,02d22h13m46,0
SYSTEMML-261,FALSE,FALSE,Major,11825621,136d20h53m41,0
SYSTEMML-2338,FALSE,FALSE,Major,647,00d00h10m47,0
SYSTEMML-1906,TRUE,FALSE,Major,6734068,77d22h34m28,0
SYSTEMML-1902,TRUE,FALSE,Major,6904858,79d22h00m58,0
SYSTEMML-1903,TRUE,FALSE,Major,3894590,45d01h49m50,0
SYSTEMML-1901,TRUE,FALSE,Major,7089102,82d01h11m42,0
SYSTEMML-1908,FALSE,FALSE,Major,3625681,41d23h08m01,0
SYSTEMML-762,TRUE,FALSE,Major,4316545,49d23h02m25,1
SYSTEMML-1792,FALSE,FALSE,Major,58017,00d16h06m57,0
SYSTEMML-1790,FALSE,FALSE,Major,74968,00d20h49m28,0
SYSTEMML-605,FALSE,FALSE,Major,676575,07d19h56m15,0
SYSTEMML-604,FALSE,FALSE,Minor,698976,08d02h09m36,0
SYSTEMML-607,FALSE,FALSE,Trivial,525776,06d02h02m56,0
SYSTEMML-768,FALSE,FALSE,Critical,14060572,162d17h42m52,0
SYSTEMML-769,TRUE,FALSE,Major,20917266,242d02h21m06,0
SYSTEMML-948,FALSE,FALSE,Major,676524,07d19h55m24,0
SYSTEMML-946,FALSE,FALSE,Major,279763,03d05h42m43,0
SYSTEMML-658,FALSE,FALSE,Minor,58230947,673d23h15m47,0
SYSTEMML-1175,TRUE,FALSE,Major,31797566,368d00h39m26,0
SYSTEMML-864,TRUE,FALSE,Major,2196387,25d10h06m27,0
SYSTEMML-2428,FALSE,FALSE,Major,6298,00d01h44m58,0
SYSTEMML-2429,FALSE,FALSE,Major,919,00d00h15m19,0
SYSTEMML-863,FALSE,FALSE,Trivial,6574,00d01h49m34,0
SYSTEMML-2425,TRUE,FALSE,Major,1092839,12d15h33m59,0
SYSTEMML-869,TRUE,FALSE,Blocker,3016144,34d21h49m04,1
SYSTEMML-1772,FALSE,FALSE,Major,11874,00d03h17m54,0
SYSTEMML-2347,FALSE,FALSE,Major,1810847,20d23h00m47,0
SYSTEMML-1387,FALSE,FALSE,Major,64837,00d18h00m37,0
SYSTEMML-1381,FALSE,FALSE,Major,72701,00d20h11m41,0
SYSTEMML-2343,TRUE,FALSE,Major,2244339,25d23h25m39,0
SYSTEMML-2340,TRUE,FALSE,Major,2324016,26d21h33m36,0
SYSTEMML-1388,FALSE,FALSE,Major,64270,00d17h51m10,0
SYSTEMML-1833,TRUE,FALSE,Major,63182,00d17h33m02,0
SYSTEMML-1884,TRUE,FALSE,Major,495866,05d17h44m26,0
SYSTEMML-1836,TRUE,FALSE,Major,407439,04d17h10m39,0
SYSTEMML-1837,TRUE,FALSE,Major,1916177,22d04h16m17,0
SYSTEMML-461,FALSE,FALSE,Major,55902,00d15h31m42,0
SYSTEMML-1838,TRUE,FALSE,Major,66148,00d18h22m28,0
SYSTEMML-1839,FALSE,FALSE,Major,61178,00d16h59m38,0
SYSTEMML-2511,FALSE,FALSE,Major,2265055,26d05h10m55,0
SYSTEMML-1899,FALSE,FALSE,Major,6984895,80d20h14m55,0
SYSTEMML-1078,FALSE,TRUE,Blocker,41511849,480d11h04m09,0
SYSTEMML-1023,TRUE,FALSE,Major,75756,00d21h02m36,0
SYSTEMML-1148,TRUE,FALSE,Major,254504,02d22h41m44,0
SYSTEMML-2158,TRUE,FALSE,Major,187976,02d04h12m56,0
SYSTEMML-2150,FALSE,FALSE,Major,79296,00d22h01m36,0
SYSTEMML-2151,FALSE,FALSE,Major,73727,00d20h28m47,0
SYSTEMML-2152,FALSE,FALSE,Major,10579,00d02h56m19,0
SYSTEMML-2153,FALSE,FALSE,Major,2397,00d00h39m57,0
SYSTEMML-2154,FALSE,FALSE,Major,388949,04d12h02m29,0
SYSTEMML-2157,TRUE,FALSE,Major,266370,03d01h59m30,0
SYSTEMML-2013,TRUE,FALSE,Major,5303,00d01h28m23,0
SYSTEMML-2017,TRUE,FALSE,Major,1260633,14d14h10m33,0
SYSTEMML-2019,FALSE,FALSE,Major,172718,01d23h58m38,0
SYSTEMML-1425,TRUE,FALSE,Major,90376,01d01h06m16,0
SYSTEMML-635,FALSE,FALSE,Major,160147,01d20h29m07,0
SYSTEMML-1427,FALSE,FALSE,Major,79398,00d22h03m18,0
SYSTEMML-1423,TRUE,FALSE,Major,75160,00d20h52m40,0
SYSTEMML-576,TRUE,FALSE,Major,53307,00d14h48m27,0
SYSTEMML-638,FALSE,FALSE,Major,3941133,45d14h45m33,0
SYSTEMML-639,FALSE,FALSE,Minor,2505909,29d00h05m09,0
SYSTEMML-1358,TRUE,FALSE,Major,112602,01d07h16m42,0
SYSTEMML-1949,TRUE,FALSE,Major,4478289,51d19h58m09,0
SYSTEMML-1588,TRUE,FALSE,Major,9318,00d02h35m18,0
SYSTEMML-1941,TRUE,FALSE,Major,5270227,60d23h57m07,0
SYSTEMML-1946,FALSE,FALSE,Major,4661575,53d22h52m55,0
SYSTEMML-1947,FALSE,FALSE,Major,4562902,52d19h28m22,0
SYSTEMML-1518,TRUE,FALSE,Blocker,44642,00d12h24m02,0
SYSTEMML-643,TRUE,FALSE,Major,64402,00d17h53m22,0
SYSTEMML-645,FALSE,FALSE,Minor,55031,00d15h17m11,0
SYSTEMML-1456,TRUE,FALSE,Major,80938,00d22h28m58,0
SYSTEMML-1458,FALSE,FALSE,Major,73561,00d20h26m01,0
SYSTEMML-1510,FALSE,FALSE,Minor,2649126,30d15h52m06,0
SYSTEMML-1514,TRUE,FALSE,Major,11175,00d03h06m15,0
SYSTEMML-1638,TRUE,FALSE,Major,21795,00d06h03m15,0
SYSTEMML-1639,FALSE,FALSE,Major,21133,00d05h52m13,0
SYSTEMML-454,TRUE,FALSE,Major,156220,01d19h23m40,0
SYSTEMML-1630,TRUE,FALSE,Trivial,49721,00d13h48m41,0
SYSTEMML-823,FALSE,FALSE,Minor,1990525,23d00h55m25,0
SYSTEMML-1635,FALSE,FALSE,Major,5546,00d01h32m26,0
SYSTEMML-1222,FALSE,FALSE,Minor,101266,01d04h07m46,0
SYSTEMML-1733,TRUE,FALSE,Major,146747,01d16h45m47,0
SYSTEMML-1737,FALSE,FALSE,Minor,1031454,11d22h30m54,0
SYSTEMML-2469,TRUE,FALSE,Major,329753,03d19h35m53,0
SYSTEMML-1228,TRUE,FALSE,Major,952104,11d00h28m24,0
SYSTEMML-2305,TRUE,FALSE,Major,1353630,15d16h00m30,0
SYSTEMML-2264,FALSE,FALSE,Major,2743536,31d18h05m36,0
SYSTEMML-2265,TRUE,FALSE,Major,2738851,31d16h47m31,0
SYSTEMML-1668,FALSE,FALSE,Minor,87983,01d00h26m23,0
SYSTEMML-915,TRUE,FALSE,Major,184184,02d03h09m44,0
SYSTEMML-1125,FALSE,FALSE,Major,523520,06d01h25m20,0
SYSTEMML-1126,TRUE,FALSE,Major,8190290,94d19h04m50,0
SYSTEMML-1127,FALSE,FALSE,Major,579466,06d16h57m46,0
SYSTEMML-911,FALSE,FALSE,Major,63207,00d17h33m27,0
SYSTEMML-859,FALSE,FALSE,Major,63413,00d17h36m53,0
SYSTEMML-912,FALSE,FALSE,Major,764,00d00h12m44,0
SYSTEMML-1644,TRUE,FALSE,Major,2015873,23d07h57m53,0
SYSTEMML-1641,TRUE,FALSE,Major,4861,00d01h21m01,0
SYSTEMML-1640,FALSE,FALSE,Major,20191,00d05h36m31,0
SYSTEMML-1643,FALSE,FALSE,Major,1289020,14d22h03m40,0
SYSTEMML-2413,TRUE,FALSE,Major,221353,02d13h29m13,0
SYSTEMML-1848,FALSE,FALSE,Major,1397323,16d04h08m43,0
SYSTEMML-2397,TRUE,FALSE,Major,326774,03d18h46m14,0
SYSTEMML-1843,FALSE,FALSE,Major,56797,00d15h46m37,0
SYSTEMML-1842,FALSE,FALSE,Major,64520,00d17h55m20,0
SYSTEMML-1841,TRUE,FALSE,Major,65478,00d18h11m18,0
SYSTEMML-2399,FALSE,FALSE,Major,5623,00d01h33m43,0
SYSTEMML-1846,FALSE,FALSE,Major,1449255,16d18h34m15,0
SYSTEMML-1845,TRUE,FALSE,Major,1471690,17d00h48m10,0
SYSTEMML-1844,FALSE,FALSE,Major,81281,00d22h34m41,0
SYSTEMML-1877,TRUE,FALSE,Major,161612,01d20h53m32,0
SYSTEMML-2487,TRUE,FALSE,Major,1070,00d00h17m50,0
SYSTEMML-2484,FALSE,FALSE,Major,2224,00d00h37m04,0
SYSTEMML-2483,FALSE,FALSE,Major,1101,00d00h18m21,0
SYSTEMML-2480,TRUE,FALSE,Major,94201,01d02h10m01,0
SYSTEMML-1546,FALSE,FALSE,Major,2722,00d00h45m22,0
SYSTEMML-1011,FALSE,FALSE,Major,56901,00d15h48m21,0
SYSTEMML-1545,FALSE,FALSE,Blocker,6999,00d01h56m39,0
SYSTEMML-1014,TRUE,FALSE,Blocker,77432,00d21h30m32,0
SYSTEMML-1543,TRUE,FALSE,Blocker,21809,00d06h03m29,0
SYSTEMML-571,FALSE,FALSE,Major,405,00d00h06m45,0
SYSTEMML-1018,FALSE,FALSE,Major,59769,00d16h36m09,0
