BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TAJO-1322,TRUE,TRUE,Major,225285,02d14h34m45,0
TAJO-1491,FALSE,FALSE,Trivial,77343,00d21h29m03,0
TAJO-816,FALSE,FALSE,Major,459066,05d07h31m06,0
TAJO-1321,FALSE,FALSE,Critical,361934,04d04h32m14,0
TAJO-320,TRUE,FALSE,Major,2139,00d00h35m39,0
TAJO-1324,TRUE,FALSE,Major,58713,00d16h18m33,0
TAJO-1497,TRUE,FALSE,Major,1311518,15d04h18m38,0
TAJO-792,FALSE,FALSE,Major,689103,07d23h25m03,0
TAJO-1081,TRUE,FALSE,Blocker,393422,04d13h17m02,0
TAJO-819,TRUE,FALSE,Major,1141344,13d05h02m24,0
TAJO-795,TRUE,FALSE,Major,1095199,12d16h13m19,0
TAJO-490,FALSE,FALSE,Major,12238,00d03h23m58,0
TAJO-493,FALSE,FALSE,Major,1124288,13d00h18m08,0
TAJO-812,TRUE,FALSE,Minor,78601,00d21h50m01,0
TAJO-496,TRUE,FALSE,Major,3211,00d00h53m31,0
TAJO-1325,TRUE,FALSE,Major,21294,00d05h54m54,0
TAJO-701,TRUE,FALSE,Major,158122,01d19h55m22,0
TAJO-1405,TRUE,FALSE,Blocker,160143,01d20h29m03,0
TAJO-705,TRUE,TRUE,Blocker,26263,00d07h17m43,0
TAJO-706,TRUE,FALSE,Minor,457238,05d07h00m38,0
TAJO-707,TRUE,FALSE,Blocker,1697,00d00h28m17,0
TAJO-708,FALSE,FALSE,Blocker,8026,00d02h13m46,0
TAJO-1037,TRUE,FALSE,Major,231952,02d16h25m52,0
TAJO-250,TRUE,FALSE,Major,2078,00d00h34m38,0
TAJO-1928,TRUE,FALSE,Major,233505,02d16h51m45,0
TAJO-1147,FALSE,FALSE,Major,12609448,145d22h37m28,0
TAJO-1886,FALSE,FALSE,Blocker,57938,00d16h05m38,0
TAJO-1884,FALSE,FALSE,Major,59174,00d16h26m14,0
TAJO-1889,FALSE,FALSE,Critical,387719,04d11h41m59,0
TAJO-1923,TRUE,FALSE,Blocker,159390,01d20h16m30,0
TAJO-1924,FALSE,FALSE,Critical,17081,00d04h44m41,0
TAJO-925,TRUE,FALSE,Minor,170110,01d23h15m10,0
TAJO-926,TRUE,FALSE,Major,177736,02d01h22m16,0
TAJO-927,TRUE,FALSE,Minor,164224,01d21h37m04,0
TAJO-1396,FALSE,FALSE,Trivial,1006257,11d15h30m57,0
TAJO-1249,FALSE,FALSE,Minor,721189,08d08h19m49,0
TAJO-1702,TRUE,FALSE,Major,12169,00d03h22m49,0
TAJO-403,TRUE,FALSE,Major,6668617,77d04h23m37,2
TAJO-1712,TRUE,FALSE,Major,353053,04d02h04m13,0
TAJO-957,TRUE,FALSE,Trivial,1225553,14d04h25m53,0
TAJO-1246,FALSE,FALSE,Major,194903,02d06h08m23,0
TAJO-407,TRUE,FALSE,Major,261398,03d00h36m38,0
TAJO-1716,FALSE,FALSE,Major,73264,00d20h21m04,0
TAJO-1242,TRUE,FALSE,Major,96764,01d02h52m44,0
TAJO-1819,FALSE,FALSE,Major,88942,01d00h42m22,0
TAJO-1815,FALSE,FALSE,Minor,45680,00d12h41m20,0
TAJO-1811,TRUE,FALSE,Major,15285,00d04h14m45,0
