BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TAPESTRY-2047,FALSE,FALSE,Minor,111,00d00h01m51,0
TAPESTRY-1857,TRUE,FALSE,Blocker,249637,02d21h20m37,1
TAPESTRY-1854,FALSE,FALSE,Major,811,00d00h13m31,0
TAPESTRY-526,TRUE,FALSE,Major,7586630,87d19h23m50,0
TAPESTRY-527,FALSE,FALSE,Critical,1932,00d00h32m12,0
TAPESTRY-524,TRUE,FALSE,Major,150226,01d17h43m46,0
TAPESTRY-1214,FALSE,FALSE,Major,11496553,133d01h29m13,0
TAPESTRY-1216,TRUE,FALSE,Major,12364989,143d02h43m09,0
TAPESTRY-1210,TRUE,FALSE,Major,12961945,150d00h32m25,0
TAPESTRY-1212,TRUE,FALSE,Minor,2785,00d00h46m25,0
TAPESTRY-408,TRUE,FALSE,Major,529839,06d03h10m39,0
TAPESTRY-626,FALSE,FALSE,Major,280375,03d05h52m55,0
TAPESTRY-2124,FALSE,FALSE,Critical,43760,00d12h09m20,0
TAPESTRY-2121,FALSE,FALSE,Major,24957,00d06h55m57,0
TAPESTRY-2120,TRUE,FALSE,Critical,5961,00d01h39m21,0
TAPESTRY-783,TRUE,FALSE,Critical,2954,00d00h49m14,0
TAPESTRY-1512,FALSE,FALSE,Minor,24166,00d06h42m46,0
TAPESTRY-1459,FALSE,FALSE,Major,3599,00d00h59m59,0
TAPESTRY-1517,FALSE,FALSE,Critical,18933,00d05h15m33,0
TAPESTRY-1102,TRUE,FALSE,Major,84310,00d23h25m10,1
TAPESTRY-1107,FALSE,FALSE,Major,415201,04d19h20m01,0
TAPESTRY-1109,FALSE,FALSE,Minor,182937,02d02h48m57,0
TAPESTRY-361,TRUE,FALSE,Major,230623,02d16h03m43,1
TAPESTRY-365,FALSE,FALSE,Major,3463168,40d01h59m28,0
TAPESTRY-711,TRUE,FALSE,Major,901115,10d10h18m35,0
TAPESTRY-245,FALSE,FALSE,Major,59756154,691d14h55m54,0
TAPESTRY-94,FALSE,FALSE,None,56103038,649d08h10m38,0
TAPESTRY-715,TRUE,FALSE,Major,830387,09d14h39m47,0
TAPESTRY-2225,FALSE,FALSE,Critical,670891,07d18h21m31,0
TAPESTRY-719,FALSE,FALSE,Major,1806729,20d21h52m09,0
TAPESTRY-718,TRUE,FALSE,Major,9441,00d02h37m21,0
TAPESTRY-1775,FALSE,FALSE,Major,4790026,55d10h33m46,0
TAPESTRY-1773,FALSE,FALSE,Minor,14493955,167d18h05m55,0
TAPESTRY-1074,FALSE,FALSE,Minor,223971,02d14h12m51,0
TAPESTRY-1076,FALSE,FALSE,Minor,161240,01d20h47m20,0
TAPESTRY-1070,FALSE,FALSE,Major,247283,02d20h41m23,0
TAPESTRY-1071,FALSE,FALSE,Major,23828876,275d19h07m56,1
TAPESTRY-1072,TRUE,FALSE,Major,451219,05d05h20m19,0
TAPESTRY-1175,FALSE,FALSE,Blocker,107783,01d05h56m23,0
TAPESTRY-1177,FALSE,FALSE,Minor,38808,00d10h46m48,0
TAPESTRY-1176,TRUE,FALSE,Major,709361,08d05h02m41,0
TAPESTRY-566,FALSE,FALSE,Minor,24764,00d06h52m44,0
TAPESTRY-2092,TRUE,FALSE,Major,333769,03d20h42m49,0
TAPESTRY-560,FALSE,FALSE,Major,992285,11d11h38m05,0
TAPESTRY-405,FALSE,FALSE,Trivial,34273,00d09h31m13,0
TAPESTRY-404,TRUE,FALSE,Major,36979,00d10h16m19,0
TAPESTRY-407,FALSE,FALSE,Major,1753727,20d07h08m47,0
TAPESTRY-406,TRUE,FALSE,Critical,514682,05d22h58m02,0
TAPESTRY-2310,FALSE,FALSE,Minor,47226,00d13h07m06,0
TAPESTRY-569,FALSE,FALSE,Major,2639397,30d13h09m57,0
TAPESTRY-767,FALSE,FALSE,Major,950445,11d00h00m45,0
TAPESTRY-763,TRUE,FALSE,Major,220097,02d13h08m17,0
TAPESTRY-768,TRUE,FALSE,Trivial,161785,01d20h56m25,0
TAPESTRY-769,TRUE,FALSE,Major,15532,00d04h18m52,0
TAPESTRY-588,FALSE,FALSE,Major,756,00d00h12m36,1
TAPESTRY-589,FALSE,FALSE,Minor,147463,01d16h57m43,0
TAPESTRY-2075,TRUE,FALSE,Minor,4065,00d01h07m45,0
TAPESTRY-586,FALSE,FALSE,Major,5442,00d01h30m42,0
TAPESTRY-1253,TRUE,FALSE,Major,901380,10d10h23m00,0
TAPESTRY-2071,TRUE,FALSE,Minor,635721,07d08h35m21,1
TAPESTRY-581,FALSE,FALSE,Major,70895,00d19h41m35,0
TAPESTRY-2073,FALSE,FALSE,Critical,255544,02d22h59m04,0
TAPESTRY-583,FALSE,FALSE,Major,1454330,16d19h58m50,0
TAPESTRY-1313,FALSE,FALSE,Minor,7517664,87d00h14m24,0
TAPESTRY-1312,TRUE,FALSE,Major,189639,02d04h40m39,0
TAPESTRY-669,TRUE,FALSE,Minor,3966762,45d21h52m42,0
TAPESTRY-1083,FALSE,FALSE,Trivial,2561,00d00h42m41,0
TAPESTRY-1085,FALSE,FALSE,Minor,6718,00d01h51m58,0
TAPESTRY-1086,FALSE,FALSE,Minor,45204428,523d04h47m08,0
TAPESTRY-661,TRUE,FALSE,Major,145633,01d16h27m13,0
TAPESTRY-660,FALSE,FALSE,Minor,2397,00d00h39m57,0
TAPESTRY-665,TRUE,FALSE,Critical,44781,00d12h26m21,0
TAPESTRY-1151,TRUE,FALSE,Minor,18888749,218d14h52m29,0
TAPESTRY-667,TRUE,FALSE,Minor,544091,06d07h08m11,0
TAPESTRY-2003,FALSE,FALSE,Major,7852246,90d21h10m46,0
TAPESTRY-759,TRUE,FALSE,Critical,306819,03d13h13m39,0
TAPESTRY-1229,TRUE,FALSE,Blocker,2666092,30d20h34m52,0
TAPESTRY-1227,TRUE,FALSE,Critical,2996988,34d16h29m48,0
TAPESTRY-1553,TRUE,FALSE,Major,20061,00d05h34m21,0
TAPESTRY-1552,FALSE,FALSE,Major,52464,00d14h34m24,0
TAPESTRY-1551,TRUE,FALSE,Major,4314687,49d22h31m27,0
TAPESTRY-1222,TRUE,FALSE,Major,1461987,16d22h06m27,0
TAPESTRY-1654,FALSE,FALSE,Major,263149,03d01h05m49,0
TAPESTRY-1799,FALSE,FALSE,Trivial,1289945,14d22h19m05,0
TAPESTRY-1651,TRUE,FALSE,Major,25220,00d07h00m20,0
TAPESTRY-1795,TRUE,FALSE,Critical,9798622,113d09h50m22,0
TAPESTRY-1220,FALSE,FALSE,Major,396,00d00h06m36,0
TAPESTRY-618,TRUE,FALSE,Minor,29726858,344d01h27m38,0
TAPESTRY-610,TRUE,FALSE,Critical,29989,00d08h19m49,0
TAPESTRY-611,FALSE,FALSE,Major,25666,00d07h07m46,0
TAPESTRY-613,TRUE,TRUE,Major,164208,01d21h36m48,0
TAPESTRY-1428,TRUE,FALSE,Major,34,00d00h00m34,0
TAPESTRY-1032,FALSE,FALSE,Major,310608,03d14h16m48,0
TAPESTRY-1036,TRUE,FALSE,Major,129043,01d11h50m43,0
TAPESTRY-1037,TRUE,FALSE,Major,353642,04d02h14m02,0
TAPESTRY-1131,TRUE,FALSE,Major,3684884,42d15h34m44,0
TAPESTRY-1136,TRUE,FALSE,Major,196644,02d06h37m24,0
TAPESTRY-441,TRUE,FALSE,Major,139904,01d14h51m44,0
TAPESTRY-335,FALSE,FALSE,Major,1164939,13d11h35m39,0
TAPESTRY-445,FALSE,FALSE,Major,5368,00d01h29m28,0
TAPESTRY-444,FALSE,FALSE,Minor,50156,00d13h55m56,0
TAPESTRY-447,TRUE,FALSE,Minor,2329944,26d23h12m24,0
TAPESTRY-446,FALSE,FALSE,Major,1983,00d00h33m03,0
TAPESTRY-720,TRUE,FALSE,Major,1806207,20d21h43m27,0
TAPESTRY-723,FALSE,FALSE,Major,627893,07d06h24m53,0
TAPESTRY-726,FALSE,FALSE,Minor,36104572,417d21h02m52,0
TAPESTRY-741,TRUE,FALSE,Major,291825,03d09h03m45,0
TAPESTRY-1687,FALSE,FALSE,Major,391336,04d12h42m16,0
TAPESTRY-1681,FALSE,FALSE,Major,557802,06d10h56m42,0
TAPESTRY-1680,FALSE,FALSE,Minor,2291050,26d12h24m10,0
TAPESTRY-2039,TRUE,FALSE,Minor,764264,08d20h17m44,0
TAPESTRY-1721,FALSE,FALSE,Major,2171411,25d03h10m11,0
TAPESTRY-1044,FALSE,FALSE,Major,79592,00d22h06m32,0
TAPESTRY-1046,FALSE,FALSE,Major,68394,00d18h59m54,0
TAPESTRY-539,FALSE,FALSE,Blocker,2387,00d00h39m47,0
TAPESTRY-535,TRUE,FALSE,Major,2918639,33d18h43m59,0
TAPESTRY-531,TRUE,FALSE,Major,456884,05d06h54m44,0
TAPESTRY-530,TRUE,FALSE,Major,151239,01d18h00m39,0
TAPESTRY-533,FALSE,FALSE,Major,275988,03d04h39m48,0
TAPESTRY-388,TRUE,FALSE,Major,4516,00d01h15m16,0
TAPESTRY-437,FALSE,FALSE,Critical,1941453,22d11h17m33,0
TAPESTRY-848,TRUE,FALSE,Major,26405864,305d14h57m44,1
TAPESTRY-383,TRUE,FALSE,Major,1181962,13d16h19m22,0
TAPESTRY-846,TRUE,FALSE,Major,24061613,278d11h46m53,0
TAPESTRY-386,TRUE,FALSE,Critical,4811050,55d16h24m10,0
TAPESTRY-387,FALSE,FALSE,Trivial,12584170,145d15h36m10,0
TAPESTRY-384,FALSE,FALSE,Major,168816,01d22h53m36,0
TAPESTRY-385,TRUE,FALSE,Minor,1176809,13d14h53m29,0
TAPESTRY-1261,FALSE,FALSE,Major,279985,03d05h46m25,0
TAPESTRY-1592,FALSE,FALSE,Major,52975,00d14h42m55,0
TAPESTRY-1591,FALSE,FALSE,Major,338488,03d22h01m28,0
TAPESTRY-1347,FALSE,FALSE,Major,14129,00d03h55m29,0
TAPESTRY-650,TRUE,FALSE,Major,1872650,21d16h10m50,0
TAPESTRY-652,FALSE,FALSE,Major,4534640,52d11h37m20,0
TAPESTRY-653,FALSE,FALSE,Minor,69125,00d19h12m05,0
TAPESTRY-654,TRUE,FALSE,Major,26193,00d07h16m33,0
TAPESTRY-655,TRUE,FALSE,Major,148543,01d17h15m43,0
TAPESTRY-656,FALSE,FALSE,Major,31056,00d08h37m36,0
TAPESTRY-657,TRUE,FALSE,Major,19572,00d05h26m12,0
TAPESTRY-157,TRUE,FALSE,Minor,42868905,496d04h01m45,0
TAPESTRY-1468,FALSE,FALSE,Major,6197,00d01h43m17,0
TAPESTRY-1462,TRUE,FALSE,Minor,387422,04d11h37m02,0
TAPESTRY-1665,FALSE,FALSE,Major,7867255,91d01h20m55,0
TAPESTRY-1660,TRUE,FALSE,Major,21919,00d06h05m19,0
TAPESTRY-1663,FALSE,FALSE,Major,9095210,105d06h26m50,1
TAPESTRY-379,TRUE,FALSE,Major,44396,00d12h19m56,0
TAPESTRY-372,TRUE,FALSE,Minor,443846,05d03h17m26,0
TAPESTRY-374,FALSE,FALSE,Major,322254,03d17h30m54,0
TAPESTRY-270,FALSE,FALSE,Major,17344753,200d17h59m13,0
TAPESTRY-275,FALSE,FALSE,Minor,23326178,269d23h29m38,0
TAPESTRY-1761,FALSE,FALSE,Major,12196394,141d03h53m14,0
TAPESTRY-1762,FALSE,FALSE,Major,39,00d00h00m39,0
TAPESTRY-872,TRUE,FALSE,Major,33020469,382d04h21m09,0
TAPESTRY-1004,TRUE,FALSE,Major,306042,03d13h00m42,0
TAPESTRY-1166,FALSE,FALSE,Minor,145304,01d16h21m44,0
TAPESTRY-1161,FALSE,FALSE,Major,471650,05d11h00m50,0
TAPESTRY-1169,TRUE,FALSE,Major,19730,00d05h28m50,0
TAPESTRY-571,TRUE,FALSE,Major,6386837,73d22h07m17,0
TAPESTRY-570,FALSE,FALSE,Critical,156591,01d19h29m51,0
TAPESTRY-579,FALSE,FALSE,Minor,88733,01d00h38m53,0
TAPESTRY-578,TRUE,FALSE,Major,1742195,20d03h56m35,0
TAPESTRY-776,FALSE,FALSE,Major,241628,02d19h07m08,0
TAPESTRY-803,FALSE,FALSE,Minor,20091831,232d13h03m51,0
TAPESTRY-778,FALSE,FALSE,Critical,187551,02d04h05m51,0
TAPESTRY-595,TRUE,FALSE,Critical,1480485,17d03h14m45,0
TAPESTRY-1051,TRUE,FALSE,Major,28070,00d07h47m50,0
TAPESTRY-1716,FALSE,FALSE,Major,805754,09d07h49m14,0
TAPESTRY-1306,FALSE,FALSE,Major,17747178,205d09h46m18,0
TAPESTRY-987,FALSE,FALSE,Major,4789310,55d10h21m50,0
TAPESTRY-988,FALSE,FALSE,Minor,30808956,356d14h02m36,0
TAPESTRY-1309,TRUE,FALSE,Major,6316422,73d02h33m42,0
TAPESTRY-1093,FALSE,FALSE,Minor,2018,00d00h33m38,0
TAPESTRY-696,TRUE,FALSE,Blocker,89029,01d00h43m49,0
TAPESTRY-1091,TRUE,FALSE,Major,18133243,209d21h00m43,0
TAPESTRY-690,TRUE,FALSE,Major,3320701,38d10h25m01,0
TAPESTRY-1098,FALSE,FALSE,Major,4925,00d01h22m05,0
TAPESTRY-1099,TRUE,FALSE,Major,79152,00d21h59m12,0
TAPESTRY-699,FALSE,FALSE,Major,1553569,17d23h32m49,0
TAPESTRY-1399,FALSE,FALSE,Minor,4701732,54d10h02m12,0
TAPESTRY-974,FALSE,FALSE,Major,15543483,179d21h38m03,0
TAPESTRY-1396,TRUE,FALSE,Major,2593793,30d00h29m53,1
TAPESTRY-1548,FALSE,FALSE,Major,10500,00d02h55m00,0
TAPESTRY-1549,FALSE,FALSE,Major,9421,00d02h37m01,0
TAPESTRY-1233,TRUE,FALSE,Major,31557293,365d05h54m53,1
TAPESTRY-1547,TRUE,FALSE,Major,11472743,132d18h52m23,0
TAPESTRY-609,FALSE,FALSE,Major,34503,00d09h35m03,0
TAPESTRY-607,TRUE,FALSE,Major,7457505,86d07h31m45,0
TAPESTRY-606,TRUE,FALSE,Minor,759990,08d19h06m30,0
TAPESTRY-601,TRUE,FALSE,Major,2950703,34d03h38m23,0
TAPESTRY-600,TRUE,FALSE,Major,1060816,12d06h40m16,0
TAPESTRY-1268,TRUE,FALSE,Minor,1766462,20d10h41m02,0
TAPESTRY-233,TRUE,FALSE,Minor,29811362,345d00h56m02,0
TAPESTRY-1437,FALSE,FALSE,Major,12503,00d03h28m23,0
TAPESTRY-1431,FALSE,FALSE,Minor,25153349,291d03h02m29,0
TAPESTRY-1432,FALSE,FALSE,Major,99676,01d03h41m16,0
TAPESTRY-1535,FALSE,FALSE,Major,34023,00d09h27m03,0
TAPESTRY-1534,FALSE,FALSE,Major,5510,00d01h31m50,0
TAPESTRY-1536,TRUE,FALSE,Critical,706672,08d04h17m52,1
TAPESTRY-1129,FALSE,FALSE,Major,2095943,24d06h12m23,0
TAPESTRY-393,FALSE,FALSE,Major,6459,00d01h47m39,0
TAPESTRY-1120,TRUE,FALSE,Major,15511750,179d12h49m10,1
TAPESTRY-302,FALSE,FALSE,Minor,17296647,200d04h37m27,0
TAPESTRY-303,FALSE,FALSE,Minor,2785,00d00h46m25,0
TAPESTRY-304,FALSE,FALSE,Minor,4267784,49d09h29m44,0
TAPESTRY-2201,FALSE,FALSE,Minor,68349,00d18h59m09,0
TAPESTRY-734,FALSE,FALSE,Minor,890994,10d07h29m54,0
TAPESTRY-2023,FALSE,FALSE,Major,862359,09d23h32m39,0
TAPESTRY-1692,FALSE,FALSE,Major,3340419,38d15h53m39,0
TAPESTRY-1877,FALSE,FALSE,Major,70,00d00h01m10,0
TAPESTRY-1872,TRUE,FALSE,Major,810854,09d09h14m14,0
TAPESTRY-1751,FALSE,FALSE,Minor,397,00d00h06m37,0
TAPESTRY-1974,FALSE,FALSE,Minor,60213863,696d22h04m23,0
TAPESTRY-1753,FALSE,FALSE,Critical,817087,09d10h58m07,0
TAPESTRY-1056,FALSE,FALSE,Major,4764594,55d03h29m54,0
TAPESTRY-1054,FALSE,FALSE,Major,278728,03d05h25m28,0
TAPESTRY-1198,TRUE,FALSE,Major,266157,03d01h55m57,0
TAPESTRY-1197,TRUE,FALSE,Major,46924,00d13h02m04,0
TAPESTRY-1195,FALSE,FALSE,Minor,12124,00d03h22m04,0
TAPESTRY-1191,FALSE,FALSE,Minor,108614,01d06h10m14,0
TAPESTRY-549,FALSE,FALSE,Major,253281,02d22h21m21,0
TAPESTRY-542,FALSE,FALSE,Critical,12921,00d03h35m21,0
TAPESTRY-543,FALSE,FALSE,Blocker,78,00d00h01m18,0
TAPESTRY-546,FALSE,FALSE,Critical,2342422,27d02h40m22,0
TAPESTRY-427,TRUE,FALSE,Minor,1309,00d00h21m49,0
TAPESTRY-425,TRUE,FALSE,Major,25652,00d07h07m32,0
TAPESTRY-424,FALSE,FALSE,Major,58787,00d16h19m47,0
TAPESTRY-391,FALSE,FALSE,Major,63847,00d17h44m07,0
TAPESTRY-934,FALSE,FALSE,Major,633140,07d07h52m20,0
TAPESTRY-937,FALSE,FALSE,Major,27195997,314d18h26m37,0
TAPESTRY-784,FALSE,FALSE,Major,37422,00d10h23m42,0
TAPESTRY-399,FALSE,FALSE,Major,65747946,760d23h19m06,1
TAPESTRY-398,FALSE,FALSE,Major,120300,01d09h25m00,0
TAPESTRY-1906,FALSE,FALSE,Major,1515196,17d12h53m16,0
TAPESTRY-428,TRUE,FALSE,Major,211,00d00h03m31,0
TAPESTRY-1582,FALSE,FALSE,Minor,1441,00d00h24m01,0
TAPESTRY-1273,FALSE,FALSE,Minor,8759382,101d09h09m42,0
TAPESTRY-1278,TRUE,FALSE,Major,28531058,330d05h17m38,0
TAPESTRY-1374,TRUE,FALSE,Blocker,498369,05d18h26m09,0
TAPESTRY-642,TRUE,FALSE,Major,410333,04d17h58m53,0
TAPESTRY-641,TRUE,FALSE,Blocker,794587,09d04h43m07,0
TAPESTRY-647,TRUE,FALSE,Major,531647,06d03h40m47,0
TAPESTRY-649,FALSE,FALSE,Major,435897,05d01h04m57,0
TAPESTRY-2530,TRUE,FALSE,Critical,3044234,35d05h37m14,0
TAPESTRY-1574,TRUE,FALSE,Critical,15677,00d04h21m17,0
TAPESTRY-1577,FALSE,FALSE,Major,88375,01d00h32m55,0
TAPESTRY-1578,TRUE,FALSE,Minor,128906,01d11h48m26,0
TAPESTRY-713,FALSE,FALSE,Major,346164,04d00h09m24,0
TAPESTRY-344,TRUE,FALSE,Major,9464865,109d13h07m45,0
TAPESTRY-342,TRUE,FALSE,Major,69693,00d19h21m33,0
TAPESTRY-2570,TRUE,FALSE,Minor,39298895,454d20h21m35,0
TAPESTRY-340,FALSE,FALSE,Minor,69418401,803d10h53m21,0
TAPESTRY-341,TRUE,FALSE,Minor,8219887,95d03h18m07,0
TAPESTRY-261,FALSE,FALSE,Major,11587283,134d02h41m23,0
TAPESTRY-1407,TRUE,FALSE,Major,2204,00d00h36m44,0
TAPESTRY-1402,FALSE,FALSE,Major,12684,00d03h31m24,0
TAPESTRY-1012,FALSE,TRUE,Major,2630496,30d10h41m36,1
TAPESTRY-869,FALSE,FALSE,Trivial,12771903,147d19h45m03,0
TAPESTRY-199,TRUE,FALSE,Major,65798656,761d13h24m16,1
TAPESTRY-1150,TRUE,FALSE,Major,69464,00d19h17m44,0
