BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TEZ-2900,FALSE,FALSE,Major,1100969,12d17h49m29,0
TEZ-2904,FALSE,FALSE,Major,590270,06d19h57m50,0
TEZ-2907,FALSE,FALSE,Major,12209,00d03h23m29,0
TEZ-2906,FALSE,FALSE,Major,602838,06d23h27m18,0
TEZ-2909,FALSE,FALSE,Major,667249,07d17h20m49,0
TEZ-2908,FALSE,FALSE,Major,2149235,24d21h00m35,0
TEZ-1247,FALSE,TRUE,Major,1876808,21d17h20m08,0
TEZ-1244,FALSE,FALSE,Major,1568040,18d03h34m00,0
TEZ-1241,TRUE,FALSE,Major,1112672,12d21h04m32,0
TEZ-47,FALSE,FALSE,Major,3011298,34d20h28m18,0
TEZ-1488,TRUE,FALSE,Major,491189,05d16h26m29,0
TEZ-40,FALSE,FALSE,Major,531390,06d03h36m30,0
TEZ-1487,FALSE,FALSE,Trivial,1601,00d00h26m41,0
TEZ-1486,TRUE,FALSE,Major,301106,03d11h38m26,0
TEZ-1481,FALSE,FALSE,Major,504818,05d20h13m38,0
TEZ-3417,TRUE,FALSE,Minor,13395210,155d00h53m30,0
TEZ-3413,FALSE,FALSE,Blocker,146639,01d16h43m59,0
TEZ-3529,FALSE,TRUE,Major,6216683,71d22h51m23,0
TEZ-664,FALSE,FALSE,Major,378758,04d09h12m38,0
TEZ-1065,TRUE,FALSE,Major,10368657,120d00h10m57,0
TEZ-62,TRUE,FALSE,Major,2357501,27d06h51m41,0
TEZ-66,FALSE,FALSE,Major,1569485,18d03h58m05,0
TEZ-64,FALSE,FALSE,Major,308,00d00h05m08,0
TEZ-3637,FALSE,FALSE,Major,370103,04d06h48m23,0
TEZ-3630,FALSE,FALSE,Major,375014,04d08h10m14,0
TEZ-3631,FALSE,FALSE,Major,4997177,57d20h06m17,0
TEZ-3638,FALSE,FALSE,Major,236454,02d17h40m54,0
TEZ-3639,FALSE,FALSE,Major,88743,01d00h39m03,0
TEZ-1118,FALSE,FALSE,Major,4853894,56d04h18m14,0
TEZ-1112,FALSE,FALSE,Major,209774,02d10h16m14,0
TEZ-1111,FALSE,FALSE,Major,302191,03d11h56m31,0
TEZ-2158,FALSE,FALSE,Major,48028,00d13h20m28,0
TEZ-3748,FALSE,FALSE,Critical,98533,01d03h22m13,0
TEZ-3749,FALSE,FALSE,Minor,159114,01d20h11m54,0
TEZ-2692,TRUE,FALSE,Major,453675,05d06h01m15,0
TEZ-2699,FALSE,FALSE,Major,8491,00d02h21m31,0
TEZ-3741,TRUE,FALSE,Major,2156980,24d23h09m40,0
TEZ-3742,FALSE,FALSE,Minor,1586,00d00h26m26,0
TEZ-3743,FALSE,FALSE,Major,14228,00d03h57m08,0
TEZ-3744,FALSE,FALSE,Major,15457,00d04h17m37,0
TEZ-1808,FALSE,FALSE,Major,405048,04d16h30m48,0
TEZ-1800,FALSE,FALSE,Major,4265,00d01h11m05,0
TEZ-1803,TRUE,FALSE,Major,4913302,56d20h48m22,0
TEZ-1805,FALSE,FALSE,Major,889234,10d07h00m34,0
TEZ-3245,FALSE,FALSE,Major,274993,03d04h23m13,0
