BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TIKA-811,TRUE,TRUE,Major,19881609,230d02h40m09,0
TIKA-1063,TRUE,FALSE,Minor,67242662,778d06h31m02,0
TIKA-1061,FALSE,FALSE,Minor,1229673,14d05h34m33,0
TIKA-1109,TRUE,FALSE,Critical,6053698,70d01h34m58,0
TIKA-392,FALSE,FALSE,Minor,8398,00d02h19m58,0
TIKA-2307,FALSE,FALSE,Trivial,512,00d00h08m32,0
TIKA-391,TRUE,FALSE,Major,11000295,127d07h38m15,0
TIKA-2717,FALSE,FALSE,Critical,14012024,162d04h13m44,0
TIKA-1960,TRUE,FALSE,Blocker,428,00d00h07m08,0
TIKA-2719,FALSE,FALSE,Major,935816,10d19h56m56,0
TIKA-398,FALSE,FALSE,Minor,269988,03d02h59m48,0
TIKA-2097,FALSE,FALSE,Trivial,152,00d00h02m32,0
TIKA-401,FALSE,FALSE,Major,11654908,134d21h28m28,0
TIKA-404,FALSE,FALSE,Critical,49,00d00h00m49,0
TIKA-409,FALSE,FALSE,Major,96,00d00h01m36,0
TIKA-2098,FALSE,TRUE,Major,5142,00d01h25m42,0
TIKA-2099,TRUE,FALSE,Major,18176761,210d09h06m01,0
TIKA-1563,FALSE,FALSE,Minor,3776,00d01h02m56,0
TIKA-1562,TRUE,FALSE,Major,5848483,67d16h34m43,0
TIKA-2399,FALSE,FALSE,Major,1547266,17d21h47m46,0
TIKA-1400,FALSE,FALSE,Major,27342828,316d11h13m48,0
TIKA-1568,TRUE,FALSE,Major,136960919,1585d04h41m59,0
TIKA-1404,FALSE,FALSE,Major,179190,02d01h46m30,0
TIKA-781,FALSE,FALSE,Minor,10556,00d02h55m56,0
TIKA-787,TRUE,FALSE,Minor,2956,00d00h49m16,0
TIKA-786,FALSE,FALSE,Minor,38035,00d10h33m55,0
TIKA-1589,FALSE,FALSE,Major,2692,00d00h44m52,0
TIKA-1581,FALSE,TRUE,Major,627653,07d06h20m53,0
TIKA-2547,TRUE,FALSE,Major,1643230,19d00h27m10,0
TIKA-2237,TRUE,FALSE,Major,2362,00d00h39m22,0
TIKA-2625,TRUE,FALSE,Major,13058,00d03h37m38,0
TIKA-2626,TRUE,FALSE,Blocker,12923,00d03h35m23,0
TIKA-309,FALSE,FALSE,Minor,3301977,38d05h12m57,1
TIKA-659,TRUE,FALSE,Major,667,00d00h11m07,0
TIKA-657,FALSE,FALSE,Major,13791158,159d14h52m38,0
TIKA-656,TRUE,FALSE,Major,2074,00d00h34m34,0
TIKA-2780,FALSE,FALSE,Major,277831,03d05h10m31,0
TIKA-654,FALSE,FALSE,Major,64414,00d17h53m34,0
TIKA-651,TRUE,FALSE,Major,122073084,1412d21h11m24,1
TIKA-650,FALSE,FALSE,Major,1428358,16d12h45m58,0
TIKA-717,FALSE,FALSE,Major,1374447,15d21h47m27,0
TIKA-1669,FALSE,FALSE,Major,176,00d00h02m56,0
TIKA-711,FALSE,FALSE,Major,2079957,24d01h45m57,0
TIKA-1664,FALSE,FALSE,Major,293885,03d09h38m05,0
TIKA-877,TRUE,FALSE,Blocker,225821,02d14h43m41,0
TIKA-1035,FALSE,FALSE,Major,105778,01d05h22m58,0
TIKA-875,FALSE,FALSE,Major,15472,00d04h17m52,0
TIKA-2300,TRUE,FALSE,Major,547821,06d08h10m21,0
TIKA-395,FALSE,FALSE,Major,122005,01d09h53m25,0
TIKA-973,TRUE,FALSE,Minor,47013777,544d03h22m57,1
PDFBOX-1749,TRUE,FALSE,Major,985380,11d09h43m00,0
TIKA-2433,FALSE,FALSE,Major,4346,00d01h12m26,0
TIKA-2438,FALSE,FALSE,Major,9603,00d02h40m03,0
TIKA-570,FALSE,FALSE,Major,111835,01d07h03m55,0
TIKA-378,TRUE,FALSE,Major,273833,03d04h03m53,0
TIKA-379,TRUE,TRUE,Critical,8950620,103d14h17m00,0
TIKA-273,FALSE,FALSE,Major,316610,03d15h56m50,0
TIKA-274,TRUE,FALSE,Major,314599,03d15h23m19,0
TIKA-279,FALSE,FALSE,Major,777056,08d23h50m56,0
TIKA-371,TRUE,FALSE,Minor,13241067,153d06h04m27,0
TIKA-374,FALSE,FALSE,Major,65836,00d18h17m16,0
TIKA-376,FALSE,FALSE,Major,141,00d00h02m21,0
TIKA-377,FALSE,FALSE,Major,76190,00d21h09m50,0
TIKA-2127,FALSE,FALSE,Major,7956,00d02h12m36,0
TIKA-2123,TRUE,FALSE,Major,14376,00d03h59m36,0
TIKA-49,FALSE,FALSE,Major,29059,00d08h04m19,0
TIKA-156,FALSE,FALSE,Major,132,00d00h02m12,0
TIKA-2040,TRUE,FALSE,Major,107235,01d05h47m15,0
TIKA-56,TRUE,FALSE,Minor,270621,03d03h10m21,0
TIKA-2871,FALSE,FALSE,Minor,9432,00d02h37m12,0
TIKA-2872,FALSE,FALSE,Trivial,8048,00d02h14m08,0
TIKA-1025,TRUE,FALSE,Major,421580,04d21h06m20,0
TIKA-1927,TRUE,FALSE,Minor,63983,00d17h46m23,0
TIKA-1926,FALSE,FALSE,Minor,1710113,19d19h01m53,0
TIKA-1389,FALSE,FALSE,Minor,2903,00d00h48m23,0
TIKA-1021,FALSE,FALSE,Major,5373950,62d04h45m50,0
TIKA-1385,TRUE,FALSE,Major,248535,02d21h02m15,0
TIKA-1928,FALSE,FALSE,Minor,3587891,41d12h38m11,0
TIKA-1844,TRUE,FALSE,Minor,7087042,82d00h37m22,0
TIKA-1845,TRUE,FALSE,Major,181608,02d02h26m48,0
TIKA-1028,TRUE,FALSE,Major,68118560,788d09h49m20,0
TIKA-2198,FALSE,FALSE,Major,4743526,54d21h38m46,0
TIKA-2056,FALSE,FALSE,Major,6626465,76d16h41m05,0
TIKA-2055,FALSE,FALSE,Critical,2600922,30d02h28m42,0
TIKA-114,FALSE,FALSE,Major,21086520,244d01h22m00,0
TIKA-1798,TRUE,FALSE,Major,433671,05d00h27m51,0
TIKA-2776,TRUE,FALSE,Blocker,454999,05d06h23m19,0
TIKA-1445,TRUE,FALSE,Blocker,7608995,88d01h36m35,0
TIKA-1446,TRUE,FALSE,Critical,3676725,42d13h18m45,0
TIKA-2908,FALSE,FALSE,Blocker,68784,00d19h06m24,0
TIKA-1728,FALSE,FALSE,Major,123423657,1428d12h20m57,0
TIKA-1335,FALSE,TRUE,Major,154614,01d18h56m54,0
TIKA-1567,FALSE,FALSE,Major,16402,00d04h33m22,0
TIKA-2903,FALSE,FALSE,Critical,24684,00d06h51m24,0
TIKA-1655,FALSE,FALSE,Trivial,5390,00d01h29m50,0
TIKA-1654,FALSE,FALSE,Major,950673,11d00h04m33,0
TIKA-1159,FALSE,FALSE,Minor,9970,00d02h46m10,0
TIKA-1653,TRUE,FALSE,Major,1829,00d00h30m29,0
TIKA-1652,TRUE,FALSE,Major,14473,00d04h01m13,0
TIKA-2580,FALSE,FALSE,Minor,65494,00d18h11m34,0
TIKA-1659,FALSE,FALSE,Major,622778,07d04h59m38,0
TIKA-2587,FALSE,FALSE,Major,305630,03d12h53m50,0
TIKA-2275,FALSE,FALSE,Trivial,129,00d00h02m09,0
TIKA-2379,FALSE,FALSE,Blocker,74413,00d20h40m13,0
TIKA-1821,FALSE,FALSE,Major,3039771,35d04h22m51,0
TIKA-2373,FALSE,FALSE,Blocker,10743,00d02h59m03,0
TIKA-2279,TRUE,FALSE,Trivial,51333,00d14h15m33,0
TIKA-752,FALSE,FALSE,Minor,13671,00d03h47m51,0
TIKA-294,FALSE,FALSE,Major,302773,03d12h06m13,0
TIKA-453,FALSE,FALSE,Minor,632190,07d07h36m30,0
TIKA-454,FALSE,FALSE,Major,237440,02d17h57m20,0
TIKA-457,FALSE,FALSE,Major,3203007,37d01h43m27,0
TIKA-256,FALSE,FALSE,Major,8211558,95d00h59m18,0
TIKA-185,TRUE,FALSE,Minor,635240,07d08h27m20,0
TIKA-255,FALSE,FALSE,Major,137313,01d14h08m33,0
TIKA-181,FALSE,FALSE,Minor,146,00d00h02m26,0
TIKA-180,TRUE,FALSE,Major,2666490,30d20h41m30,0
TIKA-189,FALSE,FALSE,Minor,699798,08d02h23m18,0
TIKA-1537,FALSE,FALSE,Minor,40362,00d11h12m42,0
PDFBOX-2896,TRUE,FALSE,Minor,154711,01d18h58m31,0
TIKA-2478,TRUE,FALSE,Minor,1426012,16d12h06m52,0
TIKA-2479,TRUE,FALSE,Minor,18303100,211d20h11m40,0
TIKA-2475,TRUE,FALSE,Major,60610,00d16h50m10,0
TIKA-1291,TRUE,FALSE,Major,1904527,22d01h02m07,0
TIKA-2470,TRUE,FALSE,Major,443,00d00h07m23,0
TIKA-1742,FALSE,FALSE,Major,675980,07d19h46m20,0
TIKA-2571,FALSE,FALSE,Minor,21830,00d06h03m50,0
TIKA-2673,TRUE,FALSE,Major,3888107,45d00h01m47,0
TIKA-984,FALSE,FALSE,Minor,5318863,61d13h27m43,0
TIKA-231,FALSE,FALSE,Minor,951712,11d00h21m52,0
TIKA-2677,FALSE,FALSE,Major,88835,01d00h40m35,0
TIKA-981,FALSE,FALSE,Minor,518202,05d23h56m42,0
TIKA-2675,FALSE,FALSE,Major,1376323,15d22h18m43,0
TIKA-336,FALSE,FALSE,Major,3198,00d00h53m18,0
TIKA-1322,FALSE,FALSE,Minor,132681,01d12h51m21,0
TIKA-621,FALSE,FALSE,Major,1706595,19d18h03m15,0
TIKA-339,FALSE,FALSE,Minor,1105417,12d19h03m37,0
TIKA-808,TRUE,FALSE,Major,1027258,11d21h20m58,0
TIKA-809,FALSE,FALSE,Major,841,00d00h14m01,0
TIKA-800,TRUE,FALSE,Major,49814,00d13h50m14,0
TIKA-801,TRUE,FALSE,Major,367971,04d06h12m51,0
TIKA-2384,TRUE,FALSE,Blocker,277903,03d05h11m43,0
TIKA-521,TRUE,FALSE,Major,14252494,164d23h01m34,0
TIKA-520,FALSE,FALSE,Major,38226,00d10h37m06,0
TIKA-2370,FALSE,FALSE,Minor,677,00d00h11m17,0
TIKA-939,FALSE,FALSE,Minor,1964,00d00h32m44,0
TIKA-525,FALSE,FALSE,Major,11104214,128d12h30m14,0
TIKA-986,TRUE,FALSE,Major,251315,02d21h48m35,0
TIKA-529,FALSE,FALSE,Minor,33934049,392d18h07m29,0
TIKA-244,TRUE,FALSE,Major,1450485,16d18h54m45,0
TIKA-934,FALSE,FALSE,Critical,3163754,36d14h49m14,0
TIKA-935,TRUE,FALSE,Major,6068,00d01h41m08,0
TIKA-1804,TRUE,TRUE,Blocker,50201311,581d00h48m31,1
TIKA-19,TRUE,FALSE,Major,2614,00d00h43m34,0
TIKA-2019,TRUE,FALSE,Major,1693,00d00h28m13,0
TIKA-13,FALSE,FALSE,Major,5342,00d01h29m02,0
TIKA-10,FALSE,FALSE,Major,171042,01d23h30m42,0
