BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SB-10,TRUE,FALSE,Major,15404719,178d07h05m19,0
TILES-311,FALSE,FALSE,Major,263991,03d01h19m51,0
TILES-117,TRUE,FALSE,Major,67253,00d18h40m53,0
SB-11,TRUE,FALSE,Major,23003750,266d05h55m50,0
TILES-236,FALSE,FALSE,Major,4757008,55d01h23m28,0
TILES-232,TRUE,FALSE,Major,1138928,13d04h22m08,0
TILES-230,TRUE,FALSE,Major,3222412,37d07h06m52,1
TILES-448,FALSE,FALSE,Major,14715,00d04h05m15,0
TILES-322,FALSE,FALSE,Major,913,00d00h15m13,0
TILES-132,TRUE,FALSE,Major,286403,03d07h33m23,0
TILES-324,TRUE,FALSE,Critical,391596,04d12h46m36,0
TILES-520,FALSE,FALSE,Minor,2497466,28d21h44m26,0
TILES-441,TRUE,FALSE,Major,180850,02d02h14m10,1
TILES-138,TRUE,FALSE,Major,177646,02d01h20m46,0
TILES-444,TRUE,FALSE,Major,66162,00d18h22m42,0
TILES-447,TRUE,FALSE,Major,8543,00d02h22m23,0
TILES-111,FALSE,FALSE,Major,27610,00d07h40m10,0
TILES-198,FALSE,FALSE,Major,7447031,86d04h37m11,0
TILES-519,TRUE,FALSE,Major,39662,00d11h01m02,0
TILES-271,FALSE,FALSE,Major,2083,00d00h34m43,0
TILES-599,FALSE,FALSE,Critical,869792,10d01h36m32,0
TILES-598,FALSE,FALSE,Major,5521382,63d21h43m02,0
TILES-203,FALSE,FALSE,Critical,12350,00d03h25m50,0
SB-2,FALSE,FALSE,Major,20668219,239d05h10m19,0
TILES-518,FALSE,FALSE,Major,506548,05d20h42m28,0
SB-7,TRUE,FALSE,Major,41913453,485d02h37m33,0
TILES-513,TRUE,FALSE,Major,1271536,14d17h12m16,0
SB-9,TRUE,FALSE,Major,20934505,242d07h08m25,0
TILES-209,FALSE,FALSE,Major,2679734,31d00h22m14,0
TILES-204,FALSE,FALSE,Critical,279384,03d05h36m24,0
TILES-515,FALSE,FALSE,Major,435634,05d01h00m34,0
TILES-2,TRUE,FALSE,Major,1580,00d00h26m20,0
TILES-355,FALSE,FALSE,Major,522124,06d01h02m04,0
TILES-356,FALSE,FALSE,Major,14259796,165d01h03m16,0
TILES-351,TRUE,FALSE,Critical,65431,00d18h10m31,0
TILES-119,FALSE,FALSE,Major,1136558,13d03h42m38,0
TILES-353,FALSE,FALSE,Major,11294,00d03h08m14,0
TILES-352,TRUE,FALSE,Major,104001,01d04h53m21,1
TILES-283,FALSE,FALSE,Major,13727,00d03h48m47,0
TILES-450,TRUE,FALSE,Major,1098,00d00h18m18,0
TILES-451,FALSE,FALSE,Major,17546,00d04h52m26,0
TILES-456,FALSE,FALSE,Major,855,00d00h14m15,0
TILES-286,TRUE,FALSE,Major,418850,04d20h20m50,0
TILES-454,TRUE,FALSE,Major,664,00d00h11m04,0
TILES-185,TRUE,TRUE,Major,3128057,36d04h54m17,1
TILES-187,FALSE,FALSE,Major,74157,00d20h35m57,1
TILES-122,FALSE,FALSE,Major,56818,00d15h46m58,0
TILES-509,FALSE,FALSE,Major,151082,01d17h58m02,0
TILES-506,FALSE,FALSE,Major,788289,09d02h58m09,0
TILES-500,TRUE,FALSE,Major,2080159,24d01h49m19,0
TILES-501,FALSE,FALSE,Minor,38875,00d10h47m55,0
TILES-502,TRUE,FALSE,Major,340060,03d22h27m40,0
TILES-346,TRUE,FALSE,Major,437319,05d01h28m39,0
TILES-347,FALSE,FALSE,Major,1150,00d00h19m10,0
TILES-344,FALSE,FALSE,Major,13405,00d03h43m25,0
TILES-345,FALSE,FALSE,Minor,396723,04d14h12m03,0
TILES-342,FALSE,FALSE,Major,82079,00d22h47m59,0
TILES-469,TRUE,FALSE,Major,85390,00d23h43m10,0
TILES-468,FALSE,FALSE,Major,85653,00d23h47m33,1
TILES-466,TRUE,FALSE,Major,58883,00d16h21m23,0
TILES-464,TRUE,FALSE,Major,616353,07d03h12m33,1
TILES-348,FALSE,FALSE,Major,270923,03d03h15m23,0
TILES-349,TRUE,FALSE,Major,347549,04d00h32m29,0
TILES-148,FALSE,FALSE,Major,262090,03d00h48m10,0
TILES-452,TRUE,FALSE,Major,81283,00d22h34m43,1
TILES-512,TRUE,FALSE,Major,1476323,17d02h05m23,0
TILES-379,FALSE,FALSE,Major,10760805,124d13h06m45,0
TILES-129,TRUE,FALSE,Major,520823,06d00h40m23,0
TILES-371,FALSE,FALSE,Major,3976,00d01h06m16,0
TILES-377,FALSE,FALSE,Major,393738,04d13h22m18,0
TILES-375,FALSE,TRUE,Major,506,00d00h08m26,0
TILES-175,TRUE,FALSE,Major,14227,00d03h57m07,0
TILES-265,FALSE,FALSE,Major,1431,00d00h23m51,0
TILES-264,TRUE,FALSE,Major,3902,00d01h05m02,0
TILES-266,FALSE,FALSE,Minor,3742596,43d07h36m36,0
TILES-478,FALSE,FALSE,Major,4981,00d01h23m01,0
TILES-268,TRUE,FALSE,Major,1277239,14d18h47m19,0
TILES-573,FALSE,FALSE,Major,487479,05d15h24m39,0
TILES-248,FALSE,FALSE,Blocker,173746,02d00h15m46,1
TILES-574,TRUE,FALSE,Major,865486,10d00h24m46,0
TILES-576,FALSE,FALSE,Major,90430,01d01h07m10,0
TILES-488,FALSE,FALSE,Minor,1140996,13d04h56m36,0
TILES-484,FALSE,FALSE,Major,249226,02d21h13m46,0
TILES-486,TRUE,FALSE,Major,29011,00d08h03m31,0
TILES-483,TRUE,FALSE,Major,81525,00d22h38m45,0
TILES-179,FALSE,FALSE,Major,2341,00d00h39m01,0
TILES-178,FALSE,FALSE,Major,2796,00d00h46m36,0
TILES-273,FALSE,FALSE,Minor,199894,02d07h31m34,0
TILES-364,FALSE,FALSE,Major,27376,00d07h36m16,1
TILES-365,TRUE,FALSE,Major,84770,00d23h32m50,0
TILES-361,FALSE,FALSE,Minor,30100,00d08h21m40,0
TILES-405,TRUE,FALSE,Major,205407,02d09h03m27,0
TILES-404,TRUE,FALSE,Major,1737214,20d02h33m34,1
TILES-406,TRUE,FALSE,Major,205037,02d08h57m17,0
TILES-276,FALSE,FALSE,Major,509218,05d21h26m58,0
TILES-274,FALSE,FALSE,Minor,199328,02d07h22m08,0
TILES-402,FALSE,FALSE,Trivial,4569815,52d21h23m35,0
TILES-137,TRUE,FALSE,Major,255446,02d22h57m26,0
TILES-340,TRUE,FALSE,Major,24012013,277d22h00m13,1
TILES-130,TRUE,FALSE,Major,408348,04d17h25m48,0
TILES-499,TRUE,FALSE,Major,3864615,44d17h30m15,0
TILES-496,FALSE,FALSE,Major,3808792,44d01h59m52,0
TILES-497,FALSE,FALSE,Major,2775463,32d02h57m43,0
TILES-495,FALSE,FALSE,Major,2873857,33d06h17m37,0
TILES-390,FALSE,FALSE,Major,6661,00d01h51m01,0
TILES-98,FALSE,FALSE,Major,59822,00d16h37m02,0
TILES-394,FALSE,FALSE,Major,522,00d00h08m42,0
TILES-397,FALSE,FALSE,Major,393,00d00h06m33,0
TILES-396,FALSE,FALSE,Major,402,00d00h06m42,0
TILES-166,FALSE,FALSE,Major,2622,00d00h43m42,0
TILES-398,TRUE,FALSE,Major,6730944,77d21h42m24,1
TILES-97,FALSE,FALSE,Major,62759,00d17h25m59,0
TILES-96,TRUE,FALSE,Major,82802,00d23h00m02,1
TILES-161,TRUE,FALSE,Major,8505,00d02h21m45,0
TILES-416,FALSE,FALSE,Major,2334302,27d00h25m02,0
TILES-318,FALSE,FALSE,Major,25769119,298d06h05m19,0
TILES-414,FALSE,FALSE,Major,1839991,21d07h06m31,0
TILES-412,FALSE,FALSE,Major,85646,00d23h47m26,0
TILES-411,FALSE,FALSE,Major,85767,00d23h49m27,0
TILES-557,FALSE,FALSE,Minor,3721,00d01h02m01,0
TILES-313,FALSE,FALSE,Major,34721542,401d20h52m22,0
TILES-317,FALSE,FALSE,Major,262631,03d00h57m11,0
TILES-316,FALSE,FALSE,Major,263753,03d01h15m53,0
TILES-104,FALSE,TRUE,Major,20790,00d05h46m30,0
TILES-118,FALSE,FALSE,Major,161907,01d20h58m27,0
TILES-28,FALSE,FALSE,Major,3164,00d00h52m44,0
TILES-383,TRUE,FALSE,Major,2416478,27d23h14m38,0
TILES-429,FALSE,FALSE,Major,245613,02d20h13m33,0
TILES-288,FALSE,FALSE,Trivial,3052742,35d07h59m02,0
TILES-386,FALSE,FALSE,Major,154,00d00h02m34,0
TILES-384,FALSE,FALSE,Major,68,00d00h01m08,0
TILES-421,TRUE,FALSE,Major,1026927,11d21h15m27,1
TILES-389,TRUE,FALSE,Major,3882,00d01h04m42,0
TILES-255,FALSE,FALSE,Major,867815,10d01h03m35,0
TILES-309,FALSE,FALSE,Major,1535,00d00h25m35,0
TILES-547,FALSE,FALSE,Major,276795,03d04h53m15,0
TILES-548,FALSE,FALSE,Minor,5856277,67d18h44m37,0
TILES-307,FALSE,FALSE,Major,81591,00d22h39m51,0
TILES-305,FALSE,FALSE,Major,255537,02d22h58m57,0
TILES-151,TRUE,FALSE,Major,85910,00d23h51m50,0
TILES-192,FALSE,FALSE,Major,1063698,12d07h28m18,0
TILES-146,FALSE,FALSE,Major,11392,00d03h09m52,0
TILES-147,FALSE,FALSE,Blocker,6150,00d01h42m30,0
TILES-142,TRUE,FALSE,Major,880,00d00h14m40,0
TILES-225,TRUE,FALSE,Major,45290,00d12h34m50,0
TILES-224,TRUE,TRUE,Major,585402,06d18h36m42,0
TILES-437,FALSE,FALSE,Major,175994,02d00h53m14,0
TILES-430,TRUE,TRUE,Major,2711601,31d09h13m21,0
TILES-149,FALSE,FALSE,Major,73553222,851d07h27m02,0
TILES-223,FALSE,FALSE,Major,647720,07d11h55m20,0
TILES-222,FALSE,FALSE,Trivial,5719048,66d04h37m28,0
TILES-534,FALSE,FALSE,Major,8458280,97d21h31m20,0
TILES-339,TRUE,TRUE,Blocker,791774,09d03h56m14,0
TILES-334,TRUE,TRUE,Major,2149216,24d21h00m16,0
TILES-333,FALSE,FALSE,Major,168569,01d22h49m29,1
TILES-388,FALSE,FALSE,Major,79610,00d22h06m50,0
TILES-331,FALSE,FALSE,Major,102023,01d04h20m23,0
