BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OPENEJB-1053,FALSE,FALSE,Major,17130295,198d06h24m55,0
OPENEJB-2044,TRUE,FALSE,Critical,140,00d00h02m20,0
OPENEJB-2046,TRUE,FALSE,Critical,24837,00d06h53m57,0
OPENEJB-2047,FALSE,FALSE,Major,47,00d00h00m47,0
OPENEJB-2042,TRUE,FALSE,Major,3717688,43d00h41m28,0
OPENEJB-557,TRUE,FALSE,Major,230006,02d15h53m26,1
OPENEJB-852,FALSE,FALSE,Minor,154,00d00h02m34,0
OPENEJB-555,FALSE,FALSE,Blocker,9175797,106d04h49m57,0
OPENEJB-683,FALSE,FALSE,Major,74978,00d20h49m38,0
TOMEE-1546,FALSE,FALSE,Major,27,00d00h00m27,0
TOMEE-1545,FALSE,FALSE,Minor,40345902,466d23h11m42,0
TOMEE-1234,TRUE,FALSE,Major,36,00d00h00m36,0
TOMEE-1628,FALSE,FALSE,Major,26230744,303d14h19m04,0
OPENEJB-1127,FALSE,FALSE,Major,1827366,21d03h36m06,0
TOMEE-1626,TRUE,FALSE,Major,96215,01d02h43m35,1
OPENEJB-553,TRUE,FALSE,Major,163,00d00h02m43,0
TOMEE-1622,FALSE,FALSE,Major,28270584,327d04h56m24,0
TOMEE-1623,TRUE,FALSE,Major,92,00d00h01m32,0
TOMEE-1549,FALSE,FALSE,Major,1212,00d00h20m12,0
TOMEE-1621,TRUE,FALSE,Major,23,00d00h00m23,0
OPENEJB-2038,FALSE,FALSE,Major,601,00d00h10m01,0
OPENEJB-766,FALSE,FALSE,Critical,10486,00d02h54m46,0
OPENEJB-767,TRUE,FALSE,Blocker,97331,01d03h02m11,0
OPENEJB-761,FALSE,FALSE,Major,545106,06d07h25m06,0
TOMEE-2448,FALSE,FALSE,Minor,198173,02d07h02m53,0
TOMEE-2330,TRUE,FALSE,Major,489373,05d15h56m13,0
OPENEJB-2033,FALSE,FALSE,Major,31521,00d08h45m21,0
OPENEJB-2032,FALSE,FALSE,Major,13070,00d03h37m50,0
OPENEJB-1048,FALSE,FALSE,Major,5784099,66d22h41m39,0
TOMEE-907,FALSE,FALSE,Minor,250541,02d21h35m41,0
TOMEE-906,TRUE,FALSE,Major,70,00d00h01m10,0
OPENEJB-1602,TRUE,FALSE,Major,34251286,396d10h14m46,0
TOMEE-646,FALSE,FALSE,Blocker,184234,02d03h10m34,1
TOMEE-647,TRUE,FALSE,Major,144692,01d16h11m32,1
TOMEE-645,TRUE,FALSE,Major,6590091,76d06h34m51,1
TOMEE-909,TRUE,FALSE,Major,27,00d00h00m27,0
TOMEE-908,FALSE,FALSE,Major,407,00d00h06m47,0
TOMEE-166,TRUE,FALSE,Major,423790,04d21h43m10,0
OPENEJB-1809,TRUE,FALSE,Major,3298474,38d04h14m34,0
OPENEJB-1322,TRUE,FALSE,Major,32045385,370d21h29m45,0
OPENEJB-1044,TRUE,FALSE,Major,9737818,112d16h56m58,0
TOMEE-894,FALSE,FALSE,Major,15,00d00h00m15,0
OPENEJB-1323,FALSE,FALSE,Major,322589,03d17h36m29,0
OPENEJB-1938,FALSE,FALSE,Major,62,00d00h01m02,0
TOMEE-1438,FALSE,FALSE,Major,59,00d00h00m59,0
TOMEE-1433,FALSE,FALSE,Minor,253,00d00h04m13,0
OPENEJB-1930,FALSE,FALSE,Major,448,00d00h07m28,0
TOMEE-1431,TRUE,FALSE,Major,29,00d00h00m29,0
OPENEJB-1934,TRUE,FALSE,Major,681,00d00h11m21,0
TOMEE-1435,FALSE,FALSE,Major,50,00d00h00m50,0
TOMEE-1933,FALSE,FALSE,Major,602477,06d23h21m17,1
TOMEE-1820,FALSE,FALSE,Major,37028,00d10h17m08,0
TOMEE-1124,TRUE,FALSE,Major,79,00d00h01m19,0
TOMEE-1822,FALSE,FALSE,Major,216,00d00h03m36,0
OPENEJB-1118,TRUE,FALSE,Major,2006754,23d05h25m54,0
OPENEJB-1834,FALSE,FALSE,Major,31,00d00h00m31,0
TOMEE-1839,FALSE,FALSE,Major,48,00d00h00m48,0
TOMEE-1534,FALSE,FALSE,Major,105,00d00h01m45,0
TOMEE-1535,FALSE,FALSE,Major,87910,01d00h25m10,0
TOMEE-1828,TRUE,FALSE,Major,28633,00d07h57m13,0
TOMEE-1829,FALSE,FALSE,Major,383,00d00h06m23,0
TOMEE-1941,FALSE,FALSE,Major,47,00d00h00m47,0
TOMEE-1940,FALSE,FALSE,Major,50,00d00h00m50,0
TOMEE-1946,FALSE,FALSE,Major,12358,00d03h25m58,0
OPENEJB-1315,FALSE,FALSE,Major,392485,04d13h01m25,0
TOMEE-349,TRUE,FALSE,Major,99,00d00h01m39,0
OPENEJB-1309,FALSE,FALSE,Major,5870762,67d22h46m02,0
TOMEE-667,FALSE,FALSE,Major,5862459,67d20h27m39,1
OPENEJB-1314,TRUE,FALSE,Major,66325,00d18h25m25,0
OPENEJB-1300,FALSE,FALSE,Major,10804743,125d01h19m03,0
TOMEE-345,TRUE,FALSE,Major,6015912,69d15h05m12,1
OPENEJB-1305,TRUE,FALSE,Major,1809641,20d22h40m41,0
OPENEJB-1733,FALSE,FALSE,Major,20,00d00h00m20,0
OPENEJB-1061,FALSE,FALSE,Major,2545088,29d10h58m08,0
OPENEJB-1730,TRUE,FALSE,Major,2809491,32d12h24m51,0
TOMEE-267,FALSE,FALSE,Trivial,518656,06d00h04m16,0
OPENEJB-1311,TRUE,FALSE,Major,88,00d00h01m28,0
TOMEE-685,TRUE,FALSE,Major,45847430,530d15h23m50,0
TOMEE-2063,FALSE,FALSE,Major,378,00d00h06m18,0
TOMEE-29,FALSE,FALSE,Major,653,00d00h10m53,0
OPENEJB-1313,FALSE,FALSE,Major,76095,00d21h08m15,0
TOMEE-2073,TRUE,FALSE,Major,1575864,18d05h44m24,0
TOMEE-27,FALSE,FALSE,Major,27752,00d07h42m32,0
OPENEJB-1709,TRUE,FALSE,Blocker,198984,02d07h16m24,0
TOMEE-2020,TRUE,FALSE,Major,549,00d00h09m09,0
TOMEE-1059,TRUE,FALSE,Major,3292,00d00h54m52,0
TOMEE-1904,FALSE,FALSE,Major,25,00d00h00m25,0
TOMEE-1751,FALSE,FALSE,Major,122,00d00h02m02,0
OPENEJB-1012,TRUE,FALSE,Major,169,00d00h02m49,0
TOMEE-1053,TRUE,FALSE,Major,41,00d00h00m41,0
TOMEE-1055,FALSE,FALSE,Major,37,00d00h00m37,0
TOMEE-1054,TRUE,FALSE,Major,518,00d00h08m38,0
TOMEE-1057,TRUE,FALSE,Major,765468,08d20h37m48,0
TOMEE-1759,TRUE,FALSE,Major,66,00d00h01m06,0
OPENEJB-702,TRUE,FALSE,Major,14167393,163d23h23m13,0
TOMEE-78,FALSE,FALSE,Major,193703,02d05h48m23,0
TOMEE-885,FALSE,FALSE,Major,131,00d00h02m11,0
TOMEE-886,FALSE,FALSE,Major,44,00d00h00m44,0
OPENEJB-1540,TRUE,FALSE,Major,341444,03d22h50m44,0
OPENEJB-1541,TRUE,FALSE,Major,341549,03d22h52m29,0
OPENEJB-1543,FALSE,FALSE,Major,84160,00d23h22m40,0
TOMEE-585,FALSE,FALSE,Major,2116944,24d12h02m24,0
OPENEJB-1545,FALSE,FALSE,Major,82715,00d22h58m35,0
OPENEJB-1546,FALSE,FALSE,Major,82707,00d22h58m27,0
