BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TUSCANY-2698,TRUE,FALSE,Major,987306,11d10h15m06,0
TUSCANY-1802,FALSE,FALSE,Major,17125860,198d05h11m00,0
TUSCANY-1801,FALSE,FALSE,Major,8385027,97d01h10m27,0
TUSCANY-1804,TRUE,FALSE,Major,3949630,45d17h07m10,1
TUSCANY-3663,FALSE,FALSE,Major,14298,00d03h58m18,0
TUSCANY-2669,FALSE,FALSE,Major,37422,00d10h23m42,0
TUSCANY-3667,FALSE,FALSE,Blocker,206097,02d09h14m57,0
TUSCANY-1675,FALSE,FALSE,Major,593499,06d20h51m39,0
TUSCANY-2591,FALSE,FALSE,Critical,2423,00d00h40m23,0
TUSCANY-2593,TRUE,FALSE,Blocker,11310252,130d21h44m12,0
TUSCANY-2594,FALSE,FALSE,Major,46379536,536d19h12m16,1
TUSCANY-2595,FALSE,FALSE,Major,5799,00d01h36m39,0
TUSCANY-2596,TRUE,FALSE,Major,82061,00d22h47m41,0
TUSCANY-2598,FALSE,FALSE,Major,258822,02d23h53m42,0
TUSCANY-2037,FALSE,FALSE,Minor,97,00d00h01m37,0
TUSCANY-3065,TRUE,FALSE,Major,2742070,31d17h41m10,0
TUSCANY-53,FALSE,FALSE,Major,4585100,53d01h38m20,0
TUSCANY-3061,TRUE,FALSE,Major,243,00d00h04m03,0
TUSCANY-2384,TRUE,FALSE,Minor,171445,01d23h37m25,0
TUSCANY-333,TRUE,FALSE,Critical,396520,04d14h08m40,0
TUSCANY-715,TRUE,FALSE,Critical,1894295,21d22h11m35,0
TUSCANY-2383,FALSE,FALSE,Major,162194,01d21h03m14,0
TUSCANY-2389,FALSE,FALSE,Major,5369178,62d03h26m18,1
TUSCANY-2388,FALSE,FALSE,Major,791820,09d03h57m00,1
TUSCANY-111,TRUE,FALSE,Blocker,4113559,47d14h39m19,0
TUSCANY-2186,FALSE,FALSE,Major,193490,02d05h44m50,0
TUSCANY-1332,TRUE,FALSE,Major,41272,00d11h27m52,0
TUSCANY-2183,FALSE,FALSE,Major,12887,00d03h34m47,0
TUSCANY-2182,TRUE,FALSE,Major,95277,01d02h27m57,0
TUSCANY-2628,FALSE,FALSE,Major,260073,03d00h14m33,0
TUSCANY-2180,TRUE,FALSE,Major,100833,01d04h00m33,0
TUSCANY-2624,TRUE,TRUE,Major,3166566,36d15h36m06,0
TUSCANY-2625,FALSE,FALSE,Major,1510885,17d11h41m25,1
TUSCANY-2622,FALSE,FALSE,Major,47603,00d13h13m23,0
TUSCANY-2620,FALSE,FALSE,Major,602994,06d23h29m54,0
TUSCANY-1938,FALSE,FALSE,Major,2498739,28d22h05m39,0
TUSCANY-1476,FALSE,FALSE,Major,1405,00d00h23m25,0
TUSCANY-3618,TRUE,FALSE,Major,72961,00d20h16m01,0
TUSCANY-1473,TRUE,FALSE,Major,19569051,226d11h50m51,1
TUSCANY-3616,TRUE,FALSE,Major,580383,06d17h13m03,0
TUSCANY-3617,TRUE,FALSE,Major,81198,00d22h33m18,0
TUSCANY-40,TRUE,FALSE,Minor,46571,00d12h56m11,0
TUSCANY-1271,TRUE,FALSE,Major,5792902,67d01h08m22,0
TUSCANY-1268,TRUE,FALSE,Major,1719844,19d21h44m04,0
TUSCANY-1279,FALSE,FALSE,Minor,10578508,122d10h28m28,0
TUSCANY-1559,TRUE,FALSE,Major,16664578,192d21h02m58,0
TUSCANY-3204,TRUE,FALSE,Major,260,00d00h04m20,0
TUSCANY-3573,FALSE,FALSE,Major,33086,00d09h11m26,0
TUSCANY-3572,FALSE,FALSE,Critical,43764,00d12h09m24,0
TUSCANY-3473,TRUE,FALSE,Major,80633,00d22h23m53,0
TUSCANY-3474,TRUE,FALSE,Major,118731,01d08h58m51,0
TUSCANY-3475,FALSE,FALSE,Major,952833,11d00h40m33,0
TUSCANY-3477,FALSE,FALSE,Major,260075,03d00h14m35,0
TUSCANY-3803,FALSE,FALSE,Major,127,00d00h02m07,0
TUSCANY-1989,FALSE,FALSE,Major,32056,00d08h54m16,0
TUSCANY-3804,TRUE,FALSE,Major,15655,00d04h20m55,0
TUSCANY-3770,TRUE,FALSE,Major,196816,02d06h40m16,0
TUSCANY-2133,TRUE,FALSE,Major,395,00d00h06m35,0
TUSCANY-2136,TRUE,FALSE,Major,71226,00d19h47m06,0
TUSCANY-1987,FALSE,FALSE,Blocker,3919853,45d08h50m53,0
TUSCANY-2134,FALSE,FALSE,Minor,196576,02d06h36m16,0
TUSCANY-3778,FALSE,FALSE,Major,1329533,15d09h18m53,1
TUSCANY-4020,TRUE,FALSE,Major,98807,01d03h26m47,0
TUSCANY-4027,TRUE,FALSE,Minor,65835,00d18h17m15,0
TUSCANY-4024,FALSE,FALSE,Major,1190355,13d18h39m15,0
TUSCANY-4025,TRUE,FALSE,Major,257,00d00h04m17,0
TUSCANY-4028,TRUE,FALSE,Major,169,00d00h02m49,0
TUSCANY-2521,TRUE,FALSE,Major,508980,05d21h23m00,0
TUSCANY-2520,TRUE,FALSE,Major,509111,05d21h25m11,0
TUSCANY-2522,TRUE,FALSE,Major,508905,05d21h21m45,0
TUSCANY-2527,FALSE,FALSE,Major,332890,03d20h28m10,0
TUSCANY-2526,TRUE,FALSE,Blocker,17183246,198d21h07m26,0
TUSCANY-3988,TRUE,FALSE,Minor,316123,03d15h48m43,0
TUSCANY-3337,FALSE,FALSE,Major,1216823,14d02h00m23,0
TUSCANY-2354,TRUE,FALSE,Major,3412474,39d11h54m34,0
TUSCANY-2352,TRUE,FALSE,Major,2923888,33d20h11m28,0
TUSCANY-2351,FALSE,FALSE,Major,1235614,14d07h13m34,0
TUSCANY-2055,TRUE,FALSE,Major,1054887,12d05h01m27,1
TUSCANY-2057,TRUE,FALSE,Major,366655,04d05h50m55,0
TUSCANY-2056,TRUE,FALSE,Major,1464287,16d22h44m47,1
TUSCANY-2052,TRUE,FALSE,Major,5606063,64d21h14m23,0
TUSCANY-3504,FALSE,FALSE,Major,48326,00d13h25m26,0
TUSCANY-3505,FALSE,FALSE,Major,14120,00d03h55m20,0
TUSCANY-3502,FALSE,FALSE,Major,170404,01d23h20m04,0
TUSCANY-3503,TRUE,FALSE,Major,37323587,431d23h39m47,0
TUSCANY-3975,TRUE,FALSE,Major,2030113,23d11h55m13,1
