BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
UIMA-2160,FALSE,FALSE,Major,81,00d00h01m21,0
UIMA-5904,FALSE,FALSE,Major,22784,00d06h19m44,0
UIMA-5905,FALSE,FALSE,Minor,19506,00d05h25m06,0
UIMA-1266,FALSE,FALSE,Major,17010113,196d21h01m53,0
UIMA-1548,FALSE,FALSE,Major,121,00d00h02m01,0
UIMA-1549,FALSE,FALSE,Trivial,1121581,12d23h33m01,0
UIMA-1956,FALSE,FALSE,Major,171385,01d23h36m25,0
UIMA-2565,TRUE,FALSE,Major,219219,02d12h53m39,0
UIMA-2166,FALSE,FALSE,Major,3676,00d01h01m16,0
UIMA-2560,FALSE,FALSE,Major,8886722,102d20h32m02,1
UIMA-2114,FALSE,FALSE,Major,13235455,153d04h30m55,0
UIMA-2115,FALSE,FALSE,Minor,8485981,98d05h13m01,0
UIMA-2440,FALSE,FALSE,Minor,28242314,326d21h05m14,0
UIMA-813,FALSE,FALSE,Major,456,00d00h07m36,0
UIMA-1649,FALSE,FALSE,Trivial,1811183,20d23h06m23,1
UIMA-2112,FALSE,FALSE,Major,556,00d00h09m16,0
UIMA-2113,FALSE,FALSE,Major,179,00d00h02m59,0
UIMA-1647,FALSE,FALSE,Blocker,339496,03d22h18m16,1
UIMA-1641,FALSE,FALSE,Major,203,00d00h03m23,0
UIMA-1316,TRUE,FALSE,Major,342159,03d23h02m39,0
UIMA-3794,TRUE,FALSE,Minor,90976,01d01h16m16,0
UIMA-427,FALSE,FALSE,Major,441,00d00h07m21,1
UIMA-426,FALSE,FALSE,Minor,335038,03d21h03m58,0
UIMA-421,TRUE,FALSE,Major,429378,04d23h16m18,0
UIMA-422,FALSE,FALSE,Major,3153189,36d11h53m09,1
UIMA-26,FALSE,FALSE,Major,7687710,88d23h28m30,1
UIMA-27,FALSE,FALSE,Minor,7689552,88d23h59m12,1
UIMA-429,FALSE,FALSE,Minor,1210403,14d00h13m23,0
UIMA-22,TRUE,FALSE,Critical,6818423,78d22h00m23,1
UIMA-23,FALSE,FALSE,Major,7749601,89d16h40m01,1
