BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
USERGRID-331,TRUE,FALSE,Major,4128106,47d18h41m46,1
USERGRID-332,FALSE,TRUE,Major,16143418,186d20h16m58,0
USERGRID-333,TRUE,FALSE,Major,4126740,47d18h19m00,0
USERGRID-335,TRUE,FALSE,Major,6024808,69d17h33m28,0
USERGRID-337,FALSE,FALSE,Major,278761,03d05h26m01,0
USERGRID-338,FALSE,FALSE,Major,6290653,72d19h24m13,0
USERGRID-628,TRUE,FALSE,Major,2322504,26d21h08m24,1
USERGRID-900,TRUE,FALSE,Major,662957,07d16h09m17,0
USERGRID-77,TRUE,FALSE,Major,16291054,188d13h17m34,0
USERGRID-587,TRUE,FALSE,Major,3171872,36d17h04m32,0
USERGRID-584,FALSE,FALSE,Major,3200650,37d01h04m10,0
USERGRID-1314,FALSE,FALSE,Major,4153546,48d01h45m46,0
USERGRID-457,FALSE,FALSE,Major,11308631,130d21h17m11,0
USERGRID-225,TRUE,FALSE,Major,13711255,158d16h40m55,0
USERGRID-530,FALSE,FALSE,Major,432733,05d00h12m13,0
USERGRID-1099,TRUE,FALSE,Major,599326,06d22h28m46,0
USERGRID-327,TRUE,FALSE,Major,4129728,47d19h08m48,1
USERGRID-326,TRUE,FALSE,Major,4129622,47d19h07m02,1
USERGRID-325,TRUE,FALSE,Major,280604,03d05h56m44,0
USERGRID-242,FALSE,FALSE,Major,2133220,24d16h33m40,0
USERGRID-174,TRUE,FALSE,Major,526,00d00h08m46,0
USERGRID-136,TRUE,FALSE,Major,8140,00d02h15m40,0
USERGRID-49,FALSE,FALSE,Major,8006708,92d16h05m08,0
USERGRID-745,FALSE,FALSE,Major,596935,06d21h48m55,0
USERGRID-744,TRUE,FALSE,Major,108386,01d06h06m26,0
USERGRID-233,FALSE,FALSE,Major,373,00d00h06m13,0
USERGRID-235,FALSE,FALSE,Major,30591270,354d01h34m30,0
USERGRID-258,FALSE,FALSE,Major,1689099,19d13h11m39,0
USERGRID-257,FALSE,FALSE,Major,505,00d00h08m25,0
USERGRID-729,FALSE,FALSE,Major,45432,00d12h37m12,0
USERGRID-250,TRUE,FALSE,Blocker,202793,02d08h19m53,0
USERGRID-52,TRUE,FALSE,Major,27325226,316d06h20m26,0
USERGRID-1062,TRUE,FALSE,Major,1794,00d00h29m54,0
USERGRID-639,FALSE,FALSE,Major,9165147,106d01h52m27,0
USERGRID-660,FALSE,FALSE,Major,179844,02d01h57m24,0
USERGRID-29,TRUE,FALSE,Major,99465739,1151d05h22m19,0
USERGRID-1052,TRUE,FALSE,Major,454844,05d06h20m44,0
USERGRID-22,FALSE,FALSE,Major,7491484,86d16h58m04,0
USERGRID-1341,FALSE,FALSE,Major,876,00d00h14m36,0
USERGRID-150,TRUE,FALSE,Major,253519,02d22h25m19,0
USERGRID-318,FALSE,FALSE,Major,54902,00d15h15m02,0
USERGRID-640,FALSE,FALSE,Major,1033380,11d23h03m00,0
USERGRID-642,TRUE,FALSE,Major,75739,00d21h02m19,0
USERGRID-644,TRUE,FALSE,Major,188174,02d04h16m14,0
USERGRID-1348,TRUE,FALSE,Minor,4116,00d01h08m36,0
USERGRID-466,TRUE,FALSE,Blocker,248652,02d21h04m12,0
USERGRID-461,TRUE,FALSE,Major,130539,01d12h15m39,0
USERGRID-463,TRUE,FALSE,Critical,634082,07d08h08m02,0
USERGRID-1124,FALSE,FALSE,Minor,7766114,89d21h15m14,0
USERGRID-1056,FALSE,FALSE,Major,530148,06d03h15m48,0
USERGRID-145,TRUE,FALSE,Major,174916,02d00h35m16,0
USERGRID-149,TRUE,FALSE,Major,283538,03d06h45m38,1
USERGRID-654,FALSE,FALSE,Minor,22981993,265d23h53m13,0
USERGRID-209,FALSE,FALSE,Major,10476075,121d06h01m15,0
USERGRID-1338,TRUE,FALSE,Major,1938044,22d10h20m44,0
USERGRID-872,TRUE,FALSE,Minor,14452390,167d06h33m10,0
USERGRID-870,TRUE,FALSE,Major,50483,00d14h01m23,0
USERGRID-664,TRUE,FALSE,Major,1379291,15d23h08m11,0
USERGRID-663,TRUE,FALSE,Major,180272,02d02h04m32,0
USERGRID-578,TRUE,FALSE,Major,366986,04d05h56m26,0
USERGRID-579,FALSE,FALSE,Major,3958762,45d19h39m22,1
USERGRID-700,FALSE,FALSE,Major,2696,00d00h44m56,0
USERGRID-703,TRUE,FALSE,Major,1384603,16d00h36m43,0
USERGRID-193,FALSE,FALSE,Minor,63241858,731d23h10m58,0
USERGRID-518,FALSE,FALSE,Minor,1821115,21d01h51m55,0
USERGRID-515,FALSE,FALSE,Major,1835718,21d05h55m18,0
USERGRID-448,TRUE,FALSE,Major,2352688,27d05h31m28,0
USERGRID-14,FALSE,FALSE,Major,1448039,16d18h13m59,0
USERGRID-689,TRUE,FALSE,Major,262867,03d01h01m07,0
USERGRID-685,TRUE,FALSE,Major,427448,04d22h44m08,0
USERGRID-686,TRUE,FALSE,Major,10177,00d02h49m37,0
USERGRID-687,FALSE,FALSE,Major,242139,02d19h15m39,0
USERGRID-18,TRUE,FALSE,Major,9077908,105d01h38m28,0
USERGRID-94,FALSE,FALSE,Major,5557674,64d07h47m54,0
USERGRID-671,TRUE,FALSE,Major,7506180,86d21h03m00,1
USERGRID-670,TRUE,FALSE,Major,2828125,32d17h35m25,1
USERGRID-672,FALSE,FALSE,Major,152520,01d18h22m00,0
USERGRID-561,FALSE,FALSE,Critical,692504,08d00h21m44,0
USERGRID-678,TRUE,FALSE,Major,883420,10d05h23m40,0
USERGRID-347,TRUE,FALSE,Major,6287301,72d18h28m21,0
USERGRID-613,TRUE,FALSE,Major,2862179,33d03h02m59,0
CASSANDRA-4771,FALSE,FALSE,Normal,167346896,1936d21h14m56,1
USERGRID-507,FALSE,FALSE,Minor,35724657,413d11h30m57,0
USERGRID-699,FALSE,FALSE,Major,117794,01d08h43m14,0
USERGRID-695,TRUE,FALSE,Major,16466,00d04h34m26,1
USERGRID-692,TRUE,FALSE,Major,4993,00d01h23m13,0
USERGRID-647,FALSE,FALSE,Major,39830591,461d00h03m11,2
USERGRID-767,TRUE,FALSE,Critical,17119726,198d03h28m46,0
