BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
VELOCITY-151,FALSE,FALSE,Major,79774247,923d07h30m47,0
VELOCITY-493,TRUE,FALSE,Minor,5273378,61d00h49m38,1
VELOCITY-658,TRUE,FALSE,Minor,72024,00d20h00m24,1
VELOCITY-657,FALSE,FALSE,Minor,545612,06d07h33m32,0
VELOCITY-159,TRUE,FALSE,Minor,78813664,912d04h41m04,0
VELOCITY-499,FALSE,FALSE,Minor,10871564,125d19h52m44,0
VELOCITY-651,FALSE,FALSE,Major,41042,00d11h24m02,0
VELOCITY-595,FALSE,FALSE,Major,6134687,71d00h04m47,0
VELOCITY-833,FALSE,FALSE,Critical,121214911,1402d22h48m31,0
VELOCITY-520,TRUE,FALSE,Minor,3362806,38d22h06m46,0
VELOCITY-524,FALSE,FALSE,Major,169839,01d23h10m39,0
VELOCITY-157,TRUE,FALSE,Critical,79179405,916d10h16m45,0
VELOCITY-886,FALSE,FALSE,Major,32215047,372d20h37m27,0
VELOCITY-669,TRUE,FALSE,Blocker,709934,08d05h12m14,0
VELOCITY-350,FALSE,FALSE,Major,21087079,244d01h31m19,0
VELOCITY-667,TRUE,FALSE,Major,173653,02d00h14m13,0
VELOCITY-888,FALSE,FALSE,Major,28234565,326d18h56m05,0
VELOCITY-889,TRUE,FALSE,Major,23274225,269d09h03m45,0
VELOCITY-809,FALSE,FALSE,Major,155074123,1794d20h08m43,0
VELOCITY-797,TRUE,FALSE,Major,172565388,1997d06h49m48,0
VELOCITY-418,FALSE,FALSE,Critical,3673,00d01h01m13,0
VELOCITY-24,FALSE,FALSE,Blocker,158345365,1832d16h49m25,0
SB-9,FALSE,FALSE,Major,20934505,242d07h08m25,0
VELOCITY-416,FALSE,FALSE,Minor,682712,07d21h38m32,0
VELOCITY-411,FALSE,FALSE,Major,240697,02d18h51m37,0
VELOCITY-798,FALSE,FALSE,Major,172928627,2001d11h43m47,1
VELOCITY-459,TRUE,FALSE,Minor,236046,02d17h34m06,0
VELOCITY-556,FALSE,FALSE,Major,5555147,64d07h05m47,0
VELOCITY-551,FALSE,FALSE,Major,388269,04d11h51m09,0
VELOCITY-718,TRUE,FALSE,Major,395762,04d13h56m02,0
VELOCITY-458,FALSE,FALSE,Major,2033329,23d12h48m49,0
