BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
VXQUERY-30,FALSE,FALSE,Major,1255706,14d12h48m26,0
VXQUERY-84,FALSE,FALSE,Major,309239,03d13h53m59,0
VXQUERY-69,TRUE,FALSE,Major,39915396,461d23h36m36,0
VXQUERY-80,FALSE,FALSE,Major,8209,00d02h16m49,0
VXQUERY-139,FALSE,FALSE,Major,47277736,547d04h42m16,0
VXQUERY-118,TRUE,FALSE,Major,403583,04d16h06m23,0
VXQUERY-119,TRUE,FALSE,Major,403555,04d16h05m55,0
VXQUERY-209,TRUE,FALSE,Major,8559905,99d01h45m05,0
VXQUERY-28,FALSE,FALSE,Major,13727,00d03h48m47,0
VXQUERY-226,FALSE,FALSE,Major,41689,00d11h34m49,0
VXQUERY-198,TRUE,FALSE,Major,2674381,30d22h53m01,0
VXQUERY-57,FALSE,FALSE,Major,936451,10d20h07m31,0
VXQUERY-47,TRUE,FALSE,Major,1305348,15d02h35m48,0
VXQUERY-113,FALSE,FALSE,Major,1174532,13d14h15m32,0
VXQUERY-194,FALSE,FALSE,Major,1196800,13d20h26m40,0
VXQUERY-141,FALSE,FALSE,Major,1213917,14d01h11m57,0
VXQUERY-144,FALSE,FALSE,Major,20571,00d05h42m51,0
VXQUERY-213,TRUE,FALSE,Critical,603742,06d23h42m22,0
VXQUERY-215,FALSE,FALSE,Major,4427066,51d05h44m26,0
VXQUERY-210,FALSE,FALSE,Major,5877716,68d00h41m56,0
