BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
VYSPER-330,FALSE,TRUE,Major,4551,00d01h15m51,0
VYSPER-259,FALSE,FALSE,Major,5862,00d01h37m42,0
VYSPER-6,TRUE,TRUE,Major,25919590,299d23h53m10,0
VYSPER-210,TRUE,FALSE,Major,412,00d00h06m52,0
VYSPER-7,TRUE,FALSE,Major,6559573,75d22h06m13,0
VYSPER-257,TRUE,FALSE,Major,467,00d00h07m47,0
VYSPER-173,FALSE,FALSE,Minor,33783815,391d00h23m35,0
VYSPER-254,TRUE,FALSE,Major,210066,02d10h21m06,0
VYSPER-271,TRUE,FALSE,Major,235,00d00h03m55,0
VYSPER-270,TRUE,FALSE,Major,410,00d00h06m50,0
VYSPER-273,TRUE,FALSE,Major,295,00d00h04m55,0
VYSPER-346,TRUE,FALSE,Minor,253722,02d22h28m42,0
VYSPER-341,FALSE,FALSE,Major,74293,00d20h38m13,0
VYSPER-343,TRUE,FALSE,Major,1796,00d00h29m56,0
VYSPER-342,TRUE,FALSE,Major,11112,00d03h05m12,0
VYSPER-329,FALSE,FALSE,Critical,23317688,269d21h08m08,0
VYSPER-305,FALSE,FALSE,Major,5711849,66d02h37m29,0
VYSPER-307,FALSE,FALSE,Major,689169,07d23h26m09,0
VYSPER-244,TRUE,FALSE,Major,85,00d00h01m25,0
VYSPER-269,TRUE,FALSE,Major,511,00d00h08m31,0
VYSPER-288,TRUE,FALSE,Blocker,534905,06d04h35m05,0
VYSPER-293,FALSE,FALSE,Major,98503,01d03h21m43,0
VYSPER-165,TRUE,FALSE,Major,6167,00d01h42m47,0
VYSPER-10,FALSE,TRUE,Major,23337541,270d02h39m01,0
VYSPER-17,TRUE,FALSE,Major,1634904,18d22h08m24,0
VYSPER-14,TRUE,FALSE,Minor,129593559,1499d22h12m39,0
VYSPER-325,FALSE,FALSE,Blocker,1591578,18d10h06m18,0
VYSPER-201,TRUE,FALSE,Major,371068,04d07h04m28,0
VYSPER-202,TRUE,FALSE,Blocker,9671538,111d22h32m18,0
VYSPER-208,FALSE,FALSE,Major,92,00d00h01m32,0
VYSPER-96,TRUE,FALSE,Critical,51012,00d14h10m12,0
VYSPER-97,TRUE,FALSE,Major,775390,08d23h23m10,0
VYSPER-149,TRUE,FALSE,Major,897474,10d09h17m54,0
VYSPER-256,TRUE,FALSE,Major,6785,00d01h53m05,0
VYSPER-98,TRUE,FALSE,Major,28925,00d08h02m05,0
VYSPER-299,TRUE,FALSE,Minor,28750,00d07h59m10,0
VYSPER-247,TRUE,FALSE,Major,53089,00d14h44m49,0
VYSPER-265,TRUE,FALSE,Major,1045,00d00h17m25,0
VYSPER-334,FALSE,FALSE,Major,6283,00d01h44m43,0
VYSPER-335,FALSE,FALSE,Major,2480,00d00h41m20,0
VYSPER-336,FALSE,FALSE,Major,16716894,193d11h34m54,0
VYSPER-311,TRUE,FALSE,Major,1452,00d00h24m12,0
VYSPER-316,FALSE,FALSE,Critical,6302,00d01h45m02,0
VYSPER-317,TRUE,FALSE,Major,145186,01d16h19m46,0
VYSPER-314,FALSE,FALSE,Major,67183,00d18h39m43,0
VYSPER-183,FALSE,FALSE,Major,236150,02d17h35m50,0
VYSPER-309,FALSE,FALSE,Major,8122099,94d00h08m19,0
VYSPER-187,FALSE,FALSE,Major,11554,00d03h12m34,0
VYSPER-186,FALSE,FALSE,Minor,118504,01d08h55m04,0
VYSPER-185,TRUE,FALSE,Minor,73517642,850d21h34m02,1
VYSPER-322,TRUE,FALSE,Major,249780,02d21h23m00,0
VYSPER-281,FALSE,FALSE,Major,61,00d00h01m01,0
VYSPER-344,TRUE,FALSE,Major,101722,01d04h15m22,0
VYSPER-260,FALSE,FALSE,Major,3212,00d00h53m32,0
VYSPER-272,TRUE,FALSE,Major,15464,00d04h17m44,0
VYSPER-1,TRUE,FALSE,Major,40855709,472d20h48m29,0
VYSPER-275,TRUE,FALSE,Major,4030,00d01h07m10,0
