BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
WAVE-298,FALSE,FALSE,Major,3588319,41d12h45m19,0
WAVE-392,FALSE,FALSE,Major,62354,00d17h19m14,0
WAVE-346,TRUE,FALSE,Major,2846832,32d22h47m12,0
WAVE-338,FALSE,FALSE,Major,1480561,17d03h16m01,0
WAVE-332,FALSE,FALSE,Minor,82486,00d22h54m46,0
WAVE-333,TRUE,FALSE,Major,5089506,58d21h45m06,0
WAVE-142,FALSE,FALSE,Minor,19265412,222d23h30m12,0
WAVE-246,FALSE,FALSE,Minor,15556825,180d01h20m25,0
WAVE-352,TRUE,FALSE,Major,5771230,66d19h07m10,0
WAVE-371,TRUE,FALSE,Minor,61605117,713d00h31m57,0
WAVE-306,TRUE,FALSE,Major,16936988,196d00h43m08,0
WAVE-305,FALSE,FALSE,Critical,16971262,196d10h14m22,1
WAVE-328,FALSE,FALSE,Blocker,1051663,12d04h07m43,0
WAVE-321,FALSE,FALSE,Critical,686765,07d22h46m05,0
WAVE-360,FALSE,FALSE,Major,416160,04d19h36m00,0
WAVE-363,FALSE,FALSE,Minor,924908,10d16h55m08,0
WAVE-303,FALSE,FALSE,Major,1379197,15d23h06m37,0
WAVE-269,TRUE,FALSE,Minor,104618338,1210d20h38m58,1
WAVE-419,TRUE,FALSE,Major,291810,03d09h03m30,0
WAVE-413,FALSE,FALSE,Blocker,1745301,20d04h48m21,0
WAVE-438,TRUE,FALSE,Major,101733,01d04h15m33,0
WAVE-416,FALSE,FALSE,Minor,82024,00d22h47m04,0
WAVE-415,FALSE,FALSE,Minor,2209247,25d13h40m47,0
