BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
WICKET-5131,FALSE,FALSE,Major,333865,03d20h44m25,0
WICKET-317,FALSE,FALSE,Major,1378179,15d22h49m39,0
WICKET-3485,FALSE,FALSE,Minor,3301,00d00h55m01,0
WICKET-3486,FALSE,FALSE,Major,662280,07d15h58m00,0
WICKET-40,TRUE,FALSE,Critical,15329745,177d10h15m45,0
WICKET-3482,FALSE,FALSE,Minor,131058,01d12h24m18,0
WICKET-3483,FALSE,FALSE,Major,69,00d00h01m09,0
WICKET-3719,TRUE,FALSE,Major,1764155,20d10h02m35,0
WICKET-3715,TRUE,FALSE,Trivial,71768,00d19h56m08,0
WICKET-3717,FALSE,FALSE,Major,96389,01d02h46m29,0
WICKET-3711,TRUE,FALSE,Major,1187704,13d17h55m04,0
WICKET-3713,TRUE,FALSE,Minor,219481,02d12h58m01,0
WICKET-5477,TRUE,FALSE,Major,147286,01d16h54m46,0
WICKET-5476,TRUE,FALSE,Minor,45525,00d12h38m45,0
WICKET-5473,FALSE,FALSE,Critical,1170461,13d13h07m41,0
WICKET-5472,TRUE,FALSE,Major,76,00d00h01m16,0
WICKET-1977,FALSE,FALSE,Major,424723,04d21h58m43,0
WICKET-1973,FALSE,FALSE,Major,64988705,752d04h25m05,0
WICKET-5478,FALSE,FALSE,Minor,510,00d00h08m30,0
WICKET-3134,FALSE,FALSE,Major,10636,00d02h57m16,0
WICKET-3135,TRUE,FALSE,Major,7592110,87d20h55m10,1
WICKET-1623,FALSE,FALSE,Major,33371247,386d05h47m27,1
WICKET-3139,FALSE,FALSE,Trivial,257526,02d23h32m06,0
WICKET-2849,FALSE,FALSE,Minor,10485736,121d08h42m16,1
WICKET-2848,FALSE,FALSE,Minor,11032224,127d16h30m24,0
WICKET-5424,TRUE,FALSE,Major,125206,01d10h46m46,1
WICKET-2844,FALSE,FALSE,Major,8380221,96d23h50m21,0
WICKET-2843,FALSE,FALSE,Minor,462118,05d08h21m58,0
WICKET-4290,TRUE,FALSE,Major,1993648,23d01h47m28,0
WICKET-4292,TRUE,FALSE,Major,1713,00d00h28m33,0
WICKET-4293,TRUE,FALSE,Major,172185,01d23h49m45,1
WICKET-4297,FALSE,FALSE,Major,453,00d00h07m33,0
WICKET-4298,TRUE,FALSE,Major,679556,07d20h45m56,0
WICKET-2534,TRUE,FALSE,Major,27509,00d07h38m29,0
WICKET-2530,TRUE,FALSE,Major,54669,00d15h11m09,0
WICKET-3001,FALSE,FALSE,Major,197293,02d06h48m13,0
WICKET-5509,TRUE,FALSE,Major,5580,00d01h33m00,0
WICKET-4051,FALSE,FALSE,Major,16530,00d04h35m30,0
WICKET-3004,FALSE,FALSE,Critical,121470,01d09h44m30,0
WICKET-3005,TRUE,FALSE,Minor,113196,01d07h26m36,0
WICKET-4054,FALSE,FALSE,Major,82463,00d22h54m23,0
WICKET-4055,TRUE,FALSE,Minor,110478,01d06h41m18,0
WICKET-5502,FALSE,FALSE,Major,76,00d00h01m16,0
WICKET-4058,TRUE,FALSE,Minor,178635,02d01h37m15,0
WICKET-5500,FALSE,FALSE,Major,4569,00d01h16m09,0
WICKET-5506,FALSE,FALSE,Minor,1913734,22d03h35m34,0
WICKET-5505,FALSE,FALSE,Minor,603399,06d23h36m39,0
WICKET-5504,FALSE,FALSE,Major,606986,07d00h36m26,0
WICKET-3229,FALSE,FALSE,Minor,676631,07d19h57m11,0
WICKET-1718,TRUE,FALSE,Major,15297351,177d01h15m51,0
WICKET-1719,FALSE,FALSE,Major,7924153,91d17h09m13,0
WICKET-2645,TRUE,FALSE,Major,2788,00d00h46m28,0
WICKET-3222,TRUE,FALSE,Major,5749,00d01h35m49,0
WICKET-3223,FALSE,FALSE,Minor,683987,07d21h59m47,0
WICKET-3225,FALSE,FALSE,Trivial,145673,01d16h27m53,0
WICKET-1714,TRUE,FALSE,Major,1561,00d00h26m01,0
WICKET-1715,FALSE,FALSE,Minor,30365,00d08h26m05,0
WICKET-2647,TRUE,FALSE,Major,1854740,21d11h12m20,0
WICKET-2281,TRUE,FALSE,Major,352059,04d01h47m39,0
WICKET-6288,TRUE,FALSE,Major,5786351,66d23h19m11,0
WICKET-2286,FALSE,FALSE,Major,620934,07d04h28m54,0
WICKET-6283,FALSE,FALSE,Major,1502,00d00h25m02,0
WICKET-2995,TRUE,FALSE,Major,2276,00d00h37m56,0
WICKET-2994,FALSE,FALSE,Major,727853,08d10h10m53,0
WICKET-2996,FALSE,FALSE,Major,1321,00d00h22m01,0
WICKET-2993,TRUE,FALSE,Major,794,00d00h13m14,0
WICKET-2992,TRUE,FALSE,Major,4150,00d01h09m10,0
WICKET-2268,FALSE,FALSE,Critical,5309604,61d10h53m24,1
WICKET-2262,FALSE,FALSE,Minor,41541846,480d19h24m06,0
WICKET-2261,TRUE,FALSE,Major,2206653,25d12h57m33,0
WICKET-2264,FALSE,FALSE,Major,51688822,598d06h00m22,0
WICKET-1408,TRUE,FALSE,Trivial,1952,00d00h32m32,0
WICKET-1409,TRUE,FALSE,Major,14844659,171d19h30m59,0
WICKET-1402,FALSE,FALSE,Critical,127875,01d11h31m15,0
WICKET-1403,TRUE,FALSE,Minor,28555842,330d12h10m42,0
WICKET-1400,TRUE,FALSE,Major,173003,02d00h03m23,0
WICKET-1401,FALSE,FALSE,Major,76433,00d21h13m53,0
WICKET-5891,FALSE,FALSE,Major,465,00d00h07m45,0
WICKET-2666,FALSE,FALSE,Minor,844783,09d18h39m43,0
WICKET-5893,TRUE,FALSE,Major,115,00d00h01m55,0
WICKET-2196,TRUE,FALSE,Major,1073102,12d10h05m02,0
WICKET-5895,TRUE,FALSE,Major,139208,01d14h40m08,0
WICKET-2660,FALSE,FALSE,Major,2641918,30d13h51m58,0
WICKET-5898,TRUE,TRUE,Major,7934596,91d20h03m16,2
WICKET-2199,FALSE,FALSE,Major,515307,05d23h08m27,0
WICKET-2668,TRUE,FALSE,Minor,9713,00d02h41m53,0
WICKET-4871,FALSE,FALSE,Trivial,8075278,93d11h07m58,0
WICKET-4872,FALSE,FALSE,Major,59449,00d16h30m49,0
WICKET-6639,FALSE,FALSE,Major,180906,02d02h15m06,0
WICKET-4877,FALSE,FALSE,Minor,16682,00d04h38m02,0
