BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
WINK-342,FALSE,FALSE,Minor,601075,06d22h57m55,0
WINK-293,FALSE,FALSE,Major,614788,07d02h46m28,0
WINK-292,TRUE,FALSE,Minor,3890757,45d00h45m57,0
WINK-291,TRUE,FALSE,Major,615092,07d02h51m32,0
WINK-290,TRUE,FALSE,Major,227296,02d15h08m16,0
WINK-345,FALSE,FALSE,Critical,34847899,403d07h58m19,0
WINK-134,TRUE,FALSE,Major,16293,00d04h31m33,0
WINK-55,TRUE,FALSE,Major,103212,01d04h40m12,0
WINK-191,FALSE,FALSE,Major,23125,00d06h25m25,0
WINK-208,TRUE,FALSE,Major,14679,00d04h04m39,0
WINK-204,FALSE,FALSE,Major,1824,00d00h30m24,0
WINK-27,FALSE,FALSE,Major,1625074,18d19h24m34,0
WINK-201,TRUE,FALSE,Critical,1222675,14d03h37m55,1
WINK-363,FALSE,FALSE,Major,13178615,152d12h43m35,0
WINK-116,FALSE,FALSE,Major,3281,00d00h54m41,0
WINK-117,FALSE,FALSE,Major,3445836,39d21h10m36,0
WINK-366,FALSE,FALSE,Minor,11369,00d03h09m29,0
WINK-364,TRUE,FALSE,Major,87999,01d00h26m39,0
WINK-369,FALSE,FALSE,Minor,104040,01d04h54m00,0
WINK-119,TRUE,FALSE,Major,303884,03d12h24m44,0
WINK-188,TRUE,FALSE,Major,7493,00d02h04m53,0
WINK-187,FALSE,FALSE,Minor,42998,00d11h56m38,0
WINK-21,TRUE,FALSE,Major,61778,00d17h09m38,0
WINK-20,FALSE,FALSE,Major,58017,00d16h06m57,0
WINK-183,FALSE,FALSE,Blocker,1897403,21d23h03m23,0
WINK-26,FALSE,FALSE,Major,698653,08d02h04m13,0
WINK-24,FALSE,FALSE,Major,5806,00d01h36m46,0
WINK-219,TRUE,FALSE,Minor,13397418,155d01h30m18,0
WINK-217,FALSE,FALSE,Major,677041,07d20h04m01,0
WINK-214,TRUE,FALSE,Major,340090,03d22h28m10,0
WINK-107,TRUE,FALSE,Major,3450101,39d22h21m41,0
WINK-105,TRUE,FALSE,Major,28645,00d07h57m25,0
WINK-104,TRUE,FALSE,Major,54053,00d15h00m53,0
WINK-352,TRUE,FALSE,Major,517832,05d23h50m32,0
WINK-353,FALSE,FALSE,Major,435809,05d01h03m29,0
WINK-101,FALSE,FALSE,Major,9251,00d02h34m11,0
WINK-437,FALSE,FALSE,Major,191689,02d05h14m49,0
WINK-38,TRUE,FALSE,Minor,281770,03d06h16m10,0
WINK-30,TRUE,FALSE,Major,54784,00d15h13m04,0
WINK-31,FALSE,FALSE,Minor,31209,00d08h40m09,0
WINK-32,TRUE,FALSE,Major,519570,06d00h19m30,1
WINK-33,FALSE,FALSE,Major,31074,00d08h37m54,0
WINK-36,FALSE,FALSE,Minor,485081,05d14h44m41,1
WINK-356,FALSE,FALSE,Major,477831,05d12h43m51,0
WINK-220,TRUE,FALSE,Major,3719447,43d01h10m47,0
WINK-221,TRUE,FALSE,Major,3646772,42d04h59m32,0
WINK-226,FALSE,FALSE,Major,617,00d00h10m17,0
WINK-227,TRUE,FALSE,Major,421429,04d21h03m49,0
WINK-341,FALSE,FALSE,Minor,55387,00d15h23m07,0
WINK-130,FALSE,FALSE,Major,85957,00d23h52m37,0
WINK-229,TRUE,FALSE,Major,325256,03d18h20m56,1
WINK-136,FALSE,FALSE,Minor,742599,08d14h16m39,0
WINK-344,TRUE,FALSE,Major,1564,00d00h26m04,0
WINK-347,FALSE,FALSE,Minor,154118,01d18h48m38,0
WINK-53,FALSE,FALSE,Minor,523121,06d01h18m41,1
WINK-103,FALSE,FALSE,Major,38306,00d10h38m26,0
WINK-102,TRUE,FALSE,Major,387646,04d11h40m46,0
WINK-230,FALSE,FALSE,Critical,1192177,13d19h09m37,0
WINK-334,TRUE,FALSE,Major,620075,07d04h14m35,0
WINK-124,FALSE,FALSE,Blocker,9708,00d02h41m48,0
WINK-127,TRUE,FALSE,Major,605085,07d00h04m45,1
WINK-126,TRUE,FALSE,Major,643438,07d10h43m58,0
WINK-121,FALSE,FALSE,Major,2420348,28d00h19m08,0
WINK-120,FALSE,FALSE,Major,2418322,27d23h45m22,0
WINK-123,FALSE,FALSE,Major,74044,00d20h34m04,0
