BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
WSS-566,FALSE,FALSE,Critical,5412,00d01h30m12,0
WSS-567,FALSE,FALSE,Major,54625,00d15h10m25,0
WSS-564,FALSE,FALSE,Major,492,00d00h08m12,0
WSS-565,TRUE,FALSE,Major,5183,00d01h26m23,0
WSS-562,TRUE,FALSE,Major,882,00d00h14m42,0
WSS-563,FALSE,FALSE,Major,1127201,13d01h06m41,0
WSS-560,FALSE,FALSE,Critical,57458,00d15h57m38,0
WSS-446,TRUE,FALSE,Major,4495298,52d00h41m38,0
WSS-443,TRUE,FALSE,Major,2232899,25d20h14m59,0
WSS-442,TRUE,FALSE,Major,2666038,30d20h33m58,0
WSS-162,FALSE,FALSE,Major,4021,00d01h07m01,0
WSS-163,FALSE,FALSE,Major,1713,00d00h28m33,0
WSS-254,TRUE,FALSE,Critical,7891887,91d08h11m27,0
WSS-164,FALSE,FALSE,Major,809,00d00h13m29,0
WSS-165,FALSE,FALSE,Major,3302,00d00h55m02,0
WSS-258,FALSE,FALSE,Major,410739,04d18h05m39,0
WSS-449,TRUE,FALSE,Major,1109394,12d20h09m54,0
WSS-168,TRUE,FALSE,Major,151835,01d18h10m35,0
WSS-448,TRUE,FALSE,Major,1289108,14d22h05m08,0
WSS-319,FALSE,FALSE,Major,40877,00d11h21m17,0
WSS-318,FALSE,FALSE,Major,51388,00d14h16m28,0
WSS-603,FALSE,FALSE,Blocker,2185,00d00h36m25,0
WSS-602,TRUE,FALSE,Major,1589,00d00h26m29,0
WSS-317,FALSE,FALSE,Major,753,00d00h12m33,0
WSS-604,FALSE,FALSE,Major,651,00d00h10m51,0
WSS-390,FALSE,FALSE,Major,2063,00d00h34m23,0
WSS-393,TRUE,FALSE,Major,653067,07d13h24m27,0
WSS-392,FALSE,FALSE,Major,452,00d00h07m32,0
WSS-48,FALSE,FALSE,Major,3496081,40d11h08m01,0
WSS-394,TRUE,FALSE,Major,651718,07d13h01m58,0
WSS-396,FALSE,FALSE,Critical,21417,00d05h56m57,0
WSS-399,FALSE,FALSE,Major,409112,04d17h38m32,0
WSS-398,FALSE,FALSE,Major,68875,00d19h07m55,0
WSS-40,TRUE,TRUE,Major,145159157,1680d01h59m17,0
WSS-513,FALSE,FALSE,Critical,295161,03d09h59m21,0
WSS-117,TRUE,FALSE,Major,27785353,321d14h09m13,0
WSS-458,TRUE,FALSE,Major,599696,06d22h34m56,0
WSS-517,FALSE,FALSE,Major,57861,00d16h04m21,0
WSS-514,FALSE,FALSE,Minor,140770,01d15h06m10,0
WSS-452,TRUE,FALSE,Major,1555328,18d00h02m08,0
WSS-453,FALSE,FALSE,Major,259454,03d00h04m14,0
WSS-519,TRUE,FALSE,Major,444088,05d03h21m28,1
WSS-457,FALSE,FALSE,Major,1191749,13d19h02m29,0
WSS-454,FALSE,FALSE,Major,246883,02d20h34m43,0
WSS-306,FALSE,FALSE,Major,441901,05d02h45m01,0
WSS-304,FALSE,FALSE,Major,969498,11d05h18m18,0
WSS-302,FALSE,FALSE,Major,6842,00d01h54m02,0
WSS-303,TRUE,FALSE,Major,53823,00d14h57m03,0
WSS-300,TRUE,FALSE,Major,1176044,13d14h40m44,0
WSS-198,TRUE,FALSE,Major,3372630,39d00h50m30,0
WSS-196,FALSE,FALSE,Major,422,00d00h07m02,0
WSS-261,TRUE,FALSE,Major,20377711,235d20h28m31,0
WSS-260,FALSE,FALSE,Major,438,00d00h07m18,0
WSS-262,TRUE,TRUE,Major,2136,00d00h35m36,0
WSS-618,TRUE,FALSE,Major,163337,01d21h22m17,1
WSS-116,TRUE,FALSE,Major,100,00d00h01m40,0
WSS-114,FALSE,FALSE,Major,73651,00d20h27m31,0
WSS-113,TRUE,FALSE,Minor,98553,01d03h22m33,0
WSS-652,TRUE,FALSE,Blocker,166598,01d22h16m38,0
WSS-111,TRUE,FALSE,Minor,21253433,245d23h43m53,0
WSS-610,FALSE,FALSE,Major,149456,01d17h30m56,0
WSS-611,TRUE,FALSE,Major,1002874,11d14h34m34,0
WSS-612,TRUE,FALSE,Major,493071,05d16h57m51,0
WSS-590,FALSE,FALSE,Minor,1195565,13d20h06m05,0
WSS-614,TRUE,FALSE,Major,3348564,38d18h09m24,1
WSS-594,FALSE,FALSE,Major,12088,00d03h21m28,0
WSS-221,FALSE,FALSE,Major,394140,04d13h29m00,0
WSS-58,FALSE,FALSE,Major,230081,02d15h54m41,0
WSS-389,FALSE,FALSE,Major,1423,00d00h23m43,0
WSS-53,FALSE,FALSE,Critical,347621,04d00h33m41,0
WSS-52,FALSE,FALSE,Major,54004250,625d01h10m50,0
WSS-51,FALSE,FALSE,Major,53191475,615d15h24m35,0
WSS-385,FALSE,FALSE,Minor,3083,00d00h51m23,0
WSS-382,FALSE,FALSE,Major,45139,00d12h32m19,0
WSS-56,TRUE,FALSE,Major,48562906,562d01h41m46,0
WSS-55,FALSE,FALSE,Critical,17648569,204d06h22m49,0
WSS-54,TRUE,FALSE,Major,51589149,597d02h19m09,0
WSS-500,TRUE,FALSE,Major,356543,04d03h02m23,0
WSS-501,TRUE,TRUE,Major,353138,04d02h05m38,0
WSS-62,TRUE,FALSE,Major,64902490,751d04h28m10,0
WSS-36,FALSE,FALSE,Major,81618756,944d15h52m36,0
WSS-33,TRUE,FALSE,Major,9209,00d02h33m29,0
WSS-32,FALSE,FALSE,Major,1192,00d00h19m52,0
WSS-625,FALSE,FALSE,Major,4153786,48d01h49m46,0
WSS-624,FALSE,FALSE,Major,5537326,64d02h08m46,0
WSS-626,TRUE,FALSE,Major,701690,08d02h54m50,0
WSS-620,FALSE,FALSE,Major,1166,00d00h19m26,0
CXF-5420,FALSE,FALSE,Minor,71494,00d19h51m34,0
WSS-427,TRUE,FALSE,Major,5357,00d01h29m17,0
WSS-273,FALSE,TRUE,Major,7245449,83d20h37m29,0
WSS-270,TRUE,FALSE,Major,656,00d00h10m56,0
WSS-617,FALSE,FALSE,Major,179,00d00h02m59,0
WSS-423,TRUE,FALSE,Major,65,00d00h01m05,0
WSS-95,FALSE,FALSE,Major,5401937,62d12h32m17,0
WSS-182,FALSE,FALSE,Blocker,20219,00d05h36m59,0
WSS-105,TRUE,FALSE,Minor,28508463,329d23h01m03,1
WSS-106,FALSE,FALSE,Major,338944,03d22h09m04,0
WSS-100,FALSE,FALSE,Major,245264,02d20h07m44,0
WSS-101,FALSE,FALSE,Major,236869,02d17h47m49,0
WSS-102,TRUE,FALSE,Major,9149557,105d21h32m37,0
WSS-103,TRUE,FALSE,Minor,501375,05d19h16m15,0
WSS-580,FALSE,FALSE,Major,59937,00d16h38m57,0
WSS-582,FALSE,FALSE,Major,1891,00d00h31m31,0
WSS-583,FALSE,FALSE,Minor,146831,01d16h47m11,0
WSS-108,TRUE,FALSE,Minor,426668,04d22h31m08,0
WSS-109,TRUE,FALSE,Minor,333163,03d20h32m43,0
WSS-587,FALSE,FALSE,Major,5327,00d01h28m47,0
WSS-481,TRUE,FALSE,Major,4846411,56d02h13m31,0
WSS-535,FALSE,FALSE,Major,42035,00d11h40m35,0
WSS-536,FALSE,FALSE,Critical,69564,00d19h19m24,0
WSS-482,TRUE,FALSE,Major,3032046,35d02h14m06,0
WSS-227,FALSE,FALSE,Major,1541413,17d20h10m13,0
WSS-634,FALSE,FALSE,Minor,22994,00d06h23m14,0
WSS-87,TRUE,FALSE,Major,40841254,472d16h47m34,0
WSS-89,FALSE,FALSE,Major,172803,02d00h00m03,0
WSS-436,TRUE,FALSE,Major,271918,03d03h31m58,1
WSS-431,FALSE,FALSE,Major,22875,00d06h21m15,0
WSS-433,TRUE,FALSE,Major,3108002,35d23h20m02,0
WSS-175,FALSE,FALSE,Major,267190,03d02h13m10,0
WSS-133,TRUE,FALSE,Minor,6901153,79d20h59m13,0
WSS-50,FALSE,FALSE,Blocker,11564933,133d20h28m53,0
WSS-209,FALSE,FALSE,Major,257405,02d23h30m05,0
WSS-206,TRUE,TRUE,Major,25145070,291d00h44m30,0
WSS-301,TRUE,FALSE,Major,22032,00d06h07m12,0
WSS-129,FALSE,FALSE,Major,8472764,98d01h32m44,0
CXF-497,FALSE,FALSE,Major,1785100,20d15h51m40,0
WSS-201,TRUE,FALSE,Major,10543,00d02h55m43,0
WSS-286,FALSE,FALSE,Major,89976,01d00h59m36,0
WSS-285,FALSE,FALSE,Major,334,00d00h05m34,0
WSS-226,TRUE,FALSE,Major,7349092,85d01h24m52,0
WSS-283,FALSE,FALSE,Major,50117,00d13h55m17,0
WSS-280,FALSE,FALSE,Major,144873,01d16h14m33,0
WSS-86,TRUE,FALSE,Minor,41043750,475d01h02m30,0
WSS-526,FALSE,FALSE,Major,94531,01d02h15m31,0
WSS-408,TRUE,FALSE,Major,13927650,161d04h47m30,0
WSS-6,TRUE,FALSE,Major,3010907,34d20h21m47,0
WSS-99,FALSE,FALSE,Minor,38015777,439d23h56m17,1
WSS-97,FALSE,FALSE,Major,11132595,128d20h23m15,0
WSS-96,TRUE,FALSE,Critical,11148830,129d00h53m50,0
WSS-357,TRUE,FALSE,Major,380,00d00h06m20,0
