BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
XBEAN-99,FALSE,FALSE,Major,6114,00d01h41m54,0
XBEAN-94,FALSE,FALSE,Major,1611315,18d15h35m15,0
XBEAN-95,TRUE,FALSE,Major,11520294,133d08h04m54,0
XBEAN-91,TRUE,FALSE,Major,34542,00d09h35m42,0
XBEAN-92,FALSE,FALSE,Blocker,63527795,735d06h36m35,0
XBEAN-93,FALSE,FALSE,Major,450,00d00h07m30,0
XBEAN-15,FALSE,FALSE,Major,175,00d00h02m55,0
XBEAN-16,FALSE,FALSE,Blocker,1482,00d00h24m42,0
XBEAN-13,FALSE,FALSE,Major,80952,00d22h29m12,0
XBEAN-122,FALSE,FALSE,Major,6216297,71d22h44m57,0
XBEAN-121,TRUE,FALSE,Major,115065687,1331d18h41m27,0
XBEAN-238,FALSE,FALSE,Major,3304982,38d06h03m02,0
XBEAN-127,TRUE,FALSE,Major,326,00d00h05m26,0
XBEAN-126,FALSE,FALSE,Major,2779924,32d04h12m04,0
XBEAN-125,TRUE,FALSE,Major,100067,01d03h47m47,0
XBEAN-233,TRUE,FALSE,Major,322,00d00h05m22,0
XBEAN-6,FALSE,FALSE,Major,646585,07d11h36m25,0
XBEAN-141,FALSE,FALSE,Major,17309,00d04h48m29,0
XBEAN-258,FALSE,FALSE,Major,58152,00d16h09m12,0
XBEAN-89,FALSE,FALSE,Major,5814,00d01h36m54,0
XBEAN-146,FALSE,FALSE,Major,79738114,922d21h28m34,0
XBEAN-84,FALSE,FALSE,Major,66,00d00h01m06,0
XBEAN-254,FALSE,FALSE,Major,49,00d00h00m49,0
XBEAN-81,FALSE,FALSE,Major,1712,00d00h28m32,0
XBEAN-80,FALSE,FALSE,Major,268,00d00h04m28,0
XBEAN-134,FALSE,FALSE,Major,1299169,15d00h52m49,0
XBEAN-135,FALSE,FALSE,Major,1212730,14d00h52m10,0
XBEAN-136,TRUE,FALSE,Major,8837,00d02h27m17,0
XBEAN-130,FALSE,FALSE,Major,9305517,107d16h51m57,0
XBEAN-132,FALSE,FALSE,Major,8009359,92d16h49m19,0
XBEAN-133,FALSE,FALSE,Minor,79547,00d22h05m47,0
XBEAN-139,FALSE,FALSE,Major,27574,00d07h39m34,0
XBEAN-153,FALSE,FALSE,Major,1243,00d00h20m43,0
XBEAN-248,TRUE,FALSE,Major,51,00d00h00m51,0
XBEAN-249,TRUE,FALSE,Major,10050,00d02h47m30,0
XBEAN-156,FALSE,FALSE,Major,55190763,638d18h46m03,0
XBEAN-154,FALSE,FALSE,Major,141,00d00h02m21,0
XBEAN-155,FALSE,FALSE,Major,146,00d00h02m26,0
XBEAN-242,FALSE,FALSE,Major,3357595,38d20h39m55,0
XBEAN-241,TRUE,FALSE,Blocker,717993,08d07h26m33,0
XBEAN-39,FALSE,FALSE,Major,130287,01d12h11m27,0
XBEAN-32,FALSE,FALSE,Major,401,00d00h06m41,0
XBEAN-30,TRUE,FALSE,Major,2977,00d00h49m37,0
XBEAN-37,FALSE,FALSE,Blocker,8710,00d02h25m10,0
XBEAN-279,TRUE,FALSE,Major,857136,09d22h05m36,0
XBEAN-161,FALSE,FALSE,Major,410,00d00h06m50,0
XBEAN-278,TRUE,FALSE,Major,857202,09d22h06m42,0
XBEAN-277,FALSE,FALSE,Major,89,00d00h01m29,0
XBEAN-274,FALSE,FALSE,Major,249,00d00h04m09,0
XBEAN-272,FALSE,FALSE,Major,1744,00d00h29m04,0
OPENEJB-1252,FALSE,TRUE,Major,17373665,201d02h01m05,1
XBEAN-270,FALSE,FALSE,Major,1423,00d00h23m43,0
XBEAN-29,TRUE,FALSE,Major,944867,10d22h27m47,0
XBEAN-26,TRUE,FALSE,Major,1525939,17d15h52m19,0
XBEAN-21,TRUE,FALSE,Major,1881980,21d18h46m20,0
XBEAN-23,FALSE,FALSE,Major,231,00d00h03m51,0
XBEAN-263,TRUE,FALSE,Major,83951,00d23h19m11,0
