BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ZEPPELIN-757,FALSE,FALSE,Trivial,82622,00d22h57m02,0
ZEPPELIN-754,FALSE,FALSE,Major,652492,07d13h14m52,0
ZEPPELIN-3391,TRUE,FALSE,Major,656691,07d14h24m51,0
ZEPPELIN-751,FALSE,FALSE,Major,667957,07d17h32m37,0
ZEPPELIN-1387,TRUE,FALSE,Major,2037728,23d14h02m08,0
ZEPPELIN-3399,TRUE,FALSE,Minor,664473,07d16h34m33,0
ZEPPELIN-3099,FALSE,FALSE,Major,7966831,92d05h00m31,1
ZEPPELIN-3098,FALSE,FALSE,Major,3571530,41d08h05m30,0
ZEPPELIN-755,FALSE,FALSE,Major,462381,05d08h26m21,0
ZEPPELIN-185,FALSE,FALSE,Major,2270110,26d06h35m10,0
ZEPPELIN-3091,FALSE,FALSE,Major,811012,09d09h16m52,0
ZEPPELIN-3309,FALSE,TRUE,Critical,252424,02d22h07m04,0
ZEPPELIN-3463,FALSE,FALSE,Major,187573,02d04h06m13,0
ZEPPELIN-3395,FALSE,FALSE,Major,591537,06d20h18m57,0
ZEPPELIN-3304,FALSE,FALSE,Major,6890,00d01h54m50,0
ZEPPELIN-638,FALSE,FALSE,Major,581935,06d17h38m55,0
ZEPPELIN-119,FALSE,FALSE,Major,198340,02d07h05m40,0
ZEPPELIN-3265,FALSE,FALSE,Major,14982,00d04h09m42,0
ZEPPELIN-111,FALSE,FALSE,Major,38151,00d10h35m51,0
ZEPPELIN-3520,TRUE,FALSE,Major,1792310,20d17h51m50,0
ZEPPELIN-3522,FALSE,FALSE,Major,1098167,12d17h02m47,0
ZEPPELIN-2985,FALSE,FALSE,Trivial,489782,05d16h03m02,0
ZEPPELIN-3489,FALSE,FALSE,Blocker,193075,02d05h37m55,0
ZEPPELIN-2988,FALSE,FALSE,Major,428323,04d22h58m43,0
ZEPPELIN-3484,TRUE,FALSE,Minor,131399,01d12h29m59,0
ZEPPELIN-3482,FALSE,FALSE,Major,491808,05d16h36m48,0
ZEPPELIN-1239,FALSE,FALSE,Minor,12562294,145d09h31m34,0
ZEPPELIN-331,TRUE,FALSE,Major,9823039,113d16h37m19,0
ZEPPELIN-620,FALSE,FALSE,Major,1882570,21d18h56m10,0
ZEPPELIN-2103,FALSE,FALSE,Major,833620,09d15h33m40,0
ZEPPELIN-335,TRUE,FALSE,Major,32446469,375d12h54m29,0
ZEPPELIN-4102,FALSE,FALSE,Major,5423604,62d18h33m24,0
ZEPPELIN-628,TRUE,FALSE,Critical,2380563,27d13h16m03,0
ZEPPELIN-1461,TRUE,FALSE,Major,3707631,42d21h53m51,0
ZEPPELIN-1466,FALSE,TRUE,Blocker,1273814,14d17h50m14,0
ZEPPELIN-183,TRUE,FALSE,Major,24154311,279d13h31m51,0
ZEPPELIN-2024,FALSE,FALSE,Major,38583,00d10h43m03,0
ZEPPELIN-2023,FALSE,FALSE,Major,412016,04d18h26m56,0
ZEPPELIN-2149,FALSE,FALSE,Major,1843387,21d08h03m07,0
ZEPPELIN-1744,FALSE,FALSE,Major,1196872,13d20h27m52,0
ZEPPELIN-2147,FALSE,FALSE,Major,455280,05d06h28m00,0
ZEPPELIN-410,FALSE,FALSE,Major,112067,01d07h07m47,0
ZEPPELIN-868,FALSE,FALSE,Major,11439089,132d09h31m29,0
ZEPPELIN-3411,FALSE,FALSE,Major,515812,05d23h16m52,0
