BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ZOOKEEPER-1358,FALSE,FALSE,Trivial,520456,06d00h34m16,0
ZOOKEEPER-609,FALSE,FALSE,Blocker,1119442,12d22h57m22,0
ZOOKEEPER-2030,FALSE,FALSE,Minor,867251,10d00h54m11,0
ZOOKEEPER-1294,TRUE,FALSE,Major,5667267,65d14h14m27,0
ZOOKEEPER-1352,TRUE,FALSE,Major,2727601,31d13h40m01,0
ZOOKEEPER-1353,FALSE,FALSE,Minor,2629038,30d10h17m18,0
ZOOKEEPER-1299,FALSE,FALSE,Major,1565,00d00h26m05,0
ZOOKEEPER-1351,TRUE,FALSE,Major,963581,11d03h39m41,0
ZOOKEEPER-2785,FALSE,FALSE,Critical,135010,01d13h30m10,0
ZOOKEEPER-2786,TRUE,FALSE,Major,7084727,81d23h58m47,1
ZOOKEEPER-2039,FALSE,FALSE,Minor,220606,02d13h16m46,0
ZOOKEEPER-417,TRUE,FALSE,Blocker,2689119,31d02h58m39,0
ZOOKEEPER-416,FALSE,FALSE,Major,133462,01d13h04m22,0
ZOOKEEPER-415,FALSE,FALSE,Major,39372,00d10h56m12,0
ZOOKEEPER-1984,FALSE,FALSE,Major,68376,00d18h59m36,0
ZOOKEEPER-1451,FALSE,FALSE,Trivial,527087,06d02h24m47,0
ZOOKEEPER-412,FALSE,FALSE,Major,207398540,2400d10h42m20,0
ZOOKEEPER-411,FALSE,FALSE,Major,86553,01d00h02m33,0
ZOOKEEPER-1596,FALSE,FALSE,Major,636362,07d08h46m02,0
ZOOKEEPER-1597,FALSE,FALSE,Major,30078867,348d03h14m27,1
ZOOKEEPER-1590,FALSE,FALSE,Blocker,40196,00d11h09m56,0
ZOOKEEPER-1591,FALSE,FALSE,Major,249128,02d21h12m08,0
ZOOKEEPER-419,FALSE,FALSE,Critical,65261,00d18h07m41,0
ZOOKEEPER-1203,FALSE,FALSE,Major,502967,05d19h42m47,0
ZOOKEEPER-2735,FALSE,FALSE,Trivial,57320,00d15h55m20,0
ZOOKEEPER-2737,FALSE,TRUE,Critical,260162,03d00h16m02,0
ZOOKEEPER-2329,FALSE,FALSE,Minor,6873,00d01h54m33,0
ZOOKEEPER-1851,TRUE,FALSE,Blocker,17864771,206d18h26m11,0
ZOOKEEPER-1853,FALSE,FALSE,Minor,58751324,679d23h48m44,0
ZOOKEEPER-75,FALSE,FALSE,Major,3682,00d01h01m22,0
ZOOKEEPER-2325,TRUE,TRUE,Critical,92662931,1072d11h42m11,1
ZOOKEEPER-2252,FALSE,FALSE,Minor,9765336,113d00h35m36,0
ZOOKEEPER-2253,FALSE,FALSE,Major,3277879,37d22h31m19,0
ZOOKEEPER-855,FALSE,FALSE,Trivial,4604849,53d07h07m29,0
ZOOKEEPER-2251,TRUE,FALSE,Critical,92708977,1073d00h29m37,0
ZOOKEEPER-2256,FALSE,FALSE,Minor,1486418,17d04h53m38,0
ZOOKEEPER-2558,FALSE,FALSE,Minor,100945,01d04h02m25,0
ZOOKEEPER-1189,TRUE,FALSE,Major,902535,10d10h42m15,0
ZOOKEEPER-3320,FALSE,FALSE,Major,12885310,149d03h15m10,0
ZOOKEEPER-1185,FALSE,FALSE,Major,1040318,12d00h58m38,0
ZOOKEEPER-2556,FALSE,FALSE,Minor,5029062,58d04h57m42,0
ZOOKEEPER-1181,FALSE,FALSE,Major,3481708,40d07h08m28,0
ZOOKEEPER-1357,TRUE,FALSE,Minor,71362121,825d22h48m41,0
ZOOKEEPER-1779,FALSE,FALSE,Critical,13317129,154d03h12m09,0
ZOOKEEPER-1673,TRUE,FALSE,Minor,34774805,402d11h40m05,0
ZOOKEEPER-1672,FALSE,FALSE,Trivial,106868,01d05h41m08,0
ZOOKEEPER-1354,FALSE,FALSE,Major,4758914,55d01h55m14,0
ZOOKEEPER-1770,FALSE,FALSE,Minor,143146,01d15h45m46,0
ZOOKEEPER-1773,FALSE,FALSE,Major,156996,01d19h36m36,0
ZOOKEEPER-1774,FALSE,FALSE,Blocker,540828,06d06h13m48,0
ZOOKEEPER-247,FALSE,FALSE,Major,368381,04d06h19m41,0
ZOOKEEPER-245,FALSE,FALSE,Major,443654,05d03h14m14,0
ZOOKEEPER-563,FALSE,FALSE,Major,39194,00d10h53m14,0
ZOOKEEPER-562,FALSE,FALSE,Blocker,262197,03d00h49m57,0
ZOOKEEPER-567,FALSE,FALSE,Major,1005720,11d15h22m00,0
ZOOKEEPER-566,TRUE,TRUE,Critical,1261620,14d14h27m00,0
ZOOKEEPER-480,TRUE,TRUE,Major,1312465,15d04h34m25,0
ZOOKEEPER-481,TRUE,TRUE,Major,1237744,14d07h49m04,0
ZOOKEEPER-569,TRUE,TRUE,Major,9139189,105d18h39m49,0
ZOOKEEPER-568,FALSE,FALSE,Major,369016,04d06h30m16,0
ZOOKEEPER-484,TRUE,FALSE,Blocker,1222182,14d03h29m42,0
ZOOKEEPER-485,FALSE,FALSE,Major,18656243,215d22h17m23,0
ZOOKEEPER-487,FALSE,FALSE,Blocker,599457,06d22h30m57,0
ZOOKEEPER-413,FALSE,FALSE,Minor,21617869,250d04h57m49,0
ZOOKEEPER-602,TRUE,FALSE,Blocker,174958506,2024d23h35m06,1
ZOOKEEPER-2133,FALSE,FALSE,Major,32104015,371d13h46m55,0
ZOOKEEPER-688,FALSE,FALSE,Critical,17558,00d04h52m38,0
ZOOKEEPER-689,FALSE,FALSE,Blocker,1661,00d00h27m41,0
ZOOKEEPER-682,FALSE,FALSE,Blocker,566841,06d13h27m21,0
ZOOKEEPER-683,TRUE,FALSE,Blocker,230611,02d16h03m31,0
ZOOKEEPER-681,FALSE,FALSE,Blocker,658952,07d15h02m32,0
ZOOKEEPER-687,FALSE,FALSE,Major,2626,00d00h43m46,0
ZOOKEEPER-684,TRUE,FALSE,Critical,572980,06d15h09m40,0
ZOOKEEPER-921,FALSE,FALSE,Major,4377242,50d15h54m02,0
ZOOKEEPER-3399,FALSE,FALSE,Major,317076,03d16h04m36,0
ZOOKEEPER-3253,TRUE,FALSE,Minor,3818952,44d04h49m12,1
ZOOKEEPER-1073,FALSE,FALSE,Minor,3678025,42d13h40m25,0
ZOOKEEPER-1367,TRUE,FALSE,Blocker,907692,10d12h08m12,0
ZOOKEEPER-1077,FALSE,FALSE,Critical,125535872,1452d23h04m32,0
ZOOKEEPER-1076,TRUE,FALSE,Minor,5565298,64d09h54m58,0
ZOOKEEPER-1810,TRUE,TRUE,Major,21036206,243d11h23m26,0
ZOOKEEPER-2173,FALSE,FALSE,Major,569054,06d14h04m14,0
ZOOKEEPER-1171,FALSE,FALSE,Minor,958507,11d02h15m07,0
ZOOKEEPER-1174,FALSE,TRUE,Critical,1912498,22d03h14m58,0
ZOOKEEPER-1277,TRUE,FALSE,Critical,11578153,134d00h09m13,0
ZOOKEEPER-1179,TRUE,FALSE,Critical,76237073,882d08h57m53,1
ZOOKEEPER-1271,TRUE,FALSE,Blocker,429952,04d23h25m52,0
ZOOKEEPER-1270,FALSE,TRUE,Blocker,652830,07d13h20m30,1
ZOOKEEPER-1273,TRUE,FALSE,Trivial,91987,01d01h33m07,0
ZOOKEEPER-318,FALSE,FALSE,Major,1396382,16d03h53m02,0
ZOOKEEPER-2683,TRUE,FALSE,Major,616127,07d03h08m47,0
ZOOKEEPER-1050,FALSE,FALSE,Trivial,22466254,260d00h37m34,0
ZOOKEEPER-1406,FALSE,FALSE,Major,1028194,11d21h36m34,0
ZOOKEEPER-3105,FALSE,FALSE,Major,304189,03d12h29m49,0
ZOOKEEPER-1781,TRUE,FALSE,Minor,339562,03d22h19m22,0
ZOOKEEPER-3072,FALSE,FALSE,Major,2464910,28d12h41m50,0
ZOOKEEPER-3079,FALSE,FALSE,Minor,570170,06d14h22m50,0
ZOOKEEPER-630,TRUE,FALSE,Major,39028,00d10h50m28,0
ZOOKEEPER-2951,FALSE,FALSE,Major,121769,01d09h49m29,0
ZOOKEEPER-2819,TRUE,FALSE,Critical,1125795,13d00h43m15,0
ZOOKEEPER-2953,FALSE,FALSE,Major,260661,03d00h24m21,0
ZOOKEEPER-1782,TRUE,FALSE,Major,117324969,1357d22h16m09,0
ZOOKEEPER-183,FALSE,FALSE,Major,360743,04d04h12m23,0
ZOOKEEPER-182,FALSE,FALSE,Major,361237,04d04h20m37,0
ZOOKEEPER-2959,TRUE,FALSE,Blocker,12172614,140d21h16m54,0
ZOOKEEPER-1007,FALSE,FALSE,Minor,946786,10d22h59m46,0
ZOOKEEPER-189,FALSE,FALSE,Major,3944,00d01h05m44,0
ZOOKEEPER-1058,FALSE,FALSE,Trivial,1458488,16d21h08m08,0
ZOOKEEPER-831,TRUE,TRUE,Major,3785643,43d19h34m03,0
ZOOKEEPER-341,FALSE,FALSE,Blocker,1646,00d00h27m26,0
ZOOKEEPER-347,FALSE,FALSE,Minor,1203965,13d22h26m05,0
ZOOKEEPER-346,FALSE,FALSE,Major,2150046,24d21h14m06,0
ZOOKEEPER-1083,FALSE,FALSE,Major,1126895,13d01h01m35,0
ZOOKEEPER-2375,FALSE,TRUE,Blocker,510007,05d21h40m07,0
ZOOKEEPER-1821,FALSE,FALSE,Major,405598,04d16h39m58,0
ZOOKEEPER-1823,TRUE,FALSE,Trivial,151148952,1749d09h49m12,0
ZOOKEEPER-21,TRUE,FALSE,Major,9319491,107d20h44m51,0
ZOOKEEPER-1412,TRUE,FALSE,Blocker,287569,03d07h52m49,0
ZOOKEEPER-2379,FALSE,FALSE,Blocker,117891,01d08h44m51,0
ZOOKEEPER-1431,FALSE,FALSE,Major,7578797,87d17h13m17,0
ZOOKEEPER-1417,FALSE,FALSE,Major,38706536,447d23h48m56,0
