commitID, type1, type2, type3, bugID
97b7cf60a7ab585cb6d8305cec1da1ee91d8485e,False,False,False,AMQ-6996
85bc9ce9d01cb1174572ed23372e18d753837eec,True,True,True,AMQ-4181,AMQ-4487,AMQ-4372,AMQ-4595
8b064889c68d092f7b0fd425d2b1f65f4da37e2b,False,False,False,AMQ-6643
dffccb1c7dc8e4b4a6282fd5056dfd854d2d2a9b,False,False,False,AMQ-5417
a7178a46b7b596d5ce425d51c6c2a4a387ca46ce,True,True,True,AMQ-5703
4fe2bd534a6b8b256790ce148dbad21f704e86e5,True,False,True,AMQ-5622
35f30102a6d2083bd640f86f30abffc536863458,False,False,False,AMQ-2100
b0bf144e7a6473f207e4897f9a0971665f0e2b66,False,False,False,AMQ-5164
9fbf52df7aca04369839977f9761adbe7ec55fc9,False,False,False,AMQ-4090
e7703f70e0f679d0534379be26aa3de612747f93,True,True,True,AMQ-4977
bf1c57b33d2c013a8096b5a1982a00c20ce25909,False,False,False,AMQ-5265
0bfb28a0bce4f81a8e91dd672d175e39d29113e4,False,False,False,AMQ-1957
afe73c1861235b60b6416a06e557b8c8b7db1d67,True,True,True,AMQ-3746
a24133e1e3c334ee092c1367cf51fdf31a459cd5,False,True,True,AMQ-2435
4474eb8a1b3e376af5ad14a5a69e7bcc97480f23,False,False,False,AMQ-1014
913f64476b66c452fa03cb4fb8c09d831825bca5,True,False,True,AMQ-6073
03a211ec061d9ed49dc1ac16f171d8f4458483b8,True,False,True,AMQ-6317
3985e7225fb773d418d6f32adad4d4f932a4de10,False,False,False,AMQ-5853
554a01a42075ad03b4e60f885a2c831c8e0792a0,False,False,False,AMQ-2728
3c39b5d40bf559050acf44ee870d70acf93e4bbb,False,False,False,AMQ-2900
49974279a745604d1028a78426985d438fc3762c,False,False,False,AMQ-6175
1f53b124bcdc41e6241c811f6854c42855deaf6a,False,False,False,AMQ-6602
7029d9b058282cd114afcf52fede7b7dd168f434,False,False,False,AMQ-1306
7eb25ec50bd3af931c6ae876d9f7bef09385ba43,False,False,False,AMQ-6136
6cc2c1190da15579a9a886bad03596e14a77a677,False,False,False,AMQ-6361
8f7dbccf4cd19596c88c691e71c2dfd7c2ff4ebb,False,False,False,AMQ-4731
f4df288872bc5e140301b7c764faa53037f73dff,False,False,False,AMQ-3562
2cb21198141c8980a0d84b697809053a6ad36f35,False,True,True,AMQ-1467
d261ffd9e9dafc9bedc77e32b68d1412f24179b9,True,False,True,AMQ-1926
6e1ba4a93edb4b3b9157156e1ef929eb80dd284d,False,False,False,AMQ-2513
f8bfff0bc864b67ff97c67f6193e0fe7785cfbbe,True,True,True,AMQ-6029
0ee4f5b84302daf8901363556d038e274c2defd5,False,False,False,AMQ-6587
926fdd7e92d5ac1cfde4658a4c9a726139e2c315,True,True,True,AMQ-3780
98a5e55a9676f6857aefed5a0d4a364ba4920375,False,False,False,AMQ-6834
1978ac4573528545c82ac8cf2c6d909834b6c9d6,False,False,False,AMQ-4134
4d37271c5ae8612e114e580b0bbfc9f442ec1b6c,False,False,False,AMQ-4254
d7aaca50348f92c0dfe87d775da5021dd0763b4f,True,True,True,AMQ-4513
57264bf8dc9970d7d808cf24216b6185ceb644e2,False,False,False,AMQ-6206
b39430ab17560224d4a1beefc721f1d9f56e5439,True,False,True,XBEAN-101
e901d2fd2e9afe7a175231ec30aa4c8781762c23,False,False,False,AMQ-3684
00fb101e2a7ebc72506f8b237b5b0b8c5160a95d,True,False,True,AMQ-3454
d36c0d4de7d75e455536cba19d0acb378497d6ae,False,True,True,AMQ-1293
b86c666c4058e2c4ef09e77409044732959eacb6,False,False,False,AMQ-7126
ea82d5de5b2a78e88326477ba53a2f90350beecd,False,False,False,AMQ-2993
4141d6a2231f459cbed3c9b5fce7b54f1cdf3860,False,False,False,AMQ-5444
f87f56294df3d1494e9bb548fe989bb111e1c08b,False,False,False,AMQ-4373
15dc6cc7659bfacf3ca10c490466a2cf2d3c54de,False,False,False,AMQ-6246
99088c7ba62dde3cca2d4f5c2e093ee01c92192e,False,False,False,AMQ-3905
37ede544868e2bf662f06dcbb2bffae5dd2f30a9,False,False,False,AMQ-4487
03785a4d53877bb4088e0d83558d09147e1f0124,False,False,False,AMQ-6334
99966f58e74ceab189d634ab27c672b4ba36acde,False,False,False,AMQ-1467
3cea40d889fa87aa053fa2472f90c3d30b586352,False,False,False,AMQ-3775
b4c3a30b9e061868630ba19b14d88c61cd1ac44f,False,False,False,AMQ-1103
