commitID, type1, type2, type3, bugID
fe114b90dff01f10d91055577e58c4325dd45a6e,False,False,False,AVRO-1356
0ad579a6276a75f018d60be364534ad2d142db69,False,False,False,AVRO-1039
e62b98c7c6ff0c38f142b72d3b3fed7f3d717710,True,False,True,AVRO-1642
914bdb53b61b9b65e3260459217bdf6063b9b83b,False,False,False,AVRO-733
23de4d0133f04fd9d33b54a7c304f92b6802049e,False,False,False,AVRO-1897
32067dec274ba93aa0775fcfe990eef3b87b534c,False,False,False,AVRO-1824
315d842148d57590a58fafecf6e5ea378e9e0d74,False,False,False,AVRO-1783
005c7e0fd6377162a1bd7cc425cb35a23cdf9d52,False,False,False,AVRO-1573
63ad1ce82e49b683a073745223a017057db8acab,False,False,False,AVRO-675
56d154f53715a3234a7cafd5fca4bbeb15999f6c,False,False,False,AVRO-227
749934f3cd13c413e293815e7f64848a688a6e60,False,False,False,AVRO-1719
044c065e73bd04f639e7f26a9a8a3166fd3ab821,True,False,True,AVRO-1020
e10bd69255549a854d1ef178ab9df4dbd99dd2ac,False,False,False,AVRO-1322
a23505906e4fe76706365ff7aa92f386fb6fcf97,False,False,False,AVRO-496
b8c37b32256113bd64f35f0b97e673d74ef61db2,False,False,False,AVRO-1047
5b88de9f8724e046c745869b335b82a4af439af3,False,False,False,AVRO-845
2b1580376f7ad813683a981657e9a88615397568,False,False,False,AVRO-424
27cb9e271715b00ff5784164a9fb02de00e57203,False,False,False,AVRO-1914
2564afeb1fdc4792603f7ddc1a7b3b347d05b54e,False,False,False,AVRO-1780
3f7443f350516b697e9e409c757c432be4540662,False,False,False,AVRO-527
b790897340eefc626c107c1578f26ee49a3de412,False,False,False,AVRO-1181
37ce7f72478fcd3dd15637efe25b422f9631bacc,True,False,True,AVRO-1997
c11181848af28d91162a4f87647400eacaafcff5,False,False,False,AVRO-198
14bad855be78ba3416a0ff477ca8c6ca688ec9a8,False,False,False,AVRO-944
56794b99650ef9343e7e7fd5b518391cfeaff032,False,False,False,AVRO-309
e4b9acafd627dc6771e4a49b028cef68b6ff2ab1,False,False,False,AVRO-1382
1c5205ef3f1516fa5f3a323057139bffd5758182,True,False,True,AVRO-1667
01f774f28153d220f59bff026ade4982d20ace2d,False,False,False,AVRO-981
1167caf735140964f5dcba441b76d99e7c9ceed1,False,False,False,AVRO-389
dc4d37dd6d5d69ea27ffff797d926b9042719643,False,False,False,AVRO-1050
a612645c98b33802c70259bc9599e39afc32b385,True,False,True,AVRO-669
8336f7ece1dc65b1dc17edff5dab9d9ad7aa9666,False,False,False,AVRO-1990
ea125d9f3a7aaa3876bab84b08a0d7f1fa2e8904,False,False,False,AVRO-1098
