commitID, type1, type2, type3, bugID
6911018efd7994b4b61d60d509dc07141af0a155,False,False,False,AXIS2-2508
b28ab73de3f5e4cbe2bb2cba9a25597c3d651509,False,False,False,AXIS2-1065
c1cb1652d6b840f75c71d02739bc1492cd27cb44,False,False,False,AXIS2-4636
ccc69c5d7558e43dd5c4f7937063860406ee8917,True,True,True,AXIS2-2248
331b5255e8c2c76eb86f49c625b0b3d9b626a3b0,True,True,True,AXIS2-1544,AXIS2-1545
32f28156729e3bf05e0a35d44529ef09a583ad38,False,False,False,AXIS2-2122
2cbdd95afba0f55f3f2ecf5ea08f0ba987463416,True,True,True,AXIS2-3382
c57695593a53f45424862d91739edff809602e97,False,True,True,AXIS2-652
fd8e7165746b8ce66bebcefaf95b6dce327d0e22,False,False,False,AXIS2-4749
a4ad5f6d3fa1fd9e676fb690d8e302ec8f0c463b,False,False,False,AXIS2-1063
ccc5477c75ba5789024ac5cfc79e52d2922b4d9a,False,False,False,AXIS2-5293
067cf5f134f811c0cb97dd151dd894e1686ed1ef,False,False,False,AXIS2-2272
8851ce59d1d652bd6ecc8d87e1f73f5761b50114,False,False,False,AXIS2-1356
30e979c79514aaad83812df4c61908096c15232a,True,True,True,AXIS2-4988
bcea9844ce11731ec56162b555e2f611a61ef937,False,False,False,AXIS2-2440
65e70ea8ec018f12881d8996af943ea9848ff65e,False,False,False,AXIS2-2046
0b75f25cb044b0e3717fbb807c435c3392b53813,False,False,False,AXIS2-2056
08a4dda9d3a176b7165190dc099737667b13c318,True,False,True,AXIS2-5761
fe7c267d7dca2f93ab227796efb86c8b326e82da,False,False,False,AXIS2-4733
ab124e90bc4d74f2d1c4fc481929863501f14413,False,False,False,AXIS2-1468
978c79ff6b09c02eb693352c844791c5fa7d1290,False,False,False,AXIS2-987,AXIS2-963
58a7ab9bb752700f319b5b3857fd442c4ea680d2,False,False,False,AXIS2-5058
0edb4322a4a35569d43c39d6373940d9d0a71578,False,False,False,AXIS2-3641
037ba4966a9cb7f61de6e6da50240301286e98ba,True,False,True,AXIS2-1741
6c72486d2a5c4532fad2b83f81ac001a6c4868ba,False,False,False,AXIS2-1277
7187f21aff4ac25b903d6d39be67619c899457a7,False,False,False,AXIS2-4044
6a8f09b81e68c96aa42c038f8f36184082d98269,True,True,True,AXIS2-4309
0b75bec7c19c371fa294db09e3b0186b1e5425ab,True,False,True,AXIS2-5292
55ccc19bf4802a56d3737c0b8d803aa681aa4efd,False,False,False,AXIS2-5363
64808afa3f1b65a8fd396a408f711a626aa0cc6e,True,True,True,AXIS2-5399
3909497e27c9793aa27c7f035693fdde65d5c0ac,True,False,True,AXIS2-5919
7fa48b9d441e06d951ad52abbae8a32b60dcab92,False,False,False,AXIS2-5159
0af0583a2b9a024c923060aee92b2f3cfda86950,False,False,False,AXIS2-4796
264741ff035f20c63aa8d8a98b0fed43f8dd6779,False,False,False,AXIS2-4248
a5808a70c5454b82a411cfe6b0b51cc817782e88,False,True,True,AXIS2-1535
5e695fc10ad663d36eb17288748354c23bd61795,False,False,False,AXIS2-3913
