commitID, type1, type2, type3, bugID
d4d7f12be7356ce0959f07ed1f76f22497ab0a77,False,False,False,COCOON-2275
e5751651dd2a7809e96a3505c715cee2c03fa98c,True,True,True,COCOON-1688
5f1067cc91e6e33786d7bbc0794ca2c1db27428a,False,False,False,COCOON-1985
c0d0a6396830191c70c2ae583bdfd890c9d848a4,False,False,False,COCOON-1986
661f10dd00452c88c3d5711ca9abc722f20748c2,False,False,False,COCOON-1196
79c49b4028924f76c658dd1c4caa7f84488eb365,False,False,False,COCOON-2158
716d4400dfcbaab3bcd88d161e23ed96e6748dd1,False,False,False,COCOON-1758
5beb4b75121f6358d9cf7df6833a8ca17b047b1c,True,False,True,COCOON-2168
119a07cce27c0d50743d42e0c2f2826fb98bb888,True,False,True,COCOON-2138
b20dc250ba97907d41b21ede639bf155641cadbf,False,False,False,COCOON-1957
f0238e8b90456f34e2fb84698a51329d86db924c,False,False,False,COCOON-2259
7a5855fe8f27c74ebdd52bdda0e949ab099b8adc,False,False,False,COCOON-2232
91835550c9fff6e11a406c3bf8a8a67a1933f0f2,False,False,False,COCOON-1694
5a5c4f305f174c1e9372e367e4fc3fc4a251bd07,False,False,False,COCOON-1192
d6212ef44e978e454577f604e2fa114e00e234d6,False,False,False,COCOON-2021
1e0e5d90c15466eeebd831b1e76139585307f995,False,False,False,COCOON-1681
73f8f4823faf1f31a66f99c0c431e4a6ad7e7ef1,False,False,False,COCOON-1861
3c7a7eec2d4a86bb741fd7b369c1493a23a1f207,False,False,False,COCOON-1854
9d819b53099a93f2af4193f35a0898a164e558f3,False,False,False,COCOON-1939
74d2dea505bc2bad99bcf809064d887244dbbd6e,False,False,False,COCOON-2076
7b7e6c172ea589d1f9bdc341435c861c0734e442,True,False,True,COCOON-2236
670782da6bdf5bb1113b5e0834a686913606f43b,False,False,False,COCOON-1815
f811c5b6cffedff6827efff7373e05c1b9ddf8b3,False,False,False,COCOON-1266
36e6207a144b794039f72a308d6c28cb541a40e7,False,False,False,COCOON-1868,COCOON-1868
807e42ff35881fd363ea9508e95c55699ac13b2a,False,False,False,COCOON-2008
54c7594876b8fd0cd48b9442e7eb728bb56fe672,False,False,False,COCOON-1840
9d40188f13c0b4d935b26e7ec30a66a73489889a,False,False,False,COCOON-1889
d542479d2a525c9749dc5f0f96c457d2412c139a,False,False,False,COCOON-2134
46ec3381632ce720c7107fea050daf2f24bff18f,True,False,True,COCOON-2138
0c2ef13e241a42ccaa217b86cf63e030865f6ce8,False,False,False,COCOON-2063
bebcafad8a0c80f91f4ea3a378e2a6559130b44b,False,False,False,COCOON-2144
cf22392fa02904dcf36360de7f0cf42fc424ff6a,False,False,False,COCOON-2020
667c266c3bacdfb4a5366b8c588d1d2007e7e6c0,False,False,False,COCOON-2027
4387e2c81fa9d95e0f84747252d1ca4d7dec137b,False,False,False,COCOON-1731
d05a001b13a28d9ece7d771340471f2c920523b3,False,False,False,COCOON-1720
aa2047d6437bdbf0fe9795e2ef1bd878d2705720,False,False,False,COCOON-1736
15c7f00bb0b58299bb1e251950b61bd7c264bb8e,False,False,False,COCOON-1739
0025f82f565c3e4ec748828d8a149b15a84148b9,False,False,False,COCOON-2128
cadc5f7f236397ae8148fef20d692a444b9b426d,False,False,False,COCOON-2041
2448e4a6e0813323f010c220e041bada9c25563e,True,False,True,COCOON-1976
64e15f1171a9c15ac6a952aed78337f398599428,False,False,False,COCOON-2109
0dd5714ad9827b276af31e3293abc72deb7cceb1,False,False,False,COCOON-2259
e1b5c80e34d6b400eeb1325d412f9c5007aa8a51,False,False,False,COCOON-1883
fc902fdfe5ee9272501f56b383b1bec1c88fb23f,False,False,False,COCOON-2250
615b0390d2ddbc93615bc0d62a20cdf7e57fe6b3,False,False,False,COCOON-1815
