commitID, type1, type2, type3, bugID
6dc03d613c3620b78f544fa4a7c349b16b190354,False,False,False,COMPRESS-382
32633c39ffe7aa2ba24899877c7425803b10444d,False,False,False,COMPRESS-336
2f75fbb5269bd5b2c7b799b7a4f93992fa1f9196,False,False,False,COMPRESS-470
9eeea3f3c0b4abbdb357200d0f3ba8e4863545e7,False,False,False,COMPRESS-491
9431b16c58a3fbb320cf13af80cb36430f2aea79,False,True,True,COMPRESS-334
59e7352a4a44087ec34ad94d0842619b1be8dd43,False,False,False,COMPRESS-353
bf53dc8be9cfde23e23e3672073e1512ea00eda7,False,False,False,COMPRESS-1
ba53647bf0fa16501445c7ec50d0ffa4a8288eff,False,False,False,COMPRESS-462
923aa6ee0a46706d35a7d12c47e72bd1c3efc8f2,False,False,False,COMPRESS-479
f0102601d2b949ab63f9f3e6d20618a0b53323ee,False,False,False,COMPRESS-366
30c859c12eb01639d64dfc813187c81b7cba4f05,False,False,False,COMPRESS-154
11840dfde044fec90b0cb4a715ce9d213acea3ca,False,False,False,COMPRESS-351
d0595b7121f57f1f49fe7fdc384479dd73ad64f5,False,False,False,COMPRESS-416
a2ba6d54852aceda5e3bf9285730da743ef04e77,False,False,False,COMPRESS-343
8da377299d085b4ce1f15dbc0732232ea32e601d,False,False,False,COMPRESS-262
2ba220330c8cc3def7b5c354b581866eec5cbe2c,False,False,False,COMPRESS-237
430e1267633bf2db0ee1c833c0c5f61f4a45702d,False,False,False,COMPRESS-459
af6fe141036d30bfd1613758b7a9fb413bf2bafc,False,False,False,COMPRESS-455
9052f4df8d3fe61632dbb4f48a257954d2eade81,False,False,False,COMPRESS-416
20fd83a914183fdfa63aa21ff4a025802c0a3cc1,False,False,False,COMPRESS-146
3f1a7c496cb915dd2f4205fe236f5b6a633dd4b8,False,False,False,COMPRESS-129
283f1bceb87883ba6c965750e9880ce3d67af089,False,False,False,COMPRESS-416
bd3e6cf204f249c2d60eca2268c8b9f402149f1b,False,False,False,COMPRESS-447
78cb9bf36dab81e15887f451fbc964cf57e94739,False,False,False,COMPRESS-430
8fcd06e4148cf1b77b1136864b37f62be0a443ff,False,False,False,COMPRESS-110
716666a267169689e3b4559458c1f0d53a96ae0a,False,False,False,COMPRESS-200
7314c603341b0f237b3d6dae833902c6bc74a9c7,False,False,False,COMPRESS-69
af1f8163af8b52bc28a18109858744967935d828,False,False,False,COMPRESS-308
0d8ab18c86f4edb38a73de1512483bb5b876bb1f,False,False,False,COMPRESS-406
1930eed89459d1ea726762e362143a5aa2ccaeb4,False,False,False,COMPRESS-324
40e010931f91f4f2989fc5f892f990a8890808e1,True,True,True,COMPRESS-60
34cf64fac1218c5112e551e686a1a5f1a7c80c32,False,False,False,COMPRESS-452
d50308367fa7238c20b9db63469000aa2906d18f,False,False,False,COMPRESS-490
58364058bd2903ebd1568f6df22161e142a0dc86,False,False,False,COMPRESS-490
ccc7441a3a7a6d216770cc00dc0fa0b7146bd7f5,False,False,False,COMPRESS-213
0b33b14271675a78b8bc2e538089af2ecde7d2a0,False,False,False,COMPRESS-302
cd1d329dba95dae161317c123269c24282001a66,False,False,False,COMPRESS-416
5127ee6b5830003c90f56d60bc67068e09c40f6d,False,False,False,COMPRESS-227
62200b4185c983df55d2d09a70223097df1db33f,True,False,True,COMPRESS-221
9e32a2ce77b9cc28e1e34dd5efeb9de48f5bc006,False,False,False,COMPRESS-364
70594bcaff1d553cbd35312bb63a33bcba0680d3,False,True,True,COMPRESS-382
88e26c9ffac61713372378c6f0225cd1a8b676e9,True,True,True,COMPRESS-479
46600216975867189da464a18c901674f085184a,False,False,False,COMPRESS-241
96947344cf1d61624c15ae43429da38abb935e39,False,False,False,COMPRESS-252
51eb0f22b20b94fc635ecc64cdcb5f72e0ed0186,False,False,False,COMPRESS-330
004124ac5dbf5edbf925078652526267468821e7,True,True,True,COMPRESS-28
557800a53cedad99afc951032a11931f3e39bf13,True,False,True,COMPRESS-277
60f4ac24f9d03ff26789002138bb71f227e1526b,False,False,False,COMPRESS-219
c66db899cb061c79934986f0efa19a50ca33703f,False,False,False,COMPRESS-436
5f8c26ed10e0f947aa8d7e7b9f0578741f500493,False,False,False,COMPRESS-117,COMPRESS-117
82986dd12fc255d218a6454364a50eb9ae3f812d,False,False,False,COMPRESS-482
7e6c7136cf0165f107daf8f9f1818c7d9c9fcc27,False,False,False,COMPRESS-287
01c3fe92a44d898b39c285168095d26dbe5d450b,False,False,False,COMPRESS-200
469cf4d886f9a184168ba2d179899a600725d4c4,False,False,False,COMPRESS-421
19a620c904587dc0397b43bfe9071ff60033c097,False,False,False,COMPRESS-355
e8c44e6090536bb4603d2c478724a7675e0a99fc,False,False,False,COMPRESS-453
5dad11262d3331060cdb5fe1081079bdb5696f3f,False,False,False,COMPRESS-163
f015344879f1bc3505bc616fc7ae517cf9f60838,False,False,False,COMPRESS-367
14684241489dbe1b607aafd3423ebaf34be377b1,False,False,False,COMPRESS-85
f62cf85eecf7ce4f3ebc595e00cef36e93f85fdf,False,False,False,COMPRESS-227
f132d6c50285b7a7652909aa85a5afdb3b828939,False,False,False,COMPRESS-470
952a50372dea32e78800b5127ce3e969ce8ba5f0,False,False,False,COMPRESS-357
c03704d773dfa0dfc5b2e53b4c198a95d0213ca0,False,False,False,COMPRESS-456
f87a7ce9321b4901a77786387cfe8026f1249721,False,False,False,COMPRESS-357
6f8c4960c2af25b7e4b36473d81fe652490dbbeb,True,False,True,COMPRESS-459
1e4034bf41b21852d674e1cc0b845df1feda793f,False,False,False,COMPRESS-107
692e7ee9948375f1f4a52b599e40c22960b7488e,False,False,False,COMPRESS-1
2a36651fbdd822b97efdb1a04788b8fcbfa47cf2,False,False,False,COMPRESS-180
ddb5fd6d8e4d5fa9f7fa659c93fb6eb04f238689,True,False,True,COMPRESS-279
f25588258e520cbf1d388d3d9b48a4942d3d7c28,False,False,False,COMPRESS-300
72bfc1247553bdd2711d6bb27a7179be86ded4f1,True,False,True,COMPRESS-459
60a389c2ffa88f5a5de9e902ac2cfdf17fb57993,True,True,True,COMPRESS-479
8ed5daaadf51b7528df4555f4016d6e10140a721,False,False,False,COMPRESS-456
5972cab660f9f3600ecff59dc94b02a08b0ef1f9,True,False,True,COMPRESS-180
f43c608cf422817a3280cb2a2cbe749ee090d9d3,True,False,True,COMPRESS-479
e185dad52556591d61c8ddf88caafeff10e707fc,False,False,False,COMPRESS-200
fd69d8ca2212d373a5a8f220530e8c0fa17ddf3b,False,False,False,COMPRESS-469
3126e37959ab98759c5c6e6dca52e6afe857325b,False,False,False,COMPRESS-69
121cae778dcb63a4ca4f1ee2743e58bffcbfe4be,False,False,False,COMPRESS-303
3083ea535f6d76c93825d7a7bd1dbea227f447a5,False,False,False,COMPRESS-354
d9b559615109e94e6e7cad91e4f6dfa891f51e82,True,True,True,COMPRESS-219
5b3ff035f452b6a3f061d9c3919485c59e9c9333,False,False,False,COMPRESS-421
c5f9ceb3cb7a5822012fe33ecfc2d561f63697f8,False,True,True,COMPRESS-272
dec258f502a92ce230567cb6271ac6f0cc9de8be,False,False,False,COMPRESS-1
9e80104befc54daaa097870b857e1bc334521490,False,False,False,COMPRESS-459
f7070b2c01020438d4a7712ae304b53ced16febc,False,False,False,COMPRESS-297
23d15f6cc39e71b31058272849c961fcca6adfe1,False,False,False,COMPRESS-289
40b1d2fb8ff2eb4374eda8169524fade205a5e6c,False,False,False,COMPRESS-490
c70dc2eb5a6fa2160d91e447b737a243062e41b8,False,False,False,COMPRESS-442
73603cd69e14790d4668dcbff0f50e4a7f333797,False,False,False,COMPRESS-199
0508270c67e412b6b5026b25254062ce3d6c2dc7,False,False,False,COMPRESS-277
2488a44faec06a91ae52652407fb0a881ed217d2,False,False,False,COMPRESS-491
054886747f5a2fb64e4f03473e2de4e49e75f82f,False,False,False,COMPRESS-227
