commitID, type1, type2, type3, bugID
b5031aed14f409d02f73657641c7e3b3778ddb83,False,False,False,CXF-4855
5f317eba7864ec2ed916e462286f528729902cf1,True,False,True,CXF-3400
0270ccceb8b3c23362ea4f36192fe3d5b512a815,False,False,False,CXF-1730
9fe8b346499a98fef2ca75bd459a0b2821ba979b,True,False,True,CXF-2050
d4ccde7ae63eb53e9a93b116236cb84d405013c4,False,False,False,CXF-5505
c8828d4e2c0e79c264301a5df08fb00cf5e51be5,False,False,False,CXF-7459
5250bb7b2ea0c5fbf089473d45b917a40652565e,False,False,False,CXF-3429
54ef2ca37772030c76fdf50c034840a3c4aa1872,False,False,False,CXF-4723
ee6dfe6f9e20ca2f3e34e5dc982bd029d8609075,False,False,False,CXF-3345
6385c4f050dd66e042d5eb76f0f019a70569b749,False,True,True,CXF-2219
9bcc593c140f656ea79ab6da23cd76eaf2274576,False,False,False,CXF-6361
6f3f4c1f873d8d30a4c30165280dd0ff46e03d5d,False,False,False,CXF-6380
c31c0109b17be4099a3426611f19773f34ab9dbb,False,False,False,CXF-4687
77fbedb9f179d616da6bb136d2deb962d1cf2d89,False,False,False,CXF-3655
1fb14e95f423756961b1055cb513631de7a4fff9,False,False,False,CXF-5047
94bbc35372b41e5e887fc52cdd6502fb149de32c,False,False,False,CXF-7592
c1e21b895f56a81a6577c5207b83266637897e86,False,False,False,CXF-7670
e874b99314904579ba271b75acea1b196d4e12c6,False,False,False,CXF-5144
b388ce30c46ba136758cdd6543f4faff1d5ac346,False,False,False,CXF-2448
9eeb720ca64e37310bdf94128b0201289203bb91,False,False,False,CXF-4006
727baf1f02b942f14c3548d0468cf68b945dc440,False,False,False,CXF-5790
0b0ca560ef2141a839edf5f660f63b15731facf3,True,True,True,CXF-3362
7df90539a5c784d8950c9d19bca87f7fc6747c79,False,False,False,CXF-5888
2f980ec89c98aa2c04abd3c536087de2b9e2d998,True,True,True,CXF-7112
922dcbd1ba0d83e0f8eb1f5a063943935bb07e0d,False,False,False,CXF-6139
720b7dea454c1d250ddd89845a3eda35bc1bd40c,False,False,False,CXF-4918
fd239366eb2a4af12c772cecee609cc875faa167,False,True,True,CXF-3845
336c91fe4dc824fa2aab98a7906d249f3f0078e1,True,False,True,CXF-7805
6b170bdcb082875a3da4af70a3fc61ee04ec0e5c,False,False,False,CXF-1716
fb58225e8284d47fe87716e9b5d768e1d3ad32e6,False,False,False,CXF-5250
953d23f38ddfe044a4dff4783498ebe5d68d76c1,True,False,True,CXF-6543
91f89e489e558edb974e88301949ec8b2b896303,False,False,False,CXF-5795
f0ceae4c7ac81490570f81cc3a9a7c2061ad4605,True,False,True,CXF-3697
aad9a62b9ed04857a70b2c0eecbd6d927852eeee,False,False,False,CXF-7713
06a7b75e010e011084bb753a5bcd029f55134921,False,False,False,CXF-7331
6358dc0577bb2ff41f91a6c3ac121a75d3da1a6e,True,False,True,CXF-5046
4a1121a878f4469a9d87cafd260dc5943c906dad,True,False,True,CXF-2417
f85a068c925ac5e4f311a034bb4c4c3f822e09c1,False,False,False,CXF-4557
dd8d7acc25e67455ef259b66b3a591cc995f801f,True,True,True,CXF-5166
6f4efc41aa5018582a798e0bc889e41a18a1fb89,False,False,False,CXF-2341
b361f68c23a339965c23699cd4c0d6085d89e6d1,True,False,True,CXF-5259
57eca2587d6cdc7e2e4660ba07812a5b317045f8,True,False,True,CXF-4118,CXF-4268
46192d68f0d906cdbbd8f045417e20e7027f8349,True,False,True,CXF-4922
c79d8ac83379b9f80e124823fbb569141cc5e608,True,False,True,CXF-8035
c2179b50771cc701b19912feb9c9f0ff6db7773d,True,False,True,CXF-1931
4a083b31f7244617f3287b5a76897354b43ff481,False,True,True,CXF-4027
5b7b014cc1d24cba1191bc07fd48b13dbf4d4391,True,True,True,CXF-7132
cb405d4275a5cf30187c4fbf957dbbb70a9eeacf,False,False,False,CXF-6995
3df503b994cdf9b720c053f7c88b35ed2f754dee,False,False,False,CXF-2661
5ef45a148c6a7f175e35b40406a60e2efe214d31,False,False,False,CXF-5421
0dc7db7aa48f36235f33ff1e7281bec525222903,False,False,False,CXF-7307
dc7d98c927e361e2b21bd443192402c25f77891f,False,False,False,CXF-7254
da868f21b784000643a887b5d54de66a39aa4580,False,False,False,CXF-2924
62144e297cfd175addf57671e71773cc6a602340,False,False,False,WSS-462
d1315732be55b89c25f66213d1f0a0e0567d8abc,False,False,False,CXF-8041
27b09ee97625af9ec31c29110b05e560ec1df5b1,True,True,True,CXF-1758
f58500e38c69850d6ac62192ea843ae2a5119418,False,False,False,CXF-7905
21d14505faa3674855c7e1d43717ebe533e43595,True,True,True,CXF-5628
afe5dfacf2f25861dc8bd81de15bf522c6fcc08b,False,True,True,CXF-5334
69ab1bd077bb3bfa0c4e7affc912045d7d3331df,True,False,True,CXF-4432
ec2458a406c59fe128c0a8933bfe2097f7a1557d,True,False,True,CXF-3493
9d8a04c56ec9685433ef3f68f9467f40effa1b1b,True,False,True,CXF-3381
ce6ca53ec5fe94b00b535d61294c3c32775b6f5f,True,True,True,CXF-4774
5173d827ba0cd49c12bdef49e8a0f24703af11d0,False,False,False,CXF-2774
ce7692af60cf4e270c62d9bdda935adf547add73,False,False,False,CXF-5702
df53c20bfa19c4006ab0868d328970bc6d1d13c5,False,False,False,CXF-7765
55781e1c2eb52fddcc3b62138e2fa79604d69b93,True,False,True,CXF-3949
dddd440ffd38f735f205eda9b0ffee12b041d4df,True,False,True,CXF-5373
7f7c42b77085d45429c8bd0b70f5a003de27c5b4,False,False,False,CXF-6076
a9f3c9416b33a7688cb0c8922619b713ea6b1c7c,False,False,False,CXF-5426
15335321a3f7afe9a97fe52cb026a41e8028b39e,True,False,True,CXF-2632
3d2185bb289b4b873a388e5a41fd3bac891c3354,False,False,False,CXF-7970
ac2d4f3f0757cad95f4586d3ffd403693596c665,False,False,False,CXF-3656
df376f99fae456687fdab8a13d2f561f683d57b8,False,False,False,CXF-2551
a00f4c5014238482985191c4485985239e53e46d,True,False,True,CXF-5047
0faf464dbfe25afc3c36fe36e5255aaebf2e5880,True,True,True,CXF-1721
132195f5321f97a8f0a1ec359aac93aa0b768ce5,True,False,True,CXF-4382
df7ac9eafaac448e69791c1850f3e2576a379894,False,False,False,CXF-4833
aecc29f4d1bde9a50c91f3612f2c0049ed594f03,False,False,False,CXF-6003
3c2c19e77a94e935e0f0b36d42d99b7090a832f3,False,True,True,CXF-2740
0db60be561bf758e3dca25d6399125c544caf458,True,False,True,CXF-7306
c2c8b4bc45fae0d3852f1d97ac5d6ea6bdca0b00,False,False,False,CXF-2541
719874641bdac6ef65a3d486a39515dceba41f92,False,False,False,CXF-4550
284813a2ed5d2e4680045d0e17e5cab775eeed85,False,False,False,CXF-4231
537de938b8aeb8dbd3f5341d8062cca99139fe41,False,False,False,CXF-4170
83c85f783f659617fbb2ee12b5471407d5471484,False,False,False,CXF-4539
37fe50cd5d7c5a9f3d5c0ab2724926fed1466c56,False,False,False,CXF-4136
845a6e36fdac7667cb0b949c531110e9a17a0cc5,False,False,False,CXF-1552
824234e627f6205129b7f97e2fde7f1cf1f17093,True,False,True,CXF-6246
745f332a22ae7f084c9850ff987714c7d2f88863,True,True,True,CXF-3132
7cccdcf53220a8611fe6475d15acd6bc968349f3,False,False,False,CXF-6729
5b53f1d3a1555905064f0924ca4c8706e18a17e3,False,False,False,CXF-4012
95bfefb653417b8b23ad481ee3f61139ef0eb5ed,False,False,False,CXF-5893
0ff474b3defb870f8d42140cd5e42a77f016f102,False,False,False,CXF-4017
9e0f7ea38b6afe8f4180082d3a82d9f969a05df3,True,True,True,CXF-7527
a5e24a843430fe1f41823601ca1600ead8493017,True,False,True,CXF-7854,CXF-7854,CXF-7854,CXF-7854
8b3b5787ac575e1bf6bbdfa8bf37a07b35efbae0,False,False,False,CXF-1696
df47c2d60100ac528b12f862166e3ac59d72f751,False,False,False,CXF-7414
e14557808f2ae714af1c47f850fa309e1cfaa444,False,False,False,CXF-7946
7b8754406f28a7aacb6861d9dbfd14aaa1bb04e3,True,True,True,CXF-5262
0b18aed8bf54f1b1bebe2448f5f3dd6d592fd8b6,False,False,False,CXF-4784
d82b4200cbb4de9ff0fd7ce96dbdca7332b5fe93,False,False,False,CXF-1645
8a42e4bb33d1c494660d1da5279039aafe71a5a5,False,False,False,CXF-4637
9ea04a67afb00600c1c6cfb28d95736a6f12f347,False,False,False,CXF-1840
c74806a83d13a3dd3337b828c6deb2ee6676aaf5,False,False,False,CXF-4613
ecb6108cefc31a97d15cf2888ea2dcb75cdf5611,False,False,False,CXF-5119
2ffeb4f4c61729dfe10cae801883ae761024fccb,False,False,False,CXF-4683
