commitID, type1, type2, type3, bugID
1af1d13fb5c4beaab94625c34824c39c91de546b,False,False,False,FELIX-5402
a0872008ac1f78070e6563fa3eb19e36fda70494,False,False,False,FELIX-5964
a4c7aa083db1ef254791fc8918608f02e7a95809,True,False,True,FELIX-3057
c2eedf660e7814824c31558f0e3ea8f4082aa720,False,False,False,FELIX-6172
50196b6e210bb2bb6f740a710b6eac9831d936fd,False,False,False,FELIX-3729
b2d937ee6722b518a9dddc019e8b9e7f3d791719,False,False,False,FELIX-3729
02280628c1802e1ffe690b9d730e1316be2f8972,False,False,False,FELIX-3729
aae0b8ec1ad99105c8af4b655d3bff3e05634edb,True,True,True,FELIX-1827
af33161ca669eecc8fa68ec8baf9a467fd07dcbd,False,False,False,FELIX-5046
978a710788888f4da0f48d68d7d0b57ead0c0c8c,True,True,True,FELIX-5270
e768e9b7fd73fd0882a2f9361374dad8c03b685c,False,False,False,FELIX-3890
63682bf5b8faf2d1537b86fefd48f4a0a2659b21,False,False,False,FELIX-1262
022d97309e5c8905cfc9b1e6c6cf99d78dd7ba08,False,False,False,FELIX-1293
8af52ed26551798f1fcc1f9c12aaf1c65c21e1e3,False,False,False,FELIX-4850
fa78057ac224c4db27fb74b9e4cd18bf27bebb5e,False,False,False,FELIX-897
9c6a663c62b8a0ec484cc5e2e6d53ffdd12ff1fc,False,False,False,FELIX-4460
43f284aa5e540d1598c6991e44d10b18067793cb,False,False,False,FELIX-1805
e009577872641f0947b41529fbc210f2faff8486,False,False,False,FELIX-5506
2a5ecf8c7f0e2c555623bcc9d21436b97e50f7c3,False,False,False,FELIX-5248
b1c9c1cb501ed9f08e39ad6fdb07cbeeb63a11eb,False,False,False,FELIX-4019
de5078096717216293faabcf9716841f02ebbec4,False,False,False,FELIX-2829
8e3024fdaa42abfd44cac14e6e8cd968d33a87a5,False,False,False,FELIX-3160
d26462bc5d21f300a5cdf83790416fa12a535a8f,True,False,True,FELIX-5812
ca65742406b50edd311c0554eafd05fb49425d33,True,True,True,FELIX-2204
0511b7698429408c8566b1c42d2fecd8fe4ef3d0,True,True,True,FELIX-1501
97d75627a98233a69f380b245e50dfb02cf7ebb3,True,True,True,FELIX-4950
a4c238f2256e66ab719f16fa58c098eefdb4b299,True,False,True,FELIX-1576
b68d1cf44e849cdf020db20221606200b4b02b3f,False,False,False,FELIX-2557
89c7cb9239f04d32cb28c9274768ad5818f30f0a,False,False,False,FELIX-1379
4723a30a05343af88a877b59bf5f9b75d276145e,False,True,True,FELIX-2978
1f0ffdb78412e7a0ac016ee80d2009092b5db9d4,False,False,False,FELIX-3336
23eb4914bfb3454efff28bc4e42e65bd818c8b61,False,False,False,FELIX-6096
5b2ea2c62c37d03a6c33af625b36ebb33e6265fa,True,False,True,FELIX-5486
e7f163ef2e1f293fbcb6104931f8e27bf63dcc0c,True,True,True,FELIX-5093
d7640327720803fa8b5014cc3f528c239c39a7dd,False,False,False,FELIX-3724
155efd4acb7f34760c406a5618f51009a7a4d219,False,False,False,FELIX-1405
f8437805a2b8795451ec1e319ac27e883632c2ec,False,False,False,FELIX-3031
25c68b063f1262eae51ecd9185004a39947400e2,True,False,True,FELIX-905,FELIX-906
ea7644aac4c164cac9e78553730df719c417a591,False,False,False,FELIX-2850
d1f5bb81515bb40152282af7d38c195fa67a08c2,False,False,False,FELIX-5230
404c2722d6f2b2a8bc77d1e5c1d045ce15700c83,True,True,True,FELIX-444,FELIX-444
cdbbe2d8741d56addf54e18db2af9e22e273d2e1,False,False,False,FELIX-1039
fbf5f8e5c65d4a4373623b840c6d6645aeb8569c,False,True,True,FELIX-3915
e90e0216faa1767244fb799ba3a93824c0b82b66,False,False,False,FELIX-4833,FELIX-4833,FELIX-4832
ad9498716cb8e978554d9ce56536443441b5c7d7,False,False,False,FELIX-3229
c1f12e9d2d634ca25633eeb2180858fda558d2fc,False,False,False,FELIX-2907
1dd2eb49261778cacab7b0842c92cf0393f9739a,False,False,False,FELIX-2878
8e3f52b58955fec32a6c9cce360727c3d11f20bb,False,False,False,FELIX-3364
0a6981e8039b58e6826462f96f3f7103993cae0d,True,False,True,FELIX-1826
9f8ab35ec88b3511c150ba84c1be74c7e1ffcc40,False,False,False,FELIX-3456
6aeca97d821509b3d93d4f56a6c034fed801b3d9,False,False,False,FELIX-5427
7f91728387578ec22012220dacf54dc0361c4847,False,False,False,FELIX-5926
5c7fdc606074cdabeff1073cdafdf5a4d728a04b,False,False,False,FELIX-3633,FELIX-3633
f6201a78e5c617f40ad16045667b1be674e00c09,False,False,False,FELIX-106
3c9f08b853997e1acbb5c2048c40ade40e6c638a,True,True,True,FELIX-5392
e2c69d4da35e772ab5049a9fe4a45864a2c0ea1d,False,False,False,FELIX-5700
b8139899997c0638ac212a020329974c605bd9ce,False,False,False,FELIX-2822
3eef2450f2fa0676366a387072bf95d7385d1a80,False,False,False,FELIX-2032
0d1c4cb9574571ec2df11b96ba85a1502ed436d6,False,False,False,FELIX-3400
438a6851ba03032478936c3926458691b1352798,False,False,False,FELIX-3910
3fa064faadfd3cc94b3f2065216e45508aa46a8a,False,False,False,FELIX-4817
