commitID, type1, type2, type3, bugID
d7b59d761601baba6765bb4fc407bcd9fd6a9387,False,False,False,FLINK-4622
8e4c772ad86689aed53e94453db8103e724beb53,False,False,False,FLINK-1186
35f4ea787c55eceede5154fc1ff23c70cdc522b4,False,False,False,FLINK-5283
e520023ac768ac739537f7aa563f13aa208949ff,False,False,False,FLINK-6921
04a738836f30d8967c427208ab04b1aef34f370a,False,False,False,FLINK-1342
0038b6941de38fa5506fdb073dd04d756471bb72,False,False,False,FLINK-3157
69fada3d0b4c686f29c356f00eb49039f416879f,True,True,True,FLINK-6883
b12acea2afcd75a9183aca549fea426e86bfc5de,False,False,False,FLINK-9603
a30164bf06f5d955771025e0341bccf6750f4062,False,False,False,FLINK-11087
82a258bf63260a723a76fc4bb42ecac50a66ff99,False,False,False,FLINK-6317
98a939552e12fc699ff39111bbe877e112460ceb,False,False,False,FLINK-3960,FLINK-3960
6dd241d3bb7b0d057c04187bc114313f9c9e1937,False,False,False,FLINK-1990
5322e87061d11f532657f9c7a5e144fca3748201,False,False,False,FLINK-2538
c7e0cdd1921df569e496a5c18f1b63ae247a050d,True,False,True,FLINK-10454
d95929e0110b53f03452e1ad453de2522f79a6b8,False,False,False,FLINK-4829
1ec34249a0303ae64d049d177057ef9b6c413ab5,True,False,True,FLINK-13256
975fdbe5a762bd80bee843927e67e8eba417af8d,False,False,False,FLINK-9865
c607b9a22a88162f64b8cb3bd2b191fa2f4f7cdb,True,False,True,FLINK-5481
935e316a38367cab513dfe2b010129e5d47b7b68,False,False,False,FLINK-1378
4ff6483f367591b894726ed1874c813c786b588a,True,True,True,FLINK-10135
aaac7c2e505717dbfc40465cb3656652e1bf5658,False,False,False,FLINK-5122
d774feaafb6bbfdbcee653230515fe93d5295926,False,False,False,FLINK-13498
4d8cbec4ffca033f5602a53205d65e535ffc5f97,False,False,False,FLINK-4009
a59ce1ec895765ef56a1c55e0d21ab7beadaaad6,True,False,True,FLINK-9878
bc9d52391957c1a1150a275429ff07b262259a42,False,False,False,FLINK-4570
6968a57a1a31a11b33bacd2c94d6559bcabd6eb9,True,False,True,FLINK-3260
5242e9668a54cb6e74ee4f33718d35cf856b0703,False,False,False,FLINK-1637
5dfc897beb99d2d8f6d7becba972ff5756b3fb19,True,False,True,FLINK-2817
f195a6ed5cf69ea59c6916cb4ebf0c2485254158,False,False,False,FLINK-4052
d3808c7bc060e8837b5a35d6f1f305bd4c446384,False,False,False,FLINK-3585
d0e52954b035cd4e8cd25962500b3ebb57561f39,False,False,False,FLINK-7111
2c20b39ff03b19363a14024836f99098b52611f5,False,False,False,FLINK-4866
6590a4c364dafeb9aae84ee1f0b57782ba237031,False,False,False,FLINK-4219
5e40c6d40c5712d52989f2628f51ba67bdda8548,False,True,True,FLINK-2953
85b53444a852027714904a050a68489740b7f2f8,True,True,True,FLINK-4564
f722b73772eb66cdb79a288300e38ff7026c7e1f,True,False,True,FLINK-4141
9f1f25d8b57fb833e2d981ea9d84153eed46efc0,True,False,True,FLINK-10455
8ab89e87f49e409f6727b02528370160c7d1fafa,False,True,True,FLINK-2578
5a5966ba273b9ceb4ca2a87c77d3c5948e7717cc,False,False,False,FLINK-13704
76da442837d8606d8c4c4d8367b29fd79dc5ba35,True,False,True,FLINK-3179
a355df6e33f402beac01c2908cb0c64cfeccadb2,True,False,True,FLINK-5506
3070ff9a6d9de47a4713d4b4952929f8c00043b1,True,True,True,FLINK-5408
d3f0075b041c8fd681a776b3278d12c4483a48ac,False,False,False,FLINK-11119
d1b1317d25562f002e8c9b9a4891295c7a7609fd,False,False,False,FLINK-11053
82ef021cb8f77635bcec61d49eedce1ddefd1e48,False,False,False,FLINK-4645
233c0147b1e9c18034d37f803e8974365a5a7d86,False,False,False,FLINK-3281
2eb2a0ef352f75a65a45a5a247450ae61ae5ab17,False,False,False,FLINK-3338
31a373930bce27a0d4abc2cbcff4284d5af9002a,True,False,True,FLINK-935
acea4cde5f0225db9e00bbef4a47fdb58419022b,False,False,False,FLINK-6574
8d953bf2626012e3e497334641962bd8f96098de,True,True,True,FLINK-4731
7206b0ed2adb10c94e1ffd3dbe851250b44edcf4,True,True,True,FLINK-4027
ffb8d0518394847ac60252f2140d50a4fd1f0b68,False,False,False,FLINK-5942
0cfa43d79faebe7000cedfc71a8fa5de062422ff,True,True,True,FLINK-2082
038a9acc597d00eb9ffe68d1434217097fc22ab0,False,False,False,FLINK-7258
0479d6f254c7a2dc1b7612bd57f726a13926aeb2,True,False,True,FLINK-8741
48890285d4b1c285bebb971ae0dbfc310c6fcc0e,True,True,True,FLINK-6205
131daa28bf0169f9e634325243c83e24aed9c514,False,False,False,FLINK-8859
f41debef3f98cbbd49107fd02e101baa7c94fc6e,True,False,True,FLINK-9397
861ebe753ff982b4cbf7c3c5b8c43fa306ac89f0,True,False,True,FLINK-1608
3adc21d489d78cd34748f2132e4e7659f65a33e4,False,False,False,FLINK-8366
22c370d9b57798b2ad4ccb66526e64300fd73557,True,False,True,FLINK-1145
75d12f967ccef5df3c6c513765bb8db1106a7c87,True,True,True,FLINK-9665
e058abba700e214ef43a078a7a33485b69dead8e,True,True,True,FLINK-2992
00d5b62224e9d4b701eef1ea0b016454e9c9374b,False,False,False,FLINK-7300
59970361c11b8177edbf56786e896ce4da82c6ba,False,False,False,FLINK-1365
091266d1eb5f54c2c60c8ba13a7a3c79ecaf8e5b,True,False,True,FLINK-12595
3ce8596b43f88b2b6d51dab687ab224a43b825fb,False,False,False,FLINK-4631
bfde1b7379f0a0aef21c836e5ac0842474c7f98f,True,False,True,FLINK-2766
cbfb807d65b68b2b6157e1b1d42606123ea499ad,False,False,False,FLINK-5190
df7452d9811b0aa88919d7e3c1f6c34b36ac9b38,False,False,False,FLINK-7398
d8ab8bcfe61da3dfd1fa64590f674465a050d346,False,False,False,FLINK-3032
825cea2df10cedc572ecadd7c03825e1e9f85ccc,False,False,False,FLINK-2026
b0f237990cc52729ff1eb1de29b65e118bf59aa3,False,False,False,FLINK-2446
68912126d73b92a07d15ec3f21f9ac922744fb45,True,False,True,FLINK-2754
d17d4d8821c2e780a2c3aa9e194b97a2d18e797e,False,False,False,FLINK-12868
91069d1f73f6812548235614ed7f8442c39e5959,False,False,False,FLINK-2499
5c968563df26642f81ca94df391f31c51b4f37e6,True,True,True,FLINK-5934
e6320a4c3922e934698acfe274546bccf88ad53d,False,False,False,FLINK-4089
b452c8bbbaa9efb5de6cc66d2817b398ac9da041,False,False,False,FLINK-5699
b88f909ce44bbd25528afee03079d0437d5f9a5b,False,False,False,FLINK-1492
0ccd1fd5b90dbdacb579e329016a0819cd301d43,False,False,False,FLINK-1481
ecde6c328b38d6f6efea4b0d62f4ec8fe0040240,True,True,True,FLINK-9256
b2cc4515a842dea029bcf854fb5479e271192a09,False,False,False,FLINK-6245
1050847787b416399a6c03c0568969df93ed4822,False,False,False,FLINK-4411
009da6f6e1c532a12299ee5590bb46fcecb47c32,False,False,False,FLINK-5660
ced972592b8c4ab6945d6a344980475897a071cd,True,False,True,FLINK-11183
8d25c64146ef0a2d0e9ee4c3e8ac3229e72a1416,False,False,False,FLINK-4304
f76eb15b65796635f4b8ef62b83933a260f44602,False,False,False,FLINK-1246
6115b05c87e387c301b21758a6d29e300d138a84,False,False,False,FLINK-10826
8ccaffe3d3f2472fc12fa138c45c0b67458ad2a2,True,False,True,FLINK-5636
095dc4a540583b0bea7d1d48358ed2b71f0ab582,False,False,False,FLINK-1440
