commitID, type1, type2, type3, bugID
f106964dba87fb9af0ca131b5f27c295b705fd6a,False,False,False,GROOVY-7448
f9fb43f6e4569f7b3d7085834e0c0838f7a8abde,False,False,False,GROOVY-2084
6105d7542b547079d4af1a4a5f0e41dd55d570e2,False,False,False,GROOVY-6633
05971a321b09d08e469b5c124a2c0cb6857fc74e,False,False,False,GROOVY-7261
3bdaaf4c1ad2d66a8a6144fdc66b20e0147141a5,False,False,False,GROOVY-1014
0b54a7b792c25519bdca78c4014e3575b617467e,False,False,False,GROOVY-8403
54f00a2361b559f3eea32d442f5e86926eee5cf0,False,False,False,GROOVY-7774
00eb8bbfa71e86f87ef166984d70c5de2ab47731,False,False,False,GROOVY-6724
8b11b22f135618231f7ee3e9de6605f91d3ab1ae,False,False,False,GROOVY-7637
008c832d79728f995a5301f7b7b0bbf5888c1853,False,False,False,GROOVY-1468
8403a93997445abcb8bddb4c5eb8600bc36b0bbe,False,False,False,GROOVY-7390
506cf3ef7b8199d98c9c75ff6ad01f696f0088f3,False,False,False,GROOVY-1525
19fdf544778b0ed12c77f4f55fd5e1c7140d5876,False,False,False,GROOVY-6205
d815753ca4f428aebfacc58dbd124c6b72f8fd4a,False,True,True,GROOVY-3293
c321ec989b495c2fd9261c23cfacdb2a23b879fe,False,False,False,GROOVY-8059
208fd14481392e7a8b9e62c2bd68ddfa237cee79,True,False,True,GROOVY-3284
535e40fb5b9064ec3515e47ea017ca354f66fea1,False,False,False,GROOVY-5804
b8f713f3ad7881ee8aca216e57d648f6cea0e1f6,False,False,False,GROOVY-5217
d5d4e8d9ad18c61bff7201c9c166b4f750c0d8f6,False,False,False,GROOVY-6605
5be0d766dc7f5f7d331d97c93d73ba902968772a,False,False,False,GROOVY-1464
1f0b5e9bd459e81c198b1d98228090ff4a2606df,False,False,False,GROOVY-6873
da7501e32f9dcb8714cb2adc3c38e0c0dd099908,False,False,False,GROOVY-6038
b731330494ec3cce240bdb6a8b51981a5ed61e0b,False,False,False,GROOVY-6508,GROOVY-6508
a5b5a9200e645c98aac81171a27083d571238ac3,False,False,False,GROOVY-4406
5d529da542befe55032e87de1f71a5010a97310b,False,False,False,GROOVY-9086
4bd92e664f684d97ac5f00a027d4b2244b386eb4,True,True,True,GROOVY-8186
9216d9a7d85742778baf7d2fc3dbdae40ad963dd,True,True,True,GROOVY-3503
ceed7d2811dc5c7b9326cb1bb2b7626396bab51b,False,False,False,GROOVY-5721
ab33599c5a1537027fb2953f8893a5eaa40d0054,False,False,False,GROOVY-8389
4f0f942c47e17ffc43cc77c9b59b4c87d0a0cb46,False,False,False,GROOVY-4051
5d3f0f66ac240ded5ebb23d4afde13efb556cf70,False,False,False,GROOVY-6490
14256dccdf8624406f7807d8bd1a95164ccec228,True,True,True,GROOVY-4485
17a94916cf2b05c5c8a5796136770bace2f8f7a4,False,False,False,GROOVY-5142
b133f43aac386620164ed77ba439bfb4091e4954,False,False,False,GROOVY-5233,GROOVY-5240
a444880fc43f3e2750bceacdca282f213aa993dd,False,False,False,GROOVY-5867
6664a834f0f4d9e9928c8689d380bd64f9d69626,False,False,False,GROOVY-3418
9fa67428ae6ab0c38c1c2b3503ad754029bebbf1,False,False,False,GROOVY-1684
7d8857c6aa6b76d1bf3fb9a9a781df94fc3c8f9b,True,True,True,GROOVY-2962
5b26259988e395270aa4bb8512a9bfe5208d6c32,False,False,False,GROOVY-7338
26d4ad70154b14e2ea5e45099bc77ae5f11305c7,False,False,False,GROOVY-5259
254542921e302c96f1f6465e6a8d2d5d1652d823,False,False,False,GROOVY-4505
2da110ae10a1a5225bb6065d3bc45462aecbd033,False,False,False,GROOVY-3125
3b0893d7f9cb330c4151e543f693eb73fa15d14d,False,False,False,GROOVY-4811
738b5f669f6ea10ecf720b81b2ceb1279c11551f,False,False,False,GROOVY-7717
967e4024b751960a9d36f1f3c9a29e8987bc0611,False,False,False,GROOVY-2224
bd86e81719da2ab54050eb3a5ab14d905e62a4f0,False,False,False,GROOVY-4471
b17aeb545e12955fd81876188f71d53489849d1a,False,False,False,GROOVY-7065
6f6076f1be46869250d57f78e529704f826d95e7,False,False,False,GROOVY-3203
4efcbcaee9bc372568dbee3e65c08900b17e934b,False,False,False,GROOVY-6672
011b98e133048e417f330fb83a5c56294472e8cc,False,False,False,GROOVY-8386,GROOVY-8094
0a79d156e929a60b17aaced2b45027fad172e64e,False,False,False,GROOVY-7378
c6dea92df51793bac0dd682a69ceddcb8fdb7fd4,False,False,False,GROOVY-399
b122f28ef441bd26cc0b29644c03223219ca6063,False,False,False,GROOVY-6700
60792db995d45d6f21fd74e4c29bf7da912465e6,False,False,False,GROOVY-6391
c759adcb1f5b8e429169c5e471931e4cf6dee41c,True,False,True,GROOVY-1360
8c296fd228cfd0cf4895a06cf0ce84053a5f28e0,False,False,False,GROOVY-3888
905b42b225c5e4a58fec2ee6f421f89db60305e6,False,False,False,GROOVY-7124
acd6d180223d89c7f32d630068e525af664fd7c6,False,False,False,GROOVY-313
419dcb38e00a959bde4228d5da67cd7252111e95,True,False,True,GROOVY-7052
bcd2f23ddf5f621a44759e645cb894e444f6c3d9,False,False,False,GROOVY-2531
162e94579c27347f7e5f59ed4d1b79a3f46a55e0,False,True,True,GROOVY-2440
0a04abd6473556a63c162abba39d126ee4955630,False,False,False,GROOVY-5571
2367e56c6d86d6f00ee4f147a525f24663576b48,False,True,True,GROOVY-5811
def342d8c6bf1bd1df7f32bf5afe2384ad3145ff,False,False,False,GROOVY-5021
facda469f0c80450e2818b16dae18f2ff993074b,False,False,False,GROOVY-2501
954e5175a7b3c4749bf0063a98612db2ae0ca2d2,True,True,True,GROOVY-4997,GROOVY-4633
5c882e27bb6bbdc08ae75421adfad85dc61535fd,False,False,False,GROOVY-4069
1ba73f1065fcc86bbe4d4a51ec92f156f578b5ab,False,False,False,GROOVY-4818
9a565bd72dd6d3b7a6ee98ed89e8ee4beba05bb3,False,True,True,GROOVY-7688
044c3c43de61a1eab3d1054fdf7f4a85ea789eb2,False,False,False,GROOVY-8740
272cf4f36bc0a0af2d52faa4a34d033c20fbdc25,False,False,False,GROOVY-7366
10c98eb659ecfc303ab2b9856d725b7636884d40,True,False,True,GROOVY-4884
97de2e0628da4085a4bf1ab856a96b1d895a2533,False,False,False,GROOVY-7804
c48509aa6f75bde1122a471a31c032c3341ee013,False,False,False,GROOVY-4663,GROOVY-4663
e94264aa66de0aed314d248c7d36c1d96c79d666,False,False,False,GROOVY-6334
a8f2a5b0ff20a45ca91e4acf2fd167975596e963,True,False,True,GROOVY-7098
dd7fa4da6f70aaa049c3b3e554a0ff78f96c3855,False,False,False,GROOVY-6158,GROOVY-6158
a07dc26fa653150e390820f48d5ee31c88eb2328,False,False,False,GROOVY-6244
51b898862d142e1ab217c576c79a4ecd8a89fe41,False,False,False,GROOVY-6068
3683b8cee251d121676d12dcb664d6bc1bdf015a,False,False,False,GROOVY-4958
793e09e020f35a314001ede346bbc4bf5653b599,True,True,True,GROOVY-4118
db18095323b169733e94f0c5d21ea295b81496c5,True,True,True,GROOVY-2015
2d404ac9e030fb1d201406f6c96ef4136bde6a82,False,False,False,GROOVY-6726
3bce097c636a59785aeacf9cf19834dd4f27119b,False,False,False,GROOVY-6743
4ddaa73e23da1463d7915162f5946c783ab7f331,False,False,False,GROOVY-4966
70d1756b295b0515c883585d8bbe7467d6afca3e,False,False,False,GROOVY-4512
2a73b81421351abf2a254633faec690eadfdc9aa,False,False,False,GROOVY-4140
8a95665b640f6ea702b41a788fbae8222bf230fa,False,False,False,GROOVY-7402
5ad6e4dc4d46f7807755e9241c32a1b2bd72f114,False,False,False,GROOVY-7216
2ea618108bfd3d14e90982ea198a8604102819fa,True,False,True,GROOVY-8013
b370e49193d8d631cd36fe86926a85795f0bd0a7,False,False,False,GROOVY-3818
64145375adf26ffff7ad4a4596795da18c7f9df7,False,False,False,GROOVY-5766
e1eb2f3dba464a404614ce6e6f057127f60f5d54,False,False,False,GROOVY-7726
f667007269f95d212a835f7e38aff8bb8d0eec35,False,False,False,GROOVY-8931
0fd12592ed7fb2680f0ad118338342316b305444,False,False,False,GROOVY-7017
80886a73a8d777cb0a736927fc6f146003df8501,False,False,False,GROOVY-2532
d2ac9aad5381e41cafca4ff4bbea2fbea2f7cdce,False,False,False,GROOVY-5839
3d40a4a69e8d6ec0e3846cd3fdf6afcd7eff1532,False,False,False,GROOVY-6465
8294b6272eeb81293605827b4fb34b179bf25770,False,False,False,GROOVY-8384
1505cd2e9f69aa01ee4460694c5d823ae5035c62,False,False,False,GROOVY-7365
1ce01bde6980b47e3c56ebead6deb7dfd52669a5,False,False,False,GROOVY-1839
90fe6d2777c27ecc1149bee1d1e32359fa33e3c4,False,False,False,GROOVY-5471
ff3440bfeae8ae492c3b2cb3758736f4f674adfa,False,False,False,GROOVY-7034
455b8a10b1790a53f8f6b0c9ba808769c885302c,False,True,True,GROOVY-5238
f11460221c7fcd747b62c032a4a2a0d2cea35a13,False,False,False,GROOVY-6302
e903c81a9a06138e1b991ec886239e41c33e950a,False,False,False,GROOVY-5202
fb15771e9bf524c957b7d1157e8e521796bf214e,False,False,False,GROOVY-5470
61e79d8dc587035105549bd5e48d13564befcebc,False,False,False,GROOVY-8486
c7d446fb0154ffa02a93a4d77327b32c2bb081dc,False,False,False,GROOVY-8093
d577e372b7e46dde3948e137db0e40dcd4e19f9f,False,False,False,GROOVY-2362
a3f1e376e213ca25a58774719efa6075b2a17ca3,False,False,False,GROOVY-4267
79ae8a09f93b1b463627b4da7e5fdeb1dc64a442,True,True,True,GROOVY-6561
f3b191299b1108f9f57365a933e0a1aa3ff9c40c,True,True,True,GROOVY-321,GROOVY-324,GROOVY-412,GROOVY-373,GROOVY-453,GROOVY-385,GROOVY-451,GROOVY-199,GROOVY-372,GROOVY-405,GROOVY-387
aeaa67ca02e09a080f3c5629da79ad447109a09f,False,False,False,GROOVY-7150
1880ae9c3dc7889a609af31139b395dfb1cb1748,False,False,False,GROOVY-5199
00d287299221f680a1da079409056c7a953fd3e3,False,False,False,GROOVY-5279
6915f2bd48ccf5a02c766444efc212883b38a881,False,False,False,GROOVY-2816
9027c03c49b14782275d4d7cf945626911db2dea,False,False,False,GROOVY-5029
98a92e4df055acd1b98ff56a93984ba7d61b7230,True,False,True,GROOVY-2092
7a065fe509cfab37522468fb48618a58099695ce,False,False,False,GROOVY-6612
35eb6be44d51342952deea5504e2b034b4f04941,True,False,True,GROOVY-5089
42b18e3654cd53626990d1606ed3b8d6fab3a48f,True,False,True,GROOVY-6064
4d7e26b6718698364b83785fbd7eea4522fd7127,False,False,False,GROOVY-6201
5dc0a4e4ed685838f92e0b133325048cf43930c1,False,False,False,GROOVY-5386
ca83d508bf4d670a5654f10bc253f30b6caf4c16,False,True,True,GROOVY-8132
acfb5bbb0700d503f8bbb21c12929b0efa160080,False,False,False,GROOVY-2829
c1805b4053d5fe987d2f0d3fe80d57b2d72dea93,True,False,True,GROOVY-2382
9cfe91ce621ae425f5e8e139c6c7769fecbdb75a,False,False,False,GROOVY-6625
8dc22fbcb41d9fa931dd08920d60f379f7d6ea9a,True,True,True,GROOVY-6614
9303772abbf5b18b295de47bf88a3b8ef4352ca3,False,False,False,GROOVY-1617
28cab88534f18e0927053e6110ed5e42404a97d4,False,False,False,GROOVY-6806
81a79d55f70bb03d2415741e94a72d4334415cd2,False,False,False,GROOVY-886
f432c45c110fa8da326b3199ef761ac782be6984,False,False,False,GROOVY-7742
ed823bd58d2b9fd49d493fbf2f45f4505cd1bf3f,False,False,False,GROOVY-1995,GROOVY-1995
7ccebcbfd99577382626fb524292acac7f0527ce,False,False,False,GROOVY-5366,GROOVY-5366
04022e339ef90b804950bd762befc54c2b8dd251,False,False,False,GROOVY-2697
8408afb8ecf6d72bba321746294ecd53c05d8036,False,False,False,GROOVY-3021
815a659fab85173d8e68c1d9bb4677ee32918835,False,False,False,GROOVY-3945
afba25576be408eefb92457de8c8aa0dc12c8061,False,False,False,GROOVY-5802
cde9360582bf03e98f9eb84b257ba51db39e33c6,True,False,True,GROOVY-7394
