commitID, type1, type2, type3, bugID
2fb04d2a30919bde350f566a39faa7085f1a1d7b,True,True,True,HDFS-6569
738c2a9682880061c12286cb88882c125a8dfd57,False,False,False,HDFS-12406
ae2177d296a322d13708b85aaa8a971b8dcce128,True,False,True,HDFS-12897
9b9edd9b477decd32bda3a7635baf14bd557b5a4,False,False,False,HADOOP-9037
0ebe84d30af2046775884c9fb1e054da31582657,False,False,False,HADOOP-11868
eccd7b20937c753b31f81968b6472f9e02fb1f68,False,False,False,YARN-546
4b661b367022fdde5d1914437892910e14fbd3a6,False,False,False,HADOOP-7576
bbb3b1acc0e8ce10b8689ded2be73b0965f09e52,False,False,False,HADOOP-11163
883f68222a9cfd06f79a8fcd75ec9fef00abc035,True,True,True,YARN-8209
50b0653e1e6e1ae0103731566abdd362097c77da,False,False,False,HADOOP-9555
4bd7cbc29d142fc56324156333b9a8a7d7b68042,True,False,True,HDFS-10267
4dcc08b656b0b8f5db61b3befe3daf7b7aa7d288,False,False,False,HADOOP-10468
6af0d74a75f0f58d5e92e2e91e87735b9a62bb12,False,False,False,HDFS-7725
8b336632acad10e45d029596c5e3196e1857d891,True,True,True,YARN-6771
73b72a048f70c275051747d13dc948845f4cef17,False,False,False,HDFS-7496
e0235842a74f1a1a62051ebb8c9dbd47324fcc25,False,False,False,HDFS-11387
4f3ca0396a810f54f7fd0489a224c1bb13143aa4,False,False,False,YARN-6510
1dfc9c39b6680fd379285cb55640dd97d8de0316,True,False,True,MAPREDUCE-5827
fddd55279d0bdd08b3b40aba6fe2ded1d2e0d846,True,True,True,HDFS-8127
f8c14326ee0026f2c57a4d061bff5fadec74b74d,False,False,False,YARN-2255
ef0870ad038a1b72ea14ce550e34139b81eb901b,False,False,False,HADOOP-12378
df99ea8a92d600e669606d41d3887bd004e7a3cc,False,False,False,MAPREDUCE-6616
21c14c0b026d08deecc9edf004277c55bf7bb716,False,False,False,MAPREDUCE-4981
ef3ecc308dbea41c6a88bd4d16739c7bbc10cdda,False,False,False,YARN-8221
45a753ccf79d334513c7bc8f2b81c89a4697075d,False,False,False,HDFS-10344
6ec9b178c664796b44eab6c41f7216577d380f7c,False,False,False,HDFS-2034
cea7bbc630deede93dbe6a1bbda56ad49de4f3de,False,False,False,HDFS-4122
d5836856a2fbcb9374caa9f838990b07204477e4,False,False,False,MAPREDUCE-4066
fd605997eea1487c71316b9f31c5125c87f28c2f,False,False,False,HDFS-8222
89e16be81b1254633ad76638ae573c3745e7de9a,False,False,False,HDFS-3837
a8ebdaeb088d53800e0397bd8a8460ca14516aa4,False,False,False,HADOOP-8197
8c0769dee4b455f4de08ccce36334f0be9e79e2c,False,False,False,HDFS-11960
7ab754545dca16518e8fe9353ef69b77f365426b,False,False,False,HDFS-7227
