commitID, type1, type2, type3, bugID
9fdd10116a7c6dcc1354b76d12efc5adf93004a5,False,False,False,HAMA-682
fe57a39cc5a576d11d9137fbae156a79d4d7a8a1,False,False,False,HAMA-1002
c2ef4d2ad164b581c770126f5510b057346b9a34,True,False,True,HAMA-857
e67bbc16c60c9f9c5d034cfe28580a6344f8754a,True,False,True,HAMA-777
9a3e8975c12171695c2030d7220aac386aa9e913,False,False,False,HAMA-905
f1208df6c61dab482a6cfe68317e9d32f9b0f3c5,False,False,False,HAMA-657
c6695e82057db4c10f6ab08a87322acad49f577e,False,False,False,HAMA-860
99fc3d2f9c85ead1f70d88fe0197fc836c416d39,True,False,True,HAMA-789
df770c0a7470eaa191a82ed4e8706994885fcffb,False,False,False,HAMA-712
48ebc4a065a613800c488811b051350dc01c4933,True,False,True,HAMA-844
2c4f27c15e24525200e8cbbcb97dbaa2c50d34ff,True,True,True,HAMA-928
13de8181164750e0079a20e7b92b79ef6e13b708,False,False,False,HAMA-662
da60eae7fd2cadd42743f2029a13827ccc889ee0,False,False,False,HAMA-621
30addf0cc1adc87e023ad6cfdb8555d4bebfbb92,False,False,False,HAMA-635
d677800bcc4431b5730d715a9ad761f7df65b4ff,False,False,False,HAMA-967
6b56a382d2b95ca5208caf39f9eea5844358254a,False,False,False,HAMA-906
0261c448af03ba3538d38496ec32ea4932523073,True,False,True,HAMA-756
7e603ccaa223386720d93ebd7417a1498ca42cd8,False,False,False,HAMA-867
31788d002a7e812ba568ce802f00b4490ef20d35,True,False,True,HAMA-834
e826b31d8c7bfb1499a004d17850e1824fc10e79,False,False,False,HAMA-755
34014ac8d9e94d9851f6e21be46a31186460ab2c,False,False,False,HAMA-716
5397c159243289a885a62259d03af1998b679faa,False,False,False,HAMA-677
a21495f6f4ce3348e156a4ffe28ccfa927e616a7,False,False,False,HAMA-867
9cef1a88d9fa92abfb29b15a30652b450eb5824d,False,False,False,HAMA-677
c709c0af22b19321dc32ee46fc3182b57b219d3e,False,False,False,HAMA-981
50d39d76d5723d9c11fd85963572a2e7790bf8e8,False,True,True,HAMA-769
e107f46fb48fba452be37226f0ffc784024828f1,False,False,False,HAMA-628
0deaa67f64ac0aaf8d1a13276276066e0a9983dc,False,False,False,HAMA-922
4db7ac9733abdd408fe3be4f4849aa415239250f,True,True,True,HAMA-973
082e5b55bcaac421309ba01aa32cf487aa46430a,False,False,False,HAMA-966
24b5edeadbf4f76d81db9c18aceffab2e70f8d52,False,True,True,HAMA-678
9c0fa443186b9f07167d1c653265f414e2b00325,False,False,False,HAMA-979
28f7adc106d4c829f5ca58d50d5af237e9b17844,False,False,False,HAMA-667
b8c9fb4c652bf35ad8c4d552407d3ffb68b4464c,False,False,False,HAMA-246
6a713aa60498ee0deec2337153f7e683a34221ff,False,False,False,HAMA-950
647298acfd25b9caf18d39673420fd89bbf45caf,False,False,False,HAMA-574
8ea80200cea6c84be44d383c1a6cd04ec52e36b9,False,False,False,HAMA-801
ddbb80f46e749575c06b48fab47ea25b56a59a44,True,False,True,HAMA-951
656c0134f432821e2a413ea380350b7f3148168e,False,False,False,HAMA-979
08e340a026767f306219141df2a32a11be7d0153,True,True,True,HAMA-469
9eebdd26507385500187f2d8e6017908122a040a,False,False,False,HAMA-476
65a0839736f475bcc116f3ba4a233108d68594d9,False,False,False,HAMA-963
64d7254fa20c65101e0dd4bbe5c1e85da3e6a152,False,False,False,HAMA-986
ec4c3bc0824a743c49e4b69327e1ea90edeb378b,False,False,False,HAMA-969
24c5834c63797725b3829289dc22803078c6d716,False,False,False,HAMA-782
ecc66c5cdf8053a1c452acb96cc8c25ce25c6cee,True,True,True,HAMA-437
6e59097b8680874c823bb76ff099a03e668590b0,False,False,False,HAMA-780
603e175eb620a0a2280a5dbf662f32d70878257e,False,True,True,HAMA-809
83f906c23c5ac1ff0e9f4c04991253cd21b612f7,False,False,False,HAMA-989
d927fe991fe57e239e8d90ccc234bca2fcaa9094,True,False,True,HAMA-837
7a417dd33b10768fa6df06f836efd14b8a97e3b4,False,False,False,HAMA-845
