commitID, type1, type2, type3, bugID
d827dab355726b2e59b0d22831bdc0223fe328ef,False,False,False,HTTPCLIENT-1397
df365c46a30015be37441e0d30d40d5645b24ee9,True,False,True,HTTPASYNC-46
0724b886b760d632fa7fc18ec6b84e5a0016f9af,True,False,True,HTTPASYNC-81
2aa05aac08adbc8f3fd46a49e37b2410495f03de,False,False,False,HTTPASYNC-18
18fd77536a6cec840d33f079628011873f152f13,True,False,True,HTTPASYNC-2
36430cae0338462a877580fdb268e37c016d7851,False,True,True,HTTPASYNC-74
ee7b4028dd1764d161610220e45002593ae5480d,False,False,False,HTTPASYNC-6
b802297b953b634078640cbca25c2bc02a4aa711,True,False,True,HTTPASYNC-64
13c217cf2c8bf5e085f6a9d44143b5a1cd43b049,False,False,False,HTTPASYNC-20
e79480fa42b61ce3db1e1e615b88970fb443eebf,False,False,False,HTTPCLIENT-1442
8bdaa1661f5cb857ff091ee1d708a5acf536fd7a,False,False,False,HTTPCLIENT-1224
44de53d84e4f00e4262f767e89cb9311d0737519,False,False,False,HTTPASYNC-40
ce75613e5b9d8ec3db9258ba4c444f499006c2c5,False,False,False,HTTPASYNC-56
8e24a8b3dc9d77019c6b3a6463a0aac835c4a27d,False,False,False,HTTPCLIENT-1359
87fc9e31c32f8a16038054850a201fd59a59def6,False,False,False,HTTPASYNC-18
38bcb132d79d90dfc7149a09febfdf66442d5023,False,False,False,HTTPASYNC-64
f99ce3903e2fc9142a7b9e027b7d55b0c564b2c8,False,False,False,HTTPASYNC-56
1eb2671be765007947e5c6a3bcefa8c41dff3930,False,False,False,HTTPASYNC-79
b8c38c50f74c2784b31412a08a0e9d7f760198f1,False,False,False,HTTPASYNC-44
a76f93cbacc144b23842f52170d8484f28314ebf,True,False,True,HTTPASYNC-81
04032cebb5576c7b3400f241d8e4e9bb7d18dd1c,False,False,False,HTTPASYNC-81
86ab13085c14f11a6abb4a0109b91739a22f6f80,True,True,True,HTTPASYNC-19
dd48342dcb896be3e043a689f91dc09f9d3df9d6,False,False,False,HTTPCLIENT-1405
56b3b2dd1d506b898d9d033362993d87f625dc69,False,False,False,HTTPASYNC-21
1a13b8a5542f7ca4c5d8e86f1c8dca7b03dcbb4a,False,False,False,HTTPASYNC-63
95f5bd6b07978390ee161e54296aa8b52e171ea7,False,False,False,HTTPASYNC-15
ee86a85fcb1b6c796a751ce4947f3b2b95205759,False,False,False,HTTPASYNC-51
23a5001e40c6820361f3ac1da93166f23a63609e,False,False,False,HTTPASYNC-68
c5f8cd1ddaff9df2f9540f40f1c0b094936f6c8a,True,False,True,HTTPASYNC-45
1453929108558c3dc84c544f69d48840a4c720b2,False,False,False,HTTPCLIENT-1446
462c47e76a8fb1741503b05a871df7dd39617e8a,False,False,False,HTTPASYNC-3
7f256309637b1db9b9691d648a55f92546f7ae63,True,False,True,HTTPASYNC-21
17ec346d1ec52e9a4a70264f814ad07b8ab91ca6,False,False,False,HTTPASYNC-73
ca3c205c9b9944c8fd5c71582fef79b5797e8d3e,False,False,False,HTTPASYNC-65
14ccb3579d25e0bcac557c9086271152d63584b1,False,False,False,HTTPASYNC-84
2081567561c630ab4fd8312373284a1c314b45e9,False,False,False,HTTPASYNC-86
41ffb93e2ff9a4ddf7c9cdf3a306e719a169376d,False,False,False,HTTPCLIENT-1344,HTTPCLIENT-1345
d5eb039386d7c5c6cb8ef3a72208f85280b1762d,False,False,False,HTTPASYNC-3
a3185ce0073511555ff2a452af659903e574d646,False,False,False,HTTPASYNC-56
9184e27f5bf0b3640ff4b1f89f132d4298a1191f,False,False,False,HTTPASYNC-28
db2db394af45fbac5d9118c20c76855fdded8991,True,False,True,HTTPASYNC-34
c64f27143400bcca06e37b47642b427c5a84acda,False,False,False,HTTPASYNC-90
de5718e3a076462531522c703634708110c2d783,False,False,False,HTTPASYNC-60
a5eb377263b789e2c62e8ce756dc004a893f7ae9,False,False,False,HTTPASYNC-9
f87cc2fadfbfa436da52f9c5d7eb16deaf0f55a4,False,True,True,HTTPASYNC-88
2ccf7122812ac08ce4e04bb691f71e846b54982d,False,False,False,HTTPASYNC-69
8451d91fa34b0b7e39b0a1a7579579484f8f11e1,True,False,True,HTTPASYNC-40
a0ad762968a53c304462535bc4cc17fa3fcc8f04,False,False,False,HTTPASYNC-52
1956c8f9088b12d8edd5b6bba52accbf41a06b83,False,False,False,HTTPASYNC-55
7d0afd1efe63e7e10a5483b57c3c961b38949899,False,False,False,HTTPASYNC-92
dcd312b6e2aae014796bbee10e4581a34e54b767,False,False,False,HTTPASYNC-11
6135f79ef28f7c38b3c2166e6641effaf59eb0a4,False,False,False,HTTPCLIENT-1186
0ac74e4cd9909037aa7ee94b3d4a18ccd5ebef49,False,False,False,HTTPASYNC-26
