commitID, type1, type2, type3, bugID
635604868056f47c64a37e310d01ae910766771d,True,False,True,JCRVLT-235
22d9d14ad6f469491851c2e2d6e74e8a1a686515,True,False,True,JCRVLT-42
dafa327ed43110a7346f62b31b61573db0433c13,False,False,False,JCRVLT-137
49a5d61e94d093e350d9e8b54d81c83ad54964b3,False,False,False,JCRVLT-322
f826115aded0194a60e49cebba5655b0e6b40f6a,True,True,True,JCRVLT-197
5972b906ca93d5236beb7f5c0b05ae963dee93f2,False,False,False,JCRVLT-64,JCRVLT-65
ab2a1bcd7e4bd2177d870668aa28d0afb517f553,False,False,False,JCRVLT-36
278298088a03ffb204c38adf6c641ec4f72757db,True,True,True,JCRVLT-108
cea682bccc5dc9a54df30dadcdb26b18e36c20ee,False,False,False,JCRVLT-34
86d511ce18d59db4632d479a68188b5745183870,False,False,False,JCRVLT-126
01ca8fe2482270d22245dee1ba889879b409fc80,False,True,True,JCRVLT-60
e2cbfbbecf879f70da161428f9098dd87ba21d49,False,False,False,JCRVLT-45
e12e38a69f2ea404f24d965918467dffb4db8e09,False,False,False,JCRVLT-226
d35b41d251a8215e7a330b4b71bb54d608f54166,True,False,True,JCRVLT-98
693f45590f4c5b71035c6109dbb224b08d54da44,False,False,False,JCRVLT-258
3fcf6035625856441752c9c72a4166955e5f98d0,False,False,False,JCRVLT-128
9eb53d36adfb7695a44075c72ca7ff0cedafabcc,False,False,False,JCRVLT-247
a1f812858a6771627ea95346641667b0fb38dc42,False,False,False,JCRVLT-300
8ec227c400a986f2604c2458c9f093701e2aa244,False,False,False,JCRVLT-94
ae0f8b9d80d991147ee7a7c75f1387f737570758,True,True,True,JCRVLT-26
6e6e22518aff2ced79ebbf300cca9dfdb7d6697e,False,False,False,JCRVLT-305
e8ac036d92bf16dc145ea03cc54baa23e0f1a306,True,False,True,JCRVLT-157
fa65a75e666192b7dca4e7cbd41c04b9328c7cfe,False,False,False,JCRVLT-158
bac8a72deece3df6d936302e87d21cbc70d0ea23,False,False,False,JCRVLT-24
e86652e5cc43b999a27f19674c4aa5d8a154b11f,False,True,True,JCRVLT-114
ed4f0577b8bbb1aecb163c321fadb14fe9764d0a,True,True,True,JCRVLT-169
09403c910233feecde40d2e6062e41f837edfa59,False,False,False,JCRVLT-329
b3dfcfff2587d3c96c493ec8ace4a63c929029aa,False,False,False,JCRVLT-128
684690b289f7bc39aee3ab966482b577c4dc3844,False,False,False,JCRVLT-75
ff2cef71b1ce2342f81b0c7f64c96be6b432dac1,False,False,False,JCRVLT-108
31cc43c9592dac704f1e0a3c4c6504d8d0ce0da7,False,True,True,JCRVLT-55
0f1c219565b1239f3b21fc706279c70040b92ee4,False,False,False,JCRVLT-149
0de8ed97ddbe565eca9344c002a50c1f1dfc0a1f,False,False,False,JCRVLT-235
93e28e4f56e608d1186ebcbfcb3ac2b4ad7276ff,True,False,True,JCRVLT-266
6b6aee9b9ff1458ad98cc1a34c38645aa8697c9e,False,True,True,JCRVLT-24
d31906b72eaba89a38cb3c54900cc9b8c206a69c,True,False,True,JCRVLT-64,JCRVLT-66
97710fa959a2c9bb2611b2b772c820dd694761c3,True,False,True,JCRVLT-92
7a84b730aca2fefa07a58211c01e52a9f04b8bcd,False,False,False,JCRVLT-185
e4764759cb66614add3a06d6cd80fb12dbd376cd,False,False,False,JCRVLT-86
800f920e9fe4f7d1464129858cb6fac72eba0874,False,False,False,JCRVLT-121
3bf509254b85adfa491fce8fc62475e863e16097,False,True,True,JCRVLT-37
87d2f08c8e539e7d2a50023fa9b7cff1e923b6fe,True,False,True,JCRVLT-250
b326a8d3bd81ed9e95b79bf1eac5e21669a098d2,True,True,True,JCRVLT-208
