commitID, type1, type2, type3, bugID
d53b0cd3d41c863540cc91eec54f6d01a0c15fb6,True,False,True,MAILBOX-31
3db6e1ae083f7d0e548d9c11ee6c7b014b493dfd,False,False,False,MAILBOX-56
95212b50060fce5b9985ff2c39f9cb13263496f8,False,False,False,MAILBOX-92
430839f1d2ae0f54dccd7960ce85937a093d1726,False,False,False,MAILBOX-109
9a93245ec14ad6b34c3587e3700c9c626a21fff9,False,False,False,MAILBOX-169
71123bf8271a69640a81be6ef66b18213f0939ad,False,False,False,MAILBOX-107
1ec46916f63c4cc7c507b89dc39c1fa2dc321b83,False,True,True,MAILBOX-137
38abb3f86aeee89c31bc1092733a21483cab5793,False,False,False,MAILBOX-145
2d5e90068cde3f3dcb48065b0254bded153b67bd,True,False,True,MAILBOX-149
eb8cc3ea0092c9fd78e2e79fa0cdee3d70c119d7,False,False,False,MAILBOX-110
9569ca867f2b96cf732ab0d916bf12ba93eefa0d,False,False,False,MAILBOX-75
7dea64de8984dc52126f20f28a1b70f9077d20f8,False,False,False,MAILBOX-131
310c452bf2c27c34881f207710f729624c886768,False,False,False,IMAP-350
acece5dd8c8fc08adf678ce096c0d68f87d10c11,False,False,False,MAILBOX-144
0db80bbcb51540c8c7844a0d3dd6f8193f76c541,True,False,True,MAILBOX-143
084430fc4c3b560186a5625012139c7791729a2d,False,False,False,MAILBOX-42
8c5d89879721a754bb7f5d1e45bcc7ccb6b55c8d,False,False,False,MAILBOX-168
0d145281bd9283b90ea0f63af472edf147c4f3c9,True,True,True,MAILBOX-131
f330b1138ef43424a1c673c342319e73982dfc51,True,False,True,MAILBOX-84
abc550685a24199fe7c5529357766b794d8199b8,False,False,False,MAILBOX-136
32e389ea9c97e74dc04d284cacddad34de1867a2,False,False,False,MAILBOX-49
b3d2198089900e8147396b525132bae9b7a8af3a,True,False,True,MAILBOX-129
59a7adddf2b9b832c230129942b325c16a64f2e8,False,False,False,MAILBOX-118
daaa2a11c6fe220b11e7eb7c62ec6d17579c0f57,False,False,False,JAMES-1304
a9dfad12e475a95210e02fb90e1f6cfef3b0a487,False,False,False,MAILBOX-95
365b1586860d23856e11ad62e83e259ad1a4b9bf,False,False,False,MAILBOX-178
5326b862d226f15b82fe2fd105628a6288b2282f,False,False,False,MAILBOX-142
975afbcc97d82dd56424b1c08b50aa0314290b8b,False,False,False,MAILBOX-134
956bde9ec0751501cae2533c2870e268cf2ce1d2,True,False,True,MAILBOX-75
6b1c2b86069ed757f2df018129ea773e84087e57,False,False,False,MAILBOX-134
3038f553fcedbdd7c85132edbefd26f4d17ae128,False,False,False,MAILBOX-109
3d6db455d9d4c6f12f83023bc263170f8ac69a07,False,True,True,MAILBOX-11
b4a144174a646170f45ba274a2d6848101fc203f,False,False,False,MAILBOX-11
b7c9a0f6f3c369f335a5e94ae84d54dc97e44900,False,False,False,MAILBOX-99
e16d79a94316260ad8da169e3e3d467b46954d69,False,False,False,MAILBOX-96
014c96c56ad4e31b99b6141fddb82d8d867888f8,False,False,False,IMAP-350
65283cd117b1105fdd6aa85be6d5dc0be8d77a44,True,False,True,MAILBOX-32
a793f2c65177c83f450558c0debf62585c70f6bb,False,False,False,MAILBOX-65
23478d208343ec2aeba5def6ccd206074cd12258,False,False,False,MAILBOX-185
d236016be6d8220bac31cf9a7fd9dbc6ba03b69e,False,False,False,MAILBOX-75
e9341d51bacbb25b1ac443dfeb7cb59ee547aafa,False,False,False,MAILBOX-11
7168fd63cd562147d30a126de9287fa6c4f7dcbe,False,False,False,MAILBOX-131
7827b7412c47b4c679857823cfc6404acab73fe5,False,False,False,MAILBOX-110
3c0c0e3f63d237b2427eeb3938867f8ed4127b04,True,True,True,MAILBOX-97
706455f325a5aa46fbcfbdfa21ce43491e2cf0cc,True,False,True,MAILBOX-11
58239db43d44bba22919a41201a199bb20989b32,False,False,False,MAILBOX-153
a9514e36e8ac15e2883bd298ca54193b14f39bbf,False,False,False,MAILBOX-138
15aff6354505f6d6f7ef55c2ed787f8d33d70256,False,False,False,MAILBOX-141
0d05af2ab038349a52529ee801af2b941717277d,True,True,True,MAILBOX-149
93ff96a3a1a96ea7e74fa51c8b80b35f25bbb427,False,False,False,MAILBOX-114
a6c262aa27ff7baf50d7e7e69c7f86e15d615386,False,False,False,MAILBOX-43
2da1de4e3bb63c575856eaaa222877e6f932bcd3,False,False,False,MAILBOX-58
26e92126bc374f99bdb9e1f91d5ceca616617b55,False,False,False,JAMES-1239
c2f406e026902b76e61101cbbc4cc2331b7a3769,False,False,False,MAILBOX-57
4268877143bf47b180673553a7b0a7d02a449893,False,False,False,MAILBOX-134
0dc1349561a99f980a4b5600c2185046ec0aa683,False,False,False,MAILBOX-51
2cff47039a718f2d8eb20a26673f5513f7435bde,False,False,False,MAILBOX-65
48ae2f8871b6841a451fe78432fd427ff8055822,False,False,False,IMAP-260
ed30a27e77af66655180460d46ec3400c85e1d81,False,False,False,JAMES-1274
73c4c79158ade0b9452b4de3a972f84c11e0dadf,True,False,True,MAILBOX-87
5b2f244ced43e5bbf96fdb80ca2fc71198c78567,False,False,False,MAILBOX-71
f7fced12f16e321d20b8f64a94e0e07a156c3137,True,True,True,MAILBOX-30
373680773a3fcd4516e7bf722ef008564aa157f2,False,False,False,MAILBOX-108
