commitID, type1, type2, type3, bugID
8bcaa77340ac377a20237af4efbe891dc5a4790d,False,False,False,MAHOUT-1577
892fb11ea0ae7ef0bea23dd782410aacd59ba8f8,False,False,False,MAHOUT-370
b0dc01b24aae9e583dd873541ab9f3eafe0b7d9a,False,False,False,MAHOUT-1392
d1801d2a4585ed7e8c4a41d172b3543d5bf081a8,True,False,True,MAHOUT-11
f1c99aa6a03880f80f483d24ac46a0d097a130b5,False,False,False,MAHOUT-1292
0b04779565a30f0e1e6debb6c2ce846fb1df1447,False,False,False,MAHOUT-604
50b4637a387f54729144bb38699df672aa76e8f1,True,False,True,MAHOUT-1020
fa5336eba62537b237df358338bc723c1398a7ea,True,False,True,MAHOUT-1240
c87196e4e24a758d652b5ba36e26701c35726654,True,False,True,MAHOUT-1319
a400cb8acb5ad65c28ac646a1b1208451e0b0c50,False,False,False,MAHOUT-1221
f4d8201a5f6090d5cb76bd3fddc1ee4f325a911c,False,False,False,MAHOUT-1142
312c714329135573bf83db00db58d8c8b84133e1,False,False,False,MAHOUT-1522
48612cb8a4081a4c70e78fb84a255a59041f021e,False,False,False,MAHOUT-679
de69de1d385b4c64d1d710c869f79315944e45f5,False,False,False,MAHOUT-864
6c34155d2c5f2eb4188a772215bd8f080d75e870,False,False,False,MAHOUT-498
5c13640d05309e1a4b7fb99142546cd9bb89ee4e,True,False,True,MAHOUT-1116
ed9e993d7eb23de48c2d7133d760b1fb085d5f08,False,False,False,MAHOUT-775
cd02e8bd4ed8d7425eedfe37f42fa23a605f6dbd,False,False,False,MAHOUT-1006
2396246c13ac844d6a9b7d9d02c7fcd779d11804,False,False,False,MAHOUT-1390
aa57e2f171ee8836f2645c1cdd087faf2ee1f934,False,False,False,MAHOUT-2038,MAHOUT-2040
08e02602e947ff945b9bd73ab5f0b45863df3e53,False,False,False,MAHOUT-1971
298eef9ddff628a9ce6b4d2c77644f7166cec9cd,True,False,True,MAHOUT-834
1e6c547e0814393413ed5c67ba149294e1229d49,False,False,False,MAHOUT-1807
2282122dcd1e27747f44da7ba08e5c63a6627b0c,True,False,True,MAHOUT-961
6fbf3663b55def1f75fa3bed4690bf9562146921,False,False,False,MAHOUT-1581
cce95dafcb40da1d0163a1ca1e01f8630cf3343d,False,False,False,MAHOUT-492
dcf942cdd1c868009629cd587bb6e87ba907311d,False,False,False,MAHOUT-26
f747b5132626acbb320b5a384485693d522e3d2b,False,False,False,MAHOUT-495
06205a6cd43d9d2fac4b59184e03d52725fde536,True,False,True,MAHOUT-1380
77be783e845dec2f7bf0f90cc693a86bb9ab001a,False,False,False,MAHOUT-1771
a793d3a64edc544ffe5edcf3f7c164814c4f9a22,False,False,False,MAHOUT-1038
