commitID, type1, type2, type3, bugID
00d1c63ff7aba946f45004d9934ae8dfba9d5d27,False,False,False,EXTCDI-239
641aaf46ba9a95c8fc1858ae69fe2614f37e756a,False,False,False,EXTCDI-246
924d3e4af6cbb93c979406fe17c7da275489db66,False,False,False,EXTCDI-167
2faec970c2da508c70e34296ee76824c696a6dd9,False,False,False,EXTCDI-221
80f2bd3df51516cccdbc640b21135739ed3c1d3f,False,False,False,EXTCDI-239
4f46d6f7a9e1770b9adc8e7df19c876d57d4da07,True,False,True,EXTCDI-50
874dd306958e59fa3b34a0b7c3144b595ac575dd,False,False,False,EXTCDI-148
1450509285a57e1aaf0925cf4037db179a3f85f2,False,False,False,EXTCDI-242
8bfb2d2c7c12102f28053f24dc7502f9e23c95da,True,False,True,EXTCDI-19,EXTCDI-19
35e0929e697ea19ca9af8e18170a18262a72298b,True,False,True,EXTCDI-154
e8447a6dc688ec48d284646ff3015e4b63f9f20c,True,False,True,EXTCDI-131
9b1d0f661ae399bd7b466c2717e11d5c45800d98,False,False,False,EXTCDI-34
46ed100d91a508a07761f31da4f99f3a771b01a4,False,False,False,EXTCDI-286
c17e4ffa6e436404ad0f9398f5a10cef455863a0,False,False,False,EXTCDI-28
632da417f1363dd1ad876d5212a70def6feaa631,False,False,False,EXTCDI-247
6fdb856625ad5b34a32a12d4e2de87b118902932,True,False,True,EXTCDI-30
6183154af35926d9d1f0176cba14b8f9d9532cd3,True,True,True,EXTCDI-49
dc86fd4bf5f285fd1a2255bcbe2bc670fac84821,False,False,False,EXTCDI-24
4ce1a5270d2718a9592d9713ece72b33118caefc,False,False,False,EXTCDI-259
e36575fa917fc0b6a3db1505320b2ef4b62328b3,True,False,True,EXTCDI-28
ed27f0ec3c7b0060e934dd33f0a2710659a3ca4a,False,False,False,EXTCDI-24
9be12d58179ca38f62268ce177ca2c24068b4b25,True,False,True,EXTCDI-228
791def5b17b754f8071dd71bef877d6984fa2dc0,False,False,False,EXTCDI-302
15421f32413fcc152a22f07cf362ae3785cff483,False,False,False,EXTCDI-144
46a4ec90b25c0ff2dff3e20303a75de4adaee37a,False,False,False,EXTCDI-144
bf78a3af558815fae9aadb0fdf95e8aafe8cd226,False,False,False,EXTCDI-167
3c72333e57cfeb9a4ca217a91c2388007b765305,False,False,False,EXTCDI-227
9d937f3e8e377bbaf21e77206bae2ed3896c91d9,True,False,True,EXTCDI-167
800817097cbd650c87dc421add69723872209d1a,False,False,False,EXTCDI-92
0990eeaffc9e9ce2267b566821d91e117f9b2bbd,False,False,False,EXTCDI-144
560a749c903e29f7b0d63ef66e9851df6c9a68c6,True,False,True,EXTCDI-220
c64f4c06818d89552820d95f3cb0e96390cc07e4,True,False,True,EXTCDI-22
fcc437788ba13d530f4a5b9e4d7db7d5597c6ac0,False,False,False,EXTCDI-108
aeb413da818d3c959233d0f58f06b7a2feb0f7e1,False,False,False,EXTCDI-154
4c8a7b9bb6d9d5860c30529e263b1c9de8b393b0,True,False,True,EXTCDI-167
5ab8dc1bb0cdca6d10990f357f243579943ccc5e,False,False,False,EXTCDI-184
0878103df57dd2f8382260f497380b79d8637c65,True,False,True,EXTCDI-28
db4a5f139614d97d07c730b9565f4109a41c5318,False,False,False,EXTCDI-166
24d47bb8f162564a8eca500c50f96b605d238990,True,False,True,EXTCDI-221
449ec18a7007fd061ebbb52862bc508667575cdc,False,False,False,EXTCDI-42
a54d8b73baeb72993f49909fe1ae5fcdc818dde6,False,False,False,EXTCDI-143
0d161c71babcd778a0426a1f034b2e4d410bce1d,True,False,True,EXTCDI-167
22d77cb8b3f50ad8a41255128c2b45f8d1ed1d47,False,False,False,EXTCDI-277
1badeeb98832ee1e7635ad772b6aeb2eebec0a11,True,False,True,EXTCDI-239
ea991c85c03d65a7dc5249bab65fd29978246f0d,False,False,False,EXTCDI-144
e3b6323ec41825e100d2437e9220bb613fce6a97,True,False,True,EXTCDI-92
d8b32b3e2354db44dfcbdeb9021a965638af7812,True,False,True,EXTCDI-47
7ee8f2e412d283d4839372beb018b37d4cc1e49e,False,False,False,EXTCDI-29
b3012a3c20ab32dbd3ceda92eb11b7b6743ba23c,False,True,True,EXTCDI-98
5d9be71178385125716c053ae036cedf8a767064,True,False,True,EXTCDI-69
b2c6bcc7e0a45634e5f379f3ea82b074db78beaf,False,False,False,EXTCDI-242
bbb19aaa65a8ca04592e35c771c4692e0beead2c,False,False,False,EXTCDI-266
7774edca64aa6fd326b33608afbfe24ebc613ea6,True,False,True,EXTCDI-96
14ccc2f0cd9426dca3097c47c907e3fbcf9296a4,False,False,False,EXTCDI-311
641d28ddd58e03f05998025879cfda72f36ea009,True,False,True,EXTCDI-127
36198a76a7d8053c8c25fc30b77f59a768b91bbc,True,False,True,EXTCDI-167
2caa58879e87bf0468b6b1d6514a2764e8cf0cfa,False,False,False,EXTCDI-234
54febfe070ee23965f192ea27b84188b5b404043,False,False,False,EXTCDI-83
ed74e15f75c33cd90a979a9e7512dc26507cbd32,False,False,False,EXTCDI-143
1703adb6c73d376277cf5818d94622d005b93e94,True,False,True,EXTCDI-242
