commitID, type1, type2, type3, bugID
a9f8f4c0f1f5336821b00e3cf858dc73e5d637d7,False,False,False,EXTVAL-135
b7b5bc5cb697b26a07979f4e2a5329507ad40a0a,False,False,False,EXTVAL-105
399439ffaf5c55f108afd2132c05207fffa4db63,False,False,False,EXTVAL-98
45269050c36d3743f96aafc55fdc8f3d1cbf74b6,False,False,False,EXTVAL-147
fcf13131dbe06e23bafe4ba4add2874541132f7a,False,False,False,EXTVAL-137
a03ca2ff505c60bd70e8c1f5fb0a8b94fc309447,False,False,False,EXTVAL-78
f5cb57b7922c86f557c7ba51edf36f595106515a,True,False,True,EXTVAL-93
0446933f6792186220d84b07f00b5bd7a7c67634,False,False,False,EXTVAL-77
09a0a2a29d1923668aee708b60f8fb3c8ad4607a,True,True,True,EXTVAL-128
991e8c737363ba2ba89febd9e51d9d7dae799463,True,False,True,EXTVAL-124
5078cc0a414fc09a7068fcddd0353275286d350b,False,False,False,EXTVAL-97
dcbc1731a0ca32759af0274f0465fcbcdb41e736,False,False,False,EXTVAL-78
6155ee5724d793307ff46f77948ce979d27f1dcf,False,False,False,EXTVAL-76
