commitID, type1, type2, type3, bugID
970ecf0bf876cbbf53301161b824fbc6b6cb162b,False,False,False,EXTSCRIPT-161
663fb38b2d7d6bf943a091198019d1ce3a1c91a7,False,False,False,EXTSCRIPT-167
734b9c01c17f04c192341fc654708fbc91f0e6ea,False,False,False,EXTSCRIPT-183
e34f8ba5df17ce68887dcf573772fdb2b9de8b82,True,True,True,EXTSCRIPT-28
bf252d7a0be9f9ab98a03345e7570f372ddf980d,False,False,False,EXTSCRIPT-158
891fbf89217a8ad9c06d959c14aead63aa03eb62,False,False,False,EXTSCRIPT-95
f5a9cf727eb86d101319187fce0d3e5559d1e472,True,False,True,EXTSCRIPT-70
46fa44d191728ef1f17b9fb0d248f33e164c9f70,True,False,True,EXTSCRIPT-188
ca955f094284e1868fc585c8bbd13af365cc921c,False,False,False,EXTSCRIPT-111
beeaf30ff693587431e34d4399813b20ce39ba97,False,False,False,EXTSCRIPT-115
8d0347a77b602e3931eb94545186b460f1907b5c,True,True,True,EXTSCRIPT-111
4689bd00b2bd9f47fe13f984ccfa9fa3a9983fbe,False,False,False,EXTSCRIPT-124
66ddade2941ab29e4da32ed6ab56e75c24416a09,False,False,False,EXTSCRIPT-49
6790bbb78116d79ddc7ce0818fd4db36e494ef0d,True,True,True,EXTSCRIPT-111
b6c056dedb3d8779bb8d63a15c65a9b9ec94b1a9,False,False,False,EXTSCRIPT-115
df1f2a48653b7e4d4ed34b9ce948c3456934f23b,False,False,False,EXTSCRIPT-120
6e39231653a88457479798ee08b9563989651000,False,False,False,EXTSCRIPT-41
497a124153ea9a5b3a434a6b0dcc2a3703d62cfd,True,False,True,EXTSCRIPT-12
04b2602634f1de3b65dde64fcd8935ac57c0aeca,False,False,False,EXTSCRIPT-183
15adb51bb3ccba77ac9a3ecb80ae4a96f5c2cabb,False,False,False,EXTSCRIPT-100
838b0d116f16ef926fa5c9bd3f4df6f430ea0a44,True,True,True,EXTSCRIPT-28
83552c75b1bb19f3350881c9bd149c7404746dc0,True,True,True,EXTSCRIPT-101
808d204fc73ad0e6190a6d27368a286b9ae1639d,False,False,False,EXTSCRIPT-109
8555e92bfbd277b355613c3bd0c4c365abb54124,True,True,True,EXTSCRIPT-109
c2f50efc32c36780a9e581e1b84d4dfb1d0e8ae9,False,False,False,EXTSCRIPT-127
9a7050322dcf008a86f58efc1ecb8c71ed175fc3,True,True,True,EXTSCRIPT-155
88fe482114aa684177b3c63a56f8144d02abe6e9,False,False,False,EXTSCRIPT-145,EXTSCRIPT-146
d7e253dbd402431180bde9e82cb89423e8d84976,False,False,False,EXTSCRIPT-12
2b7429a13a9b673b92fa8f94a6661df25dc7b5ff,False,False,False,EXTSCRIPT-167
05c13427fb9f69133571d5b447733462cf74f5ad,True,False,True,EXTSCRIPT-109
29433538b4e03b14cc57bf8032261436ee01bd4f,True,False,True,EXTSCRIPT-109
68292796e2b00fd5dec2d3b076267c283a01e6a3,False,False,False,EXTSCRIPT-174
71b607ab39a6c47d34dec857e3a6e3657451c475,False,False,False,EXTSCRIPT-28
1684f39cc5020fef20b064ebdc56d3fdfcd02346,False,False,False,EXTSCRIPT-109
8535ef073e506b7a4e2c324077b9c4e923ad03d8,True,False,True,EXTSCRIPT-98
7900e98ec5ef5222b6f041e09555e4835b3b69ba,False,True,True,EXTSCRIPT-134
f7e755d603bad3f66da6eb4038cb98712fb02869,True,False,True,EXTSCRIPT-108
0a23e4c15afe0fd0f8a2b23250404f62f0417da0,True,False,True,EXTSCRIPT-62
b4b9e72d2fe9be63ae208145997e5e671bfc7690,False,False,False,EXTSCRIPT-123
abe6d7d9fc89ad3ad85f1dd87ec28a950398414d,False,False,False,EXTSCRIPT-12
b392d81061f74686e70bab8bf28ecc44d5e8c611,False,False,False,EXTSCRIPT-188
78098350e68ba7f759a957acb4796dcc8237f35b,False,False,False,EXTSCRIPT-98
24630708f01d7e458bbe52ece15ff3133eefa04d,False,False,False,EXTSCRIPT-44
4c099c331a1d7aaec5aeb9ebdcc888eec8f52015,False,False,False,EXTSCRIPT-21
42f6ecac5ddcb07b7821ca0cc70ad9c991ce52bf,False,False,False,EXTSCRIPT-155
a140ad069af9b77237d36ee853aacc8caba7e298,True,False,True,EXTSCRIPT-111
4e14fea7fad0ce378208a1dd5d1c77070c99e11b,False,False,False,EXTSCRIPT-95
1c1f14634e4b40948375ca406e26aac15a6717a1,False,False,False,EXTSCRIPT-173
d4b2a2b6fe239fe1902b05763b2ce46840c0edf2,False,False,False,EXTSCRIPT-41
71de114d20f07fb2c5f4e2c19301fcc33e6034c3,True,False,True,EXTSCRIPT-109
638b92702566e7ac3ca9e73a93b0f403bebf0dc7,False,False,False,EXTSCRIPT-41
7f654d2f5fd0bba55f5b60e3c183048579471a96,False,False,False,EXTSCRIPT-100
05d8ffd3f99ced03dcbe19b1cc174e2e2a21928b,False,False,False,EXTSCRIPT-156
69866a60987d052402f75c5873342143a647d7ea,False,False,False,EXTSCRIPT-87
80dc777d06a6d47b3f4e34517f38f711c11b1c08,False,False,False,EXTSCRIPT-92
058e4bb6e772945aeb9ad7b52ead23ca508d3acb,False,False,False,EXTSCRIPT-70
19133daa502b5e4b4854ff8ff8e1c8ee7c2508dd,True,False,True,EXTSCRIPT-109
fea843b1e01d6e147a51163daa090ca5a54ed0c3,False,False,False,EXTSCRIPT-128
70f8116637cf431a168fff2f629e519ed0b6a612,True,False,True,EXTSCRIPT-109
d12848b05dc99d4ece5a9b54d53cfc7728fe64cf,False,False,False,EXTSCRIPT-41
5612ccbe3caac1095126b517b07c2aba70ecd435,False,False,False,EXTSCRIPT-109
a38930e109d74ca07d91f38fc30e3656e7ad8379,False,False,False,EXTSCRIPT-128
bd604b8c1a32b330396d649e4949f0c57cdc9ede,False,False,False,EXTSCRIPT-12
0689a6884478854ca075c369fe9b213b0a57bb7d,False,False,False,EXTSCRIPT-28
9539d002efbaf608e3c2f15ef7180112dfe4c618,False,False,False,EXTSCRIPT-167
dcac2439fe01518f73cd8c2ad24ce62087cacb0b,False,False,False,EXTSCRIPT-133
60fccdd7aca7f2c826ffab6d6271f6903e323856,True,False,True,EXTSCRIPT-98
0a6d1eed845ea732053cb78d0e8f5c437f2276e1,False,False,False,EXTSCRIPT-103
b96d43fb0fe70129ec74426f49515b9712bb337e,False,False,False,EXTSCRIPT-173
f65bbf0d23407166529a2fbe88d15c3d0fc36499,False,False,False,EXTSCRIPT-183
26166b0afa5159f86265caa3def802c6943750ca,False,False,False,EXTSCRIPT-167
454337c6095128b35a70ca375be33b9bdc5d7589,False,False,False,EXTSCRIPT-44
b11bf204f4673b63175f955bf07ee28bb5b518de,False,False,False,EXTSCRIPT-130
7c62c798d601a93f45e55ed8f87b0e9360f6977a,False,False,False,EXTSCRIPT-167
2e3f1b9885159c630c0f95782fd190a402a32497,True,True,True,EXTSCRIPT-38
256667271635a60ea7068923e7d3d271a489db8d,False,False,False,EXTSCRIPT-44
0a8ecc9c3c475842eb4bdb484e9d234a8706447c,False,False,False,EXTSCRIPT-44
7b6fb91db1fe3eb33b73940d01ca18d31a9e6e9b,False,False,False,EXTSCRIPT-184
e9b07e569e4f98069d5a7da042d6f5f86570af8e,False,False,False,EXTSCRIPT-12
ed5e1d978a5ea9181faeb9c11981af5f953738c9,False,False,False,EXTSCRIPT-12
da9c62b769e3a3912ade2b732e7295256521d4c7,False,False,False,EXTSCRIPT-161
5e618a16b86f8ef0dde7644fc070954e7f320c19,True,False,True,EXTSCRIPT-109
4c4d33625160a16fc13c2f227379ab310bcb6a99,False,False,False,EXTSCRIPT-167
d5da605e9f1ce4bce98f7b5de3da95672e37f374,True,True,True,EXTSCRIPT-12
9916b8bf6530c3784f57e35e20877904236cbb9b,False,True,True,EXTSCRIPT-158
16155e5c7020f59b9153c4a6d155c7427fca7c46,True,False,True,EXTSCRIPT-12
e2504fe55933883525e442f49c54c3deae365b14,True,False,True,EXTSCRIPT-98
b7bc61ef4428f88b59a20dc6bd63d9f6e4ab0344,True,False,True,EXTSCRIPT-109
5ba70dc58eba7e2df6b7b8a3ac917c3b1422816e,False,False,False,EXTSCRIPT-44
ea3a6dc0a71842512f1f3ee5140223676493d86c,False,False,False,EXTSCRIPT-117
2ad103e0e3da7f762fe6ac00ea0628318b1b040b,False,True,True,EXTSCRIPT-104
83a3f3dafd476058e93a1fe91896b766e8bc1756,False,False,False,EXTSCRIPT-12
a5902cb2dd38bdb907fc5220411040936367268d,False,False,False,EXTSCRIPT-124
9b7e901996a191122aedf9ab025904af783a4161,True,False,True,EXTSCRIPT-70
1eaa17cb4a3d3788cb2046e09291de1a12ee8013,False,False,False,EXTSCRIPT-41
0394c413a5843448e3c872c32ae8d3a45f7ab656,True,True,True,EXTSCRIPT-158
e3a93a3aeabb82c31f9a24b9efd027a2bccfbeef,False,False,False,EXTSCRIPT-41
f9de54f5358fb8dbb9a4cb08b2441fa5c4ab6bfb,True,False,True,EXTSCRIPT-109
889588f3f8a3cdaa65efb3d48f48645a377fdcce,True,False,True,EXTSCRIPT-109
32d0661b8731946685dd94bddbcfdc4fecc20daf,False,False,False,EXTSCRIPT-167
35b7069fe21e22dd02229097e6b4e06b00870fcc,False,False,False,EXTSCRIPT-167
33db53529604465c0110f9c56f7269e0e1f8df9e,True,False,True,EXTSCRIPT-156
5586bf51b2c2eee103798504923dbd80875306b8,False,False,False,EXTSCRIPT-63
ead58a77edbe96054a10ed4fe6d0583221e8b53f,False,False,False,EXTSCRIPT-116
fbfa1cbbb71c964e41a4f5ef33975241f70119bd,False,False,False,EXTSCRIPT-47
609c34df52d2b46d3c040d0d8e2c9013ed5b97a9,False,False,False,EXTSCRIPT-21
7dc3a3dc075de2b3d82cadc7b892e9775267f7a1,False,False,False,EXTSCRIPT-111
405bdf74d378dd4af8bfe82466d4150d31a5f4ed,False,False,False,EXTSCRIPT-29
d80be1d3627dc226075572864d429037e15099c2,True,False,True,EXTSCRIPT-98
38927b9e83d04be9e798ebe5710af679425a57f7,False,False,False,EXTSCRIPT-156
4cdcc90e671752ef2a3f78ea2e1fb5bacdb01a54,False,False,False,EXTSCRIPT-41
0d7a73bb6f0d8aa9df0ae0605080f92ba4ac5bd5,False,False,False,EXTSCRIPT-41
912feb26f7251ce5de6ab6e75b897440a4340d2e,True,True,True,EXTSCRIPT-164
54af64287d34e74e4db659ad5e697cc9f324c0b7,False,False,False,EXTSCRIPT-122
8c89673f2bc74f05299099888dd8f25f762afa1f,True,False,True,EXTSCRIPT-100
04d419c13fd2fb6a6ab65dddb322955346f57df5,False,False,False,EXTSCRIPT-41
2a6cadfdccb1ece091875d5ef882d3adaa01a0c1,False,False,False,EXTSCRIPT-70
aaf0567349b71c58a3684adedcae8a2f346b32aa,False,False,False,EXTSCRIPT-12
8a97a8a736e0bd2389911e61d21fe7bb8f70d408,True,False,True,EXTSCRIPT-109
c90e6519dc973f23c70ef8633c704903e4aee2e4,True,False,True,EXTSCRIPT-165
8b326c0fe1cec8e1b3c977a55437820c369d1dcf,False,False,False,EXTSCRIPT-64
17cddd149e6454df192a1debc8a61ab1673b3ad8,True,False,True,EXTSCRIPT-12
3995ac81816534276213ed433881ce9556c2526b,False,False,False,EXTSCRIPT-29
feb60f3d95cdc8ad9f7bb2556efe1dee4edd4a84,True,False,True,EXTSCRIPT-108
632bf0c1477e8cbf74fade8db3998ebf3aa2a6fa,True,False,True,EXTSCRIPT-101
b61c1edb854ca922e4422132dd678b05407ad034,False,False,False,EXTSCRIPT-130
703f7717e26c68984fd2d2da1bd53d75663ecd72,True,True,True,EXTSCRIPT-108
5fe3f13a0ef1135247b74cc9611e41470725e115,False,False,False,EXTSCRIPT-47
22653decc17b850c1e3bc527ea006793f6cc8094,True,False,True,EXTSCRIPT-109
ff8d400aee0b5cdaef55bd69c45e52152f163ead,False,True,True,EXTSCRIPT-134
6c7f3bb933a5a40c149ca824de22563613b9465c,False,False,False,EXTSCRIPT-28
ac8bebf615ffbb79cceaca34289800e4c3a72d91,False,False,False,EXTSCRIPT-41
c56db090893f972d7cbff0788637397e58598150,False,False,False,EXTSCRIPT-61
6c8b87700c9ef7d8375c60edde0e80842ade812e,True,True,True,EXTSCRIPT-44
f07ada0dd25a977cd7ad6a1cd45aba56043fe8f6,False,False,False,EXTSCRIPT-108
d754ac9b80642325f0ff0faeb2c82b761b6cab8d,True,False,True,EXTSCRIPT-47
514309e90db505f6da4f2b9226b89aed7101c177,False,False,False,EXTSCRIPT-97
16bba95183ed7fd0ae4ab60f511adeffdbf141b4,True,False,True,EXTSCRIPT-109
9797251169ad892dbe2f397f66348849550963f4,True,False,True,EXTSCRIPT-108
b518aad455fc2b171c63ba3a42b203602d971e65,False,False,False,EXTSCRIPT-109
a9aeec6a4b404d54a2327d229967f8d9a5de2386,False,False,False,EXTSCRIPT-174
e75256973958eb7f98e72b862c9241bca84b753f,False,False,False,EXTSCRIPT-63
7251045bbb36b499f9ea8e7c3f8721d026199206,True,False,True,EXTSCRIPT-62
f2760a3d6ecc6495f9ddfbc2cd290b49dacc2cc5,True,False,True,EXTSCRIPT-158
1aaefa3917af7a70f7127bce8786af7926ec85b1,True,False,True,EXTSCRIPT-98
3dc10cf5129742e4eec69553ec045c49ae51f8c3,True,True,True,EXTSCRIPT-108
b639c479c52db0d3b4f1f5809ee0ccc2b6054a1e,False,False,False,EXTSCRIPT-41
69e6b4401317c042491b89ceaa5debca2e5493c5,True,False,True,EXTSCRIPT-109
ccb7e325de97cd2b62774d668b9d54f9b537b4f6,False,False,False,EXTSCRIPT-167
d10595cecd43042cc61ee265db665814152e9775,True,True,True,EXTSCRIPT-31,EXTSCRIPT-29,EXTSCRIPT-28
dbe525db765a04dd66cba39535ad55a1ae3edb4a,False,False,False,EXTSCRIPT-41
57d28f155cc8a381d130316d135613ccbaefbd93,True,False,True,EXTSCRIPT-21
8b10d0cd6efa324834a525be7e0cae8cd7cbb43e,False,False,False,EXTSCRIPT-98
384a60ad1e8956d7d247caa4f91d04926416cc0c,True,False,True,EXTSCRIPT-44
dcc18465dc1e4e5f6493b4b889e9453916572a45,True,True,True,EXTSCRIPT-109
