commitID, type1, type2, type3, bugID
5aabb7b4fc714f641b91c252bcb0a070c16eba9c,True,False,True,MINIFI-54
be203e774ae04147c15280739289e7d53d9c7003,False,False,False,MINIFI-428
3370cacbe69c2bd3b46afcca1e17f4feab784d3e,False,False,False,MINIFI-49
7330d2ace59d072a0578c13e1f4cff147d87490f,False,False,False,MINIFI-431,MINIFI-431
e6cd05ad926fb48999d823000e2956cf09fb518a,False,False,False,MINIFI-58
7bac01ee1758da618974851af99c6dd72a5c4689,False,False,False,MINIFI-450
a2f6e9d8c336071dfb44aafdd3b4391230fe1193,False,False,False,MINIFI-128
8c47fb4a0fe803b9ee3f3cacebe8d1d74c18e4e7,False,False,False,MINIFI-43
6e7a147c1c6524d3429232ddf594ed4d66caa623,False,False,False,MINIFI-8
e47691c50b462a021caa4921225838d09f3e847b,True,False,True,MINIFI-408,MINIFI-348
8c0350b9843df1c3b5ec94b11afd5e4a5969c300,False,False,False,MINIFI-44
35dfa690cbbf6ae3831eb1802e476b2450f8b2b6,False,False,False,MINIFI-156
7954d36e90d6c53828ad042f33c3347fc11fea79,False,False,False,MINIFI-136
ec04ec95e9398c0753398b2e121cadaee221ac06,True,False,True,MINIFI-48
93af87dd841c7886997e2b7d7c9f62334c366e74,True,True,True,MINIFI-104
c4e4565fab17900216f57fd4cd33bce2663c04b1,False,False,False,MINIFI-496
6bdf1fdca53fa296bf051782b271dd52b377badd,False,False,False,MINIFI-403
f52bdf68ed0c2aecd0adf6534bf60a70bd0185b8,False,False,False,MINIFI-412
52d19dd3955c6e36968b8000292ceee2a7d902cc,False,False,False,MINIFI-50
2b570ad035e750e358113dfaf7daac45264d4e25,False,False,False,MINIFI-26
d6ebeda6bce8259f0531e8455965625333315bdb,False,False,False,MINIFI-44
38c7a8e0da28927788e0c50500894540b2aee276,False,False,False,MINIFI-44
9474a8b52210ab0554686abb4e0022768926328d,False,False,False,MINIFI-415
1bbeedf6fd0d2d28f604b7d6f36ceec15ac66eaf,True,True,True,MINIFI-117
47cf2209e046b7910d3e0ca324fee9e77607c854,True,False,True,MINIFI-40
0689ac904d6e8dc8df52583bcb457375000aca1b,False,False,False,MINIFI-42
632adb9a3de6d60bbd1cc9a0eb131a88258fa51d,False,False,False,MINIFI-416
4e6d28747ee009b1785dd19c981e1459d50d56c2,False,False,False,MINIFI-353
9fc758b883af79ec4d3a3df3ed2beb37e7fac044,False,False,False,MINIFI-456
c837dc88080b70131f1f071e3c96c3726402e49e,False,False,False,MINIFI-421
1f48fccdd1576500725f13e85422388943d998b8,False,True,True,MINIFI-18
