commitID, type1, type2, type3, bugID
805c5978eb6da0e69101561b835fd25b2af1c513,False,False,False,OOZIE-1934
b5c1137ba709e7a789b380eadf5b5f4c3c6020df,False,False,False,OOZIE-2315
38f93cc35cdf88b3c75fd02cdebf6f21f5177cb1,False,False,False,OOZIE-1557
5d26eade7e2c07774160154cb14b5c208542b276,False,False,False,OOZIE-2486
71eccfb9f2a929221fa5b0ea15be78b931b06a64,False,False,False,OOZIE-3113
036fdaa08d8272dfe0c6ee65cc652cdebb65d872,True,False,True,OOZIE-999
183f3faede81418018d5f94ad367aabff1f4975d,True,False,True,OOZIE-2215
87a6d0536149c9e84a29490b78ee49d743bad8d1,True,True,True,OOZIE-2068
6fa1034f46f027e4f351e8e5f163b753e1addc45,False,False,False,OOZIE-1013
0da31f47ea975387c5d05763c632a5b8915bd9cc,True,False,True,OOZIE-2787
7c35bec3f4fc9c67540a97f42d99ef7c94f12425,False,False,False,OOZIE-1762
4cf3389807852d2f1d2b8f37b55ab1155415099a,False,False,False,OOZIE-1136
11d588b7e4f0eec344de9afce0f7fdd90040199c,False,False,False,OOZIE-2728
8250fbd49c75382090b052291f2da7a4e4d17f5d,False,False,False,OOZIE-2719
669e0a61a364b417871f5317951c51006c28289e,False,False,False,OOZIE-1007
0f24e67bf7733f9f4ad50312f0600aa0d23706dc,False,False,False,OOZIE-1386
6926fa0f3773a68333c1d95956c940406ddfdc40,False,True,True,OOZIE-752
2fd0b66b5eb4edc1256a630da8fb37e7c4565800,False,True,True,OOZIE-3156
02c66d8f5d1ed7c9afa310c6469d6cdaf149674f,False,False,False,OOZIE-1089
c5e6f8d16108b666a6cca1232f031f6147f67f94,False,False,False,OOZIE-1133
0d497504e2ff016f3641de04dd2fb7acd31192de,False,False,False,OOZIE-2264
8707cad2faaee83525eb972dc17a0786b67f8097,False,False,False,OOZIE-2206
1122898e51e3e09cd0399565d5cfc15c59fa9ead,True,False,True,OOZIE-1813
92a9665e0e9124e3c92feb1d28c1d1b9cfb628b1,False,False,False,OOZIE-1672
ebd568058e2e9b4a42beb075971f1b7492e69055,True,False,True,OOZIE-1171
18401e614b581711477d63bf6b4a56f8e739dbf0,True,True,True,OOZIE-1319
a0aa6fbdfab47e803d36f8540ca28063907cb472,True,True,True,OOZIE-1825
790aac020ed492ab1be69443507c2d7ffd35524d,False,False,False,OOZIE-2476
9e4a26602a830e33e2228b193c2f7aa0ce992efe,False,False,False,OOZIE-2305
718943fe44f08c0bd01b66d9ac74e59f75500254,False,False,False,OOZIE-2003
caf51232e21dd589d75f52204ed4be7ac0012c57,False,True,True,OOZIE-1933
58950982b7d7e5df0ade809450b2b15fcddcbd21,False,False,False,OOZIE-3516
d4ea14f85322152f66a2d57311ad9ec3a8402eba,False,False,False,OOZIE-2447
230e4261162389d40443a15b6d0b837557577baf,False,False,False,OOZIE-2886
5af76cda6e89dd9a402d2561e514cc1d27e15c8d,False,False,False,OOZIE-1349
3939b10819c4e2c12e138859ba3fb372ac6cdb88,False,False,False,OOZIE-1237
550850da7d3cb4ac2e50a90cbdada42d8203f360,False,False,False,OOZIE-3233
f83f484a1a34c9446cf43ba7d627aefabaf58921,False,False,False,OOZIE-2553
bf2759b6ff8af2a37c24f1398452dd85860f57ca,False,False,False,OOZIE-3455
eba35f0108fa762559a2ffd229f76a6258a09b2b,False,False,False,OOZIE-2352
f45e1eb7701e9f9112bc7a295700eb9949ae6ac2,False,False,False,OOZIE-2572
4fea9412f1e12d97cf30c38d4693bb27290a1a16,False,False,False,OOZIE-2045
5e4d28843c64671a1308a4484f8d68c3e2afccbb,False,False,False,OOZIE-3058
309d8085a00e4fdb371c92f1904c7e6b9cc24a0b,False,False,False,OOZIE-622
ef513d2853ce943ce3fea6aa6a3f6c9bdec25f63,False,False,False,OOZIE-1709
ccccd66a24fdca02823024e86b5bfd887c704361,False,False,False,OOZIE-2177
279c5b2f2d7fd1abbb0ec9aaf7cc3401456cf369,False,False,False,OOZIE-1530
a9a9db32011b76932fd8c116d1d31ce36b796fa3,False,False,False,OOZIE-902
38ab52f59039675927312a130d297d351454baac,False,False,False,OOZIE-3373
741bb6781d2df1273e0501665aa8761c1cb33df5,False,False,False,OOZIE-2510
0d584510b9350a525913130253b89cab874c9bed,False,False,False,OOZIE-3134
c48c1a643eab036b2a8ecf7fe6ff4f90e5c22478,False,False,False,OOZIE-2109
901616b21974da291e6538d545f7849a9ecb8adf,False,False,False,OOZIE-2567
d330d40665a3b42744db20dfc5d9a80ad5f9b439,True,True,True,OOZIE-2501
14e3b035aacf3b0d3d66763b250abf273fcb36b7,False,False,False,OOZIE-3018
99398d4ea1ae95b91bbd516f60451de14e6c3fb7,False,False,False,OOZIE-924
2453a8a277a463959e5f9c5769c9b70c1d378d4f,False,False,False,OOZIE-3477
55171fc0949c76c6c9bb8ab0be6f4f7191831207,True,False,True,OOZIE-2430
4d728a2d8ec585dfe61daefe9c63bdac4ebb3af8,False,False,False,OOZIE-3494
34e3293384eae246485dc35af901c5fd421ac9b2,True,False,True,OOZIE-3082
a94011bcb0717c73cd3aff2f1a2c017f416e345a,False,False,False,OOZIE-1945
d5b13db2b17578a13afcab7de267ce48000410cd,True,True,True,OOZIE-1911
e365bf9ce0b1ba55cfcaef3e03c6116777dfdeef,True,True,True,OOZIE-3072
bda196b6089baaa764a0311b5f1fe6ee4621d462,False,False,False,OOZIE-2400
4c898349cb0bbf73d9d2b8c91ca72c6520c49a6f,False,False,False,OOZIE-2303
546d185d2a5e6ac34e88cabca98d1e4d935bf845,True,False,True,OOZIE-2347
0439fbb057d1ecd32a5cea250481c63a6cfc3a96,False,False,False,OOZIE-1886
ce7eb312b34d32841c85dde01cd24cf3e934fad4,True,False,True,OOZIE-2850
3269decd20a487224598e3859017e83d164e2b37,False,False,False,OOZIE-3225
501c97b59ac33f7bc83d28d26375dbe52d51edeb,False,False,False,OOZIE-757
25c640b3b6ad1cbc951e46207accae4ab8acead2,False,False,False,OOZIE-1659
4483f6dd94daa0aee1bdaf19cbb4b4a68cbefa8c,True,False,True,OOZIE-2792
83e2e50fa299b1f6aeff73a70be436156b5f6eb4,False,False,False,OOZIE-3365
c7b2bb74b492c7b727930bc87638788389d18cb8,True,False,True,OOZIE-2150
cc5a6d93af3e64b35ea4c8ca8bef39976fb5e7e5,False,False,False,OOZIE-1444
05027479a7ec0324e21b12e8ccdb471808d2ac9d,False,False,False,OOZIE-2098
aa7bba5d1927756c0a62328763a714c41485c42a,False,False,False,OOZIE-2043
3e73f4e9aff0c3964067930355f7601c3c45cd89,False,False,False,OOZIE-1243
41312e9564390bc499e76c8770c9b5d4c1be02d5,True,True,True,OOZIE-2522
4d9b63b13a567533da35ee1574c2b0d0b3725c81,True,True,True,OOZIE-978
3b587606c76fe0aa166eaa0710ebd030ff08154d,False,False,False,OOZIE-1268
7f5398830038ef88080f9d89ed59bb02e8adb4b1,False,False,False,OOZIE-1809
b61ad945105a5c67d3560aaa2774a9ae67e2c799,False,False,False,OOZIE-603
e224373d05b5454b791dc2f1fc5b2d3d42a0b398,False,False,False,OOZIE-40
2521e89ac174dfae662981cb88278c02610c127b,False,False,False,OOZIE-3209
a299d4a6d435a2c92cd1d0ffce7f35a2ef8d639b,False,False,False,OOZIE-3297
ecedf6dc6f10c60298fd33653afc79b1f8fbc21d,True,False,True,OOZIE-1715
a04a62b66f1ff9193b5b2d55e7c8c04877dc4bb7,False,False,False,OOZIE-2122
87e54caffe7ed66e22f9f973acf68dc239ba5e38,True,False,True,OOZIE-59
ca707b23f08e3c4b1df436c07fe25b01261e88ef,False,False,False,OOZIE-3401
5b3766809a48700d6044f3e28706e5da77ae30c1,False,False,False,OOZIE-2608
a7f7e083d029e71a5fe8a19a0bddf0ee8f7b85df,False,False,False,OOZIE-3139
787f1fef77581419592a89ae71d9ae0ffe9fea33,False,True,True,OOZIE-2928
6dedac6082c1cc3c4012a3c279632329a8b30482,False,False,False,OOZIE-3304
c5f2b7d2628f49511701510900b04e7298c79362,False,False,False,OOZIE-2621
0299e5db4f0ab90146b4dbd016d652355d830717,False,False,False,OOZIE-2770
1a84afef75e783a32acb478882ce88306e32127f,False,False,False,OOZIE-2929
b197da79d2a9823bb019d18f51b8ed5d7fa7e2e9,False,False,False,OOZIE-2444
fdcd8908b4b29ff5c09c5bcecb313aa44c998a22,False,False,False,OOZIE-3370
5ffb9d9f4b1d5fe31f96286f2741f3b5381b8e88,False,False,False,OOZIE-3495
962d650bdc5522d39d49ba8ee2b3fc1634c625ec,True,False,True,OOZIE-1814
c2f48f5d83b00b1c3e075830251b281cd9bb3180,False,False,False,OOZIE-2826
6aefbc710d28adbe82347dde9d17694f7dd6c753,False,False,False,OOZIE-2214
bdd4ef5c1855436b94717a871a88b6cabe389a22,True,False,True,OOZIE-1843
268b0a3899d119e3f695bccb4f5185c5c20396af,False,False,False,OOZIE-1322
16992c1f51df5cfad02caf34846be3cc31513f00,False,False,False,OOZIE-3324
50fef427dcc89758a3609c1a8c308b1534790ff6,False,False,False,OOZIE-2489
61a3f44dd5de2a29dea034d99185d3739e62bbd1,False,False,False,OOZIE-1004
d1d14f998700f1279a023de21e0bdbc08c6336d3,False,False,False,OOZIE-1813
ab6ae75e316be2d7eb658f929cf557520984573d,False,False,False,OOZIE-2740
f2446d5c04ee1306716d1a6fdab8449f6dd7d9f8,True,True,True,OOZIE-2181
b00dbec2e60647e931ca18626edad62be08af554,True,False,True,OOZIE-112
f5d4dfe21280ddbbb6cd79579bf7ec2e43c08223,False,False,False,OOZIE-785
d2a4ccc6211d2459eca04e391460e7b02c050cc8,False,False,False,OOZIE-1451
e94a345acf220c04ee870515ad38adb9865c2720,True,True,True,OOZIE-2312
6d4a9d0ea41ee7135ca4f6bc5ad30e73a712a58a,False,False,False,OOZIE-1879
3260e5d459dbe3d9202dac37c528f7a2606dd05b,True,False,True,OOZIE-749
e77880f2bced40204b1a71450465eb9486a6c94f,False,False,False,OOZIE-54
eba0f0365f28604a73229a941a4b2e3e4c566c46,True,False,True,OOZIE-2623
53b2f26bcae9b0ccabf224c4d08680bb0bc968b7,False,True,True,OOZIE-2775
e653f1d76602cf180cbaf6c05f46d91633ee23e5,False,False,False,OOZIE-979
5c89163a4310fc6308d007f678d5f6935399540a,False,False,False,OOZIE-2682
373a52ff28a2b41aed9a8950f24f974523fc19e9,True,False,True,OOZIE-1834
4cec1ad34b03b795aef8285dbb87276af7b5fc91,False,False,False,OOZIE-2727
430e51070fe3b0fd2ed919318eff7783684fbe35,False,False,False,OOZIE-3077
e0016c93ad903bdee07fa63b9265382f1c6e3a62,False,False,False,OOZIE-2658
32a0baf8add69e7a87e3963e6eace00e7e3fafe1,False,True,True,OOZIE-3186
0f27f92d26abfa9b9fa54681ace5486b79e9959e,True,False,True,OOZIE-2457
e9d3d3cb269ed954d38de0306929e4857d650301,True,False,True,OOZIE-2471
1431ca4eca747df44073bc076339e13185305f30,False,True,True,OOZIE-2654
5b21530aaee04f7f3af8e43af7f9ccd01935f589,False,False,False,OOZIE-3228
b3c2d13e3af7b428671de6cca5ad0d48a84db311,False,False,False,OOZIE-3207
326a58347acaba0772c83b2da7d2d5dec785c396,True,False,True,OOZIE-2328
2b655d746f7da689f3d99c18b240f4d7ea6bfad9,False,False,False,OOZIE-2750
9491db0b82e5dc9ccdb172576f12f91f16893521,True,True,True,OOZIE-3085
e62289439e3ea5aae023077d03894335de8829b9,False,False,False,OOZIE-2074
5979b4dcab704a5f1e1f83b0feae43a03c9e598e,False,False,False,OOZIE-2378
2730030624b46e0d6ffe869f7ccf3207173681e3,False,False,False,OOZIE-2539
b55a8b79b24b9ee46f56fe997a95e83ee9a8eab5,False,False,False,OOZIE-99,OOZIE-99
