commitID, type1, type2, type3, bugID
38feb452c88e12d686db2ec7e8d4d36bc38e21e6,False,False,False,PHOENIX-1877
a6646d7ebdac53e4b011c6c6b57b8fc5b679d3ff,False,False,False,PHOENIX-2542
9437c044624e41d7e4a72b611cd81749d8d96f02,False,False,False,PHOENIX-1470
1fcc887faac1aaa45c69b70b084a51ef7b8c5df6,True,True,True,PHOENIX-5109
a9ee25ee047bc6fa2af488d02cfcd9b01c2263aa,True,False,True,PHOENIX-2545
987ac8c4ea8a907ac9a0a526b1a80e3d33787ecc,False,False,False,PHOENIX-4710
6142ff422a01c0f8c8c49e9d69bb930b8ef0634e,True,False,True,PHOENIX-95
3886638b04a3e494be70e1e681ad56cb1c7e33c5,False,False,False,PHOENIX-3427
a9a9b24c904997b13fe966a9972793f1224a3564,False,False,False,PHOENIX-2366
99713a61cd758a8486f1b49225c5e1c6766dc7b9,False,False,False,PHOENIX-2868
e65917eb2bea88715dc551407f234f2781b9ce70,False,False,False,PHOENIX-4824
d1cde87fadf77eb9aa12ed07a53516725f5db307,True,True,True,PHOENIX-2968
f47e1700d073485dce957c68c4cbb0c8d5c1e12f,True,True,True,PHOENIX-1484
c439d3a0c23cd15879a6f25c28dc154faaecba6a,True,False,True,PHOENIX-77
b12ddfa3f2d7c8c60b17c3f56edc7605264b0e4b,False,False,False,PHOENIX-1605
649b737a81243adc43b508a90addc9a2962c6bc1,True,True,True,PHOENIX-4095
6dcc88262386ce6340c1a60a9f0b5e4cb6c787ed,True,False,True,PHOENIX-2238
d56fd3c991b0295aaa91ab916a0fdaed9c044402,True,True,True,PHOENIX-3534
5b099014446865c12779f3882fd8b407496717ea,False,False,False,PHOENIX-3603
b2fb7b41f98641410b43f702940bb6ff192a7986,True,False,True,PHOENIX-1133
0092c6f9d57a21ca1b218e85725ddc78c7c477e3,False,False,False,PHOENIX-1470
22f336d52003d7a6368552b6f3b8454b296ad1e1,False,False,False,PHOENIX-4187
b2e3018c8799f326f453983f66eaf6c4291acd0f,True,False,True,PHOENIX-2967
49d586cd9980d669405ad2d4c06f01aae9aee420,False,False,False,PHOENIX-829
df0d61179a97881b8b72595af198dbb346adfb9f,False,True,True,PHOENIX-3230
b5cf5aa2cf6d8155ffc312adffe9ed73862161f7,False,False,False,PHOENIX-3503
e23634a358929516ce210fe06d668ce475eccccb,True,False,True,PHOENIX-3505
e43202f3e957097d6a6672499e15373d60ab838c,True,True,True,PHOENIX-4382
f39af64243115f99f125dca0986a2ab086f270c2,True,False,True,PHOENIX-1394
bcb755d1de3e6968a12671c46efa34fe2f96a518,False,False,False,PHOENIX-4212
9a546b9c89a3920345ea35ad503dfb360d4c34a5,True,True,True,PHOENIX-1696
fbbb43bf799cb08fba3117766a989c28e21c03f9,True,True,True,PHOENIX-1446
581bfab85389d94e72781c1c9d63defa20f7fd44,False,False,False,PHOENIX-5380
5d641ad34207b8e87b1f460a168664387f143286,False,False,False,PHOENIX-2887
4e8c9ab0c081dbad7db50f717b1c1ef1afd79a80,False,True,True,PHOENIX-4008
659671a411cdbf055ce107d2e83571e66024b4f1,False,False,False,PHOENIX-3490
d74a37feff1152e86951aaa3aa0975b8790ad757,True,True,True,PHOENIX-2280
adf5606835f954a4e6b62d2fde8777b15cfec434,False,False,False,PHOENIX-3781
28aebd6af3b635c98c8f1782295ea6c85167d659,False,False,False,PHOENIX-4171
9b9c86808e61382fc14306ea0aa5762815cc2ebf,True,True,True,PHOENIX-1016
c74508829c1ab479ed5e76e28822f616f6683bea,False,True,True,PHOENIX-1267
8794f62dafcb135cc48b57aec03b9d9476f971c9,True,True,True,PHOENIX-3421
2a4c3c974f9bcd70dadfd2a3913539d1417eb2e2,False,False,False,PHOENIX-2328
9f2274bcd6cc272a5bb462a63aabb46956c4a79b,False,False,False,PHOENIX-5387
275421bcd6f20dd748a9b2e63df13426832547ba,False,False,False,PHOENIX-3486
378b56c4ad71f9e10887adec92618300285f6d2d,True,False,True,PHOENIX-4141
2bcabf89da714a2cceb68dead5ef2fa9e72a9f58,False,False,False,PHOENIX-1284
b19aba2bb11f3b9c94ca0a593159828ee029e2c8,True,True,True,PHOENIX-3040
4da5c80ad26f7671a7f80a6e34b35988082bbee2,False,False,False,PHOENIX-4466
d653973a29648258c6a1cd44fda1452914fd019f,True,False,True,PHOENIX-4683
aea89845343ea3a5b03ecd419712bb62b38fa3f3,True,False,True,PHOENIX-2368
faeab935554404a042285a01127e9b88b8e3a47c,True,False,True,PHOENIX-1289
98db5d63bd3572328da6ba52ba53357f692c6222,True,False,True,PHOENIX-3942
0ef0b41cc35e6d7ad5ade4b2fd8e75436ba981c8,False,False,False,PHOENIX-1075
4b1790d12d35443080b9331e582c5ec7e1ac6e61,False,False,False,PHOENIX-5408
3f0a7566f8ae3d58b82284cf5897f523bdb01441,True,False,True,PHOENIX-2364
6f9f4e7e28662cd0a66f47b27db24f2f3518705e,False,True,True,PHOENIX-901
17397dcb85b0ae8dc0562c9b6ce4ed2a7b4f2eeb,True,True,True,PHOENIX-1083
273e83c6e19097e0aa651e05c7d937bdc1dad0d6,True,True,True,PHOENIX-1466
fa58c7821a2e8fce30a8c0ff6e42aa00134dbce0,True,True,True,PHOENIX-900
af8d3b65c84fd57b91b99ff36de2194149c5a94e,True,True,True,PHOENIX-2876
eaa7fbfde9f45c635cc11d524977d54485c9ea8d,True,False,True,PHOENIX-1641
933e61a03e0d8ca54579a704326c10fef501b7be,False,False,False,PHOENIX-1104
367662dc884433cd3e626b65e4417716966062fb,True,False,True,PHOENIX-1174
38915feef5f590a882cdc45c7e880943ab099603,False,False,False,PHOENIX-4141
5f9cf15e272fc9d92a3165753ac2157396851bd6,False,False,False,PHOENIX-3879
d401fa3a6f5ec9787b120643881a389b9af7b19f,False,False,False,PHOENIX-1994
4e2901ca2ff7b2595961e73653b4d24dc6d4a30c,False,True,True,PHOENIX-4719
a3bb174bc82743aa2ac7b59b9d1978a788a4d19f,True,True,True,PHOENIX-4151
0d78e48b579739fb85a64fe7258f1838dc1af2c8,True,False,True,PHOENIX-1765
e9412888152a208466fb0543f17c8f8bf398c3a4,False,False,False,PHOENIX-1736
7d3ae71687983b51800fdc7f06e34a74fae86283,True,False,True,PHOENIX-2918
7601d5942fdeb55c114295292e2100aafb84e861,True,True,True,PHOENIX-3279
7795f80fa67483e31ab9b845013b8b332a7e5e05,False,False,False,PHOENIX-2616
9357017787cdd721f42a4448902acc20514ee7fd,False,False,False,PHOENIX-2529
4a64635d238879ab78244da96cfa2c664072936b,True,True,True,PHOENIX-87
0f84104e2d8914436bb1c1e5f8fa1d40118d1343,False,False,False,PHOENIX-2031
88ecb78cfabb99541ae357af8deb22ea704ba967,True,True,True,PHOENIX-1469
079c319745cf70a38ec919d4d012f300035c023e,False,True,True,PHOENIX-1359
fbe6ee22d8a6bafa325a56ee7282fa77253b7e07,True,False,True,PHOENIX-3797
d0c8f9dbd15460c023d50c8b8fd9334fb18c05dc,True,False,True,PHOENIX-2074
6fc53b5792ea7bdd1b486860606966e76f2e5e3f,False,False,False,PHOENIX-1980
59497d525d94addd9c9faf51ea64329c64149938,True,False,True,PHOENIX-2900
415c6e3523bc42f82178c163b891fc5eb22f6a96,True,False,True,PHOENIX-4212
81b3cb35679adf7772266f2aed9456273a8b0012,False,False,False,PHOENIX-2107
ee6370200b491bd210dd4f89d6be59162c994bd4,False,False,False,PHOENIX-1849
b44ad86aa88cd620fc19d9746eea6d0272b1345c,False,False,False,PHOENIX-63
6e7b7d4ca7fe0cf7b8e6213a2644758c0096be2e,False,False,False,PHOENIX-4624
9278bc02bd441fcc5c5cbe7f839fb546fc68067c,False,False,False,PHOENIX-3163
5176ed6371778daa58300592620483b619b668fb,False,False,False,PHOENIX-2348
dab9d51bf5805e4f123e6095444d690f79250253,False,False,False,PHOENIX-1078
22c200f37c4afc366cc9bf369bb53a8d4d50975f,False,False,False,PHOENIX-1723
23ed654726149c859c51cdadfb8b3329e1464553,True,True,True,PHOENIX-4613
39c982f923033b97c477464d0c4e27221421774d,False,False,False,PHOENIX-2036
55648235fc42abd0c8d010b3b2af3ef0a3cd11d8,False,False,False,PHOENIX-4640
dc432b9754d028d0d36652c69b25e0fdb735b3fa,True,True,True,PHOENIX-4280
06bf205ac1c9d4c222652173b58a9429a83630bf,False,False,False,PHOENIX-1470
cd7024985f6b01229553d9ae295e7e25ff9be485,False,False,False,PHOENIX-840
f312a058746382ca442ee86eed7b857f5d1a1767,False,False,False,PHOENIX-900
589796e1af6f7635f9772f02518abbdcc8950455,False,False,False,PHOENIX-2569
56e0f0381fe30005f3cdd1718f99f3205e56d99e,False,False,False,PHOENIX-5354
78f35a65d0cc55014c51da70c847969a2ea3c5a6,True,True,True,PHOENIX-4070
237c55614133f9317e7171b329ca7b966c0c28ff,False,False,False,PHOENIX-1396
