commitID, type1, type2, type3, bugID
2cb79498cc84c3ba640792fb688f4c9e4a932a5c,False,False,False,PIG-2917
5dc0dd94c55405c87cda6653eb45aa50dafc1810,True,False,True,PIG-3115
8e7d1cbf0ded39c94b64f5876bf447438d10242b,False,False,False,PIG-2472
3eb369c6ca575b4609b8c0cb4591260e51443621,True,False,True,PIG-1298
f8cb87f386f292e122f5ff8223f7299bb5a13ea2,False,False,False,PIG-4786
7d359641d5fa0583d5fb25ac7ff067aa5dfb6b88,False,False,False,PIG-1346
ccfec38ceff621ab9ff82c2e90d3f226ff6a59b2,False,False,False,PIG-3674
9b21bc2cf65bf1800bbadd5532cb44a31dc37d47,False,False,False,PIG-4170
cb2bb37194715ced5adfa73248d486c15173d40b,True,True,True,PIG-1257
dc3f2401f44ff0b46db8de29480561344dd4314a,False,False,False,PIG-4164
8f24e82526849305d58ef43ac902e93b536aa646,False,True,True,PIG-3722
1fcd7196e21117eb4c365f26adc19210f63fbdec,False,False,False,PIG-5328
eb17ec256f7b723c002fbe70ef350f54f592549c,True,True,True,PIG-1563
ea6e87d035daec339c721afaa55e16cf8ca4160f,False,False,False,PIG-4460
c104a3ea7b4e42e4f9c587abed30fca404232f63,False,False,False,PIG-4081
ac30816fe7fab9eb69f82dfcce0e2bfe28fb0a69,False,False,False,PIG-1751
6dd564d9b26c8ed81b2e1806892dfe8bb6a71f74,False,False,False,PIG-3950
2cade3f0393f6986bc3bc9cc984279f453d60dd9,False,False,False,PIG-1012
06ca22396264d6abeb82ac76cb4cb00e5a4d15b2,False,True,True,PIG-3355
f878f90c267ec45ef1091d98b7d92e77020d5ea4,False,False,False,PIG-3132
0a4484be7fc335362c462b97808627afadf07fa2,True,False,True,PIG-4897
5ba2de6ae53157f6d67a8e93622a4f8917f17507,True,False,True,PIG-5226
2d29b318321132dd973b3b9727e49e621700f204,True,True,True,PIG-4043
0fb27a9a7a5cb7fdd277db66b647e09f319bef32,False,False,False,PIG-4159
3e1ccdec7346c4732ea1bf75320d0a42466b2ec2,False,False,False,PIG-2590
2c664e4b45d9c138f3260f0c1fe56a92f95677ce,False,False,False,PIG-1788
6ff61665f0f4123e76c07404476ed6d90b01239b,False,False,False,PIG-4361
fb68eba85cf733456e521f207acee6ff7f0757eb,False,False,False,PIG-1911
e090b940643b85af7f3d5db2aeecf00bcbe22be3,False,False,False,PIG-3286
ff393ebd343e52111969e8c832824e375ea2e939,False,False,False,PIG-1142
cc58ab80914074ff513e78234f2f2a663e078b04,False,False,False,PIG-1597
f25d1fbc752c2173e019a04dd122f8a235eb87c1,True,False,True,PIG-3135
b4b2c86cd0f56750f2e6903bc50168f50bb4b055,True,True,True,PIG-4806
7225fb77dc02a0d4218ae713745f9a100e918298,False,True,True,PIG-2813
518b5d0a958f22b35e108e609ada523fee3f6a69,False,False,False,PIG-5307
d0c3cd43225c11618c2cd62b24cabca7afc6c38e,False,False,False,PIG-1190
f7d6e2fc7b51721f04801d7864c0d749932ef143,True,True,True,PIG-1265
1e664f22932399a937ee8674d461796cd2645bc2,False,False,False,PIG-5386
4117369f359b7cbe9533f1d45e64f235fef1c612,False,False,False,PIG-4581
5ab49965be5e2293170ddd82b9a6457749f37bb2,False,False,False,PIG-3607
d5ba5ffbb9943b7aac9e66f9e8dd3402c0561d68,False,False,False,PIG-1779
6aa62feb54ce195c4ff8de20864d2f407544ad32,True,False,True,PIG-1683
07a0d34e4e64ff1162730bec58aaac81c3ef3034,False,False,False,PIG-1978
b5148befd9f2233e0c2bf313b0a083842c31c492,False,False,False,PIG-2618
2910d503cea662c1c9a6638e0fc3135e054ae72f,False,False,False,PIG-3147
500b8f26383e205e706ef70f2e2fd2ce296932a9,False,False,False,PIG-799
9348e91b95a5490ee62032053a6ac88ef4778914,False,True,True,PIG-1865
aea38dca9601205c915e81231d2ae3994e7499f6,False,False,False,PIG-4447
409a00606f4da80c57fc0bd0cced7d117d6ed33d,False,False,False,PIG-3923
0512bf049a9b6bbafea645f650388ac99fc54507,True,False,True,PIG-3984
aac9c9b774dd0f80ecce825891b3327e06ca8770,False,False,False,PIG-5183
f23ef277cfeb370740e80966defcfe53e58207bc,True,True,True,PIG-490
f4cb8486c7982b0c01c0e181109825187502e188,False,True,True,PIG-1890
510f71746883b23c7ea411d08bfb98cef2e3376e,False,False,False,PIG-4679,PIG-3754
0b1622daae363db8dd4a709612574199d5d0aa0e,False,False,False,PIG-3095
1f6d5bb9693827f84c0bee65b28d6509a9c3ebb5,False,False,False,PIG-2264
b701d904f1e4a1d71979613859ff92ece171c2dd,True,False,True,PIG-2508
a07e593e87faa566578fd365ed8d90b08774bafe,True,True,True,PIG-4759
f6401185b806b6ddead2e8eea951081f14a64fa4,False,False,False,PIG-2938
04e1bbe2c65bcff07bce0d7afc7b2d6c2ff80cb1,True,True,True,PIG-3985
468eb2c5ef50d2f5b52715186b6d2c3798415a7b,False,False,False,PIG-5046
3efe0295f50a5a1c8851584b50ef4f6db167bd97,False,False,False,PIG-4960
66a12907278bedd72b11a36c9797e81677428d0c,False,False,False,PIG-2581
576e650ed2276cfcf638fc91ec67c0cfd863c75f,True,True,True,PIG-693
b214ac6af962bfc054c6094ad95ecbfacbe5960c,True,True,True,PIG-1217
591edf4d412fa076321ced5c54c5677633dfab12,True,False,True,PIG-2866
a44936889526d8b3149e970251d6170f208cf4d7,True,False,True,PIG-2840
4b8c43d062d14b85b445a49f67dc3a8467c82cb1,False,False,False,PIG-2691
46ded091d082bae34a17acd784f3ee5a1ca0c53c,False,False,False,PIG-2199
06d5d4c6ea2b66543a5dab55e9f87a504f4c6d06,False,True,True,PIG-1149
149e0fcf54970b106c6ae0b68fb8f2d3a551238d,False,False,False,PIG-1186
a340046a865d4cd790c8521388a1209d7e031e50,False,False,False,PIG-1728
1d64916466db0da7c57a00a49f3235e7b190a074,False,False,False,PIG-810
2fb9caffed2aa009f0930a5f2d9a4e4da16e629d,False,True,True,PIG-5231
1ef4ad194c35bcc6391a37ba00ce726f6fc88b33,False,False,False,PIG-4020,PIG-4020
d5c74bbab410d242e3b2b35db128e52d81e31b87,True,True,True,PIG-1022
f13085ce323ad890447f3db938275d32695d2b41,False,False,False,PIG-3435
93221d9d3886bafdee85f0dcd849712635e439ba,False,False,False,PIG-5078
dbd4e0d4279e81f9fcc3e16c9d7d78ad72ab77b5,True,False,True,PIG-1595,PIG-1595
7a5da0b3fac0448344e0beab927a1d02c330e0f3,False,False,False,PIG-4845
08157601d8525f97cd2e073c786143585bb0923f,False,False,False,PIG-1791
03874ffb1cd0e63e34f235945e6e9a30c8211ab1,True,True,True,PIG-2839
7e7e804a38fae89fad7b59e0d5970ed1f0e5f66f,False,False,False,PIG-2499
3ab3c3d98ffafd47d1a7761367ed83cccd59623e,False,True,True,PIG-3414
480ce193097eef9d84a23dbda7a7d4e3a6d11bfb,True,True,True,PIG-4487
ee2d7c5ec93601a89d4292c42b7e479de5d958a8,False,False,False,PIG-2140
21d44cedfefb1b4ce1ba01fadab1d054330f55d0,False,False,False,PIG-1272
ec0d50b408da7367a3a0b701c55006dea65925c5,True,False,True,PIG-4688
f6b3f429b3dd2d69208ee32a05102b6a58c3a11c,True,False,True,PIG-951
f18093ac5c475f433509a4636f11c2cb2f46600b,False,False,False,PIG-2968
49760a9f22cebaa04667df97dd9f3a1271d1bbf8,True,False,True,PIG-1116
d0b50282faa6176b358a5b693e87429209ea5537,False,False,False,PIG-3349
5e9f82478970ef19ab29267b1b129e1eb25fa7b6,False,False,False,PIG-1394
c41f507be46268117fe0720300057c19fb504e9c,False,False,False,PIG-2049
087d09fc6a925b9a75f740df039571409270a47c,True,False,True,PIG-1026
b39e7b8dbc92004410a76b34b785bb4d4124b490,False,False,False,PIG-4562
5c7ef345c0885726bec8f08f112076b357097371,True,True,True,PIG-1188
7a59e71d713d208fcee410b1b5d7eb81b5e3fc02,False,False,False,PIG-1714
28310f6820bcc513f1f4a8daa3f8292ffa548631,False,False,False,PIG-4215
d3324852207252e156d13fc6ee75d26149ff6731,False,False,False,PIG-3377
af584172cec9f680245a3da76b68b01a0393facb,False,False,False,PIG-5019
a4d493b6c3cc6c65529b7d236efc230d3c41eaee,True,False,True,PIG-3122
68ad27f63b15bc9ffa709083e2a26fd5a71b8296,False,False,False,PIG-3782
0d74afb85f45bb0fe3a99c6e05b03e1cc5bec73d,False,False,False,PIG-4587
9bb4668a2cd259bdfa8b5b91e3d9f62da54f1772,True,False,True,PIG-671
4113e94c6ad3b90c1b5fcd25b59bac09218a6ad4,False,False,False,PIG-3860
a37db21e381dbc97dd5c52d3472aece07469a111,False,False,False,PIG-1996
b90db8d55fcbbd95a283fa9f28c11bdc03a2522e,False,False,False,PIG-3968
01e9e2674ca142d349832376cd0bab802bd5ffaa,True,True,True,PIG-1251
952fd33b38f74e63d2b1c5bd8918cb94145141a6,False,False,False,PIG-1154
8b38da7ed16158c3b8a8951e7e1f26b3485e968f,False,False,False,PIG-2780
cef632559855f1abac0448c4cafd3454f81eb217,True,False,True,PIG-3956
ea71e00e9f13f49d44ab728fac55148f3071bfbc,True,False,True,PIG-1106
d616fc9a0b6e33b4a8a0400944f5cab97d92312c,False,False,False,PIG-3832
78dfe0a7f0609da3ef7eb313ccd724d0ec76004d,True,False,True,PIG-3135
e44bfb3f3813f4fa64e0f0df66356ba3be92d7a2,False,False,False,PIG-3156
063a612c05c4d09880ed40dbfa6cfc1ecfe6f198,False,False,False,PIG-4182
4ed079f19ae54c6f7b29ce99fc0f099a79b65a2f,False,False,False,PIG-3227
903fcd9206c876b83ce5811644da4d10801e2343,True,False,True,PIG-4559
37c604329566e2d60a9e76d0999f9f3c6831431b,True,False,True,PIG-2918
48838be5cc0a4ab0f27ac1cb8a52903824d924ac,False,True,True,PIG-882
ebaeed568a0c0fd05af6d8716d2bd6daf5d8aaf0,True,False,True,PIG-990
1155acba1084e49cebf0458573fa696b32fdbf7a,True,True,True,PIG-4031
424c824259d7da2a641e0dea271be1dacae8857f,True,False,True,PIG-3410
ffe9328c770228ab875c0094caa89be5c1b8b3e4,False,False,False,PIG-3512,PIG-3325
39343f75e859a556306d65f6123bc6c8644486bb,False,False,False,PIG-1329
6c0cdfeb9d2daf997df8ccea091873706ef3b160,True,False,True,PIG-804
b99c90e3ff5469bff8dd4b98f029e633b30cb22d,False,False,False,PIG-4075
74c61bad9725e0654e7fc79a905324fa337d9bc1,True,False,True,PIG-1489
b4122430450bc11e42e8a2d87f4e0508a8db4d4e,False,False,False,PIG-705
484de09de12b17bed1d76fef8958f38163822e0c,False,False,False,PIG-4161
12055f10ac39bb2e8f6868a193b7c1a641ec7af4,False,False,False,PIG-2741
f8df2ef1b1ba51b338363ef27d93b61c1f2a2111,False,False,False,PIG-3304
81f44dec928e9208449b707b246ef5d38ef6d88e,True,False,True,PIG-4953
7ab97419ab89dc7abf9ebf94bc3edb2b88747fa5,False,False,False,PIG-3833
6c07ba625ef7ae2c7c49cc0381806e275904b22f,False,False,False,PIG-2887
b37a9e68b3125f6e3c05aa1ee3427d5466ee99f5,False,False,False,PIG-4976
7d0462ca2bd6f5e260a51a0c565997ac6d80f830,False,False,False,PIG-4543
8c01e239bbab3441bcf9d03e65002916e59936ae,False,False,False,PIG-4312
9a206a997b44526158ad6a631a570d1021665011,True,True,True,PIG-514
ce746b9aede8263c9a2f26fcabca2adf5164a774,False,False,False,PIG-2848
7d3c5f48a58b2f147606f74cf9daab96b453b058,True,False,True,PIG-2267
e982c285197daf742a3d106e65eb813a5896635d,False,False,False,PIG-2413,PIG-2413
bcbb68e8481d80f3166e92240948ce85e7ccd764,False,False,False,PIG-4592
f567efcac3b7c47bd894916f58ae62b4ca47d27c,False,False,False,PIG-5244
54fc0939dc68b5c33a382ef4d8893bd5f3a7afa8,False,False,False,PIG-3020
7bd12fd0d96f491a92cfff4b54f7f87005dd1661,False,False,False,PIG-4818
bcba8a7a2726fd34785329d0a6455020cc098a7f,True,False,True,PIG-3223
d34e2eb64513aa2aae10355aefb1c8de4bf5442d,False,False,False,PIG-3837
9327b63c89c9b93ce3a66fd2604fda18e05dfb2d,False,False,False,PIG-3331
b298df7deff1109e67fc5cf21bf363fa53c96413,True,True,True,PIG-1649
a54f3f5bec780464a865806f1f52d135d429251e,False,False,False,PIG-939
67881e4b78fecce33f6f16ce7d218980056200bb,False,False,False,PIG-438
314235f6ea086794de5ea7e3b9a33b7db905e760,False,False,False,PIG-1015
d700bdeba9e4104097bbb07ccc5154c5acedaac5,False,False,False,PIG-4679,PIG-3754,PIG-4679
90aee49d68f434624032e210d3e91faf1873662b,True,True,True,PIG-2627
e0be29a07585f4b23a64469820e98ef051d961fd,False,False,False,PIG-3264
8804af6a29f629a59089ecd78b6372970aff9bb0,False,False,False,PIG-2002
bc5cf14a79ce28772b4faf8eaec81a09bcc3bdb5,True,False,True,PIG-2028
bc3ffd027b1cca4e371f3ad6a277c01f19b034a4,True,False,True,PIG-2136
a21308cce509976b8efe179253164690e0f12b81,False,False,False,PIG-2550
b7719f33d325a7728d7f7a4ffb8696f8b77b7d12,False,False,False,PIG-5314
5f065eae4b6086226ea4eeafb2ef7d3fd8d71277,False,False,False,PIG-4930
e1780278e7a712a02758445812559c9e2a7d2871,False,False,False,PIG-4056
e765b99be60ed705dd59b9ae9959f03818698303,False,False,False,PIG-4945
dc54571be938015c2d1b00694c845101a8404127,False,False,False,PIG-4967
4cc26a5a7986362f93a34291ab78cced0def0adb,False,False,False,PIG-4869
9d5ff3cc01e70b2aca5808aa612cc3c44764b9ef,False,False,False,PIG-4155
814011b5dbf49c7258047c3a72779dd1833acab2,False,False,False,PIG-2425
afffd0e85e25f9c94025bc7d852772703c4dceca,False,False,False,PIG-4186
58e506282e7b8a0f05227b244f62c24b51da0d60,False,False,False,PIG-3664
aeeed5a8db691f0453aae2ecbcf6318974fb3a58,False,False,False,PIG-3140
6e19aa5c51829f525149c5ef6de69395599deacb,False,False,False,PIG-4873
c49cd725e868c2b8d52f5719675a2355a658de6f,False,False,False,PIG-3826
56a7ea95472d05242bdb667a05096e1bcf98f37c,False,False,False,PIG-4725
59aa9382c77885ca09a8a0abc227ae2f180a73db,True,True,True,PIG-4463
c7b4734e977725762f3ba756aaf6e38c54e86d2a,False,False,False,PIG-1508
34c2e30eeadccfd1785a78848e722b21bfa63bfc,False,False,False,PIG-2717
d3d8e58d7845eb1698a0896b25024d764feba8d2,False,True,True,PIG-1482
c2761c10c4827f1a3b8e158dbf285217178aecf4,False,False,False,PIG-1976
cb67787d19014116f705e9ae1f15cb5457f68d40,False,False,False,PIG-2508,PIG-2508
d6f425d4c1997e8c6b5791c9fbf4898c703a9b7e,False,False,False,PIG-1019
fbda3661b25d640233ff3ddcf0e69832170c11b4,False,False,False,PIG-4880
579bcd57e1a78c034874c7ed41192fdd4a3ce4b5,False,False,False,PIG-1356
ed34328b0d69cc7769b2231da2cebf3abc9ed361,False,False,False,PIG-1585
2d4c1145ac9f4466c057244ab05a6b83887e1218,False,False,False,PIG-564
90466631382c0461fea8fc8e226038e80e2a35e2,False,False,False,PIG-2941
6e74ce71d22b5ec4547e72ee914ab41fe5ead29b,False,True,True,PIG-761
f9a27e96264bafd49e31ae513c78665399d3809c,False,False,False,PIG-2062
5c0a7d08ad5c59a35df2d7244378812276ef8d39,True,True,True,PIG-4737
faad06617d11c19ca77968cc033acea7a7354a28,False,False,False,PIG-2026
c25a84233900f499757bd0cbde79c7b77b5b1caf,False,False,False,PIG-5366
a8c680cf28ad4c2ab824c268a3dbe2783667dd94,False,False,False,PIG-4674
e35c63c4a8bad04570c7b43ba3f133afb83f30fb,False,False,False,PIG-592
5de854de7bd9a22f110b6b7e1a167339ff488dae,False,False,False,PIG-2146
86feb7963c305315f3097291feb264521b8d1183,False,False,False,PIG-3982
a44b85a0ab941cdd1d2d7f6e457303aef1e57501,False,False,False,PIG-4635
6793de71b2eab27b264a939d9a2d17db519700fa,True,False,True,PIG-2030
d02150eb9970eecb3bc624745b2ad3fa3d614506,False,False,False,PIG-4514
5ba05e66c4f8e3647d2ceff406d19ea1c41fb5fc,True,False,True,PIG-2115
2cec12091ba36756878d8571f419b50a97931df2,False,False,False,PIG-1359
2c6116f1bc230baf8a14b368704d3a7a22ebf280,True,False,True,PIG-4355
2496074e97e77662f0bb7729917f8faeba62348a,False,False,False,PIG-1963
d6060c182aec623f68236c2a0ec084f87c04d4a2,False,True,True,PIG-1127
fe130cef5b8c4b5c0c1b62e1f1ab2ef0a0c811c1,True,False,True,PIG-644
5fe78aa2504d9dc1267895976a5a6cb6a5d84940,True,True,True,PIG-4757
432ca95872aee45670bb80f425811c3e15906350,False,False,False,PIG-1009
a2b66e74f25d2f69f589e40f609e3e5ae159ae0c,False,False,False,PIG-4860
fd2b9d128ebf3bcfcdf9a4a105fbee00238ef566,False,False,False,PIG-4180
ff92a6d6eeec56d455ddd3472b3947a8d8bc3e2c,False,False,False,PIG-2015
359d8e6584c0e5df5f306d7b156bf6a693bffd86,False,False,False,PIG-3058
a19cc2e8a62da5ec536cc69ceaf7d35981b3bd00,False,False,False,PIG-4759
6cfa1736ed1cd794fed6a314f2198ab85cdb8580,True,False,True,PIG-2570
5e9fe9f3d4f6b23b42ce64c8bb04ced744acaabf,True,False,True,PIG-927
c9f0ee5b70cd1ad527b0f39cf157a182d95b8cf0,False,False,False,PIG-2629
c6ef72c7fca65b2791fcb5215616c57c5955d53a,True,False,True,PIG-3882
7a6f5c6e8ed75196f49c8f1f1ffa3e6407b45d4f,False,False,False,PIG-3290
1b799daf2dea6343d7fb45881fc5a293ccdc5852,False,False,False,PIG-4887
d1ea940063270199e57c5efde9fbf76912773c7a,False,False,False,PIG-4947
308673a782c86cd4bffa330b51e9b8f26a624536,False,False,False,PIG-5031
576f2ce8684b7ea884f076270a165a8f69fabf2e,False,False,False,PIG-4076
8a9585854d44bb09c2cae7f29f280b40d52f6e74,False,False,False,PIG-1048
7732c5c806691bc4c8c17e4d3daa0ff855990b79,False,False,False,PIG-3674
eb2e8fbf5b72515ec41ed4971ab1c709655c6afd,False,False,False,PIG-2827
a87fc2cf78bee3285684318bb00657d830549ff0,False,False,False,PIG-2693
cb9fcce836b32e21351b3dd818976871dffe980e,True,False,True,PIG-4819
f7619b76a6dda80660991ed8279bfd4c6d77b484,False,False,False,PIG-4230
f5a5ecfd0d96293d16d1c62b94cb3d289989c6b6,False,False,False,PIG-1622
ed57c5c7b577394f945c0495340ed3edc2a2f1c9,False,False,False,PIG-3110
e5a075b4b0b528dc1b9b58c0fd7408c0a239d8f3,True,False,True,PIG-730
1a93160603ac2a7bde4fa37ce5b0f859de10d5c7,False,False,False,PIG-1552
348d0839580ff7b0e647c326012580bfd00ed906,False,False,False,PIG-4722
7c5ef04be35fe40ff1f6c3eb79dbf2d48e24b9fa,True,False,True,PIG-4530
db9fe509c22c5c0798e9dad44dd96d3a56b94cb3,True,False,True,PIG-3461
