commitID, type1, type2, type3, bugID
3a15b7a4419431f58978b4890c267d24a3ab479b,False,False,False,PIVOT-982
6ea5659aed4d9f3a7e7f004fefdc8c8170631ae8,True,True,True,PIVOT-1006
8a9b3f1bde177e0f9b5ffda29e9e3a8991e56077,False,True,True,PIVOT-507,PIVOT-533
da4b33c1429c843629236d36768d552fcb45706b,True,False,True,PIVOT-738
b9e0ad7f8808ef31e16770a54e7e520735706d83,False,True,True,PIVOT-704
96ea384e316abeb407c11a873e61d1775f143b07,False,False,False,PIVOT-715
ef46a5ebae9dad527ca0a545d033159c6655d1a5,True,True,True,PIVOT-297
7dfd6f22e41f72642b89c8d322af71fe07dae768,False,False,False,PIVOT-782
ae761b62aa8433d372ad0dfb22f0f564d07b9020,False,False,False,PIVOT-702
37921a4c0e49f1d37afbe367f56ee7fdcf3fe1b1,False,False,False,PIVOT-922
fdc99d5f7da32c1a24f823b7e61b7e4264d6f603,False,True,True,PIVOT-734
293bc1e2d30db6411b0d8bdcfb017683470e4f54,False,False,False,PIVOT-187
c0baa4b064018ceb7702bd3e72f0d66c0f10638a,False,False,False,PIVOT-339
da576393089200b6d43a62ece53cf0c3044d5415,False,False,False,PIVOT-1025
c71529328021e96732799f8abd97efe2833ceb83,False,False,False,PIVOT-837
3877d1a65ce8ebfea47c5d5db6b8363516e6d5a4,False,False,False,PIVOT-476
8e5b17512daf5c9a78c55a4b1c32e290eb6d15b1,False,False,False,PIVOT-976
fdf61e2206e15528e779e9ab07fcb5e9d04c23af,False,False,False,PIVOT-255
2fe86eaee21832f1a4ae22da19b951eeeb124a11,False,False,False,PIVOT-485
9d15820b81dc6eba07d83e52b6d0076b298295b0,True,True,True,PIVOT-265
fa8ffbe54ee1d5f890b3e8b086b51965486a9866,False,False,False,PIVOT-681
278a2e44721ef82dfb0a0d0f2bbdd4975e0fb325,False,False,False,PIVOT-1021
56afd775a7a08f2d0e964f63aadc3f5a93a6f39b,False,False,False,PIVOT-406
