commitID, type1, type2, type3, bugID
a74a636ec26861dba3158a0aa5898307463c23e1,False,False,False,POLYGENE-223
ee79f220a960f5cd484aa3163718da41ebeb55d9,False,False,False,POLYGENE-120
37ada0d570db6d43aab104fa3ef69e91f7e244f6,False,False,False,POLYGENE-256
f1ab29cde96472a0437f06741a57b8d1deec3df8,True,False,True,POLYGENE-120
9ee911b0e79247d5efff911b3f5fad40b1e5660d,True,True,True,POLYGENE-54
eaefd410976b254a4d94a63b76c20a71357ee372,False,False,False,POLYGENE-224
9f38f3f51ebef70a90d184db8ed9d3e74bc76f6d,False,False,False,POLYGENE-235
240ddb702723fa1c0543480e94602ebfb0c4dc60,False,False,False,POLYGENE-172
b61d0254fe3dbecafc0bdb1d5692a75babe266df,True,True,True,POLYGENE-142
f5cb14aa9aa48786354e28111f2eb327c297640d,False,False,False,POLYGENE-261
f09636df18e6524a27de083da4c5158bae39cd80,False,False,False,POLYGENE-237
9a1ae98dd229295f90ca1ecbc5369b663b8bf30d,False,False,False,POLYGENE-235
1a79168faebcc976ba8b5426a79f95d877044127,False,False,False,POLYGENE-256
0816506ac990bc2091f4677e202dafcefbf4f501,False,False,False,POLYGENE-224
74d7ba09313f540493393ea01f9907634c707360,False,False,False,POLYGENE-236
7526b32f4988075a44c6438af63f7f59cfe14c0e,True,False,True,POLYGENE-120
6d8d97ec06b775caeeb8ae7bf70082ab673f9746,False,True,True,POLYGENE-54
0d9e8a1b462790d23af235a43b374c58787fdf0b,True,True,True,POLYGENE-260,POLYGENE-261
a7de5980d2d8c19b8f60df6cfd89009b9646e670,False,False,False,POLYGENE-172
5e925a57fcf90d9516cbad5d2de987100942fb70,False,False,False,POLYGENE-256
d9be964c4a0db2fc6be6ef53d811352dbbb38359,False,False,False,POLYGENE-234
07f65e0a4dba3f36466da5740b1a4151e1052a28,True,False,True,POLYGENE-120
51c6c27c37e776b9f1fca66e020c8d2e4e3e1328,True,False,True,POLYGENE-54
52fe1570f5f7d26de714f12ef07df533cbbab45c,True,False,True,POLYGENE-257
09b9280102065597909889d1cef823833917d600,True,False,True,POLYGENE-172
339784cf4efdb60431de1831cf6b43835056670a,True,False,True,POLYGENE-251
6c5f98655233a66a981accbb09314eb6f0076162,False,False,False,POLYGENE-234
452c72929631b1aff6f45d13f253b66fcea2bb6a,True,True,True,POLYGENE-251
32492c0f82738036da2636adcb8229c0ba934d2e,True,False,True,POLYGENE-234
1648545573ce67443993f215d0792cc34e70e7a4,False,False,False,POLYGENE-235
0e01c148274ff4d31fdd3d919de657bcf8a6cc40,True,True,True,POLYGENE-257
cf15aa4307b40e253d2b1c14e170c4d30ba3867b,True,False,True,POLYGENE-251,POLYGENE-253
50bd2c930361ec53d059c372ac74bc364a101c6a,True,False,True,POLYGENE-257
