commitID, type1, type2, type3, bugID
b71b253d2ad6bf1dc68c7bc6bb2e30782d86c7ff,True,True,True,SAMZA-1204,SAMZA-1204
5238aaa6cee81a87079c9d432204422ececea793,False,False,False,SAMZA-1553,SAMZA-1553
c27a253283bbc09e82c4e9d669bf54d1460c5299,False,False,False,SAMZA-1370
76de840c734fe2b7987af22d1ba6133437c25a5e,False,False,False,SAMZA-1584,SAMZA-1584
19c977ce67ea560f669c790e2f855bfc2323cbcb,False,False,False,SAMZA-2309
d382cb6f38ee5d6186f5077080bf45fdb33775c9,False,False,False,SAMZA-491
1e2cfe22ea0eb0fd2d4e935bfd9b5d45a503d1bd,False,False,False,SAMZA-259
e32595bf89e49bfedad579650bad8b8f268a7f1a,False,False,False,SAMZA-206
d6e06e9f6fc5db02e044a1380eeec5cb1776033c,False,False,False,SAMZA-1287
55929095f5abc0911278ca8336bccbc835122c84,False,False,False,SAMZA-166
77359feb83beec7c7ca66f9f1553565e3c826983,False,False,False,SAMZA-574
daed7a9a31f30dd5d993407b33b5dd30f4ef7dda,True,True,True,SAMZA-1167
78a85047c71d53ad9ad74e5eed5b9ccf1d9cce36,True,False,True,SAMZA-947
b1277d8b4cbda3a12f00dd2c8e86980086f2c640,False,False,False,SAMZA-173
47edbc3a28a269269f2ef4494b2f6c89a6c46450,False,False,False,SAMZA-64
ba8ed30d564bac80fdeb7a24433174aee383e6ff,False,False,False,SAMZA-120
d48cf5f74b2268762d3175d8c068769b418b578e,True,True,True,SAMZA-1845
1aee39ff199743aaf150c3199cdbf65fb09e0dd0,False,False,False,SAMZA-766
5c5a95c33b4e254108c25eecd6bf0a7786bd4d4f,False,False,False,SAMZA-220
6f1b3db2c4a1a2ef22ec023c6b3ed9f54766ae3e,False,False,False,SAMZA-1172,SAMZA-1172
9d904b1578827d8ffcf75f8b27d5ca1262f86118,False,False,False,SAMZA-1692
eb80cfee885d10d8d875dc42afdb2868a5fffbb3,False,False,False,SAMZA-779
30c6a89b3605ce97c9226656953b62176393d919,False,True,True,SAMZA-1608
868fc7ade3a84a2bbef9970f9cebb9dd956cadd3,False,False,False,SAMZA-144
9af91314e344f04a5655e352043bcb7b68acad15,False,False,False,SAMZA-132
2a531b0bbfb11bfc1409f365d2d2fc920a7825ac,True,True,True,SAMZA-906
4bcf88f5e38ed18ff485a29fa6a472a922c0900d,False,False,False,SAMZA-836
1497bf6c2629dd165f02352480584d3b3a9e5c18,True,True,True,SAMZA-910
bd5944af2adc827454684b1b4c7a5aeaf5c67d65,False,False,False,SAMZA-748
4394b89ef71a8311fa3a955ec55e3c3e5fd2dcfd,False,False,False,SAMZA-1825
67b195363a921de537003faf72615b9349998996,False,False,False,SAMZA-1228,SAMZA-1228,SAMZA-1228
3d1fd2171e5f426c15fff457d61d952860b3298e,False,False,False,SAMZA-728
3a4886a6531530de67b7cab6ed004653e9e6aa38,False,False,False,SAMZA-738
783b05a637465eef4a177beabbc3e116a7353b37,False,False,False,SAMZA-266
a1f01444ec12f49684213cc69b1cce16ff0f8232,False,False,False,SAMZA-1434,SAMZA-1434
