commitID, type1, type2, type3, bugID
ab6abf9512403d809fe3babccb95686d462c614f,False,False,False,STORM-2757
0fc2cd57bfc43556095107dd96a23153ad4d587e,True,False,True,STORM-688,STORM-688,STORM-688
1fbaeada6e7eb337bc7d7802c71198d417a8b1d3,False,False,False,STORM-694,STORM-694
9ea154c3412ab74a0c9159040079310d5c5b4038,False,False,False,STORM-1478
f98dd1889467433226721bbab09037041c5c8f1a,True,True,True,STORM-1694,STORM-1694
4d75ec8494eeda24d6510641259d4c469cff3ee2,False,False,False,STORM-584
5e29c068042c2e8d2dad2934649b7b2ec1a39618,False,False,False,STORM-2176
bfe19eef65e3450e8514715dc1386059a8da9781,False,False,False,STORM-1906
9c1ab5b8c97dfacda3daa199d8a2383495b69374,False,False,False,STORM-2503
2abb3b0c44e9f34773fc8fdccba609a257337260,True,False,True,STORM-1924
14fbc4859752ae95791d8d5c6d65b9c620d80dab,False,False,False,STORM-1452
e63dee617bdbdb8294978ab8442b2dd1e007b2b9,False,False,False,STORM-3244
aca8bfb7dd76997340dc3d6a54479686a3ee31b0,False,False,False,STORM-1111,STORM-1111
11e98e9aa2246df1eb590a2686a108e56694426f,False,False,False,STORM-1934
98f6cd26c5e63af03c411952b2c790564a2e7149,False,False,False,STORM-976
8fe5c77456fe3ea6a1367ca2d806e1c8b0baed3b,False,False,False,STORM-372,STORM-372
e59c28e6c22f162e3e0bb80c571f4235adb07969,False,False,False,STORM-2346
9e1bf0a38f3ae746f90d9e5b2394bb60537c7ccc,False,False,False,STORM-1942
decf9a5af24fa6e60fc414a3def3ce31c4042b2c,False,False,False,STORM-1730
1134d73ed7c0f98c9c64478444443bb8a61e67d4,False,False,False,STORM-1946
f3c14378e4ef48e1516242acd2fd24d287702e98,False,False,False,STORM-3206,STORM-3206,STORM-3206
afba24e79840026bf04582732ff0bfdd11659302,False,False,False,STORM-3070
08967889e6a47a33c7b36901b94b8e076278cd5f,False,False,False,STORM-1418
b89af960accfd37ed5aa7b1d095de5e3758a5df6,False,False,False,STORM-1531
82e7cf8cc4f5fead22824a0d3d38108bbdcdf87c,True,True,True,STORM-2171
652ba36c5a75c230638b2f5bbbdfd909c2b23df0,False,False,False,STORM-1566,STORM-1566
84a4314d96b9e4e377a3d5d81d0a042d96a0625e,False,False,False,STORM-2734
cd5c9e8f904205a6ca6eee9222ca954ca8b37ec3,False,False,False,STORM-2026
d3182c46c947378185ff7331a5c43cfa96471285,False,False,False,STORM-1625
a1148955f1b84bbfecb939dfa656ef5e1fc15acd,False,False,False,STORM-2374
dd8523121708d058f641fdbc4db005c49b42fce1,False,False,False,STORM-1413
a6fc2f933184c28f293fdd1d6aad562e983f21f8,False,False,False,STORM-3252
83fea15d7bf240453d35a18958bece29df5489c9,True,False,True,STORM-3162,STORM-3162,STORM-3162
b070bd1077398910ee3f818980d1d1705969485c,False,False,False,STORM-2892
8eac4aadc4e5de0658649d23d724b04c8e8c2548,False,False,False,STORM-1203
c3ae8b97d2d11e008402f5e8d30692df830be8d4,False,False,False,STORM-2827
68ac3af18b171028504f20a8329bfd8793d70445,False,False,False,STORM-1419
d212b59cd05d2c67a9b09d0c6a98d241f77824fb,False,False,False,STORM-1515
96bf8e71cff0d4cbad102da14598350e6915eb68,False,False,False,STORM-1941,STORM-1941
6ff3fb2527d0a96e9b9e539f01b636e3ead4d714,False,False,False,STORM-1761
73a7f5d7306b0df8921130d23db22a5dca89fdbb,False,False,False,STORM-682
ecef8ce3a88e3a6fba47c3c7a10794da2e1679cb,False,False,False,STORM-3072
7575a00275df5d0e4f8d4979a716383ad49f23a2,True,False,True,STORM-3307,STORM-3307
a62c6ae21efe5e5557d9c1f78317bec9241e880c,False,False,False,STORM-555
2833e30616c2fc8da4f5f8f8b278a80c0d2832dc,False,False,False,STORM-1363
bdcf1683732e9c5cf7fae3f5297295b12b37e26d,True,True,True,STORM-3136
9579c0b04ae3460a19961c81e714c2fa3b541e3c,False,False,False,STORM-850
d7155d7be58acc4bf77c4f4bee3188e411fc0f99,False,False,False,STORM-977
9e898247845f99392fe0b714a6df39fe2cfc5fe7,True,False,True,STORM-2334
6cc9bfe1c16f668cf8d89ff249136420965e6a51,False,False,False,STORM-285
4fdb5e1c7e83ccb95feabffbbf05b52f584cfce2,False,False,False,STORM-1735
9ac011129dc90418b9e8210abf0ff8e9f60be656,False,False,False,STORM-369
9abebd5dc73301866d97c137f22696af412afd28,True,False,True,STORM-2516,STORM-2516
aa8e94c43dab44d1ef8f85adb0f7662894efb2f0,False,False,False,STORM-2026
7b940aed63d05b17ce6fc18341af02748c548c7e,False,False,False,STORM-2779,STORM-2779
66be747abdeefb497f8f9955a090c06830f7103d,False,False,False,STORM-505
df8baad4a137cf9a022744aa66cbabf353bf0db1,False,False,False,STORM-860
4ad21bd64650cd163efbdc38bc1883219b8ef11f,False,False,False,STORM-1631,STORM-1631,STORM-1631
2c78f911e495518b65241ee0904d37d0f854b8b7,True,False,True,STORM-346
109b8fc756380f42bccd5f28faa2f32c81757461,True,False,True,STORM-2295
5ac30623733a4d882e7f2dfd9c903efd91cede5d,False,False,False,STORM-643
b79d33a92b9f3ee5167e6e0932f57e408732894b,False,False,False,STORM-555
8aae491b6b1e2be2a085f61d45d5d915203eb0ee,True,False,True,STORM-2859
ecf085a99d30522bacf46ff8204348e344000a11,False,False,False,STORM-2037
55c4a6874ddc7e2228a1ea7aa954f378593d3a45,False,False,False,STORM-1670
5c6e102aa4e4d5c8f9515fa919f38130872eb18a,False,False,False,STORM-3168
