commitID, type1, type2, type3, bugID
1b66268746e2bb193f148e6d07978dbe2a200f4c,False,False,False,STRATOS-1365
176346927f211c59a1ef17bc4c3ac1fb2783367f,True,False,True,STRATOS-682
e8b164bf80563c82ea7b24961edf222cb71d39fd,False,False,False,STRATOS-555
cfcf30111187c7b7f52b4c31bcfd44e5f61e5d67,False,False,False,STRATOS-646
a7b386736d8ce0988949d197bfafc3aa322c3860,False,False,False,STRATOS-707
61a04ed8fb28f260fd710cbab3ae6f513985eab9,False,False,False,STRATOS-564
48101310128e108f705e68554637617bac3c0104,False,False,False,STRATOS-450
65aee8a81ffec254486e88b5c53eefa58f06dea8,True,False,True,STRATOS-1629
516609907b76b0078c0b0eef0c768793a8239720,False,True,True,STRATOS-1620
097e884bd2e5c5942c3023eb5b5cbbf6d82331bf,True,False,True,STRATOS-918
a539e12bb2d8c6fab4390e978c4d1134f23ff023,False,True,True,STRATOS-1316
673ffd38d3340442b5793ed39531866f4d8f1591,False,False,False,STRATOS-399
73b6be833f83d1a3d94ae4e9fa2a95cf607da376,False,False,False,STRATOS-682
39355ad99ee4ab00d3237fbf0e2ff2b4ac706f06,False,False,False,STRATOS-356
c9e2dab45aed3a3c1566954d8afc639288c7ba55,False,False,False,STRATOS-443
85873e07d013084e12334664cd4a48dcf414c2f3,False,False,False,STRATOS-16
f14d7416912274184c6b6f70a20b05802fa63473,True,True,True,STRATOS-1548
b2ba8234ccfa64429bdb8526ba0f674229ec6d10,False,True,True,STRATOS-449
f9b3a189b3028b86b2427d7872c7ce12fba68210,False,False,False,STRATOS-522
5bd3ffe28eab2e78bae3983ef0538802ff12195e,False,False,False,STRATOS-486
7be740df61f2c19c73b0c385cbac6828bb9fd5ce,False,True,True,STRATOS-1316
adc8576adfff1ef2cd09d8058259dd59600de000,False,False,False,STRATOS-1597
df9c46b00c3ecbccbac76e5972b94a160a068424,False,False,False,STRATOS-682
d8c7e56ed49b16aab9818439f4f346532762263a,True,True,True,STRATOS-545
891355731f9b0262aeadfb983fbd33e08cdf8c6a,True,False,True,STRATOS-362
aa27fba8df8da90c43cab286a45d3ddb61d31754,False,False,False,STRATOS-653
2ef562e1ed864dff0a2fbfd69c38dc61336ff24c,False,False,False,STRATOS-525
8c80d5acaebebc0881c8913e0accded22ed7da9d,True,True,True,STRATOS-434
424a6376afd7af78bc4070b9428d114d9ff2b6d6,False,False,False,STRATOS-565
b361230fc837259167970b2b2b59f0b90c03f8c8,False,False,False,STRATOS-232
00f624b48ed6f8a80b8bd50c08d0553fc587f129,True,False,True,STRATOS-1545
ab9fed70a2cab054d33e346aa0930d3ce1570a17,False,False,False,STRATOS-1495
a2e8e0cff5f23ca024f576643813dac5210a4705,False,False,False,STRATOS-675
ee7171496e8e8d4afbefc20a21a5c5528ca4b01d,False,True,True,STRATOS-703
07d8eebf789f9d035660d2897d423710f7b6e801,False,False,False,STRATOS-636
474f6710be025fb246d7ff68919988a1bd28f6e8,False,False,False,STRATOS-975
4fad87cd999187d9023fad55c652e5bbc435cc70,False,False,False,STRATOS-1581
21fb04ccc0d3d31d80513bd83c754aefda9efeb6,False,False,False,STRATOS-527
6d6ed0007c26a6ecc21590b55c7dc181f139a012,False,False,False,STRATOS-380
819701dc989fe9309f1421b2f9e8406555fc0004,False,False,False,STRATOS-579
127329dc46c34c060c6753e3ac316a550db57d5b,False,False,False,STRATOS-486
67a22ab51ef9288629979470648b3b2d7b831bba,True,True,True,STRATOS-676
c434b0561ebf54f064b0404877f9adbbcc3c3c84,False,True,True,STRATOS-450
dd72e36cb31298f8f0d58b293e88810f8ed8c40e,False,False,False,STRATOS-1120
1677d99c0edd6e3eba19afc0b57cce82cb18708c,False,False,False,STRATOS-169
762e4ba3036f906fa393e2ba5f265b0c4368f457,True,False,True,STRATOS-682
a2adec321eeca152adec3cad6c34230bf5f2e23e,False,False,False,STRATOS-1576
d1897ebd563427610439bc0a5979449a45317f03,True,True,True,STRATOS-965
636d9bb0e85a6e91d454157cdce61851738c0a6d,True,True,True,STRATOS-921
28e65f2bf9c9b2f8f62173160b773368ac3b88f1,True,True,True,STRATOS-1620
3e9da00a68582758edcd33cf6894e7821f6e923d,False,False,False,STRATOS-486
5f9f40f28bb7476f396b0a5e1f9b30bb5308212e,False,False,False,STRATOS-806
71a6b144264ab105f73fa0489b6d16b065b35473,False,False,False,STRATOS-205
d92c416fee5bf96be628ae8f24f84ef8af230895,False,False,False,STRATOS-997
5eb352bf6de86b12a68ff2efe3975d46b29075d2,False,False,False,STRATOS-301
7f9950c7eb535b00889c3af6a6709504f857b446,True,False,True,STRATOS-466
46441b02847a671dc9510a0cf21f33e8cea026f3,False,False,False,STRATOS-1243
174ce317187934039c9df8144a70457c39d33696,False,True,True,STRATOS-331
38c05a5afbaeb36716a24f1e907a74a67e79f9ef,False,True,True,STRATOS-851
56581daeced3fce4e257fde4bca48761b132eef0,False,False,False,STRATOS-1617
396aa955c487187d57390e7b4b0d21951ead47ee,False,False,False,STRATOS-675
f0cacdff231dd851e7687660e224f498d256f6f1,True,True,True,STRATOS-685
8db36808bd82dc08da00464e86a33d927a4e954d,True,True,True,STRATOS-805
93fbed76141da232762e39c378ee5b0c506c2826,False,False,False,STRATOS-340
9f62e948b3555d61869c44b5cbbdc54fc0da0c36,False,False,False,STRATOS-1120
4be49892ff9048ad26a2957d476259e9654ec84f,False,False,False,STRATOS-552
4ae2f2b154234f71a028dc8686e459b6448bb73f,False,False,False,STRATOS-531
d73fd92bc6d509a0cd8ffb9f69e55a8d80ae145c,False,False,False,STRATOS-938
f2e2c9621e1fb9913b4d256b7d8167a42df52325,False,False,False,STRATOS-703
27c65ff97f5cc19f20084171f8b337f91822cb34,False,False,False,STRATOS-415
e89996fa100695d9f382f2a5631e1678aa794f26,False,False,False,STRATOS-682
3393d438372ba41d75c5558a61502dd40b189d19,False,False,False,STRATOS-702
3ad91a89c842b2611392ca1bbe777f213c0a780b,False,True,True,STRATOS-1006
edd105e200337297e1c55caaffd7b803126edb6c,True,False,True,STRATOS-906
2e896312fc7a6ffcbf7ac55cb4ebb7901d013496,True,False,True,STRATOS-421
c1c06ecc40250c48746a3984037d84299704eefe,False,False,False,STRATOS-1599
b431ec18bacd7a6b5775cfe5297cd06defc80fe6,False,False,False,STRATOS-205
fde5c2d1d62d540ac6dc8c1c66f1e2b8864d04d0,False,False,False,STRATOS-1603
8eb0a8ffa8ea548471509a62b95d1a7db5edb77a,True,False,True,STRATOS-392
4dc55a3d57022808256e1eb2856566d97c26dddf,False,False,False,STRATOS-626
0478f14cdbe194eb25b5a844b0abd1ca38ef28f5,True,True,True,STRATOS-1516
c01173ce3b4f9bbfd92c8baa9a55e5067b9c3116,False,False,False,STRATOS-81
3280f0856f6328823a148b79db7fe017f9bc3fb7,False,False,False,STRATOS-633
9f59b3208215f503d27d92f28d8a6718ab7b0c99,False,False,False,STRATOS-378
2065d7a167b00bbca0a5efe9a1a178521b3bda8a,False,False,False,STRATOS-1339
cb38cc92d87f659c59936841378f1a45bde460b7,True,False,True,STRATOS-148
d7206a752a5c9b40ba13c1eda82364c492ef3e1d,False,False,False,STRATOS-486
d9e90ce9e0f4f7b49638ecad3a92ad23aa07f479,False,False,False,STRATOS-27
096e96bed6c108b39380a8cfaa74caa2c52fd8bd,False,False,False,STRATOS-486
9ae4601794ef39635b909368898cae1f31426b72,False,False,False,STRATOS-459
5515a5c586c20fa5c73ec9cf7a198622434bf6bd,False,False,False,STRATOS-1499
acf4e629edb2aa388fb5ba8ff6d179c5b7e25e69,False,False,False,STRATOS-206
365cac294e57407227bae299c8994c87d8fdb579,False,False,False,STRATOS-374
67b8e7974bd2c6738279b458f515debd545f7f3a,False,False,False,STRATOS-650
790ec5766da31c69b249db0687393c93759cc88f,False,False,False,STRATOS-618
ef07f2b1437e0b380f77409bbf9b2154e413c2a3,False,False,False,STRATOS-299
8e8a1c99c95e0680e0aedd886cb83e6f850b149f,True,False,True,STRATOS-392
6190ada416fe1da26d455df5f80804b00ffc932e,False,False,False,STRATOS-775
8a3cfdd2263e2b94e87ba03ac659348131264204,False,False,False,STRATOS-521
02d01071c77b50be246c49d0841e4a1f8b8e2b02,True,True,True,STRATOS-1572
2facde873272447a5e68843214c2b87d0b2f4740,False,False,False,STRATOS-1147
0251ad3aae15578a9bd00914bdbcea5859afa481,False,False,False,STRATOS-1057,STRATOS-1059,STRATOS-1061,STRATOS-1062,STRATOS-1063,STRATOS-1064,STRATOS-1071,STRATOS-1074
2760ac3570fdcca362dadea5f20e1753d6f8a204,False,False,False,STRATOS-848
c6334db79a5be9e8de9de1a5837c1d59a06998db,True,True,True,STRATOS-554
c4740c0638865654fbb1e9217e3f781d69b2b897,False,True,True,STRATOS-851
35cd74a5c4c932da102ffb353010c2d7bdba7ea9,False,False,False,STRATOS-939
160a6e46058478fcc80ba29e47bc5aeb83df1645,False,False,False,STRATOS-650
36b6e266cc9447dacf594754a1f89ed5c803f6a7,False,False,False,STRATOS-485
9836fa146c2da27c1219db19c9bec987233d12af,False,False,False,STRATOS-999
4886e11ab22b285f6e2cbf02d9b117414ac6da9f,False,False,False,STRATOS-430
3043dc3ac07546d33001918212a88d12df7f6be2,False,False,False,STRATOS-1568
85b1b993e6bba5e0e545f41d9adbe9fa0647138a,False,True,True,STRATOS-1110
37bfda451e73a746e167a17249a84d2a5f526b4d,False,False,False,STRATOS-956
161498218efee106bebf2cedd02c4c0e0665a785,False,False,False,STRATOS-30
91f14f39b9c406d178116b90e8dc769b89237756,False,True,True,STRATOS-486
