commitID, type1, type2, type3, bugID
6d285b20104369f1afcb85f162386b1eae827038,False,False,False,SYNCOPE-1389
60c21d72a62fb78c2b3a91c2ec0724dfe225827e,True,True,True,SYNCOPE-307
a37007ed7b9777db0f06aad34bcaaa2a63eee2a1,False,False,False,WICKET-6588
2f65c14fcd681d1e2e798e4563c6eaa07b5def9f,False,False,False,SYNCOPE-1076
f45f2d9bf1ff5d7e2eb177fc07660916fbfe4ca6,False,False,False,SYNCOPE-678
da91868697e61412ef53cdee717bc82b6db405bc,True,False,True,SYNCOPE-1377
3d0363f62bd3e7bad37bcd8dea70385dce7fa99f,True,False,True,SYNCOPE-434
842a0fb9d8a1c8f5a1dd4e5259b56dc8af3cf7a3,True,True,True,SYNCOPE-1356
a9bd3ce15ab684befa28024fd25c1f10e763ff4c,False,False,False,SYNCOPE-893
6d4731d943f02d60565a98be1713bfadf9799898,True,False,True,SYNCOPE-321
34de818e2d7b55c3a50150283cbe320df307d526,False,False,False,SYNCOPE-1406
7cd4b43de678e9545fd191d6f6b102eddd674141,False,False,False,SYNCOPE-483
fc8a30b8573573b108208e459d92a45797fdf3c3,False,False,False,SYNCOPE-1107
dbf07add3dbca0b3a99993e9153bfbfa72b417ea,False,True,True,SYNCOPE-1060
0438111af1088172eeb05c61d571dae2b80406b1,True,False,True,SYNCOPE-341
28477954869e9513477f6b2ebdd262d3ca1b9c6a,False,False,False,SYNCOPE-30
b8a1d39ae8fdd12a76a9a68695092b4ecb25c282,False,False,False,SYNCOPE-1487,SYNCOPE-1488
bc0f5e7a6e0907900fa9af6f8bf24faee7dc5f61,True,True,True,SYNCOPE-260
f1d294d6fe23b03ade5f59f9d1b94959c518cb86,True,True,True,SYNCOPE-980
bd70d14885d5f03fca33f49558db49774a78e15d,False,True,True,SYNCOPE-1481
50469a15b51b99e6b1e52a05626f96e0b9ce6cdd,True,True,True,SYNCOPE-1448
18ac4512cbda7a1b58a185fc866887ff753d7932,True,True,True,SYNCOPE-982
9d79fa626884c4e0c21f70ad0e4459965026abd9,False,False,False,SYNCOPE-1493
dde2a124c809e5fb97447680192453493faa43a6,False,False,False,SYNCOPE-739
