commitID, type1, type2, type3, bugID
703c7216518eb4d6c2fb8c5ee5b6fa5e0479de07,False,False,False,TAP5-1257
85a7f9846939e64f0bbb483797a59eae240cdf8a,False,False,False,TAP5-2365
64d3775c7d37a0a00ea61a047110c4de7f7c45b0,True,False,True,TAPESTRY-1730
fdfc4e8a10e90dab6bf6e7df68bb01aff643b57a,False,False,False,TAP5-1682
9a4dd324549ff637d3cb021f16d28239393d7941,True,False,True,TAP5-2560
592989f4a85958dd4a42b479cce561224d49bf04,False,True,True,TAP5-2270
ebab655e0141e5ccea9eedc9bf24a116398a8376,False,False,False,TAP5-1723
3ea1f7f01fcb8c5df18cf6e3750c69dbcce0118e,False,False,False,TAPESTRY-1838
ab27378a162fab5c5541c75c9db0683dadc06016,False,False,False,TAP5-2451
c70ae99b9db13e1cba65f898fcc23c82a3af38eb,True,True,True,TAP5-1428
547d76816ee9ba351475c5ab16ab786752497792,False,False,False,TAPESTRY-2333
3ede4708daef4ab2811b471cc24b52a883fdebbe,False,False,False,TAPESTRY-2141
d64dfa1d1be046889946729bc787a536f66feb70,True,False,True,TAP5-2437
22edd355cbea3894d5fee2eb8c38be1b6d5fd6ae,False,False,False,TAP5-1493
714a6027fd38bee6b93cb37370585c2be54bd732,False,False,False,TAP5-1668
eb6644bf569c1d55153fb6a11b013c3cf1b52624,False,False,False,TAP5-919
6c48b548240764424c47a23031d9ccdb4b6d15c0,False,False,False,TAP5-349
8b17de8bbd140b2a6f73fb85535a3c1c211b60e3,False,False,False,TAP5-1366
c10c0cb4f125d27a226262d9d45524f4da0d3b16,True,False,True,TAPESTRY-1480
c5b7fff7c44c62113a030d7dc02c708d8b1cee29,False,False,False,TAPESTRY-2208
cc5e26f66e7df5bfbadc9bf5831b62cbfa1b2394,False,False,False,TAP5-1580
ed37de3753e43cf2ebb28d84139e4ff3ee9c5221,False,False,False,TAPESTRY-2561
0ade1b5759c102bc31d03b707fd9baaa6696469b,False,False,False,TAP5-1647
28b4dc805dfc64891b89f8e5d83d6c5d42ff6b42,False,False,False,TAP5-773
452a488ebf276c9a53ed6abda6ebbc3589b2ecb7,False,False,False,TAP5-1713
b25c8cde5026b3c9d2f923b0afdac4d6058798cf,False,False,False,TAP5-2359
55a8fad26f7438e19dd16d30ff22a3f8d51f87b0,False,False,False,TAP5-2448
3ed6c858c18090ee159ededdd735c41e2065193a,True,True,True,TAP5-2396
26d7904ac4494d429a5df5a479cc798fbed1508b,False,False,False,TAPESTRY-1494
ea4d265f14e643404446df6327c4ca9059351048,False,False,False,TAP5-1204
56882a38eb0f4d13c3a1cda0bcd67a42ab9a0f18,True,False,True,TAP5-1596
94bcc89518208dd531153ded3058d0a1afbfc478,False,False,False,TAPESTRY-1825
16a7f536eae66c78d8040f8c8104f6794ce285ce,False,False,False,TAP5-2308
1f0c7464c80e415a19825c612ca6b8139db6ba1e,False,False,False,TAP5-2306
cb95e2236873b497211427e89f96e54282919e19,True,True,True,TAP5-2101
d671d9a3dcd6419ca72ddd673a05a2c67e3d0b25,False,False,False,TAP5-1735
4cd53c5210a424d743d0afd89a2322e304505545,False,False,False,TAP5-913
5b7c341fafd82abf4b79a8990fa5a5f1f115c2e4,False,False,False,TAP5-1444
a4cc2fb6907b2b36a555103d74b89469b5971815,False,False,False,TAP5-2392
24d47d1a2ea7f6c79d215cd98c38a0ff66c0d3eb,True,False,True,TAP5-2111
c79576854d0b63b1051b1d6ca9e308d0af91b555,False,False,False,TAPESTRY-2265
6b1136311de2930dbbb895a52c3a7d46e319ae3d,False,False,False,TAPESTRY-2532
d2cc0dddd86c017529b1fdf58ed7c2d21673f2ae,False,False,False,TAPESTRY-1871
3c28f94a4814f3294ff4e8179109c72ffa7f0722,True,True,True,TAP5-2588
6f395e16eef8bf0e4f48812c3a18e287c206b9ca,False,False,False,TAP5-1326
8b326f580c02a007320a481157777f07d6721c1c,False,False,False,TAP5-1735
42c832b9f062fab55bdc1734c7e12d1b7d479fe8,True,False,True,TAPESTRY-2422
dedeaba533290feb6885141dec0d204382fec0de,True,False,True,TAP5-292
571819f7b5d396d264d9d3b1c82d0676b0dc87af,True,True,True,TAPESTRY-2561
85284b2b131e19929b407b352cf0264f30090efd,False,False,False,TAP5-2125
a88b5f4cc0f62e89bac8e7feef3d2875a290aa24,True,False,True,TAP5-2045
797fab19af51893926e05f7419e6e8c1fbef3b34,False,False,False,TAPESTRY-1629
008ffcf07eb1fa4c1cb1d0d0583b661ac3ae53ca,False,False,False,TAP5-2606
b50f9f8913da85bb0ce7a00756f6c2581a6c63fe,False,False,False,TAPESTRY-2484
c2fdc8101a27240cdefd021a988dc02fd982dbd5,True,True,True,TAP5-431
e94a3389e782663e76986c43900d4f04d70920f1,False,False,False,TAPESTRY-1648
0a1d84f4d7b4ee2f331e56cd385cca377130a672,False,False,False,TAPESTRY-1709
b83b38c9ad5018a402c5de91795b329197a892cb,False,False,False,TAP5-1813
ab08ddc5dd054fd92e9b5c973311ed381564c326,False,True,True,TAP5-2108
0cbdf998b38c7f8413e28fd54a37d9c044cd4704,False,False,False,TAP5-1491
2354b32ad1b5706aac9b7d12e73a738ff96ad636,True,True,True,TAP5-1120
a39d166077fb1c40c12a59fb4abc993f8ee06757,False,False,False,TAPESTRY-2658
d3a7a6da7cabcf740cb0f29b6c71b959ab320ffc,True,False,True,TAP5-2331
e0abf397d44c3a9235befa17ee6e73ccfd0b3f7f,False,False,False,TAP5-1124
9768f40bfab4226db33eb5d44f8cceaaa32d2500,False,True,True,TAP5-2526
0ea4009bdaa8d3a33271296fb85533d41521282b,False,False,False,TAP5-1241
0deda651a3809ca03fe5c931f453bd40f3e47b86,False,False,False,TAP5-1345
42e550da492a26b7685ebfe1f8604d9e0b3e00b2,False,False,False,TAP5-841
00def98b9598b1f3e3ed9d2fd268bfcd9a651a44,True,True,True,TAP5-1228
93d7c4544b51a3763275c710bff99bca50f982e9,True,False,True,TAPESTRY-1606
629095afaeb23e9032fe074194e48d4a908cb81c,True,False,True,TAP5-135
7e53b26d2cc3fbc5560437ccf0ef8078d408c411,False,False,False,TAP5-2408
653a41d6dc2f3831957a15b127477d22021a8af3,False,False,False,TAP5-2054
c14f15579c6717af162cf5aa2094d10520ed22a5,False,False,False,TAPESTRY-2543
ce5f6c3c24c36505208182c92b091987a6be98f2,False,False,False,TAP5-132
cd955638bad6adee854227ac4455878190072551,False,True,True,TAP5-1650
8a8b033bbf1afc87ac13fd1a74a096bf8697c31a,True,False,True,TAPESTRY-2416
ba67bfd741b820c36400c1815053c44c2c86854e,True,False,True,TAP5-1001
d310b968639142b885b9d6bb16f858516684291d,False,False,False,TAP5-728
09e61255ea6beba7358e12108ed0f2f28c3a6389,False,False,False,TAPESTRY-1528
d7307b672e318aa4e614d9becc781a0bab476fd2,True,True,True,TAP5-332
5f76acd1ca67144680de109a8b706a6f1e84eb2a,False,False,False,TAP5-1699
6e350c06da5795af8ffeeafe69902f43b71da234,False,False,False,TAP5-755
2bc3fab2284b3d5a22d5642a5038b3bfd872b93b,False,False,False,TAP5-2462
1dfc9ba49fc01775a27661444ff21983e5c15bcc,False,False,False,TAP5-1269
a42b250166acded71ee6792f1b28fbfc973c7a70,False,False,False,TAP5-2397
dd177322e6a377dc2eab1523dbb4be7fce860aa8,True,False,True,TAP5-1768
8d594db048f4bacd139ed520c41efda584020c24,True,False,True,TAPESTRY-2019
ce37ef3f241185eb170bdbb96daedbe57498453c,False,False,False,TAP5-1737
80e77e48114309ec049c57072fe963813de53152,False,False,False,TAP5-1117
8290da4a3188880889006db2a33202aefe7a13a5,False,False,False,TAP5-374
3c0b3b3f7859bb334cd256d0bd8d57564c59b6df,False,False,False,TAP5-1837
a73ba4ba2c5b96ad723d9d5b380a837729c8f5cf,True,True,True,TAP5-399
65693c58cfd8be9c8711d1c3d319984dcb7ffe1a,False,False,False,TAP5-1497
dc6365799b170e9ff72144c1860bb7a4ea2ed690,False,False,False,TAP5-1720
a102897c3cb0ce673f55e2e80472487c3a783fa2,False,False,False,TAP5-943
fec7f99e7b29ff05e3dad6238a81ee8734f550f4,False,False,False,TAPESTRY-1879
20590cbac307951136bb69f214e401e06d82e499,False,False,False,TAP5-1844
229e529cf5ba34cc64af24d0dd642303da6a103f,False,False,False,TAPESTRY-2424
52fcb51f170fff5c2144a4dab7bcd3b9aad44af3,False,False,False,TAP5-2124
205e845c5bf7db978f0b064cd2233ac0248ad6fb,True,False,True,TAP5-1074
3ae9f829bb7e1e7b9a4acda568c132230f012180,False,False,False,TAPESTRY-1975
d97a26797b3dae4d11f20655b905abcc95d35cd8,True,False,True,TAP5-613
7faf5f943301d5500538ce75593b1b324e5e9a65,False,False,False,TAP5-2570
01a1439c4a520cf5425415e0ed6a9fa51d386df1,False,False,False,TAP5-2330,TAP5-2342
0a19934571247b7642fb6b0a6899e2c368b1d0b9,False,False,False,TAP5-2452
29df5bde3f79e7fe814aa81e4d857e4cb9bad1b8,False,False,False,TAP5-298
641d34a711b62d7e876bdc9fcb2362f4badb4a69,False,False,False,TAP5-2517
ae9d2d4f9f8dd4dbd06236df2d342c64a5922030,False,False,False,TAP5-1732
85596e55c6d18b8314c8a05746556d4d71fc6e74,False,False,False,TAP5-391
c3e448af8cff42b7509c36b01f340a6a5d701e7f,False,False,False,TAPESTRY-1571
f8adfe7d9e053ef975f3de880df4b04d5213e57d,False,True,True,TAP5-593
337e06eed58e1678468477dfa05e9c217e0c3523,False,False,False,TAP5-665
5c14330c2f20330576b89534e2958af58f73c2f1,True,False,True,TAP5-1643
7ca60e4b8224bff16d29993fea8a8c329951735d,False,False,False,TAPESTRY-1473
32fcb3085526677b6671ffe63af7c0c7e72b2d3a,False,False,False,TAP5-2418
3a21f85bf6f6a620736b996d2cbdc0e4f030b7f7,True,False,True,TAP5-2275
b8209be514c973043b7c5ee0af67f9a049181e99,False,False,False,TAP5-1598
d2d24d0951a1575ed7d1fa671e23a9b49bc001b1,False,False,False,TAP5-1057
d5f6c6acba51d51727d3ff0dee71859b2005ea73,True,False,True,TAP5-1128
6eaedc97ccef24e639cc93e46860fa38c47ab6cf,True,False,True,TAP5-2075
57a8d25ddff8fe5edf102f5bf4e7fe324c409611,False,False,False,TAP5-2362
465a90247862c3bef49346e34ffc4ca8f0b62be6,True,False,True,TAP5-1086
66ea50bf4bed53730d85135968d7edea39a83e3e,False,False,False,TAP5-1685
