commitID, type1, type2, type3, bugID
3ccd4e245e68167fa54a50b9982b7e08a9fe0685,False,False,False,USERGRID-174
41caeaa1033700b2a60325cdd5c98fca46a95c55,True,True,True,USERGRID-872
632f0fee9a74a40f75e1e4afdc1f1aaa360b90f0,False,False,False,USERGRID-325,USERGRID-325
6f90ebaf52c3918fe8ac1623fbcad53e127b16b2,False,False,False,USERGRID-579
efb7d6f553f24ede9fb8f27459e9d59e5156f430,False,False,False,USERGRID-448
e9ad00c7c7494ba08f1941b79ba28644f4eafdeb,False,False,False,USERGRID-613
4a708a8134f09e4b6ac3aab9485132da44d812f9,False,False,False,USERGRID-745
86d4537767e0fbeaa44080d6d5b3b9031f28e5b7,False,False,False,USERGRID-22
592c730232a5d5156b29c9644e2ed5873e829b7b,False,False,False,USERGRID-448
b8f93bbbd5e80368b3c2430fee8543b50dbd06d4,False,False,False,USERGRID-687
6e2805207c3c8c50b119d8260f92cddce34c86ca,False,False,False,USERGRID-209
123ff12b9a0eea48891e3e6cf62a6a01e27a6ff7,True,False,True,USERGRID-225
e3d9cc97985b643040f73e4ec8f78b3a08b1daf0,False,False,False,USERGRID-448
48161a1ac9bfbf3e8c3aefa9586fc104ff0ec664,False,True,True,USERGRID-1052,USERGRID-1052
e479cb92643ea98657817dfda2f22ad7e948c9db,False,False,False,USERGRID-333
47483337c12b0d457fc7b520c5ea4fd6f2800d8b,True,True,True,USERGRID-149
93a216912cebf6d19a927b98fd01d454f306aecb,True,True,True,USERGRID-686
807789aaf667e5b440d00e0933084532bc6d3ec0,True,True,True,USERGRID-670,USERGRID-613,USERGRID-613
e5f99950eed3f883925ca57a9f971dd328635a29,False,False,False,USERGRID-337
5f18b153ad6191d8622ce4464a8781b8b6256e6a,False,False,False,USERGRID-640
586a0b64a8a6f9a291eb66bb6b3eb6042a72e953,False,False,False,USERGRID-149
a57ec0a291d60a20800931a909945072f56a1cf4,False,False,False,USERGRID-686,USERGRID-686
2c1147e49f76702dcf03ecaef6ece1f30306aa5f,False,False,False,USERGRID-1056
f7a82ba81cf49f5bdd536370f966dd0480f1edf4,True,False,True,USERGRID-1099
001f3f85d7b943b1ddb58f8191e97e16f92f330c,False,False,False,USERGRID-466,USERGRID-466
a3e3b1f2ffba701aa1c9af354c9982112ff2d143,False,False,False,USERGRID-209
7009af52a1cb56ef3f514b61216b46590c76f96c,False,False,False,USERGRID-150
c3abe9d7c6556a63f983ba327602395f26b0c9ec,False,False,False,USERGRID-660
e6e7cc67fc3d7b19a0f554900307ceaf150d4679,False,False,False,USERGRID-671
45271d7a26ad61063a13307ad567882afe387acc,True,True,True,USERGRID-466,USERGRID-466
3170fccdf11dd250f472a7cd5cbda63d69e7961c,True,False,True,USERGRID-333
aadcf4cf4a5e520d6eedeffa5bc9e3b2ccb1fa73,False,False,False,USERGRID-457
55dc744870e880eb17774a1886e7ce2a4c78a074,False,False,False,USERGRID-331
f5145337da92df8daf8e59f8bb6452df35d58177,False,False,False,USERGRID-729
d4c7a3ca861752cb953076dc27b8cb46baf2c8f2,False,False,False,USERGRID-1124
8fa14bee65eebca56c6587843061cc6cc5f28d06,True,True,True,USERGRID-333
