commitID, type1, type2, type3, bugID
e421335e4eb005a44711b0f0a44a1c574fae9d2c,False,False,False,VYSPER-335
f06fa2bf71d305629785c469e6292de5ed8bccba,True,False,True,VYSPER-247
6d6f8ada211e2d146ce25c345b38809ded017eca,True,True,True,VYSPER-272,VYSPER-273
498b51bc178a8e65ef29ed12695ff3f62edb6ceb,False,False,False,VYSPER-341
10eee408ace00c05d5059031fe80672f635c6ebd,True,True,True,VYSPER-346
f071d96671c0fbdf74b298cf2348076251e6976e,True,True,True,VYSPER-185
66aee00edc4ee2e0c85f31786aecb6a2a3e0cd44,True,True,True,VYSPER-149
ac329ae73f5471984c6fe6f0a1852e6e6fe13e87,False,False,False,VYSPER-336
ea5eb4135fb353ea7dd3e35bfa08a44f25f5305c,False,False,False,VYSPER-208
221efb7a783aa9d395c74d26a7ba269cbab27414,True,True,True,VYSPER-343
31c5b9fb76504a3fb181111b12d047036efc7cf8,False,False,False,VYSPER-173
44aed2dcfb73a6d100254cad077f2f20c485d65e,False,False,False,VYSPER-259
013be8be8bc384678afc524c053c8584c24827a4,False,False,False,VYSPER-342
890d5f33cef4d5371a2dda43cfb40496545c7891,False,False,False,VYSPER-305
1985ad6c85a9ad50c75f871666ae14ba3127d36b,False,False,False,VYSPER-325
61d9d2f37c6bc5c6cc18e9acabe26d53e7247114,True,False,True,VYSPER-288
9c8fb3c093f02055d1f6000899e1efe47d4e49f4,False,False,False,VYSPER-316
14d201afbc6f52ffd9b47612a9f216a98636bac3,False,False,False,VYSPER-293
3e84973f8269b025e36f77231b1ed5d64214779e,False,False,False,VYSPER-202
a31b9aecf25c9a526be362ae395dc830cb4e307e,False,False,False,VYSPER-330
ceb997b385c4e8c2975e30e21658cd64353b0258,False,True,True,VYSPER-6
e08829eea95e9457bdbecebdf2b7709ae84fcfdf,False,False,False,VYSPER-185
cbd28ba83da5fabb0fc1911b6f0f76a2f4f2d4d1,True,True,True,VYSPER-97
59ef3ad59fd05565d40b5e5788523cbd28a95c87,True,True,True,VYSPER-317
767c7414f3b0c6f47310329badfd2745ab350119,False,False,False,VYSPER-260
13a6f104334f1742f6c1cd245feaac7b8c893239,True,True,True,VYSPER-269,VYSPER-270,VYSPER-271
3c8d8b095aed92f189d87060aee3e975f49cbc50,True,False,True,VYSPER-269,VYSPER-270,VYSPER-271
6bdfe524ca609e40df322465abe287f518ad7190,False,True,True,VYSPER-344
fc34e03ab957f0c9afd76587de89822d4e2548f3,True,False,True,VYSPER-14
1a2abdf2b907e1f912f2e63d66c37040fd7c53b6,True,True,True,VYSPER-201
5e91441452cd6ce85842d99ff4cc84ed6533725a,False,False,False,VYSPER-183
f71d4d29f5d07c1392cd3aa713e07d3acc5cea42,False,False,False,VYSPER-307
7189c783970f524ebd29899c714b9ac3d2fb8a25,True,True,True,VYSPER-257
c6b3d0bd3772c2d0b8ef70e3cb6c3e595c32d988,True,True,True,VYSPER-96
0aba64b57797225c0dfc2bb725bec0f74fb6c597,False,False,False,VYSPER-330
f477875b0b36968ca7a9440f9c498db6ea7f08a2,False,True,True,VYSPER-342
115077f17ade7de2941e3bd4f8e12f98aa03d15f,True,False,True,VYSPER-202
19fd1b6bcec6c2750bd185a994b97873ebe7a3c5,False,False,False,VYSPER-329,VYSPER-344
983fc4af43d35508bd70f10d270571ca25ca8580,False,False,False,VYSPER-281
d7015978010c8d406cff8cd80db79677219c54ee,True,False,True,VYSPER-322
3c52367938582c100c5e63984ce4f725ff225a9e,True,False,True,VYSPER-288
8541acd2d5ce32503e7459505d4ab3d02081bad4,False,False,False,VYSPER-6
ef2276cad7d6fbbc5cf41ea025d5e2751a21f38d,True,True,True,VYSPER-344
4019f278870b2673d2937364901ad2f5161708e3,True,True,True,VYSPER-299
1226325c0d3744728d1536f814ded01844df1ca1,False,True,True,VYSPER-344
b711846e505452b9c9ab19a85c2477d83c732727,True,False,True,VYSPER-311
3b0ad028f277779e9115c7a61c3ab6b97bde5047,True,True,True,VYSPER-6
e64eef6791f4e7f26ffcd62f8c75849fac7a7ae0,True,False,True,VYSPER-256
d9f18b5cf1380d6958b7a660ebc0c5d4fc626e1f,True,False,True,VYSPER-265
455685fe2d7bc814fd6776a729c1bb8cc1364c07,True,True,True,VYSPER-6
1477bd3f297fd4a085730d2a905ec0a2949409f7,False,False,False,VYSPER-10
c381ce4bb06779869314051e34532fdcaeecdec8,False,False,False,VYSPER-7
2cb8a01c00fd1a00c34e454f5f28875a836a4520,True,False,True,VYSPER-254
5b4c66e20fe846b085f7d482b9268a0b4000155c,False,False,False,VYSPER-309
4bc7d62ba1df88e64c22458c7afdf1bb6e0c9050,False,False,False,VYSPER-314
1c4c5a82d603f9a9d82044b53181cc88b5c2627a,False,False,False,VYSPER-334
3eb311ad4398e80f154efde219e7bb243699db9b,True,True,True,VYSPER-7
14e2c6a45895b42fe0cab9ccea2dee2b42e78861,False,False,False,VYSPER-342
c381986da06310da1f2a6fc951cacdbf53f7ec5a,True,True,True,VYSPER-165
097c7d40a9fde5a3d94695a38b728abc5f4a5365,True,False,True,VYSPER-269,VYSPER-270,VYSPER-271
22d30f9babbeff9ccc52815762f18aada488af69,False,False,False,VYSPER-186
1a2da9ab7d91ca60de4e95db46647687f3ec430d,True,True,True,VYSPER-98
15f94085332307f737a5027d421f42312e27836e,False,False,False,VYSPER-293
31a4da5acc0fa8e8f7a949c73d9fbb84e5cdeec0,True,True,True,VYSPER-244
1d7ed7b66d7505b4edbe8a27deb4bc3aaa556e29,True,False,True,VYSPER-1
d3365889328cde070e29515d9247cd7c311059e1,False,False,False,VYSPER-187
3d1365c0163b0469b906d1b004cebe91b461cf80,False,True,True,VYSPER-275
a6358a04ed8f4467db809cc801e883e2dc1efa10,True,True,True,VYSPER-17
8852fb369a703b90d8361a88ea61ee576c6beea5,False,False,False,VYSPER-344
b17d43281590b2bf4198ea44d366143689247dab,False,True,True,VYSPER-185
d0cbd3eb5892c30db63b26622d3917d17986612a,True,True,True,VYSPER-210
