commitID, type1, type2, type3, bugID
ead74ee10ed41f21405c0c6c0e1540c964c787ce,False,False,False,XBEAN-6
87cc468c6432e523a47826fbe2501e439a585313,False,False,False,XBEAN-47
8d5b893ebc0271a379140c0cdf080be691b3920d,False,False,False,XBEAN-92
d8f8672e113549ebb864bc748c4897a6cb04359a,False,False,False,XBEAN-16
2baa8653ce4c7822d098ed439cd560a3df3918f3,False,False,False,XBEAN-94
11df53b59b983bed2ad4569b2462495157cef4ff,False,False,False,XBEAN-39
3749e2f6b04483af8bc69aea60764a8eb0f5fa8e,False,False,False,XBEAN-153
1de621c3b6b87103743a538a37cbeee341dcef41,False,False,False,XBEAN-115
0d7def8729162d90cca5886538f20ea1cf19b1dc,False,False,False,XBEAN-286
f310a08b47dcb11d9bdb569f4a33cf034aa14b65,False,False,False,XBEAN-99
2b9a11f1dce63fe29552f1badd559b98bf474a34,True,False,True,XBEAN-29
270901f45c49e91dfb1fe58dec5e99fda7ca5497,False,False,False,XBEAN-106
9f4be4dbfdf8a9b8f5954dcac21d957010a5985b,True,False,True,XBEAN-181
0e50aad17928ce93abce4738919a52abcd40c1d4,False,False,False,XBEAN-44
154960a720899651328e4f06a77646c1a889f13f,False,False,False,XBEAN-126
236c6e7b88f4b5b337d63e7114815c42d40ab6fe,False,False,False,XBEAN-75
0bb47d2f62dcb48746529012cf4d15ed89d052ca,False,False,False,XBEAN-239
bb335b8e3f175fbbf4d21fd028ee9ca1d6c5a4e8,False,False,False,XBEAN-161
229fabc3f6789bc24d41b0cf252788ec82e9d725,True,False,True,XBEAN-57
b133db955fc4dea0a80c6c4807180c1a17a4bf13,False,False,False,XBEAN-32
7ddb473da414f2579835e13ee5404bcc397c8863,True,False,True,XBEAN-248
c7c385d9197326887ac7ac7ffb4db6f4fc30e775,False,False,False,XBEAN-134
536f968a575dbb1e72ae4766b38d83da368d7e5d,False,False,False,XBEAN-258
19ade509a8b0389eecc524e7e39c49aeaf9c65c7,False,False,False,XBEAN-16
02ce30240473a8fd4dcf188e4c8681a47b1b256c,True,False,True,XBEAN-127
d8cb741d28fc92300314cb61dbccfdfbb7e2d129,False,False,False,XBEAN-280
e7f5a280545e113df20445ed8145de998020cf35,True,False,True,XBEAN-241
0539ded5fc7279694e368c8812920eb55a2c624a,True,False,True,XBEAN-49
d11f637b7a0a4b4d7e803f25165c528975d68965,False,False,False,XBEAN-179
9f35d4961058296b13ca19f649a5cf27df03d5e9,False,False,False,XBEAN-46
1da8a361639afd3e54adbec6afb73f21bd787981,False,False,False,XBEAN-238
b9f833e5244d76bf07df68e161604039a5ca2049,False,False,False,XBEAN-67
d51fdfcc05cb8b61b8a41e6f772493518751c4a6,False,False,False,XBEAN-135
bc1c4b5afc40c09fc0e8ca9d9ee3c6b8d45c639d,False,False,False,XBEAN-270
77befcad47a1b3ada98c7479d03cd3a6f57eed1c,False,False,False,XBEAN-298
7a6d45237a87c69a59a965162c7933b24e33b764,True,False,True,XBEAN-249
38e3ef25c7117498bcb49901b955a7562c55158d,False,False,False,XBEAN-139
0f1c9eb075dbed332c13cd3de7003b4c7ebaa91d,False,False,False,XBEAN-73
d7a31054ccb06e6858123f21e61870312f743ea5,True,False,True,XBEAN-101
18e72db05d2a1a8e4c1d7b11c1ef7a315aeb9a44,False,True,True,XBEAN-125
c60ad9116626de2c6d3638075063ca9ed4876ccd,False,False,False,XBEAN-51
70c02cc42acaae6ba9494591ece65d16753c5264,True,False,True,XBEAN-52
2f4a2028286e104939d869831898885da2283b98,False,False,False,XBEAN-122
3464d80a283c7ac3d8dacafff7b6525a9ecda3f7,False,False,False,XBEAN-43
fde480a7e53d10cb8222c6ef05c05630a7dcfc38,False,False,False,XBEAN-89
e4e36a01d4bc7a35fc839e4eb95b73bc13086a5a,False,False,False,XBEAN-15
c87f79565a4a95bfd3bca0d9b329e3707e881ad8,False,False,False,XBEAN-264
7ad5068743047b2d54911c937047377e36fc65fd,False,False,False,XBEAN-274
f084f4f201b046234f37fc033e79e9d4ccf541e6,False,False,False,XBEAN-133
4a3dda22527dffb579d2266a490a4bf02b280c4f,False,False,False,XBEAN-55
b304c2d448faa2b9fdb2a517cd32920ea95271c4,True,False,True,XBEAN-233
399659634267c0fb2159433d43f95a251b3dd0f3,False,False,False,XBEAN-254
22ff17ee704acc37ad312d5f462b12bcd07a4d9f,False,False,False,XBEAN-141
5a7ee535445d001d4b72778e37314d46cba6bf6e,False,False,False,XBEAN-76
6a81e44ffd34704878f16d3f245c1fa293d7d7ba,False,False,False,XBEAN-272
11417306c966799789fcd3b7b87f9af86fe55ab7,False,False,False,XBEAN-130
9aca23ee99b29b98098a914b21892c247017057b,False,False,False,XBEAN-195
5f4ffd83994e5b0416946262f6f757c8a4e3c0d5,False,False,False,XBEAN-92
20ce15bbfb8d7ebbac5f9353df82b62f37280b9c,False,False,False,XBEAN-277
4da5ba7e31372c0db2ca6ed034a2689fe855ef66,False,False,False,XBEAN-193
1165fb8172f28e534f6a2122a3eba4657e46c8d1,False,False,False,XBEAN-185
f33cbf25985cdd9bb4beb4512e3d5f912ee5d13f,False,False,False,XBEAN-80
486d6029c44de6606f4dd380dc4e15332a476632,True,True,True,XBEAN-26
8b2c6532d672b473ed557848572f94b07167db9f,True,False,True,XBEAN-249
201575755d319878edef3bb3c2e45fd53001e081,False,True,True,XBEAN-115
ee443bf2739f6a606f61cbd41280adae3302a9da,False,False,False,XBEAN-132
93d9bb2892833f664f1c8fe1b6ce83ce501251f4,False,False,False,XBEAN-188
a8977cf427f886dbd905ba185ac3137215d39b20,False,False,False,XBEAN-81
577f5017ada4e4d500c8af2fee9c62f03fe85826,False,False,False,XBEAN-54
f928aaa9360ba5b158895a3fe89fcdc01438749b,True,False,True,XBEAN-30
11b2e88df77c701c44467e7ff7d8d535c9a32bf3,False,True,True,XBEAN-263
3fb95e1ce2a1ce7e52db4bcaac3547acd7225be6,False,False,False,XBEAN-93
9c3a615042f5e29eac442de42fef6d516514d207,False,False,False,XBEAN-266
227c83d18cfbe79f85d49d9591cac934279f7a54,False,False,False,XBEAN-150
71ecf0bf2812b643c98d62229c1dab1dc1494cf8,False,False,False,XBEAN-283
f7ebe0b09a2101c17aec814c82df804095a168c8,False,False,False,XBEAN-65
2fe13e2fe89a4e69a1eb4d996ca75c883f39f58c,False,False,False,XBEAN-127
a2bf34ac91ffc1c95dee5acd7fabc2ca8a327142,False,False,False,XBEAN-56
164e572e3b27daf58b594d13978159c58d194728,True,False,True,XBEAN-107
705ab5f539e630b779dac86fb1c3bd5434a1529c,False,False,False,XBEAN-1
ad77be1973817b311d47d45c4541c4f6ea01cfd4,False,False,False,XBEAN-284
6dda25b51e872d88ba08bcf92bdc6678142c16b8,False,False,False,XBEAN-3
c8854eb5532f5f9055895e3a6f76c7df9beec654,True,True,True,XBEAN-278,XBEAN-279
a8a9991462fed6b7181525903c6fb3ed450950eb,False,False,False,XBEAN-127
b314dfc1300e33571b5920e784bf14656699c69a,True,False,True,XBEAN-136
3d96197977153ed941df3e64c01a5b30a79a1c99,False,False,False,XBEAN-48
adb21e922d5ccef1ef994dd54c88872f07530ae4,False,False,False,ARIES-111
4708fb2951da1cbe017060be6a6bea4833b19099,False,False,False,XBEAN-7
27e2b2c7b611b141bdb70d9bdd2104403a14b012,False,False,False,XBEAN-242
60650eeb3d9f7ec58c374fa7b28fe58315695465,True,False,True,XBEAN-91
5b129c66ca57cf04635177da2d822bc16f159a7d,True,True,True,XBEAN-21
8672778a7941072360f61e888e543376a60be34e,True,False,True,XBEAN-49
32b162130f3d9c10b025a1a136df63c03fec6fba,False,False,False,XBEAN-156
c85b0a280a3828b35c284a3c60580e804b3861ad,False,False,False,XBEAN-155
043275a3e5677af7c7dd4ef4f2c6b93367601a01,False,False,False,XBEAN-23
49c7bb8c5e937f352aad640f2880502ff8bb7c83,False,False,False,OPENEJB-1252
4639a65eb005adbd3a0b8e4614d9517e301d1f8a,False,False,False,XBEAN-192
a591facce9d0af6fa1166040ecae38a79dc1c29e,False,False,False,XBEAN-146
0316595ac42b91de2477f43af228d72dc1949e7a,False,False,False,XBEAN-13
3f9465c984bb7f68bfd4babdd5549a4c34c59268,False,True,True,XBEAN-95
e9612afb74873dd82b526b4f618574add5b7e05c,False,False,False,XBEAN-239
fedc64a7b0d931d49b21e9cd8cca60c844a2ff93,False,False,False,XBEAN-119
67c89026c22c9a621629a67ec59d3358d0e4f16f,False,False,False,XBEAN-190
24e52343a485cfc56f6a839b67b92076950ea99d,True,False,True,XBEAN-121
351cdaedb0077ac82e6b9e2e03699fd8b28118fb,False,False,False,XBEAN-40
1859b75135c387b45acaa0495943d68c2d9c22dc,True,False,True,XBEAN-289
a01ace06a3dd32d06814b0e4764a498ee1be700c,False,False,False,XBEAN-53
270fcfbd01ec5918b130cf111d7cd337e26dbd80,False,False,False,XBEAN-282
8bd98627f738e930150b474899895f43381d8a42,False,False,False,XBEAN-37
ca48322a016f3ada8737f44be8d2a0ef9f9e8ab7,False,False,False,XBEAN-178
e4e6704569dff6a9d94c87716104b4df45f7194e,False,False,False,XBEAN-109
3d1798491dbdd0493fc70f929f7db769433dade8,False,False,False,XBEAN-154
bdd5e64f2b697683cd747c30d9c5ed9b370782d3,False,False,False,XBEAN-41
cfdf007a5e5474a5c72d8a0f84644c915b28eda4,False,False,False,XBEAN-268
a12f3fd6bb96b0ce9605599496383e842b9ca0c2,False,False,False,XBEAN-42
544abd07eb3551dbf90a679c1917f50ef707cfe1,False,False,False,XBEAN-84
