commitID, type1, type2, type3, bugID
68bc2d165e8b88f9f352b3b50bbae84bba844657,False,False,False,ZOOKEEPER-1933
b5116d920d3a5bac42b1ba08aa5cef4a31801ebf,True,False,True,ZOOKEEPER-874
2be6b4dc25b55d86d15a68519a8b19630feaa4de,False,False,False,ZOOKEEPER-975
684549caaa2bf6c741eea713b59336dfd2e9747d,False,False,False,ZOOKEEPER-1606
2c7fbbecd7122815aa6072096be7c5737d04a670,False,False,False,ZOOKEEPER-1811
2ae786d5ccc463ea240efdf881585042ad8df42f,False,False,False,ZOOKEEPER-606
7eaf3d1422c40532986d8d767d59a8f56705c129,False,False,False,ZOOKEEPER-861
63f701585d4fedcd239c97a0d82bea58eca79f1d,False,False,False,ZOOKEEPER-656
148c2cd6ba73e66b1879a2e10ecda4ce4e0e2c7b,True,True,True,ZOOKEEPER-3104,ZOOKEEPER-3104
4447e6dfa786f918b7e89754b10c70509fccae46,False,False,False,ZOOKEEPER-293
bad9ede36559615bb7eafe8e4d333f2c7c353faa,True,False,True,ZOOKEEPER-1992
51dd9c039f70da96b4a5755f372ffcdc8009824b,False,False,False,ZOOKEEPER-893
137e7fcf0af230846cf84e51eda9faf052c11f61,False,False,False,ZOOKEEPER-1068
67c4e4533d0762ebb4cb77976df12304705fecb1,False,False,False,ZOOKEEPER-150
f73be2a0d286609698aa7dd2ffc73f274e4cb069,False,False,False,ZOOKEEPER-1146
32b76dabd04b8ee71148dce562919f74b7addfeb,False,False,False,ZOOKEEPER-438
ef80ec4cd22280436abd1492e3944b2d7972b310,False,False,False,ZOOKEEPER-1883
08cc9187d9eb327b2a71bc9a8c62636815dfe9e5,False,False,False,ZOOKEEPER-1460
7f9dd70384c16e81a08fb8055ffa194bf72bdd7d,False,False,False,ZOOKEEPER-375
07228badc4691ca96f0d35e5aaa5ebcb2b9891cb,False,False,False,ZOOKEEPER-2993,ZOOKEEPER-2993
f7c7765b6c4e2b9f69af9d80b63bee5daf2df90f,False,False,False,ZOOKEEPER-1860
10987f3f578d8ca24140dc30c002120e992a542e,True,True,True,ZOOKEEPER-1799
36c82e116c14a63152e7ffaa229d31f55db887e2,False,False,False,ZOOKEEPER-1969
257747486999fe0d3f44a6c8cd1c0b433ae0a518,False,False,False,ZOOKEEPER-1575
f4e25ac70d808bd9a3b38a3a54122edf8a7be0ea,False,False,False,ZOOKEEPER-2235
09742f2d050105689592ffb5f5240ebde6f79dee,False,False,False,ZOOKEEPER-2861
fb267672d219c73c0cf2527fafebc1a0b17d3bee,True,False,True,ZOOKEEPER-1782,ZOOKEEPER-1782
0b504dec95b09acb05b40505588f7cda8131fea6,False,False,False,ZOOKEEPER-3218
4bb2b80499092d392e5b85dd9ee3184e5ed3c67e,False,False,False,ZOOKEEPER-1917
290f1fc4b907c7d51ec81985e87ef46b8528b8f7,False,False,False,ZOOKEEPER-3117,ZOOKEEPER-3117
f33a75db1cc18124b6d0a4ee15967901fa6ec493,False,False,False,ZOOKEEPER-2777,ZOOKEEPER-2777
d8adc547f9856747905b7d46450f13fa98df147f,False,False,False,ZOOKEEPER-2737,ZOOKEEPER-2737
ec20c5434cc8a334b3fd25e27d26dccf4793c8f3,False,False,False,ZOOKEEPER-2579
b74c78067fc6754f3a56cff0b2b6136f0a973b11,False,False,False,ZOOKEEPER-1774
6b4e7aa40b250afc66fc5f26b75d8bc1e79569cb,False,False,False,ZOOKEEPER-355
9f16d988649e68594180e94143a5178ec2c8f2bb,False,False,False,ZOOKEEPER-1929
6866b0724ee627783831db770cc9e3ffe34efe77,False,False,False,ZOOKEEPER-213
30fe838bb0d0a728eb99f962094dcc115c9990d4,False,False,False,ZOOKEEPER-501
02e1a6f8e14b7dfa0e5cf098c47e25ff0197cb18,False,False,False,ZOOKEEPER-1451
e2ad1053563537bd815dad63482b61bd34d5143d,True,False,True,ZOOKEEPER-1427
6858c10334bce9d00c1445af35488f484a0d5140,False,False,False,ZOOKEEPER-804
575dcbb4ece807662af3b38fdffb6ad512025a63,False,False,False,ZOOKEEPER-870
80803034aabb68229730b9d7429525bd460c3183,True,False,True,ZOOKEEPER-2227
736e27df12ffab4139aec95207c7fef1ca114509,True,False,True,ZOOKEEPER-1271
9fcfbd4922528017786a72d6f8fe9a1093b72bf2,False,False,False,ZOOKEEPER-1406
ee0daa7a8223dad09071893ef2e2c3a1aeb8eec9,False,False,False,ZOOKEEPER-2211
a457a6a686ddf453ea4d1c3a8d3eb9ba3dac199b,False,False,False,ZOOKEEPER-1939
135a315933c4899fe0f0d6fe5d89c2fc1f881e4a,False,False,False,ZOOKEEPER-2008
75277a873629db46a61847c3b073d8ad0dbdce2a,True,False,True,ZOOKEEPER-623
764e34ca913283f1059de2055b0aa313c0514c2a,True,False,True,ZOOKEEPER-355
dfcf4da75c35c12d08496ded2612031f887c0765,False,False,False,ZOOKEEPER-2647
9a6aff269e5c1ac25e1aca1877b06f725799bfee,False,False,False,ZOOKEEPER-2635,ZOOKEEPER-2635
7307c9825187d3f3debf3b252ad5590965d9b56d,False,False,False,ZOOKEEPER-1206
