not sure,Documentation comment for getVariable/getParamVariable incorrect
not sure,svn status' needs better error reporting
not sure,Multolingual support in converting xml - pdf
not sure,Velocity should provide an interface for explicit property retreival
not sure,Translate svn-ref.tex to French
not sure,better customisation features for schedule component
not sure,No support for Apache 2.2 yet
not sure,document JUnit pitfalls
not sure,"Need to increase the maximum buffer size for HTTP header from 16k to 64k,"
not sure,Add error printouts to rasterizer
not sure,"Need the ability to change the port number for HTTP,"
not sure,RMIC needs debug generation parameter support/property BugRat Report#350
not sure,"Need to be able to set ""scheme"" for SSL offloading"
not sure,"Upgrade Exceptions from fop 0,95 to 1,o"
not sure,Metrics needed with Type 1 fonts to have accentuated chars
not sure,Compliance page needs to be updated
not sure,Add handling of the ZoomAndPan attribute
not sure,Add support for overflow on clip-path
not sure,[PATCH] A code-coverage tool for code analysis
not sure,"Ant1,2's optional tasks does not compile against JUnit 3,5"
not sure,Add metrics-version attribute to XML font metrics file
not sure,JK Apache HowTo documentation doesn't explain the --enable-prefork option of the configure script
not sure,"[PATCH] Upgrade to Java 1,5 - Added type-safe parameters to collections in Fonts"
not sure,Updates to Apache XML Graphics Charter
not sure,Document Creation Should Validate and Warn for Special Characters
not sure,[PATCH] Add support for apr_hash_this_*
not sure,Adding X509 subelements impotent for signing
not sure,Depend task not in documentation
not sure,Description of VSS label task missing
not sure,TVT3.0: Missing link in CDT doc 'Debug Tutorial'
not sure,Register: user created register groups disappear after debug session restart
not sure,Fix bugs in Phoenix css files and add support for greyed-out left nav menu items
not sure,"""Top Ten Voted Bugs"" should include RESOLVED/LATER"
not sure,Add new features to the timeline page
not sure,Exchanging entity objects contents when renaming a certain entity
not sure,No Error on Missing View Model in Debug Mode
not sure,FacesConfig Editor preferences page needs more info for screen readers
not sure,[Dialogs] Dialog font should be used by jdt debug component
not sure,"bugfix: CfgParser support for resolving environment variables, macros and include files"
not sure,Adding a bug reports page to the Web site
not sure,Create Wizard servlet
not sure,"Download page needs to be updated to remove ""required ws"" section"
not sure,README: Add readme item for Log Import problem on iSeries V4R5 (bugzilla 126792)
not sure,Debug information should be in your build result.
not sure,[Platform Project] Create Bugzilla component for statistical reports.
not sure,Profile java application launch should use DebugPlugin.ATTR_CONSOLE_ENCODING
not sure,Support line breakpoints in JS debug
not sure,M8 Documentation updates on statistical console
not sure,provide Find and Filter toolbar buttons in UML2SD view
not sure,provide API for execution occurance to set the start and end time
not sure,provide support to customize Graph Node and spacing size
not sure,provide API for graph node stroke color
not sure,provide API for graph node overlay icon
not sure,Datapool Evaluator and Iterator extension points should be moved to test.datapool package. Extension point schemas also missing.
not sure,Need a programmatic way to open the highlighting rectangle from the time compression bar to the interested lifeline
not sure,Coverage Statistic: Update filter method
not sure,(MON) Provide range filtering for GLA filter blade
not sure,Prerequisite of feature / bug 74652
not sure,Eclispse corner article
not sure,[Deployment] File transfer service to support ability for command versions
not sure,[Extensibility] Support for connection in test execution service for IAC and security
not sure,TPTP Tester Guide::Performance chapter updates
not sure,Provide a means to configure new AC so that it only launches pre-defined set of aliases
not sure,"""Extending"" chapter not shipped in driver"
not sure,Extend Filter action is missing in Log Interaction View
not sure,Correlations are missing in UML2SD Log Interaction view.
not sure,Migrate all Hyades examples to be NL-enabled.
not sure,Overview is too small
not sure,APIs to disable Show Caller/Called Message action
not sure,Cannot re-edit a class that extends Composite
not sure,Create Manifest file for GLA plugins
not sure,New visual class templates should be in respective plugins
not sure,Need Text Editor for Link Widget
not sure,review: Add support for Insiders; Private comments; Private Attachments; Patch for July 12 tip
not sure,review: Bugzilla should support translated/localized templates; Eighth version: Whitespace fixes; remove ($) prototyping
not sure,review: Bugzilla Helper should be enter_bug.cgi template; Patch v.8
not sure,review: buglist.cgi shouldn't find all bugs if loaded without parameters; Patch v.1
not sure,review: if order is the first param to buglist.cgi; can't resort; Patch v.1
not sure,review: Remove $onebug cruft.; Patch v.1
not sure,review: Add support for Insiders; Private comments; Private Attachments; Revised patch with timeless's suggestions
not sure,review: relogin.cgi should use a template; Patch v.2
not sure,review: confirm_login in CGI.pl should use a template for the login dialog; Patch v.1
not sure,review: add translation of system messages; Patch v.2
not sure,review: quips.cgi should require a login to access.; Patch v.1
not sure,review: Enhancements to generic reporting; Patch v.3
not sure,review: Component/Product IDs mean you can't do change queries on component/product; v2
not sure,review: you should be able to enter bug dependencies/blockers when you enter a bug.; Patch v.1
not sure,review: Disallow novice users (without bugzilla account) from use of Advanced Entry form; Patch v.1
not sure,review: Real name capability on bug_list.cgi.; Patch against HEAD
